,open,high,low,close,volume
20240822,125600,126200,118300,120700,906777
20240821,123000,126200,121000,124800,621977
20240820,128900,129800,125400,125500,854630
20240819,128000,129000,124600,124900,905341
20240816,123700,129700,123100,127700,2119325
20240814,119300,121200,116600,118500,1738957
20240813,117100,117700,112000,113200,1097379
20240812,109100,119300,109000,114200,2225144
20240809,110900,114600,107300,108500,1644085
20240808,103100,106300,102400,104900,1006558
20240807,106400,110400,102000,107900,1962624
20240806,107500,111000,105300,107600,2072809
20240805,112500,114500,98100,102600,2438987
20240802,119100,121200,115100,115400,2054482
20240801,137400,137500,127000,127300,1920279
20240731,127500,131200,121800,131200,2126109
20240730,135200,135600,125300,128700,1784351
20240729,138900,140500,136000,137400,665775
20240726,135700,140800,132200,137500,1258289
20240725,138000,138700,132500,135500,1628935
20240724,142600,148700,140700,143400,1109711
20240723,150400,150500,142000,145500,1194179
20240722,149900,151500,143700,145400,1272324
20240719,153800,154700,150900,151000,644491
20240718,149500,156400,148600,153500,1318546
20240717,168000,168000,158500,159400,1551976
20240716,159600,168300,158200,168100,2098271
20240715,161300,162500,156000,157900,664824
20240712,157000,160700,155500,160500,958910
20240711,164600,166000,160500,161000,990391
20240710,164700,165500,160000,162400,686356
20240709,165200,167500,164000,164100,849902
20240708,166200,168400,162100,162500,784081
20240705,159000,169200,158000,165400,1985852
20240704,171600,171600,154500,160200,2530573
20240703,167100,169800,161700,166800,1099850
20240702,170900,174000,166000,168600,858735
20240701,171500,174200,170300,170800,586211
20240628,173700,174900,170500,172300,716988
20240627,176500,177600,173500,173700,950933
20240626,175500,182200,175500,179800,1366218
20240625,167300,174600,165000,172900,1229293
20240624,178200,178700,172000,175400,834045
20240621,175500,180500,173600,180300,877003
20240620,177400,182100,176000,179300,1042435
20240619,181200,184300,172900,177000,1468010
20240618,182200,183800,178100,179500,980995
20240617,179200,184300,176900,180100,1233384
20240614,190200,196200,179900,179900,3293200
20240613,175900,189000,173900,189000,5653152
20240612,159300,175500,157400,173900,4537953
20240611,161900,162000,158500,159300,880159
20240610,159700,161100,156800,160000,1233444
20240607,155800,163000,153500,156800,2757638
20240605,151900,162300,150100,155800,3468162
20240604,147200,151200,145900,148600,2469486
20240603,158100,158500,138100,146700,7240625
20240531,163600,164900,161000,161700,1464046
20240530,166900,174100,164500,165300,1970098
20240529,166400,173400,165400,169200,3383266
20240528,157100,164500,155000,163000,3692182
20240527,151000,164500,149700,152200,5397584
20240524,146600,151500,142800,147700,2704815
20240523,152000,152700,143700,146400,3177627
20240522,139600,149700,139000,147300,2728796
20240521,142700,143300,139500,140200,784326
20240520,140000,141400,138400,141300,744233
20240517,144200,144200,139500,139900,927191
20240516,147900,150000,142900,144100,2755885
20240514,140100,144000,136800,141800,1199710
20240513,140200,142500,138400,139700,854513
20240510,141600,141900,137400,139100,1049541
20240509,140100,144600,139600,141600,1199839
20240508,136000,141700,134300,140800,1384326
20240507,134500,138800,133800,136500,1876204
20240503,135500,136300,130000,130000,974269
20240502,132100,134200,130200,133000,968400
