,open,high,low,close,volume
20240822,58400,59100,57000,59100,1645440
20240821,58600,59200,57500,58800,1457620
20240820,57200,58700,57200,58400,920358
20240819,55900,58100,55400,57200,1086839
20240816,55700,56700,55200,55500,1283301
20240814,55700,56000,54500,55000,729272
20240813,54000,55800,53800,55500,1331914
20240812,54400,54700,53600,54100,843671
20240809,53700,54500,52800,54000,1661725
20240808,53200,54500,52700,54200,1860065
20240807,52400,54700,52000,53700,2228993
20240806,54700,55700,53200,53200,2300982
20240805,53800,54500,51600,52800,2897784
20240802,59500,60000,56300,57100,1894909
20240801,59800,61100,59600,60700,1124108
20240731,59500,60600,58700,59800,1535091
20240730,59800,60400,59200,59500,1805546
20240729,58400,64200,58100,60700,4871313
20240726,54200,58400,54200,58000,3558607
20240725,54500,55700,54000,54500,1514707
20240724,54700,55900,54400,54800,1727556
20240723,55100,56000,55000,55100,1574201
20240722,53600,55500,53300,55000,1883148
20240719,53300,53700,52200,53400,1566852
20240718,52500,54300,52400,54300,1772040
20240717,52600,54000,51800,53800,1609621
20240716,52200,53300,51800,52600,1030734
20240715,52600,52700,51500,51800,955712
20240712,52100,52900,51500,52400,895581
20240711,51600,52500,51500,52000,1504253
20240710,51000,51400,50600,51000,988357
20240709,51500,52200,50100,51500,1254471
20240708,53000,54000,51800,52000,1034352
20240705,53400,54200,52900,53500,1785928
20240704,51100,53200,50800,52500,1628825
20240703,49600,52500,49350,51100,3366585
20240702,47500,50500,47500,49500,2635828
20240701,47650,48150,47500,47850,841977
20240628,47950,48600,47200,48150,1207957
20240627,46900,47200,46200,47150,948915
20240626,46850,47950,46450,47650,1027364
20240625,48450,48450,47350,47450,839962
20240624,47200,48000,47200,48000,728944
20240621,48000,48200,47400,47600,1059661
20240620,46350,47800,46350,47650,871052
20240619,46200,46400,45700,46350,843205
20240618,46500,46750,45650,45700,740437
20240617,46500,46900,45800,46200,878203
20240614,46750,47650,46650,46950,1584339
20240613,47750,48450,46950,46950,1772266
20240612,45950,47800,45500,47800,1580910
20240611,46500,47000,46200,46200,956400
20240610,46600,47300,45900,46200,872301
20240607,46900,48200,46250,47100,1914676
20240605,45500,45900,44350,45550,1212947
20240604,46550,47100,45300,45400,1266371
20240603,48100,48250,46950,47000,784501
20240531,46450,48350,46350,47150,2926485
20240530,45900,47200,45900,46000,1196258
20240529,46000,47000,45750,46300,1116005
20240528,46550,46900,46300,46550,787954
20240527,47300,48050,46800,47000,763379
20240524,46850,47850,46450,47400,1046047
20240523,47000,48000,46800,47550,1203687
20240522,49100,49100,47750,47850,942514
20240521,48500,49400,48300,48900,944210
20240520,48500,50200,48300,49000,1394788
20240517,47700,48200,47600,47700,985756
20240516,48000,49200,47750,48150,2673336
20240514,48300,48350,47350,47500,1049266
20240513,47800,49300,47600,47750,1281335
20240510,47200,48350,47000,47750,1308651
20240509,46850,47550,46350,46500,1320150
20240508,46500,47750,46450,47300,1592494
20240507,46950,47400,45350,46250,1833197
20240503,46400,47050,45950,46450,827456
20240502,45800,46600,45200,45800,1685667
20240430,47200,47550,46150,46650,2276490
20240429,46850,47350,46150,46850,1873235
20240426,44050,47800,43950,46750,3657539
20240425,42800,44200,42550,43500,1229092
20240424,44550,45200,43200,43300,1697154
20240423,43850,45150,43550,43900,2305670
20240422,43050,44650,43050,44300,2377699
20240419,41350,41850,40900,41750,1652874
20240418,40900,42400,40600,41900,1838520
20240417,41250,41450,40450,40550,1171591
20240416,41950,42050,40700,41050,1445005
20240415,41800,42400,40700,42150,1200212
20240412,42650,43100,41300,41850,2560050
20240411,41600,43750,41600,43100,3381296
20240409,44550,44800,43400,43600,1385474
