,open,high,low,close,volume
20240822,55000,55300,52700,53200,1687986
20240821,52200,54800,51300,54600,2298957
20240820,53000,53100,51000,52300,2373740
20240819,54400,55000,52500,53200,2076231
20240816,54300,55100,53100,54400,2497218
20240814,52800,54800,52300,54600,3758850
20240813,49650,54000,49650,52800,8114979
20240812,46600,49350,44650,49200,3578517
20240809,46900,47000,45700,46250,1534629
20240808,45600,46400,43850,45900,2299246
20240807,44750,47150,44100,45950,2330415
20240806,46200,47150,43950,44700,3919520
20240805,47550,48250,41000,44700,3357896
20240802,49600,50600,48050,48550,2360966
20240801,48900,52300,48800,50500,3822788
20240731,49050,51300,48050,48900,3499866
20240730,49850,50600,49100,49600,2197039
20240729,49500,50900,48900,49950,4680833
20240726,44400,48000,43800,47750,5365591
20240725,47000,47500,43650,43800,3836729
20240724,46500,48300,45850,47950,4649261
20240723,42200,46550,41800,46350,8012389
20240722,42150,44000,42050,42550,2793295
20240719,42150,42200,40800,41550,1730184
20240718,43300,43900,41900,42250,1924689
20240717,43400,44700,43400,43550,3147749
20240716,43250,44400,42850,43400,3877147
20240715,40950,44900,40950,42950,10540448
20240712,40900,41350,39800,39950,1241695
20240711,41700,41800,40550,40750,2213220
20240710,39800,43300,39700,41550,11409828
20240709,39050,39450,38800,39350,893521
20240708,38200,39200,38050,38900,967824
20240705,38100,38200,37500,38000,839062
20240704,37450,38400,37450,38100,794921
20240703,38400,38600,37450,37650,1119231
20240702,39850,39900,37700,38400,1957201
20240701,40850,41200,39850,40100,1453867
20240628,39850,40800,38950,40800,1904220
20240627,38650,40100,38450,39600,1013200
20240626,39300,39450,38350,38900,1166539
20240625,39650,40200,39350,39550,955116
20240624,39650,40500,39200,39450,1254282
20240621,40750,41600,39550,39650,2356443
20240620,40500,41050,39200,40150,2184627
20240619,40400,41150,40000,40900,2988174
20240618,42450,42450,40000,40200,4722005
20240617,40350,43000,38850,42600,12857855
20240614,37950,39000,37550,38700,1509752
20240613,37500,38550,37450,37900,1184959
20240612,37750,37950,37200,37500,564596
20240611,38700,38700,37450,37750,704424
20240610,38150,38700,37950,38250,841774
20240607,36800,38200,36800,37900,1212475
20240605,37350,37500,36650,36750,648966
20240604,36400,37450,35700,37200,1220595
20240603,36250,37100,36050,36550,924653
20240531,37000,37600,35850,35950,1277248
20240530,36950,37850,36750,36850,1268491
20240529,39700,39800,36700,36800,2843827
20240528,39400,40150,38850,39700,1954446
20240527,39050,39100,38350,39050,997939
20240524,37400,38850,37350,38650,1003470
20240523,37800,38000,37150,37850,838872
20240522,39100,39150,37850,38000,835638
20240521,38350,39600,38250,38750,1623835
20240520,37550,38700,37000,38350,1107627
20240517,38450,39250,37300,37550,1496503
20240516,38550,38600,37900,38400,1196143
20240514,37750,38650,37500,38550,1159702
20240513,37550,38250,37200,37700,851167
20240510,37650,38150,37450,37600,749553
20240509,37550,38100,37500,37500,1002097
20240508,38150,38200,37200,37850,793568
20240507,38000,38350,36900,38100,1037144
20240503,38600,38850,37700,37950,1219854
20240502,37300,38500,37300,38250,1544883
20240430,38400,39050,37300,37300,2538073
20240429,38050,38750,37650,38600,2343629
20240426,40650,41250,37950,38450,5044191
20240425,41700,42950,41100,41150,3776879
20240424,40700,41400,40300,41150,2075700
20240423,40150,41600,40050,40900,2529854
20240422,40950,41400,38900,40100,2995768
20240419,41250,42550,40000,41150,4322834
20240418,40100,41350,39450,41150,2918310
20240417,38600,40800,38400,40000,4477132
20240416,39050,39650,37450,38500,3272012
20240415,42000,42350,38650,39000,4790880
20240412,41850,43450,40750,41600,4432922
20240411,41200,42450,40650,41850,5568939
20240409,37900,41850,37800,41150,14442307
20240408,37750,38200,37150,37800,1639697
20240405,38100,38400,36800,37300,2186288
20240404,38750,38800,37650,38500,2361098
20240403,38800,39600,37350,38000,3189368
20240402,38400,39200,36950,38950,5216655
20240401,36950,38750,36800,38000,6253165
20240329,34350,38800,34100,36800,13299739
20240328,34350,34650,33500,34400,2180209
20240327,33450,34400,32850,34300,2501875
20240326,32750,33250,32500,33200,1450486
20240325,33000,33250,32250,32600,1564572
20240322,31450,32900,31450,32400,2643797
20240321,31550,31650,31200,31300,848460
20240320,31800,31800,31100,31400,940837
20240319,31450,32150,31150,31600,1644641
20240318,30750,31450,30700,31250,1375086
20240315,30400,30750,30150,30400,827895
20240314,30500,30800,29900,30350,1591789
20240313,30250,30600,29900,30400,1259875
20240312,31200,31250,29900,30000,1904415
20240311,32150,32300,31150,31250,1298032
20240308,31500,32200,31200,31700,1518499
20240307,32050,32700,31050,31450,2762292
20240306,31350,32400,31300,31950,2632839
20240305,32050,32400,31150,31400,1909105
20240304,33500,33750,31850,32050,3101925
20240229,34150,34450,33250,33450,2187226
20240228,33500,34950,33350,34150,4953093
20240227,33350,34500,32800,32850,3600320
20240226,32850,33700,32550,33450,3245830
20240223,33950,34150,31600,32800,7097629
20240222,30900,34500,30350,34500,16080506
20240221,29000,29950,29000,29850,1509660
20240220,29400,29900,28800,28900,1186455
20240219,28600,29800,28600,29600,1489373
20240216,28900,28950,28450,28550,668121
20240215,29450,29450,28650,28800,871956
20240214,28600,29900,28300,29250,1438222
20240213,29100,29400,28550,28950,1303349
20240208,28400,29250,28300,29050,1686971
20240207,27500,28450,27500,28450,1561068
20240206,27050,27350,26900,27150,627160
20240205,27050,27450,26850,27250,650935
20240202,27600,27600,26950,27150,1236872
20240201,28100,28650,27400,27500,1344043
20240131,27000,29200,26900,28350,3788729
20240130,27500,27700,27000,27100,784803
20240129,28700,28700,27450,27500,1135082
20240126,28150,28600,27950,28500,924230
20240125,27800,28650,27650,28150,1481082
