,open,high,low,close,volume
20240822,200000,204500,198000,202500,796806
20240821,198000,200000,196700,199800,815713
20240820,198900,199600,195800,196200,490387
20240819,197500,199300,195500,197600,560126
20240816,195400,201000,195000,197200,942857
20240814,194200,195300,190800,194600,677058
20240813,199000,200000,191500,192700,985594
20240812,199600,204000,198600,200000,955783
20240809,198000,201500,194600,196000,1113699
20240808,197200,199400,192500,195700,1366838
20240807,180400,205000,180300,197000,3628907
20240806,187600,191000,181600,182000,1689013
20240805,188300,195300,173000,182500,1984775
20240802,197500,199300,192300,193600,1034567
20240801,201000,207000,199800,200000,901474
20240731,209500,210500,200500,204500,1022603
20240730,207000,211000,203500,209000,1043589
20240729,203000,210000,202000,209000,1307248
20240726,201500,204500,198100,200000,1041632
20240725,194000,205000,192100,199200,2161673
20240724,188300,195000,186500,193400,935691
20240723,192500,194400,189200,189200,688691
20240722,188000,194400,187700,193200,1418434
20240719,186000,189100,185500,187900,400415
20240718,192000,192200,187700,187900,642223
20240717,189000,193300,187300,192500,1012724
20240716,190000,190100,184600,188700,532360
20240715,191000,192000,188500,188700,535440
20240712,185600,191400,185500,188800,846514
20240711,186100,186100,183100,185800,517980
20240710,187000,187200,183900,184700,481130
20240709,183500,187900,183500,187200,597590
20240708,185600,186800,183000,183400,410697
20240705,183500,187500,181800,185800,723763
20240704,182800,184400,180900,182900,393223
20240703,185000,185400,180400,181800,459161
20240702,184100,185700,180800,184500,738377
20240701,175200,184100,175200,184100,1050615
20240628,174100,175400,173500,174300,331353
20240627,175400,176000,173800,173800,497678
20240626,177700,178300,176600,176800,410497
20240625,180700,181000,177700,178400,363448
20240624,177900,180200,177700,179000,375338
20240621,179700,181400,177100,177100,1533095
20240620,183200,183200,180100,180100,369192
20240619,180900,183500,180000,183400,467752
20240618,179800,181200,178200,179100,456842
20240617,183400,183900,179700,179800,604921
20240614,182700,186400,179700,183400,1006471
20240613,189600,191600,182600,182600,1454028
20240612,194900,195000,187300,187600,919072
20240611,190000,195000,188700,192600,784211
20240610,188500,192700,186600,189500,541848
20240607,191800,192600,188500,191100,494141
20240605,189400,193600,188200,190300,890135
20240604,177900,189900,177900,188100,1291227
20240603,177200,180700,176800,179000,309816
20240531,179700,182000,176100,176200,882885
20240530,177500,181400,177200,177300,357482
20240529,179200,179900,177100,178900,493642
20240528,179600,182400,178500,180900,411965
20240527,180600,181200,178500,179600,401269
20240524,182600,183800,179600,179900,487217
20240523,183800,185500,183500,183500,289295
20240522,186500,188000,184200,184800,310558
20240521,185500,187800,185000,186200,239148
20240520,193300,193500,184700,187000,529601
20240517,190200,192400,188500,191500,1000223
20240516,193800,195400,192300,193000,466199
20240514,189400,191700,188800,190900,277583
20240513,193000,193300,188300,190800,443306
20240510,193300,196900,192000,192900,715282
20240509,194800,196000,189700,189700,803653
20240508,195400,196300,193500,194600,464008
20240507,191000,197000,191000,194400,1067170
20240503,188900,189600,187200,189000,294979
20240502,187900,190700,187000,187500,525670
20240430,183700,191200,183000,189000,1227117
20240429,178500,183800,178500,183700,642499
20240426,177500,178800,176300,176600,221176
20240425,177700,179000,176100,177400,307643
20240424,180200,180900,179100,179500,279156
20240423,178800,179700,177600,179700,300796
20240422,175700,178700,174700,178700,430487
20240419,175000,175400,171000,172900,504100
20240418,172900,177800,172800,177100,474859
20240417,173200,177000,169700,171000,686492
20240416,177300,178300,171800,172000,635729
20240415,180000,180800,178500,178600,362320
20240412,179400,183300,178100,182200,478462
