,open,high,low,close,volume
20240822,92300,92900,91000,91600,243208
20240821,92400,92500,90800,91900,225051
20240820,91600,92700,90800,92500,378637
20240819,89200,91300,89100,91000,535523
20240816,85400,90200,85400,88800,1104896
20240814,83700,85200,83400,84000,377356
20240813,82200,84500,82100,83500,332398
20240812,82500,83300,82000,83200,165239
20240809,81900,82200,80600,81900,200904
20240808,80600,82700,79800,81700,337367
20240807,75200,81500,75100,80600,417692
20240806,78000,78200,74600,75800,518364
20240805,78200,78500,73500,74500,724861
20240802,81400,82500,79700,80200,367433
20240801,83600,84000,82300,82700,268721
20240731,83500,85000,82600,84400,378009
20240730,82400,83900,81300,82700,309243
20240729,81500,85700,81300,83200,593721
20240726,79800,82700,79200,81500,267585
20240725,81800,81900,79500,79800,365046
20240724,81400,82400,80900,81900,173388
20240723,82100,83800,81600,81600,305050
20240722,82800,83200,81000,81900,242038
20240719,80100,82500,79900,82500,236494
20240718,82800,82900,80700,80700,235868
20240717,81500,82900,81100,82300,206875
20240716,81700,82300,81100,81500,215309
20240715,82400,82700,81100,81600,171559
20240712,82300,82900,81200,82000,272820
20240711,82000,83800,81400,82300,331354
20240710,80400,82300,80200,81100,231329
20240709,82600,82700,80300,80700,324526
20240708,82600,83400,81800,81800,221575
20240705,84700,85900,83200,83400,455821
20240704,82500,84300,81900,83400,473113
20240703,79300,84200,79000,82200,893044
20240702,77100,80400,77000,79200,435528
20240701,78700,79900,77200,77400,239533
20240628,75700,80400,75700,79100,450299
20240627,73800,76300,73800,75900,225897
20240626,75400,76000,74500,74500,319886
20240625,76600,76700,75700,76000,149025
20240624,76400,76900,75600,75900,237508
20240621,78000,78500,76100,76500,455522
20240620,76400,78500,76100,78000,255893
20240619,76600,76800,75700,76700,193946
20240618,75000,77100,73600,76100,329760
20240617,73100,74700,73000,74600,247148
20240614,73000,74200,72600,73100,384664
20240613,74200,76300,73500,73500,574179
20240612,73700,74700,73600,74200,224743
20240611,75400,75800,73800,73800,389022
20240610,74900,76100,74000,75200,214618
20240607,75300,77100,75200,75500,228239
20240605,75100,75800,73900,75500,368455
20240604,75600,76900,74500,75100,384512
20240603,77200,77600,75400,76400,375182
20240531,77700,78100,76500,76900,744455
20240530,75000,78200,74900,76100,300547
20240529,75800,77100,75100,75500,509858
20240528,76700,77500,75800,76600,294091
20240527,77200,77700,76100,76700,345531
20240524,76800,78700,76000,77600,289957
20240523,77500,78200,76900,77500,320087
20240522,81100,81100,78300,78300,534542
20240521,80300,81200,79400,81100,226080
20240520,82000,82200,80900,80900,237176
20240517,81800,82600,80600,81300,332008
20240516,85500,86700,80900,81400,794177
20240514,84200,85900,83300,85400,330045
20240513,82800,84900,82800,84200,335604
20240510,81700,83600,81100,82300,346723
20240509,81900,82400,80100,80300,309378
20240508,80300,82000,80300,81300,240688
20240507,79200,80900,79200,80300,261987
20240503,79500,80300,78900,79100,162192
20240502,78600,80000,78100,78700,199518
20240430,80300,81200,79200,79400,395696
20240429,80400,81600,78700,81000,280815
20240426,78200,80900,77600,79700,267325
20240425,76900,78800,76600,77800,202150
20240424,79600,79800,76600,77500,424962
20240423,79100,80600,78600,78800,236470
20240422,76600,80900,75900,79400,459202
20240419,75300,76000,73300,75000,390124
20240418,72600,77100,72600,76300,365622
20240417,74500,75000,72800,73100,391422
20240416,75600,76200,74300,74300,572058
20240415,76800,77400,74200,76900,696985
20240412,80600,81500,76700,78200,718828
20240411,79700,81700,77900,80700,514183
20240409,82700,83000,80800,81400,330194
20240408,82400,83400,81800,81900,192374
20240405,81800,84100,81600,82800,266236
20240404,81000,83100,80300,82600,311164
20240403,81000,81100,79700,80200,311454
20240402,81300,82500,80700,81100,317093
20240401,81700,82800,80900,82000,252269
20240329,82300,83000,81300,81700,245571
20240328,80600,82600,80500,81700,329488
20240327,84100,84100,80200,80200,812720
20240326,85400,85800,84300,84900,396216
20240325,86100,87900,84000,84600,644908
20240322,82500,84300,82100,84200,449939
20240321,80800,82200,80000,81800,432309
20240320,80900,82900,79900,80100,449034
20240319,81600,82300,80200,80200,465145
20240318,84000,84900,81000,82400,487807
20240315,85300,88300,83100,83200,1150198
20240314,83400,85500,82900,85300,592992
20240313,81500,83100,80500,82500,394787
20240312,82300,83100,80300,81300,339087
20240311,81200,82300,80100,81400,200574
20240308,81200,82200,80400,81500,337939
20240307,79500,81900,79000,80400,505130
20240306,81600,81600,78700,79300,653066
20240305,81700,82600,80400,81600,541923
20240304,83100,84800,81100,82100,572568
20240229,83900,85100,82500,83100,804570
20240228,84700,85300,82000,84200,595764
20240227,85900,87300,84100,85500,512810
20240226,81300,86200,79100,85200,878989
20240223,79900,86200,78400,82600,1890891
20240222,75900,76200,74300,75600,272501
20240221,74800,77000,74100,75000,381630
20240220,79100,79200,74000,75200,556806
20240219,75300,79900,75300,78600,656910
20240216,71700,74900,71000,74800,447567
20240215,72700,72900,71100,71300,215084
20240214,71200,72400,69800,72000,309571
20240213,72700,73400,71000,71200,374893
20240208,71300,73100,70400,71800,686750
20240207,68000,71100,67800,70000,423805
20240206,69000,70400,67100,67500,554854
20240205,71500,71700,68800,69600,576793
20240202,69400,71900,69000,71700,794392
20240201,69000,70900,68500,70000,952617
20240131,65300,68500,64900,68500,802951
20240130,65100,66400,64700,65300,444957
20240129,63400,65500,63100,64300,613439
20240126,62300,63800,62100,63000,419910
20240125,62100,62800,61900,62300,406018
20240124,61800,62500,60200,61900,301454
20240123,60900,62400,60500,61900,421688
20240122,60300,61200,59900,60400,271731
20240119,59800,60700,59400,59800,260769
20240118,59300,60600,59200,59700,273627
20240117,61300,61500,58600,59000,389814
20240116,59100,62300,58900,61100,643595
20240115,59400,59900,59000,59500,159695
20240112,58600,59500,58400,59300,236065
20240111,58300,59800,58100,58600,442340
20240110,56800,57900,56800,57900,146962
20240109,57000,57400,56600,56800,173585
20240108,56800,56800,56300,56300,195464
20240105,57000,57700,56100,56600,260755
20240104,58000,58800,57000,57100,324812
20240103,58400,59600,58100,58400,304173
20240102,58400,59300,57700,58800,289117
20231228,55900,59300,55800,59100,587534
20231227,58700,58800,55700,55800,1076087
20231226,57100,59200,56800,59200,985263
20231222,57300,57700,56100,56400,399869
20231221,57600,58700,56800,57000,451380
20231220,57500,57900,56900,57900,321604
20231219,56300,57300,56000,57000,251039
20231218,57000,57000,55000,56400,463492
20231215,57600,58200,56900,57200,458417
20231214,58600,58800,57300,57600,594700
20231213,58400,58500,57700,58000,340421
20231212,58800,59200,57600,58000,329657
20231211,58500,58900,57000,58000,239953
20231208,59100,59300,58200,58500,246464
20231207,58200,59700,57800,58600,450065
20231206,56400,58700,56400,58200,582745
20231205,55700,56800,55700,56500,271865
20231204,55900,56600,55200,56000,277443
20231201,55500,56000,55100,55700,267342
20231130,54300,55600,54000,55500,523985
20231129,54700,54900,53900,54200,350076
20231128,55600,55700,54800,55000,239155
20231127,54500,55900,54400,55200,375610
20231124,55900,56200,54300,54400,334975
20231123,55300,56000,55100,55700,242746
20231122,55300,56000,54500,55700,223409
20231121,55300,56300,55000,55800,349712
20231120,55800,55900,54000,54500,393697
20231117,55100,56400,55100,55900,322934
20231116,58000,58000,55000,55300,509738
20231115,57200,58200,57100,58100,726370
20231114,55100,57000,54600,56400,733558
20231113,53300,54300,53000,54200,358737
20231110,54400,54400,52600,52900,269331
20231109,52300,53700,52300,53200,320671
20231108,53100,53400,52200,52600,251445
20231107,51400,52600,51400,52600,350721
20231106,52500,53200,50900,52100,495347
20231103,51900,52200,51300,51900,282402
20231102,51600,52300,51000,51200,305145
20231101,50200,51000,49900,51000,288932
20231031,50900,51800,49750,50200,366257
20231030,49500,50300,48700,50300,299785
20231027,50300,50500,49450,49700,253522
20231026,50300,50400,49250,49400,334436
20231025,49800,51300,49800,50500,421446
20231024,48450,49100,47700,48800,406422
20231023,50100,50100,47200,47900,724366
20231020,50700,51100,49650,50100,434703
20231019,52000,52500,50500,51100,486253
20231018,51700,52500,51600,52500,575379
20231017,53100,53500,51600,51700,460443
20231016,52800,53500,52200,52800,423761
20231013,52800,54100,52700,53500,219322
20231012,53400,54100,52800,53500,442420
20231011,54200,54700,51700,53600,625283
20231010,54400,54600,52700,53400,414215
20231006,53600,54300,52400,53400,334545
20231005,52800,53700,51500,52900,372791
20231004,54900,54900,52200,52600,574579
20230927,55600,56400,54600,55200,411312
20230926,58200,58600,56100,56400,551386
20230925,57500,59800,57300,58600,860116
20230922,55000,58200,54200,57400,983600
20230921,53800,54500,53600,54000,420773
20230920,54600,54700,53600,54200,425528
20230919,54600,55100,54300,54700,268063
20230918,55400,55700,54500,54800,374739
20230915,55100,56600,55000,55500,670085
20230914,55000,55200,54100,55200,375498
20230913,54200,55700,54200,54800,491619
20230912,55500,55700,54200,54400,338178
20230911,55000,55600,54100,55300,288942
20230908,54300,55000,53900,55000,220798
20230907,54100,55100,53500,54200,450486
20230906,53600,54800,53600,54400,439483
20230905,53700,54000,53400,54000,315441
20230904,53900,54100,53000,54100,281799
20230901,55200,56700,53800,54300,535288
20230831,54400,55600,54400,54700,739174
20230830,53700,54900,53100,53900,462170
20230829,51800,54700,51800,53200,629115
20230828,51600,52200,50900,51800,425452
20230825,50400,51700,50300,51500,496267
20230824,51000,51200,50000,50700,390176
20230823,49550,51800,49500,50900,592498
20230822,49600,50400,49500,50000,309966
20230821,50000,50100,49300,49600,207450
20230818,49250,50300,49250,49550,283880
20230817,49650,50200,48700,49700,472285
20230816,49900,50300,49100,49700,338499
20230814,49900,50400,49450,50200,261478
20230811,48250,50500,48250,49750,463485
20230810,49500,49600,48150,48200,432244
20230809,49550,49900,49000,49500,276365
20230808,50800,51000,49500,49800,502968
20230807,50000,51100,49950,50500,453803
20230804,50000,50300,49200,50200,481099
20230803,49350,49650,48800,49500,422928
20230802,49650,49900,48500,49000,526976
20230801,49200,50200,48700,49650,528245
20230731,48500,49300,47800,49200,369756
20230728,48150,48800,47450,48200,403694
20230727,47950,49000,47800,48450,480889
20230726,48450,48650,46800,47950,889409
20230725,47950,49500,47800,48950,887257
20230724,47900,48300,47150,47800,558847
20230721,47250,48300,47000,48000,774715
20230720,45100,47350,45100,47150,1210408
20230719,44500,45250,44500,45200,324428
20230718,45400,45400,44250,44500,306569
20230717,45100,45550,44700,45400,344015
20230714,44700,46100,44700,45550,884838
20230713,44650,44900,44100,44350,566883
20230712,44000,44550,43700,44400,423899
20230711,43250,44500,43100,44000,583246
20230710,41450,43200,40850,43000,586182
