,open,high,low,close,volume
20240822,29600,29650,27550,27650,746012
20240821,28000,28300,27400,28050,282097
20240820,27750,28500,27600,27700,244930
20240819,28500,28500,27500,27500,301915
20240816,28400,28750,28100,28350,324106
20240814,27850,30400,27550,27600,1340395
20240813,28350,28650,27200,27550,499551
20240812,27850,28600,27850,28300,435295
20240809,25450,32000,25400,28000,2594834
20240808,24550,24950,23900,24750,178721
20240807,24400,25050,24200,24700,223479
20240806,23150,24900,23000,24550,392862
20240805,25650,26800,22600,22950,591014
20240802,27550,27550,25950,26900,375396
20240801,28300,28950,28150,28200,251185
20240731,27400,27950,27150,27850,201225
20240730,27950,28500,27150,27550,278123
20240729,27500,28300,27500,28100,210140
20240726,28050,28400,27500,27750,307148
20240725,29450,29550,27700,28100,619853
20240724,31000,31750,30250,30250,371131
20240723,30900,31600,29950,31400,586079
20240722,32500,33450,30600,30600,565371
20240719,31650,33350,31200,32250,508067
20240718,30650,33100,30000,32050,743963
20240717,33600,33850,31450,31550,417572
20240716,34400,34450,32600,33300,480530
20240715,33000,35150,32700,34400,924419
20240712,34750,34950,32500,32700,648561
20240711,35700,36000,34100,34100,1077995
20240710,34400,35900,33850,35300,2152782
20240709,31500,36300,31250,34200,5264796
20240708,29700,30900,29700,30450,312193
20240705,30350,30350,29450,29750,343374
20240704,30250,30700,29750,30300,288023
20240703,31100,31150,29850,30250,330287
20240702,30900,31750,30650,30650,381196
20240701,31800,32750,30350,31200,626809
20240628,34000,36100,31250,32000,2295844
20240627,31850,32600,31300,32300,752563
20240626,31050,32100,30900,31250,397168
20240625,31000,32050,30900,31000,313758
20240624,33050,33100,30850,31550,690832
20240621,31250,33350,30850,33250,805545
20240620,32000,32250,31200,31300,489854
20240619,33950,34500,32300,32300,532844
20240618,34200,34600,33100,33300,479719
20240617,35400,35450,33500,34100,555087
20240614,34550,36300,33000,35050,1290661
20240613,33450,36800,33150,34600,2104762
20240612,33850,34400,32700,33450,682961
20240611,34500,34550,32500,33050,927269
20240610,32050,34850,31400,33850,1583917
20240607,33850,34350,32150,32300,1160163
20240605,36200,36500,33450,33850,1466574
20240604,38050,38500,36550,36700,1014185
20240603,39750,40100,38000,38250,1081178
20240531,40500,42800,39250,39600,2116086
20240530,38500,45300,38450,41050,8645035
20240529,41900,44550,38750,39150,2681536
20240528,41200,42500,39400,41350,1868191
20240527,42300,43100,40400,40950,2611713
20240524,36850,44400,36050,42500,7893240
20240523,40400,40750,36900,37850,2999066
20240522,37950,44700,37800,42750,10284164
20240521,36500,39700,36500,37400,7365544
20240520,29600,37300,29400,36300,15727793
20240517,29900,30700,28400,28700,1133310
20240516,31600,31600,29850,30000,1411948
20240514,31100,31550,30150,30500,1111563
20240513,32500,33000,29700,31100,2576366
20240510,32550,33850,31150,31700,2684729
20240509,33750,34500,31500,32300,2950661
20240508,33300,33750,32350,32850,831672
20240507,33350,34300,33300,34300,993706
20240503,32700,32700,31650,32450,928326
20240502,30000,34400,29800,31850,13154146
20240430,28700,32450,27150,30300,19427173
20240429,21300,27150,21150,27150,6415512
20240426,20600,21450,20150,20900,1306198
20240425,19970,20550,19580,20400,720525
20240424,19030,20600,18680,20200,1206225
20240423,19600,19750,18850,18950,388850
20240422,18820,20500,18820,19600,1745353
20240419,19160,19450,18000,18760,721976
20240418,18750,19190,18500,18810,642559
20240417,17500,18300,17470,18150,412744
20240416,18700,18700,17580,17600,560266
20240415,19100,19290,18510,18740,588807
20240412,18300,20250,18000,19040,2456874
20240411,18030,18280,17870,18000,250790
20240409,18200,18940,18050,18400,487821
20240408,18810,18840,17960,18030,503259
20240405,19200,21000,18570,18810,2779053
20240404,18300,18780,18260,18570,219062
20240403,18880,18880,18080,18100,213295
20240402,19150,19760,18650,18710,469421
20240401,18820,19290,18590,18990,286983
20240329,18100,19300,18100,18820,673205
20240328,18190,18390,18000,18000,171538
20240327,18100,18400,17800,18170,320106
20240326,18050,18180,17950,18000,178512
20240325,18200,18430,17980,18050,192339
20240322,18320,18430,17980,18160,253652
20240321,18850,18890,18350,18350,230421
20240320,18800,19100,18570,18750,219691
20240319,19120,19360,18600,18800,236881
20240318,18400,19350,18300,19030,756397
20240315,17800,18880,17710,18130,520767
20240314,18060,18450,17780,18010,353491
20240313,18200,18300,17540,18060,390515
20240312,18150,18730,17980,18200,246814
20240311,18200,18520,18100,18140,157061
20240308,18600,18950,17950,18320,358743
20240307,19070,19280,18480,18600,276659
20240306,18450,19290,18300,19010,487944
20240305,18470,18970,18050,18480,499323
20240304,18510,18890,18370,18470,274848
20240229,18910,19270,18470,18480,340065
20240228,19100,19490,18830,18890,354789
20240227,19020,19900,18880,18940,375818
20240226,19850,19850,19100,19160,513894
20240223,20200,20250,19760,19800,412718
20240222,19950,20500,19720,20050,372677
20240221,20850,20900,19730,20050,782502
20240220,20450,20750,20100,20650,469913
20240219,20350,20950,20350,20500,470682
20240216,21750,22100,20900,20950,764970
20240215,21200,22150,20750,21400,1426311
20240214,20900,21200,20150,20900,1001672
20240213,19430,23400,19430,21350,4228637
20240208,19500,19550,18880,19330,651740
20240207,18240,20400,17910,19620,1706370
20240206,19950,19960,18200,18230,879158
20240205,19970,20300,19530,19810,308655
20240202,20050,20250,19870,20050,373891
20240201,19990,20150,19450,19870,774550
20240131,20000,20800,19940,20050,551045
20240130,20100,20400,19930,20000,413955
20240129,20050,20300,19390,20250,700377
20240126,19800,20450,19680,20250,457003
20240125,20300,20300,19680,20000,709647
20240124,20900,21100,19960,20400,855767
