,open,high,low,close,volume
20240822,177600,181800,175900,180900,583764
20240821,171300,181400,171300,176300,779994
20240820,174700,176300,170200,171600,486336
20240819,181300,182700,172000,172400,621823
20240816,189700,191900,182100,182100,508852
20240814,185100,189400,181600,186000,562104
20240813,178300,185600,175500,180400,560693
20240812,179700,183600,177800,180000,374793
20240809,170500,182600,169000,179200,1093221
20240808,171200,176800,165000,166400,842757
20240807,177700,182600,174200,174200,581172
20240806,171000,183000,170000,181000,897262
20240805,184400,188900,164000,164900,1150660
20240802,180400,191200,179600,185900,724626
20240801,180000,186600,170800,185100,1167499
20240731,185300,187300,179200,179900,626382
20240730,177100,190000,176100,187500,927485
20240729,174200,178700,171700,178200,353401
20240726,181300,182200,173600,174000,403715
20240725,174600,184500,170600,180900,972513
20240724,177500,184100,175600,178600,360681
20240723,182500,184300,178200,179000,393683
20240722,192700,192700,181100,181100,569845
20240719,181900,194000,181700,194000,623889
20240718,178000,186500,177000,182200,547368
20240717,181500,184900,178400,179000,415403
20240716,192800,193200,183000,183200,551866
20240715,195700,195700,188800,194400,535544
20240712,187500,195700,187100,195700,575362
20240711,191000,195500,189000,189000,547890
20240710,193500,196200,189500,189500,402279
20240709,199000,201000,192600,193800,508406
20240708,188800,202000,187000,198600,964629
20240705,189100,191800,185700,190100,357510
20240704,195000,196600,188700,189000,527747
20240703,185500,194600,185500,191000,954589
20240702,190900,190900,182500,182500,384792
20240701,187500,188600,182100,188500,509498
20240628,178000,186000,175200,183000,558335
20240627,181000,184700,178000,178000,420147
20240626,180300,181500,176800,178400,437439
20240625,182500,184700,179200,179300,463562
20240624,185400,186600,182100,182100,518734
20240621,187900,193600,186600,186600,646780
20240620,194200,199000,187500,188100,823551
20240619,189500,196600,188500,194100,724891
20240618,201000,203000,191300,191600,710704
20240617,195300,201000,193800,198900,547470
20240614,209000,209000,199600,200500,699689
20240613,213500,214500,206000,209000,777900
20240612,211500,215500,205500,209500,543357
20240611,216500,221500,211500,213500,625302
20240610,219000,221500,209000,215500,949785
20240607,208000,224000,202000,222000,1568844
20240605,191500,208000,190400,203000,1100996
20240604,187100,194600,187000,191200,706551
20240603,189400,192000,187500,188000,582389
20240531,186300,191300,181500,191300,1058322
20240530,185300,190400,184000,185800,751107
20240529,196300,197300,187500,187500,1007809
20240528,207000,207000,198500,198600,682776
20240527,196800,209500,193600,208500,929113
20240524,199900,201500,195800,196200,595244
20240523,202000,205000,199800,202500,366376
20240522,206500,209000,203000,204000,308921
20240521,211500,212000,202500,203500,560921
20240520,214000,215000,210500,213000,267962
20240517,216500,220000,212500,212500,433809
20240516,211000,216500,208000,216000,551906
20240514,210500,215500,210000,210500,451281
20240513,218000,219000,210000,210500,459634
20240510,220000,222500,217500,217500,316039
20240509,221000,222000,216500,220500,465377
20240508,222000,224000,219000,223000,391153
20240507,226500,228500,222000,223000,525423
20240503,236500,239000,223500,226000,641296
20240502,236500,237500,233000,233000,247321
20240430,246000,246000,237000,238500,408521
20240429,234500,239000,232000,239000,344677
20240426,237000,239000,230500,236000,371441
20240425,241000,242500,233500,234000,590430
20240424,243000,249500,239000,245500,810487
20240423,236000,241500,233000,233500,445260
20240422,233500,242000,232500,240000,694496
20240419,225500,231000,222000,227500,468724
20240418,217500,230500,217000,229000,642403
20240417,221500,224000,215000,215000,477126
20240416,224500,226500,220000,220500,491631
20240415,222500,233500,222000,228000,538285
20240412,240500,240500,228000,228500,553362
20240411,230000,239000,229500,239000,569787
20240409,244500,248000,235000,236500,611609
20240408,232000,245000,225500,240500,1097858
20240405,243000,248500,239000,239500,442108
20240404,248500,251000,236000,246500,859930
20240403,253500,257500,245000,245500,1079181
20240402,270000,272500,260500,261500,679991
20240401,272000,280000,270500,270500,460008
20240329,275500,280000,269500,274000,617611
20240328,287500,289500,276000,277500,680977
20240327,291500,298500,285000,287500,861359
20240326,294500,296000,287000,292500,844487
20240325,280000,296500,278000,291000,1527123
20240322,277500,280000,273000,277000,528708
20240321,270000,280500,268000,276000,1131930
20240320,271000,274500,264500,265000,603154
20240319,271500,278000,264000,271500,1016973
20240318,257000,268000,257000,268000,678264
20240315,262000,262500,256500,256500,493068
20240314,261000,266500,255500,266500,998393
20240313,263000,265500,258000,264500,682265
20240312,247500,262000,247000,262000,1070068
20240311,245000,249000,244000,245000,354673
