,open,high,low,close,volume
20240822,328000,329500,308000,314500,374819
20240821,303000,321500,302500,319000,401841
20240820,298500,314000,293500,307500,624678
20240819,300000,300000,287000,288500,260319
20240816,288000,301000,283000,297500,670302
20240814,284500,290000,273500,274000,463421
20240813,287000,291500,274000,276500,340894
20240812,291000,291500,278000,286000,273146
20240809,300500,303000,287000,289000,466696
20240808,295500,300000,282000,286000,683702
20240807,292000,310000,283000,305500,685763
20240806,280000,293500,270000,283000,1111107
20240805,262000,280500,238000,264500,993951
20240802,304000,309500,275000,275000,1030300
20240801,325500,338500,319000,320500,695863
20240731,305000,315500,300000,310000,425113
20240730,313000,316000,297500,310000,482011
20240729,327000,335500,311500,316500,445928
20240726,343000,350500,316000,320000,748272
20240725,351500,365500,331000,334500,865904
20240724,351000,374500,345500,365500,1364773
20240723,298500,364000,298500,346000,1999868
20240722,310000,316000,283500,294000,484714
20240719,304500,313500,297000,307000,293256
20240718,317500,323000,299000,305000,575865
20240717,337500,342500,325500,326000,270454
20240716,345000,347500,328500,334500,334421
20240715,343000,350500,338500,343500,230952
20240712,336500,352500,331000,334500,370068
20240711,348000,363000,336500,336500,573489
20240710,329000,344500,327500,342000,393043
20240709,322500,333000,320000,326500,282605
20240708,308500,330500,308000,321000,347749
20240705,310000,316500,307500,312000,158771
20240704,321500,323000,305000,311000,244462
20240703,314000,321500,302000,318500,372325
20240702,295500,329000,294500,317000,836157
20240701,310000,310000,293500,296500,310279
20240628,317000,323500,303500,310000,326539
20240627,295500,323000,294500,319000,477620
20240626,297500,301500,287500,301500,389266
20240625,298000,308500,293000,296500,308057
20240624,313500,314500,297000,300000,398358
20240621,287000,317000,285500,317000,675837
20240620,291500,296500,287500,290000,204211
20240619,295500,301000,279500,295000,471533
20240618,290000,293000,285500,289500,315563
20240617,290000,291500,277500,286500,386152
20240614,275500,296500,274000,290000,790331
20240613,266000,276500,262000,275500,587056
20240612,271000,274500,257500,263500,492922
20240611,287000,287000,272500,272500,461863
20240610,256500,291500,254000,284500,747230
20240607,277000,278000,257500,260000,794916
20240605,296000,296000,275000,277000,526864
20240604,289000,302000,288000,299000,405719
20240603,294500,302500,285000,291000,555237
20240531,289500,301000,277000,301000,2566280
20240530,295500,304000,287500,289500,512355
20240529,306000,309500,291000,296000,571078
20240528,296500,305500,294000,302500,504736
20240527,285000,314000,276000,293500,1217611
20240524,251000,286000,250500,283000,1343225
20240523,253500,259500,246000,255500,442364
20240522,256500,263500,251000,252500,499756
20240521,263000,264500,252000,255500,447440
20240520,254500,266500,253500,260000,710279
20240517,256000,258500,247500,250000,877160
20240516,259500,264500,246000,256000,753399
20240514,257000,260500,247000,256500,402723
20240513,267000,267500,252000,257000,679627
20240510,272000,272500,259000,262000,481723
20240509,262000,274500,261500,269000,620407
20240508,249000,262500,245500,259000,637015
20240507,235000,255000,234500,252000,957841
20240503,242500,243500,229000,230000,432784
20240502,243000,244500,235500,239500,469294
20240430,246000,263000,243000,247000,812711
20240429,253500,256000,240000,244000,518614
20240426,249500,256000,246000,250000,728543
20240425,250500,258500,241000,242000,935109
20240424,245000,257000,232500,255000,1352522
20240423,229000,251500,210000,240000,2313046
20240422,237000,248000,217500,227500,1016971
20240419,244500,250000,221000,244000,1477448
20240418,219000,239000,215500,239000,1139513
20240417,208500,222000,206000,213000,1116597
20240416,234000,237000,200000,206500,1323307
20240415,229500,246000,220000,241500,888915
20240412,238500,265500,224000,235000,1268393
20240411,210500,237000,208500,232000,812474
20240409,206500,225000,205000,211500,630433
20240408,193900,214000,191600,201000,570276
20240405,193100,202000,189000,194400,451391
20240404,190000,202000,190000,198700,509667
20240403,181700,188100,178600,185300,321583
20240402,180500,190500,177000,182000,458558
20240401,179400,183900,169300,181500,372836
20240329,179400,183900,175000,179400,353291
20240328,181000,185000,177500,178700,403342
20240327,180000,184100,175600,183100,467028
20240326,172100,184100,169200,184000,514054
20240325,167100,171100,161000,169500,270867
20240322,163500,171600,162000,166500,306616
20240321,151000,162700,150800,162600,459469
20240320,150900,153700,148100,149700,233706
20240319,154000,154600,148100,149100,325801
20240318,149400,157500,149100,154600,441460
20240315,153600,156900,145200,148000,581356
20240314,146000,157600,145600,156300,866890
20240313,134500,147600,134400,147000,712286
20240312,130700,133800,128500,133500,200678
20240311,127400,134000,126800,132000,240621
20240308,130000,130000,125600,129400,204702
20240307,136000,136000,126000,128700,244112
20240306,128600,136300,126300,136000,202176
20240305,133000,135000,127700,129800,186257
20240304,125100,136700,125100,131600,375308
20240229,121200,127900,118600,124400,197397
20240228,129000,129000,117400,123200,562434
20240227,135700,138500,127100,129000,342256
20240226,135000,143500,134900,139300,323537
20240223,128400,134200,127000,134100,272771
20240222,128100,129800,125900,128300,345289
20240221,130500,133600,125200,130400,534905
20240220,127000,134500,125800,134400,619912
20240219,117500,124000,117000,123600,325039
20240216,118500,120300,115300,115900,264170
20240215,113700,119300,112700,116800,314855
20240214,106700,113500,106700,112300,396511
20240213,106600,109700,106600,107600,182638
20240208,104300,109000,103600,107400,239095
20240207,106700,106800,103300,103500,232295
20240206,101000,106900,101000,106800,434500
20240205,99600,103700,99400,100900,269447
20240202,99500,100700,97700,99600,210954
20240201,101900,102600,97500,99200,339798
20240131,101000,104600,100400,102700,368303
