,open,high,low,close,volume
20240822,205500,206000,193300,198700,474768
20240821,208500,211000,202000,205000,244422
20240820,214000,214000,205000,211000,180223
20240819,205000,215000,204500,211000,324890
20240816,208000,213000,200500,204000,321646
20240814,205500,207000,198900,206000,239761
20240813,206500,211000,201500,203000,228270
20240812,210000,213000,204000,208500,242565
20240809,221000,222500,208000,212000,323259
20240808,204000,218000,200500,216000,357955
20240807,206500,213500,202000,205000,302646
20240806,198900,210000,192500,205000,564879
20240805,195000,201500,174700,186000,732384
20240802,210500,215000,204000,209000,261712
20240801,205500,220000,202500,214000,266053
20240731,203500,221000,203000,211000,502707
20240730,206500,209000,201500,204500,221341
20240729,207000,210000,201000,208000,413038
20240726,184500,210000,183500,207500,1077171
20240725,173000,185000,170000,177500,499649
20240724,175800,178200,170000,175500,216272
20240723,171700,176000,170400,174900,238862
20240722,164000,171800,162500,170400,274862
20240719,168800,169300,162200,164300,244274
20240718,172900,175000,166600,169000,275858
20240717,168600,175000,166500,171200,370509
20240716,161500,168300,160100,167500,323389
20240715,158000,163000,157900,160000,227971
20240712,158200,159100,153200,157600,154926
20240711,155800,160500,154200,157300,231112
20240710,151700,159700,151000,155300,289280
20240709,153000,154000,151100,152400,89502
20240708,148200,153500,147400,152000,189788
20240705,153400,154300,148100,148800,234935
20240704,151900,155200,148600,153400,188610
20240703,157600,157600,147500,151900,195344
20240702,154500,155100,150100,153300,192956
20240701,156500,158400,152700,155100,173102
20240628,156600,158500,154000,155700,205119
20240627,150900,156900,150000,156400,311020
20240626,149900,152400,148300,152400,209048
20240625,152000,154900,148300,149900,327393
20240624,144900,152000,143300,152000,463511
20240621,143000,152600,142700,146300,709700
20240620,140500,142900,139000,141900,255055
20240619,133900,139400,133600,138800,344258
20240618,135000,136400,133000,133600,126175
20240617,132600,135500,130900,134500,142608
20240614,130400,135000,129100,132600,230612
20240613,129900,132300,128100,130400,341110
20240612,128800,130100,125900,130000,200350
20240611,130500,131900,128800,129700,160170
20240610,128400,130100,127500,129400,107375
20240607,128200,130200,128200,129600,123840
20240605,128800,129800,127600,128300,124102
20240604,131100,132000,129000,129500,122848
20240603,129000,134700,127400,131800,238181
20240531,133800,133900,128000,128700,231036
20240530,131000,133300,130100,132100,133264
20240529,132200,133000,130900,132000,115538
20240528,133000,134800,131600,133400,129617
20240527,134400,134700,129900,133000,261871
20240524,131200,135100,130600,134000,246113
20240523,129100,133200,128400,132800,330274
20240522,131400,131500,128400,129100,246510
20240521,127800,132000,126800,130800,589305
20240520,131300,131500,127200,128100,452194
20240517,131100,133200,129100,130200,3652485
20240516,143700,143700,138800,140500,166809
20240514,143800,144800,140200,142300,154449
20240513,138400,146000,137200,143500,358025
20240510,137000,137800,135000,136300,87286
20240509,137600,138800,134300,135500,223027
20240508,139400,141200,135600,137400,181533
20240507,134700,140000,133100,140000,213717
20240503,136500,137000,133500,133600,122129
20240502,137000,139400,135300,136200,96389
20240430,139300,141800,136800,137700,152022
20240429,140400,140900,137300,140800,262260
20240426,130000,140600,129700,139500,677728
20240425,130000,132800,125700,128000,273570
20240424,128400,133700,127800,130200,458832
20240423,123800,129200,122700,127200,383255
20240422,124800,125900,121400,122600,162296
20240419,120400,123700,117500,123400,272435
20240418,112900,123600,112500,120300,408383
20240417,112800,114100,111200,111300,138965
20240416,116900,118100,110800,112000,192752
20240415,117400,119500,116000,118300,79090
20240412,114800,118700,112900,117900,144841
20240411,115600,117100,113400,114500,153613
20240409,118500,121100,116700,117200,171743
20240408,121600,121600,118000,118500,102944
20240405,120100,123900,119200,122100,72585
20240404,122700,123500,119800,121700,130736
20240403,124000,125900,122100,122700,134514
20240402,120500,125400,118800,124900,196046
20240401,119000,122000,115900,121300,126161
20240329,121500,122500,117400,118000,163448
20240328,119400,122200,118000,118700,119217
20240327,120600,121600,118000,119400,189217
20240326,126700,126700,122300,122300,112104
20240325,125600,126000,123300,124700,113953
20240322,125000,126500,123900,125100,112470
20240321,126600,126600,123900,126100,164895
20240320,122800,127800,122800,125800,172740
20240319,123500,124500,120600,122300,135415
20240318,120000,125300,119500,123100,361761
20240315,121000,124000,117100,117100,251925
20240314,111700,122900,111700,119800,514657
20240313,113300,113400,110400,111100,100800
20240312,114000,114000,111000,112600,111187
20240311,110700,115900,110200,113200,129656
20240308,112300,112800,110200,110900,83688
20240307,111900,112500,110600,111600,72380
20240306,111500,112700,110700,111500,101377
20240305,113300,116000,111600,112300,123692
20240304,118900,119700,113000,113600,178233
20240229,119800,121000,117400,117900,125317
20240228,115100,121100,113800,119500,261080
20240227,110400,115500,108800,114900,244823
20240226,110500,111400,109200,109700,107007
20240223,111000,112500,110300,111400,50852
20240222,112800,112800,110600,110800,40008
20240221,110600,112400,109800,111700,102555
20240220,110400,111000,109500,109600,65722
20240219,110000,111300,108600,110900,92086
20240216,111200,112500,110000,110400,94027
20240215,110700,113100,109500,110000,116901
20240214,108600,110300,107900,109600,130175
20240213,112100,113000,108800,110400,216576
20240208,114000,114900,112000,112000,141640
20240207,115400,117300,113100,113600,122017
20240206,117500,118200,115000,115300,68705
20240205,115000,120700,113100,117500,150928
20240202,113300,115000,112400,113900,127331
20240201,114300,114400,111200,112800,205257
20240131,114100,116100,113500,114100,107872
20240130,119200,120100,114000,115200,110102
20240129,120000,121400,118300,118300,54566
20240126,120600,123300,119800,119900,60581
20240125,117800,120500,116500,119900,66706
20240124,118500,118900,115600,117400,62958
20240123,122700,124400,117300,119000,127263
20240122,120800,121000,118500,119000,62378
20240119,115800,120000,115800,120000,75060
20240118,114400,117400,114200,115200,91596
20240117,119000,119000,113700,113900,100572
20240116,120400,121000,118600,118900,42873
20240115,119000,121400,118500,121200,78942
20240112,119000,120500,118200,119000,40519
20240111,122700,123600,118500,118500,119193
20240110,122900,123700,121000,122100,63397
20240109,125700,126700,122000,122500,61331
20240108,121000,125700,121000,124500,111008
20240105,121000,122000,120100,121000,47881
20240104,120600,122700,120100,120900,94450
20240103,125500,125600,121400,121500,134968
20240102,128200,128500,125900,127000,84390
20231228,126300,130700,125000,129000,128088
20231227,122000,125500,121900,125500,74655
20231226,123900,123900,120900,121900,53783
20231222,121900,124000,120800,122700,74832
20231221,121300,121500,119500,120700,73705
20231220,120900,124000,120500,122500,113494
20231219,121200,121800,120000,120000,66554
20231218,123500,124200,121000,121300,97101
20231215,124300,124700,123000,124300,78446
20231214,121600,124800,120300,124300,138741
