,open,high,low,close,volume
20240822,49200,50300,45300,47450,2024693
20240821,50500,51400,48150,48850,2612891
20240820,41000,52300,40950,52300,5520683
20240819,42750,45400,40100,40250,2617057
20240816,39100,40000,37950,38150,660676
20240814,37200,38850,36700,38250,1042427
20240813,32150,40650,31800,36600,4605926
20240812,31400,33400,30500,32350,331530
20240809,30350,32150,30350,31200,391349
20240808,29500,30600,28750,29850,245430
20240807,29900,30650,29550,30200,262146
20240806,28050,31300,28050,30550,498587
20240805,32000,32400,26700,27800,574597
20240802,34450,34900,33000,33200,281464
20240801,34750,36000,34450,35700,201148
20240731,35100,35250,33700,34700,260386
20240730,34750,35700,34100,35300,243395
20240729,35200,35750,35000,35050,161930
20240726,36050,36300,35050,35450,149922
20240725,35850,36850,35350,36050,245545
20240724,36000,38300,36000,37050,261933
20240723,37700,38000,36250,36700,261962
20240722,38400,38950,36800,37350,242822
20240719,39100,39400,37700,38850,341619
20240718,38900,40450,38500,39600,285907
20240717,41450,42000,39850,39900,399082
20240716,44700,44700,41800,41800,409035
20240715,44950,45700,44300,44500,114730
20240712,46000,47750,44400,44850,426160
20240711,45100,45350,44350,44350,205125
20240710,45450,45500,44000,45000,199844
20240709,47250,47700,45150,45400,291685
20240708,45150,47750,44350,47200,278997
20240705,44900,46050,44800,45100,181008
20240704,46500,46950,44550,44950,243779
20240703,46400,48450,45800,45950,325804
20240702,49000,49000,45350,45500,274927
20240701,47700,48000,46300,47550,155022
20240628,45500,48150,45500,47700,267982
20240627,47600,48650,45500,45900,352039
20240626,48500,49350,46550,46800,326736
20240625,48050,52400,48050,48800,714679
20240624,48250,48450,47100,47600,228439
20240621,48500,49250,47550,48900,352855
20240620,52300,53100,48650,48950,491563
20240619,52200,53300,51500,52600,263373
20240618,54400,54900,52200,52900,333668
20240617,52100,55300,52000,54400,335304
20240614,58300,58400,54300,54400,437521
20240613,57700,58900,56200,58000,962809
20240612,58600,58700,55000,56500,526657
20240611,58000,59700,56500,58000,814586
20240610,54500,58000,53000,57600,805098
20240607,53800,55300,52000,54500,432279
20240605,51000,54800,51000,53200,629023
20240604,51600,52400,50300,51600,373276
20240603,50000,53400,48500,51900,745619
20240531,44450,49700,44400,49400,1198087
20240530,42950,48750,42800,45100,1391518
20240529,44600,45100,43150,43200,369619
20240528,47550,47550,44300,45300,484402
20240527,46250,47900,44300,47550,665435
20240524,47300,47600,45800,46350,434922
20240523,49600,50500,47900,48050,415555
20240522,52700,52700,49500,50000,399629
20240521,55500,55600,52200,52400,336709
20240520,53100,56200,52100,55400,424997
20240517,53900,54400,52600,53100,213916
20240516,53000,54800,52700,54500,306763
20240514,52700,54600,52700,52700,209489
20240513,53900,54200,51700,52700,327925
20240510,54000,55200,53500,53900,223798
20240509,56300,56700,54000,54000,395305
20240508,54400,57000,52100,57000,812778
20240507,55600,57200,54200,55100,584297
20240503,60200,60300,55600,55600,914793
20240502,67000,67500,58400,61000,1325618
20240430,67900,67900,67900,67900,0
20240429,67900,67900,67900,67900,0
20240426,67900,67900,67900,67900,0
20240425,67900,67900,67900,67900,0
20240424,67900,67900,67900,67900,0
20240423,67900,67900,67900,67900,0
20240422,65600,68800,65000,67900,1097795
20240419,63300,66200,62500,64100,807765
20240418,59100,64100,59100,63400,544380
20240417,60000,62100,58500,59000,437145
20240416,63800,64400,58700,59200,490160
20240415,62500,65200,62000,63800,368985
20240412,65000,65300,63000,64100,345385
20240411,61800,66700,60300,63400,775135
20240409,58400,63900,57300,63300,631665
20240408,61600,61600,56200,58400,828175
20240405,62400,64200,60100,62200,605465
20240404,64400,65400,62300,62500,653740
20240403,61200,64700,59500,64100,1526605
20240402,62500,65100,60500,61200,981775
20240401,64400,66200,62800,63800,1081050
20240329,71800,71800,65600,66200,1373155
20240328,75100,75700,72100,72800,627255
20240327,74700,76500,73100,74500,686760
20240326,76700,76800,73900,74600,710365
20240325,76400,78600,75100,75600,715260
20240322,74600,78300,72800,77300,1091075
20240321,77100,78000,73400,73900,1033790
20240320,78700,80200,75600,76500,1233020
20240319,79500,80400,76700,78000,1499070
20240318,72000,81400,71200,80400,4903205
20240315,65100,69800,65000,68500,1449900
20240314,70400,72900,66400,66500,1215325
20240313,74100,75300,70300,71700,1142670
20240312,76100,77900,67000,74300,4045960
20240311,76800,79000,71700,73300,2579200
20240308,72000,80800,69600,75200,5899020
20240307,64300,70900,64200,68900,2985630
20240306,66900,70300,62900,64000,1660945
20240305,60100,67600,60100,66900,2112630
20240304,64500,65700,60500,60600,1822870
20240229,71700,72000,64500,65400,2016250
20240228,67500,75400,66300,71600,3593180
20240227,65800,71700,64700,68500,4687605
20240226,57300,69000,56000,65800,8039155
20240223,51000,54700,49900,53800,1666890
20240222,49200,56300,48300,50700,3467230
20240221,47900,50500,47200,49500,984360
20240220,45400,49200,44300,48800,958055
