Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1985-01-04,2654,2654,2654,2654,414,,,,,,414.0
1985-01-05,2702,2702,2654,2702,705,,,,,,1119.0
1985-01-07,2654,2774,2654,2774,17077,,,,,,18196.0
1985-01-08,2726,2726,2726,2726,0,,,,,,18196.0
1985-01-09,2721,2721,2654,2654,1243,,,,,,16953.0
1985-01-10,2649,2649,2649,2649,414,,,,,,16539.0
1985-01-11,2581,2630,2581,2581,6508,,,,,,10031.0
1985-01-12,2557,2557,2557,2557,829,,,,,,9202.0
1985-01-14,2509,2545,2509,2533,5181,,,,,,4021.0
1985-01-15,2533,2533,2442,2442,2487,,,,,,1534.0
1985-01-16,2521,2521,2449,2449,1658,,,,,,3192.0
1985-01-17,2442,2442,2442,2442,41,2596.9166666666665,,,,,3151.0
1985-01-18,2442,2442,2442,2442,0,2573.083333333333,,,,,3151.0
1985-01-19,2437,2437,2410,2410,83,2547.99358974359,,,,,3068.0
1985-01-21,2401,2401,2401,2401,124,2525.379191321499,,18.593371269889495,,41.40502593870111,2944.0
1985-01-22,2294,2401,2294,2401,249,2506.2439311181915,,18.593371269889495,,48.387938559137055,2944.0
1985-01-23,2437,2437,2437,2437,829,2495.59101863847,,28.975206884502153,,47.113808831865875,3773.0
1985-01-24,2413,2413,2413,2413,41,2482.884708078705,,26.544757583887126,,44.808925512885864,3732.0
1985-01-25,2292,2413,2292,2413,1243,2472.133214528135,,26.544757583887126,,52.197587173209186,3732.0
1985-01-26,2294,2413,2294,2413,7792,2463.0357969084216,,26.544757583887122,,58.51440460379712,3732.0
1985-01-28,2449,2449,2449,2449,207,2460.8764435378953,,36.52037296508267,,56.433580662843134,3939.0
1985-01-29,2437,2437,2437,2437,0,2457.2031445320654,,34.82274197966598,,52.41138420329087,3939.0
1985-01-30,2434,2434,2434,2434,0,2453.6334299886707,,34.392320182364344,,48.02238825895409,3939.0
1985-01-31,2434,2434,2434,2434,0,2450.6129022981063,,34.392320182364344,,43.82971085221129,3939.0
1985-02-01,2413,2413,2413,2413,0,2444.8263019445512,,31.255923185425573,,41.86767705581037,3939.0
1985-02-02,2364,2364,2364,2364,4311,2432.391486260774,2500.923076923077,25.428770640172672,-68.53159066230319,42.471874967791585,-372.0
1985-02-04,2413,2413,2364,2364,829,2421.869719143732,2490.7806267806272,25.42877064017267,-68.91090763689544,43.01763970243268,-372.0
1985-02-05,2362,2413,2362,2413,2819,2420.505146967773,2485.0190988709514,38.6860075993432,-64.51395190317862,43.676955333820224,2447.0
1985-02-06,2388,2388,2388,2388,0,2415.5043551265767,2477.8324989545845,35.243395638025085,-62.328143828007796,42.15134083763086,2447.0
1985-02-07,2381,2381,2381,2381,0,2410.1959927994108,2470.659721254245,34.322406298307456,-60.46372845483438,39.30917582090996,2447.0
1985-02-08,2340,2437,2340,2437,3357,2414.319686214886,2468.1664085687457,46.391738742740614,-53.846722353859604,43.93021259943243,5804.0
1985-02-09,2413,2413,2413,2413,0,2414.116657566442,2464.080007934024,42.76464495115516,-49.963350367581825,42.34752616230688,5804.0
1985-02-11,2388,2388,2388,2388,0,2410.098710248528,2458.4444517907627,39.31634728011125,-48.34574154223492,40.980844525942395,5804.0
1985-02-13,2352,2352,2352,2352,0,2401.16044713337,2450.5596775840395,34.94645992660035,-49.39923045066962,40.591305741061504,5804.0
1985-02-14,2232,2340,2232,2340,3399,2391.75114757439,2442.3700718370737,33.605633399690554,-50.61892426268378,46.759836150888525,2405.0
1985-02-15,2304,2461,2304,2461,2611,2402.40481717833,2443.7500665158086,53.13241879635365,-41.345249337478435,55.270171087475454,5016.0
1985-02-16,2446,2446,2446,2446,1243,2409.1117683816638,2443.9167282553785,51.12506480968184,-34.80495987371478,52.17922244673964,3773.0
1985-02-18,2401,2401,2401,2401,0,2407.863804015254,2440.7377113475727,45.56360966873224,-32.873907332318595,51.63109884921195,3773.0
1985-02-19,2362,2362,2362,2362,414,2400.8078341667533,2434.9052882847895,41.3639565793942,-34.09745411803624,50.67145359390231,3359.0
1985-02-21,2270,2270,2270,2270,829,2380.683551987253,2422.6900817451756,33.51601774129763,-42.006529757922635,53.79717155362173,2530.0
1985-02-22,2364,2364,2364,2364,83,2378.116851681522,2418.3426682825702,44.99843430404571,-40.22581660104834,56.825026129769185,2613.0
1985-02-23,2316,2340,2316,2340,207,2372.252720653595,2412.5395076690465,42.95842254717054,-40.28678701545141,56.16294676591073,2406.0
1985-02-25,2340,2340,2340,2340,0,2367.290763629965,2407.166210804673,42.95842254717054,-39.875447174707915,51.96452829103847,2406.0
1985-02-26,2328,2328,2328,2328,663,2361.2460307638166,2401.302047041364,41.85801572251857,-40.056016277547315,48.98691286549778,1743.0
1985-02-27,2292,2292,2292,2292,0,2350.592795261691,2393.205599112374,38.658692970780486,-42.61280385068267,48.02227304641893,1743.0
1985-02-28,2195,2244,2195,2244,953,2334.1939036829694,2382.1533325114574,34.83551057368419,-47.959428828487944,51.64989667983315,790.0
1985-03-02,2244,2244,2171,2171,4767,2309.087149270205,2366.512344918016,29.97960662818914,-57.42519564781105,53.22706962085803,-3977.0
1985-03-04,2053,2220,2053,2220,166,2295.3814339978658,2355.6595786277926,36.389282986045146,-60.27814462992683,61.61120815361338,-3811.0
1985-03-05,2220,2220,2220,2220,41,2283.7842903058863,2345.61072095166,36.389282986045146,-61.8264306457736,57.08121646915713,-3811.0
