Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2014-08-25,253232,253232,253232,253232,34,,,,,,34.0
2014-08-26,308560,319200,297920,310688,2008,,,,,,2042.0
2014-08-27,325230,326314,316557,320352,2795,,,,,,4837.0
2014-08-28,317638,317638,309535,314396,1534,,,,,,3303.0
2014-08-29,313320,313320,297169,303091,1957,,,,,,1346.0
2014-09-01,304136,304136,289143,296639,2404,,,,,,-1058.0
2014-09-02,290276,296632,290276,293454,1594,,,,,,-2652.0
2014-09-03,290269,295528,289218,293950,4719,,,,,,2067.0
2014-09-04,298169,301856,297115,300276,4594,,,,,,6661.0
2014-09-05,301873,306095,301873,305567,5002,,,,,,11663.0
2014-09-11,311904,317190,311904,315604,4916,,,,,,16579.0
2014-09-12,315067,315595,311900,313484,1281,301727.75,,,,,15298.0
2014-09-15,315075,315075,312961,314018,1759,303618.5576923077,,,,,17057.0
2014-09-16,312956,314539,311900,313484,3078,305136.3180473373,,,,,13979.0
2014-09-17,314003,318744,313476,316637,5294,306905.6537323623,,74.62981419168176,,9933.713207903907,19273.0
2014-09-18,318217,358391,317689,342533,4958,312386.7839273835,,82.65598734834508,,13321.14167184039,24231.0
2014-09-19,368358,390600,362390,375953,5535,322166.20178470906,,87.9529256149535,,16894.83803658448,29766.0
2014-09-22,374211,374211,348697,355075,3911,327229.0938178307,,72.96169240980842,,17928.04158812561,25855.0
2014-09-23,347682,351884,343481,347682,2924,330375.69476893364,,68.50872562863537,,17313.795227221584,22931.0
2014-09-24,351902,366126,351376,359804,7208,334903.12634294387,,71.57233890053665,,17420.66707371209,30139.0
2014-09-25,369875,375235,368266,372555,4524,340695.7222901833,,74.39420627565549,,17236.778272104177,34663.0
2014-09-26,370933,370933,360274,362939,3184,344117.7650147705,,68.84414980045095,,16788.173556413276,31479.0
2014-09-29,351787,355507,340096,348067,3541,344725.33962788276,,61.235288593548844,,17325.99715988147,27938.0
2014-09-30,343286,343286,317605,324418,9757,341601.13353128545,,51.48983214094821,,18472.858536822776,18181.0
2014-10-01,320738,324419,315480,321790,4591,338553.2668341646,,50.527498915151405,,17653.498502854585,13590.0
2014-10-02,322310,327576,322310,326523,9296,336702.45655198547,323161.96153846156,52.258109839499866,13540.495013523905,16648.171364421196,22886.0
2014-10-06,332769,332769,321798,324933,3309,334891.7709286031,323293.1495726496,51.60502014727578,11598.621355953452,16173.548113805055,19577.0
2014-10-07,323907,323907,320782,321824,3073,332881.3446318949,323184.3236783793,50.281781818073945,9697.020953515603,15180.526801179494,16504.0
2014-10-08,321824,323386,318699,320782,4994,331019.9069962188,323006.3737762771,49.82068987080628,8013.533219941659,14323.370143796381,11510.0
2014-10-10,318176,323392,302528,320262,4906,329364.8443814159,322803.08682988625,49.57636265480959,6561.757551529678,14852.213394769084,6604.0
2014-10-13,315565,315565,307342,309398,2792,326293.0221688904,321810.1174350799,44.6497109760476,4482.904733810516,14697.443042841645,3812.0
2014-10-14,308375,308375,302228,306838,2628,323299.94183521497,320701.07169914804,43.551427414063916,2598.870136066922,14099.678119326489,1184.0
2014-10-15,306329,307351,301726,306840,4031,320767.6430913358,319674.3256473593,43.552595606855235,1093.3174439764698,13432.021713945218,5215.0
2014-10-16,305817,307863,301726,304794,2552,318310.1595388226,318572.0793031104,42.581760467422974,-261.919764287828,12861.497201620208,2663.0
2014-10-17,311954,311954,304794,307351,8265,316624.1349943884,317740.88824362075,44.25421104478655,-1116.7532492323662,12418.600372778585,10928.0
2014-10-20,316014,316014,305310,307859,7400,315275.65268755937,317008.8965218711,44.59946214307497,-1733.2438343117246,12286.236423513099,18328.0
2014-10-21,313906,313906,304286,312893,5650,314909.09073562716,316704.0152980288,48.03406057679019,-1794.9245624016621,12081.588674904422,23978.0
2014-10-22,314929,338295,314929,331691,8224,317490.92293014604,317814.16231298965,58.4043909382567,-323.2393828436034,13098.583458145282,32202.0
2014-10-23,343978,347572,338844,342951,6086,321407.85786396975,319676.1502898052,63.148362026741914,1731.707574164553,13309.977008663851,38288.0
2014-10-24,351220,365682,346055,358968,11467,327186.3412695129,322586.65767574555,68.62920692635015,4599.683593767346,14022.498094539842,49755.0
