Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2014-12-18,106000,116000,99200,113000,12845103,,,,,,12845103.0
2014-12-19,118000,129500,117500,129500,4551888,,,,,,17396991.0
2014-12-22,135000,145500,130500,134500,4401710,,,,,,21798701.0
2014-12-23,132000,137500,127000,135000,2873094,,,,,,24671795.0
2014-12-24,135500,139000,132000,133000,1403337,,,,,,23268458.0
2014-12-26,134500,138000,130000,135500,1648394,,,,,,24916852.0
2014-12-29,140000,155000,138500,149000,4142037,,,,,,29058889.0
2014-12-30,153500,158000,148500,158000,2518666,,,,,,31577555.0
2015-01-02,160500,174000,158500,171000,3083018,,,,,,34660573.0
2015-01-05,177000,179500,145500,145500,6436987,,,,,,28223586.0
2015-01-06,143000,147500,133500,138500,4596735,,,,,,23626851.0
2015-01-07,139000,140500,135000,135500,1719259,139833.33333333334,,,,,21907592.0
2015-01-08,138000,140500,133000,135000,1699199,139089.7435897436,,,,,20208393.0
2015-01-09,137500,153500,134000,150000,2971066,140768.24457593687,,,,,23179459.0
2015-01-12,149000,151500,142500,147500,1625748,141803.89925656197,,60.69961826382042,,13663.56716088662,21553711.0
2015-01-13,147000,149500,137000,138000,2009453,141218.68398632167,,53.32975101665942,,13539.6996248634,19544258.0
2015-01-14,138000,141000,135500,137000,889108,140569.65568073373,,52.60570259917711,,12712.79688866812,18655150.0
2015-01-15,138000,144000,136500,140500,1167317,140558.9394221593,,54.91299263433168,,12192.982578472835,19822467.0
2015-01-16,139500,142000,135500,136000,743075,139857.5641264425,,51.445222487356055,,11640.90318605575,19079392.0
2015-01-19,137000,138000,129500,131000,1115099,138494.86195314367,,47.83090759815028,,11343.900261252573,17964293.0
2015-01-20,132500,134500,131000,131500,620532,137418.72934496772,,48.22265434900569,,10618.952133984892,18584825.0
2015-01-21,132500,133000,122000,124000,1413084,135354.30944574194,,43.005945868348796,,10653.445176290788,17171741.0
2015-01-22,123000,130000,122500,124000,876352,133607.49260793548,,43.005945868348796,,10373.338510335316,17171741.0
2015-01-23,128500,132500,126500,131000,1028487,133206.3398990223,,48.980282000921086,,10209.78346169611,18200228.0
2015-01-26,130500,134000,129000,129500,492693,132636.13376071118,,47.82342759479282,,9762.04361558289,17707535.0
2015-01-27,131000,135000,130500,135000,743513,132999.80548983254,137230.76923076922,52.274494053237405,-4230.963740936684,9400.994645498622,18451048.0
2015-01-28,137000,143000,137000,140000,1457183,134076.75849139676,137435.89743589744,55.95319858535767,-3359.138944500679,9283.86859978692,19908231.0
2015-01-29,140500,142000,136500,137500,538392,134603.41103118187,137440.6457739791,53.72341524022379,-2837.234742797242,8971.33400826813,19369839.0
2015-01-30,144000,146000,135500,136000,919086,134818.2708725385,137333.93127220287,52.37477578935865,-2515.660399664368,9096.202058500854,18450753.0
2015-02-02,135500,137000,134000,135000,339084,134846.22919984028,137161.0474742619,51.44753979442995,-2314.8182744216174,8603.293059508005,18111669.0
2015-02-03,136500,139000,132500,138500,437428,135408.34778448023,137260.2291428351,54.484769112789714,-1851.8813583548763,8434.819221210504,18549097.0
2015-02-04,139500,140500,137500,137500,321206,135730.14043302173,137277.98994706955,53.455857004465024,-1547.849514047819,8003.232522035802,18227891.0
2015-02-05,137500,138500,134000,136000,270183,135771.65728947995,137183.32402506442,51.873428636700964,-1411.6667355844693,7727.2390742677735,17957708.0
2015-02-06,138500,141500,136500,138500,500370,136191.40232186764,137280.85557876335,54.30151430410992,-1089.4532568957075,7553.052548647327,18458078.0
2015-02-09,139000,141000,138500,138500,346906,136546.57119542646,137371.16257292902,54.30151430410992,-824.5913775025692,7160.527415226229,18458078.0
2015-02-10,138500,139000,136500,136500,205298,136539.40639613007,137306.63201197132,51.8733251008468,-767.2256158412492,6800.743395501729,18252780.0
2015-02-11,137000,140000,136500,140000,299268,137071.80541211006,137506.1407518253,55.61391546540545,-434.33533971523866,6547.3938805572325,18552048.0
2015-02-12,141000,142500,139000,139000,262841,137368.4507333239,137616.79699243084,54.31497128923497,-248.34625910694012,6314.729617917836,18289207.0
2015-02-13,140500,150000,139500,147500,1408559,138927.15062050484,138348.88610410262,62.36202459028687,578.2645164022106,6670.69211537612,19697766.0
2015-02-16,150000,153500,148000,151500,878719,140861.43514042717,139323.04268898393,65.44649645996623,1538.3924514432438,6619.967021638875,20576485.0
2015-02-17,150500,151000,147000,147000,437959,141805.8297342076,139891.70619350363,59.53541244435474,1914.123540703964,6460.302836410902,20138526.0
2015-02-23,149000,150000,146500,149000,285637,142912.62515971414,140566.39462361447,61.212200001256434,2346.230536099669,6238.212228412831,20424163.0
2015-02-24,149500,156000,149000,155000,801969,144772.2212889889,141635.5505774208,65.7919073086465,3136.670711568091,6295.159095312354,21226132.0
2015-02-25,156500,160000,156000,156000,700578,146499.57185991367,142699.58386798223,66.50180764230224,3799.987991931441,6198.661379321642,21926710.0
2015-02-26,157000,159000,154000,158000,372015,148268.86849685002,143832.94802590949,67.93503146125579,4435.920470940531,6109.627402728367,22298725.0
2015-02-27,157500,162000,156000,162000,456798,150381.3502665654,145178.65557954583,70.64057695449931,5202.694687019568,6101.507651532396,22755523.0
2015-03-02,162500,163500,155000,159000,561515,151707.2963794015,146202.45886994986,66.13353396835865,5504.837509451638,6278.6888658118205,22194008.0
2015-03-03,159000,160000,152000,155000,593735,152213.8661671859,146854.12858328692,60.5832705289248,5359.737583898968,6405.535480018865,21600273.0
2015-03-04,154000,157000,153500,155500,326457,152719.42521838806,147494.56350304344,61.02361056006536,5224.861715344625,6191.904682022476,21926730.0
2015-03-05,155500,156500,153000,155000,252821,153070.2828770976,148050.52176207726,60.298178972863106,5019.761115020345,5994.395336894762,21673909.0
