Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1999-12-15,32094,32191,30451,31418,1339578,,,,,,1339578.0
1999-12-16,31224,33158,30596,31708,1439723,,,,,,2779301.0
1999-12-17,31079,31321,27551,29291,725054,,,,,,2054247.0
1999-12-20,28518,29291,28518,29291,654215,,,,,,2054247.0
1999-12-21,28759,29001,28711,28711,496069,,,,,,1558178.0
1999-12-22,28711,28808,28711,28711,887980,,,,,,1558178.0
1999-12-23,28711,28759,25328,28228,1619934,,,,,,-61756.0
1999-12-24,28663,28663,28228,28228,809238,,,,,,-61756.0
1999-12-27,28276,28421,28228,28228,887597,,,,,,-61756.0
1999-12-28,28228,28711,28228,28711,700703,,,,,,638947.0
2000-01-04,28228,28324,28228,28228,623110,,,,,,15837.0
2000-01-05,28228,28276,27164,27986,1348216,29061.583333333332,,,,,-1332379.0
2000-01-06,27551,27938,27068,27744,818196,28858.878205128203,,,,,-2150575.0
2000-01-07,27164,27744,27164,27744,986397,28687.358481262323,,,,,-2150575.0
2000-01-10,27744,31804,27551,31804,2254526,29166.841791837353,,66.21466862322669,,1415.9656709247138,103951.0
2000-01-11,27261,28228,27261,27841,1039764,28962.86613155468,,40.68704142921819,,1748.854094062599,-935813.0
2000-01-12,27309,31804,26923,31804,3020906,29399.96364977704,,58.08817368733055,,2071.0029479542004,2085093.0
2000-01-13,27406,28421,27164,27164,655974,29055.969242119034,,42.40263712753212,,2327.1804777954035,1429119.0
2000-01-14,26729,26971,23104,23104,724237,28140.281666408413,,33.80174478304056,,2495.2213835597427,704882.0
2000-01-17,23346,24119,22089,23829,641978,27477.007563884043,,36.287024021724946,,2451.2301799430097,1346860.0
2000-01-18,23877,23877,23007,23201,205193,26819.160246363423,,35.05919769046333,,2305.0898900936627,1141667.0
2000-01-19,22717,22911,21364,21557,224941,26009.59713153828,,32.00607111651782,,2262.7176691157265,916726.0
2000-01-20,20397,22427,19527,21267,255219,25279.966803609314,,31.48520013575185,,2319.324655759551,661507.0
2000-01-21,20301,22137,20301,21944,155653,24766.741141515573,,34.17823916026283,,2277.127163344189,817160.0
2000-01-24,22137,23781,22137,23491,251774,24570.4732735901,,39.98342088182226,,2239.301700955044,1068934.0
2000-01-25,23539,24458,23491,23877,245992,24463.785077653163,27119.615384615383,41.37281994773583,-2655.8303069622198,2131.521663912073,1314926.0
2000-01-26,24168,24361,24022,24071,151867,24403.35660416806,26893.792022792022,42.09833417320629,-2490.4354186239616,1993.7854503309666,1466793.0
2000-01-27,24216,24361,23201,23974,318837,24337.301741988358,26677.511132214833,41.819669311955764,-2340.209390226475,1924.9176267632633,1147956.0
2000-01-28,24168,24168,23974,24119,190773,24303.716858605534,26487.991789087806,42.4331078177497,-2184.274930482272,1783.5287881703948,1338729.0
2000-01-31,23491,23732,22717,23539,48888,24186.068111127763,26269.54795285908,40.589562195154336,-2083.4798417313177,1752.6802416065905,1289841.0
2000-02-01,23684,24071,23636,24071,86645,24168.365324800416,26106.692548943593,43.034292016553884,-1938.3272241431769,1654.9037169764526,1376486.0
2000-02-02,24071,25569,24071,25424,198097,24361.53989021574,26056.122730503328,48.80425267547154,-1694.5828402875886,1642.443770372557,1574583.0
2000-02-03,25521,26004,25424,25859,131427,24591.918368644085,26041.52104676234,50.53885399010001,-1449.6026781182554,1558.7417844494573,1706010.0
2000-02-07,26101,27454,26101,26294,174253,24853.77708116038,26060.223191446614,52.28006077006837,-1206.4461102862333,1561.5774443769947,1880263.0
2000-02-08,26246,26584,25618,25618,111431,24971.349837904938,26027.46591800612,49.37133253764491,-1056.116080101183,1515.3125156896297,1768832.0
2000-02-09,26101,26536,26101,26343,152178,25182.372939765715,26050.83881296863,52.42830603016234,-868.4658732029129,1469.2011040874866,1921010.0
2000-02-10,26439,26778,26439,26439,255353,25375.70017980176,26079.59149348947,52.834411040487076,-703.8913136877127,1389.820698924001,2176363.0
2000-02-11,26488,26488,26439,26439,203300,25539.284767524565,26106.214345823584,52.834411040487076,-566.9295782990193,1287.4509129776734,2176363.0
2000-02-14,25618,26198,25038,25473,59274,25529.087110982324,26059.30957946628,48.047696157336794,-530.2224684839566,1296.0777825720406,2117089.0
2000-02-15,25618,26343,25618,26053,244512,25609.68909390812,26058.84220320952,50.92269044562575,-449.1531093013982,1263.8531075462972,2361601.0
2000-02-16,24651,25811,24651,25134,54981,25536.506156383795,25990.335373342146,46.52901257918923,-453.829216958351,1274.2575670497972,2306620.0
2000-02-17,25376,26053,25231,26004,138626,25608.428286170907,25991.347567909394,50.85224862638446,-382.91928173848646,1247.605101602153,2445246.0
2000-02-18,26149,26681,26149,26488,233485,25743.74701137538,26028.136636953142,53.12295891480358,-284.38962557776176,1204.9499501477972,2678731.0
2000-02-21,26488,26584,24748,25908,130661,25769.01670193301,26019.237626808463,50.13375446501256,-250.2209248754516,1251.9672538188,2548070.0
2000-02-22,25183,25714,24748,25618,69939,25745.783363174087,25989.51632111895,48.6594234239689,-243.7329579448633,1245.1361249736503,2478131.0
2000-02-23,28034,28034,25908,27454,219644,26008.585922685765,26097.99659362866,57.23416595133042,-89.4106709428961,1331.8582684610783,2697775.0
2000-02-24,27068,27358,26294,27358,70963,26216.188088426417,26191.330179285796,56.70091254932541,24.857909140620905,1319.162769678542,2626812.0
2000-02-25,27551,28711,27551,28179,351122,26518.15915174543,26338.56498082018,60.122755149735646,179.59417092524745,1321.6562980216588,2977934.0
2000-02-28,28179,28324,26826,27116,261032,26610.13466686152,26396.152760018686,54.15520248953085,213.98190684283327,1334.6220477205839,2716902.0
