Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2001-04-25,14291,14291,12172,12813,3140158,,,,,,3140158.0
2001-04-26,12419,12764,12123,12221,1215341,,,,,,1924817.0
2001-04-27,11975,12616,11827,12517,866822,,,,,,2791639.0
2001-04-30,12271,12665,12271,12616,814966,,,,,,3606605.0
2001-05-02,12714,13059,12468,12813,864022,,,,,,4470627.0
2001-05-03,12911,14735,12764,14735,3577029,,,,,,8047656.0
2001-05-04,14735,14883,14045,14685,1333969,,,,,,6713687.0
2001-05-07,14981,14981,14340,14636,992066,,,,,,5721621.0
2001-05-08,14291,15326,14242,14538,577902,,,,,,5143719.0
2001-05-09,14193,14587,14193,14390,389773,,,,,,4753946.0
2001-05-10,14390,14833,14143,14439,495241,,,,,,5249187.0
2001-05-11,14538,14932,14488,14685,596378,13757.333333333334,,,,,5845565.0
2001-05-14,14784,14883,14488,14636,246317,13892.51282051282,,,,,5599248.0
2001-05-15,14883,14883,14390,14636,261222,14006.89546351085,,,,,5599248.0
2001-05-16,14538,14636,13946,14291,622595,14050.603853739949,,63.920019697528886,,692.8580749471971,4976653.0
2001-05-17,14636,15474,14390,15425,1720262,14262.049414703035,,76.38308398349335,,745.0361310137721,6696915.0
2001-05-18,16065,17692,15917,17297,2428470,14728.964889364108,,85.36832925121566,,901.5738309749756,9125385.0
2001-05-21,18234,18234,17248,17987,1301877,15230.201060231168,,87.28808378787673,,909.9927146858632,10427262.0
2001-05-22,17987,18135,17396,17544,760978,15586.170127887912,,80.02813131364391,,893.4106238871868,9666284.0
2001-05-23,17938,18677,17642,18135,728612,15978.29780052054,,82.15991956411939,,916.0661281297843,10394896.0
2001-05-24,17741,18431,17544,18332,316386,16340.40583120969,,82.81826788830402,,913.3797814842643,10711282.0
2001-05-25,18628,19121,18332,18776,482468,16715.112626408198,,84.23071548056787,,902.1207312510193,11193750.0
2001-05-28,18726,18874,18381,18726,323387,17024.47991465309,,83.3992594055189,,865.7803360332462,10870363.0
2001-05-29,18332,18628,18086,18628,407660,17271.17531239877,,81.69703861652751,,846.0681945073218,10462703.0
2001-05-30,18332,19219,18234,19071,471540,17548.071418183572,,83.35127306419183,,858.008288691442,10934243.0
2001-05-31,18234,18677,18184,18431,419937,17683.90658461687,15653.961538461539,73.07562614069644,2029.9450461553315,860.4642531190851,10514306.0
2001-06-01,18529,18628,17445,17445,386912,17647.151725445045,15786.631054131056,60.666824948780324,1860.5206713139887,887.4289076623484,10127394.0
2001-06-04,16952,17642,16755,17149,389174,17570.512998453498,15887.54727234357,57.50965801355201,1682.9657261099273,887.3934813578887,9738220.0
2001-06-05,17347,17593,17149,17149,610927,17505.66484484527,15980.988215132935,57.50965801355201,1524.676629712334,851.1751839649216,9738220.0
2001-06-07,17149,17445,16607,16657,440960,17375.10102256138,16031.063162160126,52.26628592536573,1344.037860401253,850.1099032085791,9297260.0
2001-06-08,16755,17987,16657,17987,464468,17469.239326782706,16175.947372370487,62.27849893892764,1293.2919544122196,888.5491146165801,9761728.0
2001-06-11,17544,18184,17347,18135,204708,17571.664045739213,16321.062381824526,63.20342498236261,1250.6016639146874,884.4555263448818,9966436.0
2001-06-12,18036,18036,17741,17889,93385,17620.484961779333,16437.20590909678,60.54599671775646,1183.279052682552,845.8162094164853,9873051.0
2001-06-13,17889,18234,17544,17544,176136,17608.718044582514,16519.190656571092,56.93076117223685,1089.5273880114219,833.630232407022,9696915.0
2001-06-14,17445,17938,17347,17938,290869,17659.376806954435,16624.287644973232,59.87724284882608,1035.0891619812028,814.7825233379657,9987784.0
2001-06-15,17642,17692,17100,17692,218131,17664.395759730676,16703.37744904929,57.244004773564015,961.0183106813856,816.5748692115327,9769653.0
2001-06-18,17248,17692,17199,17544,132559,17645.873335156724,16765.64578615675,55.6581323309458,880.2275489999738,791.7387864446355,9637094.0
2001-06-19,17297,17347,16706,17051,399543,17554.35436051723,16786.783135330326,50.626740949578874,767.5712251869045,795.2707654281643,9237551.0
2001-06-20,16558,16854,16410,16657,215179,17416.29984351458,16777.169569750302,46.972188076484805,639.1302737642764,783.5500743114638,9022372.0
2001-06-21,16361,16607,15770,16361,605621,17253.94602143541,16746.342194213245,44.38025240314374,507.60382722216673,791.374092303265,8416751.0
2001-06-22,16164,17199,16164,16755,386769,17177.185095060733,16746.983513160412,48.457247848109226,430.2015819003209,809.7226475665227,8803520.0
