Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2001-09-10,10798,11326,9886,10894,1307470,,,,,,1307470.0
2001-09-11,11038,11278,10894,11182,1291113,,,,,,2598583.0
2001-09-12,9550,10510,9550,9694,1529642,,,,,,1068941.0
2001-09-13,10174,10750,10030,10366,1997083,,,,,,3066024.0
2001-09-14,10078,10318,9550,9742,1379131,,,,,,1686893.0
2001-09-17,9742,9790,9502,9550,646374,,,,,,1040519.0
2001-09-18,9694,9982,9588,9838,627579,,,,,,1668098.0
2001-09-19,9886,9982,9742,9790,796322,,,,,,871776.0
2001-09-20,9790,9886,9598,9790,962846,,,,,,871776.0
2001-09-21,9560,9560,9118,9166,1657720,,,,,,-785944.0
2001-09-24,9118,9262,8936,9233,921098,,,,,,135154.0
2001-09-25,9406,9454,8993,9022,1332465,9855.583333333334,,,,,-1197311.0
2001-09-26,9118,9454,9061,9310,842290,9771.647435897437,,,,,-355021.0
2001-09-27,9358,9550,9224,9550,1440800,9737.547830374755,,,,,1085779.0
2001-09-28,9464,9540,9387,9483,1710596,9698.386625701714,,38.97493259216243,,475.82481134148117,-624817.0
2001-10-04,9560,9886,9560,9694,2612148,9697.711760209142,,43.57047590064045,,468.07224643121737,1987331.0
2001-10-05,9694,9886,9646,9790,1241998,9711.909950946196,,45.57851624805619,,444.614459023223,3229329.0
2001-10-08,9934,10030,9790,9886,1100052,9738.69303541601,,47.587095435037085,,424.210532658021,4329381.0
2001-10-09,10078,10606,10030,10414,1831986,9842.586414582778,,56.98952682855704,,452.8948413068872,6161367.0
2001-10-10,10558,10942,10366,10750,2200240,9982.188504646967,,61.698321857292385,,464.5356306035888,8361607.0
2001-10-11,10750,10894,10654,10798,1360356,10107.69796547051,,62.332755292635156,,443.78362210151414,9721963.0
2001-10-12,10894,10894,10462,10846,1225161,10221.282893859663,,62.99289828488436,,442.7169503998332,10947124.0
2001-10-15,10702,10942,10702,10942,628944,10332.162448650484,,64.33901338903813,,424.7104952579849,11576068.0
2001-10-16,10942,10990,10846,10942,608929,10425.983610396563,,64.33901338903813,,400.20258147082984,11576068.0
2001-10-17,10942,10990,10702,10750,820796,10475.83228572017,,59.332991636243904,,390.5596535198667,10755272.0
2001-10-18,10654,10654,10462,10606,1260586,10495.858087917068,10078.0,55.82473806261321,417.8580879170677,381.8715544257698,9494686.0
2001-10-19,10462,10558,10222,10270,2005001,10461.11068977598,10092.222222222223,48.60332511591357,368.88846755375744,382.04949687146234,7489685.0
2001-10-22,10366,10366,10174,10366,489810,10446.478275964291,10112.50205761317,50.57074122593466,333.97621835112113,366.35205910197465,7979495.0
2001-10-23,10366,10558,10318,10366,457574,10434.097002739016,10131.279682975159,50.570741225934654,302.8173197638571,356.0310763966035,7979495.0
2001-10-24,10462,10750,10318,10750,918035,10482.697463856091,10177.11081756959,58.02466182001265,305.5866462865015,362.173550961681,8897530.0
2001-10-25,10798,11278,10654,11230,1247416,10597.66708480131,10255.102608860732,65.10777287570322,342.5644759405768,383.14585752537437,10144946.0
2001-10-26,11230,11230,10894,10942,1147885,10650.641379447261,10305.98389709327,58.70669098762127,344.6574823539904,379.4019381416851,8997061.0
2001-10-29,11134,11182,10798,10942,776214,10695.46578260922,10353.096201012288,58.70669098762127,342.36958159693313,379.76418499151436,8997061.0
2001-10-30,10606,10798,10606,10654,737883,10689.086431438573,10375.385371307673,52.69794816984681,313.70106013089935,376.3415028832685,8259178.0
2001-10-31,10606,10798,10414,10702,874703,10691.073134294178,10399.579047507104,53.55125154531157,291.4940867870737,376.93642101910996,9133881.0
2001-11-01,10798,10846,10558,10702,684268,10692.754190556612,10421.980599543615,53.55125154531158,270.7735910129977,370.07069527536106,9133881.0
2001-11-02,10654,11182,10654,10894,1414670,10723.715084317133,10456.944999577421,57.13818560861872,266.7700847397118,382.1926047827879,10548551.0
2001-11-05,11038,11470,11038,11374,1756366,10823.758917499114,10524.874999608723,64.51570345633856,298.8839178903909,396.98952847222887,12304917.0
2001-11-06,11470,11902,11374,11614,2754991,10945.334468653096,10605.550925563632,67.52549834586696,339.78354308946473,406.9430233263482,15059908.0
2001-11-07,11614,11758,11422,11422,1328662,11018.66762732185,10666.028634781142,62.92703587986802,352.6389925407093,401.5775338182235,13731246.0
2001-11-08,11614,12381,11614,12141,2709700,11191.334146195413,10775.285772945503,70.91485794861538,416.0483732499106,443.55950947267377,16440946.0
2001-11-09,12381,12381,11518,12189,2374099,11344.821200626888,10880.005345319909,71.35853134210473,464.81585530697885,475.02716623213007,18815045.0
2001-11-12,12141,12477,11806,12477,1567827,11519.002554376597,10998.301245666582,73.9283185942446,520.7013087100149,489.67696673660606,20382872.0
2001-11-13,12381,12573,12189,12477,1146124,11666.386776780197,11107.834486728318,73.9283185942446,558.552290051879,481.8033503138688,20382872.0
2001-11-14,12477,12717,12237,12285,1637414,11761.558041890936,11195.031932155849,69.1325050647216,566.5261097350867,481.6694013501295,18745458.0
2001-11-15,12333,12669,12285,12477,1581871,11871.626035446176,11289.992529773936,71.14813168060064,581.6335056722401,474.4353410815722,20327329.0
2001-11-16,12477,12765,12381,12477,2534236,11964.760491531379,11377.919009049941,71.14813168060064,586.8414824814372,467.75470957701714,20327329.0
2001-11-19,12477,12717,12333,12477,1989227,12043.56656975732,11459.332415786983,71.14813168060063,584.2341539703375,461.58266948343487,20327329.0
2001-11-20,12573,12909,12045,12189,2480558,12065.94094364081,11513.381866469428,63.3929023667903,552.5590771713814,491.1705840131423,17846771.0
2001-11-21,12285,13533,12237,13341,5968671,12262.103875388379,11648.760987471693,75.08947641138717,613.3428879166859,553.7440401173387,23815442.0
2001-11-22,13533,14253,13485,14061,4576651,12538.857125328628,11827.445358770085,79.49851080197146,711.4117665585436,579.9788770248215,28392093.0
2001-11-23,14301,14493,14109,14397,4294061,12824.725259893454,12017.782739601931,81.17318011560788,806.9425202915227,569.1619643356418,32686154.0
2001-11-26,14877,16125,14733,15981,4547843,13310.305989140616,12311.354388520307,86.6920970904457,998.9516006203085,653.7291850164611,37233997.0
2001-11-27,15981,15981,15165,15645,2883351,13669.489683118984,12558.291100481765,81.2511418944732,1111.1985826372184,665.5527452255687,34350646.0
2001-11-28,15453,15453,14493,15021,3046624,13877.414347254526,12740.71398192756,72.18963393603013,1136.7003653269658,700.946043035816,31304022.0
2001-11-29,14781,14973,14157,14637,2721984,13994.273678446138,12881.179612895889,67.22131651374809,1113.094065550249,712.7938865023103,28582038.0
2001-11-30,14925,15453,14781,15213,2666222,14181.770035608271,13053.907048977675,70.50090348537351,1127.8629866305964,720.2838207111357,31248260.0
2001-12-03,15261,15405,14589,15069,1703553,14318.266953207,13203.173193497847,68.65162150753369,1115.0937597091524,727.2222534047048,29544707.0
2001-12-04,14781,15261,14685,15261,1258950,14463.302806559768,13355.604808794302,69.78948459549491,1107.6979977654664,716.2718239252193,30803657.0
2001-12-05,15453,16077,15069,15453,3027693,14615.56391324288,13510.967415550278,70.9259724744384,1104.5964976926025,737.3759115583044,33831350.0
2001-12-06,16029,16029,15117,15117,2711627,14692.70792659013,13629.932792176183,66.23041781443143,1062.775134413947,749.9969766821105,31119723.0
2001-12-07,15261,15837,15117,15741,1747343,14853.983630191648,13786.308140903873,70.17894073023507,1067.6754892877743,747.8307613460718,32867066.0
2001-12-10,16029,16125,15165,15357,1514545,14931.370764008318,13902.655686022104,65.131929860598,1028.7150779862131,763.1404157645715,31352521.0
2001-12-11,14973,15309,14685,14925,1017941,14930.390646468575,13978.38489446491,59.911847565773364,952.0057520036644,756.5687205524034,30334580.0
2001-12-12,14493,15309,14397,15213,1650906,14973.869008550333,14069.837865245288,62.093048557472585,904.0311433050447,767.7685416599847,31985486.0
2001-12-13,15405,15549,15069,15213,2657554,15010.658391850282,14154.516541893785,62.09304855747259,856.141849956497,747.0459821540229,31985486.0
2001-12-14,14973,15405,14781,15261,1526203,15049.172485411777,14236.478279531282,62.48757211015328,812.6942058804943,738.1904522139566,33511689.0
2001-12-17,14685,15261,14589,14829,825995,15015.299795348426,14280.368777343781,56.761759647022124,734.931018004645,733.4293477958272,32685694.0
2001-12-18,15165,15357,14445,14877,1012148,14994.02290375636,14324.563682725724,57.230700190960654,669.4592210306364,746.267560435743,33697842.0
2001-12-19,14973,15069,14541,14589,1139831,14931.711687793844,14344.151558079373,53.482704638887206,587.5601297144713,730.5826711868501,32558011.0
2001-12-20,14589,15357,14445,15261,1401813,14982.371428133252,14412.0662574809,60.055998467848575,570.3051706523529,743.6138390987785,33959824.0
2001-12-21,15021,15021,14637,14973,1210919,14980.929669958907,14453.616905074907,56.37899675910234,527.312764884,735.0254484171295,32748905.0
2001-12-24,14877,15213,14781,14877,991061,14964.940489965229,14484.9786158101,55.16651171011306,479.9618741551294,713.2760243680002,31757844.0
2001-12-26,14925,15693,14925,15693,1567702,15076.949645355195,14574.46168130565,62.540814809354906,502.48796404954555,720.6464128145296,33325546.0
2001-12-27,15309,16461,15069,16317,2585164,15267.726622992857,14703.538593801526,67.00956075934366,564.1880291913312,768.8002100671811,35910710.0
2001-12-28,16797,17324,16653,16844,2804438,15510.230219455494,14862.09129055697,70.23872128645436,648.1389288985247,785.8803435490328,38715148.0
2002-01-02,16892,17468,16701,17468,1850948,15811.425570308495,15055.121565330526,73.54113450257351,756.3040049779684,784.5269013539896,40566096.0
2002-01-03,17468,18860,17372,18620,3359445,16243.513944107188,15319.186634565302,78.3233087031659,924.3273095418863,834.9426073153213,43925541.0
2002-01-04,18620,19436,18620,19388,3129137,16727.28102962916,15620.580217190094,80.81304654316125,1106.7008124390668,833.5853735949266,47054678.0
2002-01-07,19388,20060,18476,19628,2969592,17173.54548660929,15917.426127027864,81.52709950216428,1256.1193595814275,887.3405280924532,50024270.0
2002-01-08,19628,19628,17948,18332,1961817,17351.76925790017,16096.283450951725,67.02201330408397,1255.4858069484453,944.1101886492579,48062453.0
2002-01-09,17996,19484,17852,19196,2293390,17635.497064377065,16325.89208421456,70.75734022692419,1309.604980162505,993.3669356605977,50355843.0
2002-01-10,19196,19196,17900,17900,1977725,17676.18982370367,16442.492670569038,59.81328923905934,1233.6971531346317,1015.0333158460802,48378118.0
2002-01-11,17948,18236,16509,16892,3415113,17555.54523544157,16475.789509786147,52.95307040626462,1079.755725655421,1065.9967039457454,44963005.0
2002-01-14,16605,17516,16605,17468,1816703,17542.076737681327,16549.286583135323,56.05476284229237,992.7901545460045,1054.9035554031527,46779708.0
2002-01-15,16988,17084,16173,16365,2617815,17360.988008807275,16535.6357251253,49.34580046895693,825.3522836819757,1072.0848775461782,44161893.0
2002-01-16,16413,16605,15933,16029,1802565,17156.06677668308,16498.107152893794,47.4815007988518,657.9596237892874,1043.4585342076778,42359328.0
2002-01-17,15837,17228,15741,16988,3220073,17130.21034950107,16534.395511938696,52.94572627828731,595.814837562375,1075.190351208783,45579401.0
2002-01-18,16988,17756,16797,17228,2507599,17145.25491111629,16585.77362216546,54.22918604366919,559.4812889508321,1066.8788103250322,48087000.0
2002-01-21,17468,17948,17180,17948,2190990,17268.75415555994,16686.67927978283,57.93599138386434,582.0748757771071,1045.5011143764107,50277990.0
2002-01-22,17660,17948,17180,17276,1856694,17269.868900858408,16730.332666465583,53.57491127051049,539.5362343928246,1025.6544255787064,48421296.0
2002-01-23,17180,17900,16988,17468,2131413,17300.350608418652,16784.974691171836,54.62583431066197,515.3759172468162,1017.5266767651863,50552709.0
2002-01-24,17948,18188,17612,18140,2044239,17429.527437892706,16885.34693627022,58.19297442849441,544.1805016224862,996.2514966739757,52596948.0
2002-01-25,18620,19196,18428,19100,3711777,17686.523216678444,17049.395311361313,62.70386218302769,637.1279053171311,1000.5235866628167,56308725.0
2002-01-28,19340,19436,18428,19196,2937637,17918.750414112532,17208.40306607529,63.13225678306583,710.3473480372413,1001.0581204008834,59246362.0
2002-01-29,19196,19292,18332,18428,1490186,17997.096504249064,17298.743579699345,57.44733273780356,698.3529245497193,998.1228264878915,57756176.0
2002-01-30,17948,17948,16988,17276,1912540,17886.158580518437,17297.058870091987,50.15211076586562,589.0997104264497,1029.7111737024377,55843636.0
2002-01-31,17660,17756,16892,16940,1880186,17740.59572197714,17270.61006489999,48.22838636147998,469.9856570771517,1017.8657151159525,53963450.0
