Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2002-04-22,55511,63818,55511,62938,8341136,,,,,,8341136.0
2002-04-23,60690,61374,57172,57465,5509501,,,,,,2831635.0
2002-04-24,58149,59420,53067,55706,4767595,,,,,,-1935960.0
2002-04-25,53752,55120,50624,51211,4004635,,,,,,-5940595.0
2002-04-26,50624,54729,49158,53556,4273626,,,,,,-1666969.0
2002-04-29,50135,52188,50135,51015,2036531,,,,,,-3703500.0
2002-04-30,50820,51211,49060,49842,2025464,,,,,,-5728964.0
2002-05-02,51504,53654,50526,53654,2302599,,,,,,-3426365.0
2002-05-03,52774,55902,52383,55706,2303290,,,,,,-1123075.0
2002-05-06,54338,56390,53752,53752,1925780,,,,,,-3048855.0
2002-05-07,52774,54240,52383,54240,1655786,,,,,,-1393069.0
2002-05-08,55608,56977,55022,56683,2014925,54647.333333333336,,,,,621856.0
2002-05-09,58540,58540,55706,57172,2187497,55035.74358974359,,,,,2809353.0
2002-05-10,56488,56781,52676,53165,2152266,54747.9368836292,,,,,657087.0
2002-05-13,53165,53165,50624,52774,1903368,54444.25428614778,,37.8634277838052,,3511.070939317081,-1246281.0
2002-05-14,53361,54533,49451,50722,4359738,53871.599780586585,,34.03690165528173,,3678.304184251382,-5606019.0
2002-05-15,51308,52872,51113,52579,3705096,53672.738275880954,,39.951263102674766,,3521.1143673846063,-1900923.0
2002-05-16,53263,53263,50820,50820,1870667,53233.855464206965,,36.603405851102025,,3413.6060013072843,-3771590.0
2002-05-17,51992,53165,51406,52286,1975184,53088.03154663666,,41.03807178086369,,3309.977482547047,-1796406.0
2002-05-20,52286,54142,52188,53165,1611013,53099.872847154096,,43.586192408042336,,3181.7566319103053,-185393.0
2002-05-21,52970,52970,50820,50820,1122266,52749.12317836116,,38.77218023577213,,3104.421998235945,-1307659.0
2002-05-22,50820,52774,50331,52579,1316368,52722.95038169021,,43.78750213063384,,3044.5490557476687,8709.0
2002-05-23,51601,52970,51601,51797,905386,52580.49647681479,,42.13508573282077,,2895.7174022979752,-896677.0
2002-05-24,52286,53263,52188,52676,984886,52595.18932653559,,44.662940995758014,,2770.8934593837234,88209.0
2002-05-27,51601,52676,51406,51601,574147,52442.23712245319,,42.23301393140908,,2641.903490515032,-485938.0
2002-05-28,51895,52188,50331,51308,786368,52267.739103614236,53432.0,41.56917733610365,-1164.2608963857638,2575.4122430228963,-1272306.0
2002-05-29,50135,50820,49745,50331,899420,51969.77924151973,53202.29629629629,39.348192813993656,-1232.5170547765592,2490.772488662391,-2171726.0
2002-05-30,49842,50135,47350,47595,1610269,51296.73628128593,52786.941015089156,33.88780212503784,-1490.204733803228,2531.2636027078947,-3781995.0
2002-05-31,47595,48083,44418,44760,1406081,50291.084545703474,52192.35279174922,29.343814420916505,-1901.2682460457436,2623.872095454799,-5188076.0
2002-06-03,44467,47204,44418,47204,1368055,49816.14846174909,51822.84517754557,37.165890428846645,-2006.6967157964755,2636.9809626431406,-3820021.0
2002-06-04,45738,48376,45738,47888,1015701,49519.51023686462,51531.37516439405,39.19475233950674,-2011.8649275294301,2637.0625875665446,-2804320.0
2002-06-05,48767,50526,48181,50331,1439067,49644.35481580852,51442.45848555004,45.91225638688885,-1798.1036697415257,2637.137028816833,-1365253.0
2002-06-07,49647,51113,48767,50624,1285531,49795.069459530285,51381.83193106486,46.67318058197198,-1586.7624715345737,2614.2005232178835,-79722.0
2002-06-10,51406,52383,51406,51895,959054,50118.13569652563,51419.84438061561,49.961751717243345,-1301.7086840899792,2547.317533614675,879332.0
2002-06-11,51895,53458,51308,53165,886443,50586.8840509063,51549.11516723667,53.07563827392255,-962.2311163303675,2516.453592186955,1765775.0
2002-06-12,52286,53752,51601,53752,1206589,51073.824966151486,51712.291821515435,54.48547798348606,-638.4668553639494,2488.2412568211735,2972364.0
2002-06-14,53263,53849,51113,51406,1161642,51124.928817512795,51689.60353844022,48.246521435564645,-564.6747209274254,2507.25805088434,1810722.0
2002-06-17,51699,52383,51015,51504,684959,51183.24746097237,51675.85512818539,48.511751083639,-492.6076672130148,2420.2772913388976,2495681.0
2002-06-18,52481,53067,51504,51699,677327,51262.594005438164,51677.56956313462,49.07104552474796,-414.9755576964526,2355.14581743159,3173008.0
2002-06-19,50917,51992,48670,48963,1074130,50908.810312293834,51476.49033623576,42.152403113407864,-567.6800239419244,2428.2699349165937,2098878.0
2002-06-20,48474,49256,47595,48865,694372,50594.377956556316,51283.0466076257,41.924391479278675,-688.6686510693835,2370.483409108436,1404506.0
2002-06-21,47888,50624,47204,50624,623263,50598.935194009195,51234.22834039417,47.42187813783584,-635.2931463849745,2449.22122434418,2027769.0
2002-06-24,49354,50038,48670,49451,773340,50422.32977954624,51102.13735221682,44.40329937345576,-679.8075726705792,2412.201337440784,1254429.0
2002-06-25,49940,50526,47692,47790,982147,50017.35596730836,50856.7938446452,40.47448592765748,-839.4378773368444,2443.6280615337687,272282.0
2002-06-26,46031,46275,42513,43148,1521891,48960.53197233784,50285.77207837519,31.962868407606468,-1325.240106037345,2654.084805365968,-1249609.0
2002-06-27,44956,45151,43636,44369,1104426,48254.14243813202,49847.49266516221,35.78796497339412,-1593.3502270301906,2605.861035619753,-145183.0
2002-06-28,45151,48034,45151,46910,1043576,48047.351293804015,49629.90061589094,42.97331925532608,-1582.5493220869248,2684.1016553655027,898393.0
2002-07-02,45444,48621,45102,48083,1118966,48052.83571014186,49515.3153850842,45.978538179048726,-1462.4796749423404,2745.626864911015,2017359.0
2002-07-03,47888,49354,46813,49158,919145,48222.86098550465,49488.84757878167,48.649325517565046,-1265.986593277019,2730.5815829851667,2936504.0
2002-07-04,49256,49647,46519,48132,2410357,48208.88237235009,49388.340350723774,46.29673201743542,-1179.4579783736845,2759.74080686501,526147.0
2002-07-05,49158,50526,48767,49745,1742300,48445.20816121931,49414.7595840035,50.36084816900857,-969.5514227841923,2732.957859774172,2268447.0
2002-07-08,51308,51601,49451,50331,1537997,48735.32998257018,49482.62924444768,51.788313766982,-747.2992618774952,2690.344992333702,3806444.0
2002-07-09,51113,51211,49940,51113,938005,49101.12536986708,49603.39744856266,53.701689501308486,-502.27207869558333,2586.76704831145,4744449.0
