Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2019-03-05,15098,16210,14801,15617,15994245,,,,,,15994245.0
2019-03-06,15913,17198,15740,16976,6007527,,,,,,22001772.0
2019-03-07,17371,17890,17099,17297,4126431,,,,,,26128203.0
2019-03-08,17297,17495,16704,17272,1910724,,,,,,24217479.0
2019-03-11,17198,17371,16333,17099,1596965,,,,,,22620514.0
2019-03-12,17149,17421,16482,16605,1356839,,,,,,21263675.0
2019-03-13,16580,16605,15790,16309,1823072,,,,,,19440603.0
2019-03-14,16556,17470,16333,17297,2820162,,,,,,22260765.0
2019-03-15,17322,17594,16407,16902,1937386,,,,,,20323379.0
2019-03-18,16803,17075,16259,16704,1610194,,,,,,18713185.0
2019-03-19,16877,17964,16729,17964,3981437,,,,,,22694622.0
2019-03-20,18088,18285,17396,17643,2422505,16973.75,,,,,20272117.0
2019-03-21,17841,18409,17668,18038,2560235,17137.48076923077,,,,,22832352.0
2019-03-22,18063,18162,16902,17272,4400000,17158.17603550296,,,,,18432352.0
2019-03-25,16926,17000,16309,16655,2531959,17080.76433773327,,50.300769113388576,,1019.2705521412902,15900393.0
2019-03-26,16778,17075,16457,16877,776269,17049.415978081997,,52.56791413427122,,976.5532976129448,16676662.0
2019-03-27,17124,17544,16828,17421,1186823,17106.582750684767,,57.664349064235545,,949.7547547849833,17863485.0
2019-03-28,17124,17124,15370,15468,3408786,16854.493096733266,,40.740238492949295,,1059.5697062828426,14454699.0
2019-03-29,15468,15617,14159,15098,3075411,16584.263389543532,,38.438534626682404,,1098.2076524637591,11379288.0
2019-04-01,14851,15246,14752,15048,831530,16347.915175767605,,38.12506931692006,,1041.0739462206361,10547758.0
2019-04-02,15197,15246,14455,14628,975686,16083.312841034127,,35.50576753929905,,1017.9616381910922,9572072.0
2019-04-03,15024,15320,14851,15098,1161275,15931.7262501058,,40.43730657292746,,988.4550864452311,10733347.0
2019-04-04,15172,15221,14900,15048,540109,15795.768365474138,,40.086140404222355,,929.1679866266437,10193238.0
2019-04-05,14604,14925,14604,14727,937264,15631.3424630935,,37.8156398444669,,886.8095590316742,9255974.0
2019-04-08,14826,15740,14777,15691,1451117,15640.5205456945,,47.44313870838482,,897.6546333107735,10707091.0
2019-04-09,15765,16309,15740,16012,1298806,15697.67123097227,16414.076923076922,50.20758513138018,-716.4056921046522,873.964350797712,12005897.0
2019-04-10,16012,16457,15889,16358,733193,15799.26027236115,16409.923076923074,53.07281213584614,-610.6628045619236,848.3850991904158,12739090.0
2019-04-11,16506,16556,16012,16556,632578,15915.681768920975,16420.743589743586,54.679974545852716,-505.0618208226115,823.2439321199631,13371668.0
