Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2021-08-10,448500,480000,400500,454000,5121520,,,,,,5121520.0
2021-08-11,444500,446000,405000,407000,1647759,,,,,,3473761.0
2021-08-12,414000,420500,402000,406000,947958,,,,,,2525803.0
2021-08-13,415000,445500,408500,437000,1669847,,,,,,4195650.0
2021-08-17,433000,460000,423000,451500,1189500,,,,,,5385150.0
2021-08-18,449000,480000,437000,469000,1168167,,,,,,6553317.0
2021-08-19,472500,498500,469500,492500,1258932,,,,,,7812249.0
2021-08-20,506000,510000,467500,491500,1100068,,,,,,6712181.0
2021-08-23,492000,499500,480000,484500,462461,,,,,,6249720.0
2021-08-24,487500,489000,455000,460000,651528,,,,,,5598192.0
2021-08-25,462500,474000,434500,451000,547287,,,,,,5050905.0
2021-08-26,455500,471500,449500,469500,356488,456125.0,,,,,5407393.0
2021-08-27,473000,498000,463500,497000,779064,462413.4615384615,,,,,6186457.0
2021-08-30,494000,499500,485000,497000,358146,467734.4674556212,,,,,6186457.0
2021-08-31,480000,494500,470500,491500,409300,471390.7032316795,,60.69584883720259,,30727.59758061288,5777157.0
2021-09-01,487000,507000,487000,507000,529067,476869.0565806519,,65.05948352191332,,29585.59123630644,6306224.0
2021-09-02,505000,520000,491500,491500,573318,479119.9709528593,,58.11152925007858,,29473.935527066347,5732906.0
2021-09-03,495000,510000,489000,509000,338553,483716.8984985733,,62.92559054966465,,28628.924097555853,6071459.0
2021-09-06,500000,503000,478500,482500,400109,483529.68334494665,,52.993662694513645,,28810.372474245727,5671350.0
2021-09-07,477000,479000,461000,464500,331012,480602.03975341644,,47.50850707005845,,28119.10570235323,5340338.0
2021-09-08,467000,484500,466500,483500,334185,481047.8797913524,,53.03449341137361,,27368.722566672026,5674523.0
2021-09-09,480500,493500,474000,475000,766976,480117.4367465289,,50.47447717628342,,26656.433627164308,4907547.0
