Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2017-05-10,61353,68270,54336,56140,2709421,,,,,,2709421.0
2017-05-11,56140,58546,55238,55639,826284,,,,,,1883137.0
2017-05-12,56341,56842,53634,53634,577541,,,,,,1305596.0
2017-05-15,53032,53032,50426,50626,587012,,,,,,718584.0
2017-05-16,49925,50927,47719,49123,955451,,,,,,-236867.0
2017-05-17,50827,55739,50827,54135,1106085,,,,,,869218.0
2017-05-18,54135,58145,53534,57042,790589,,,,,,1659807.0
2017-05-19,56441,57945,55940,57844,321317,,,,,,1981124.0
2017-05-22,57143,58847,56641,57844,233870,,,,,,1981124.0
2017-05-23,58245,59448,57143,58245,349716,,,,,,2330840.0
2017-05-24,58646,59448,57744,59348,201197,,,,,,2532037.0
2017-05-25,60150,64461,60050,63659,622110,56106.583333333336,,,,,3154147.0
2017-05-26,62757,64260,62556,62957,184209,57160.49358974359,,,,,2969938.0
2017-05-29,62957,63358,61554,62155,169701,57928.8791913215,,,,,2800237.0
2017-05-30,61754,61955,59148,60150,304224,58270.59008496435,,58.92128023379052,,3007.3835646450357,2496013.0
2017-05-31,59549,60351,58245,58747,265601,58343.883918046755,,53.725373996736074,,2911.426781987704,2230412.0
2017-06-01,58747,63258,58546,62456,223137,58976.51716142418,,63.01158757352232,,3096.6201337504704,2453549.0
2017-06-02,62857,62857,60952,61554,153187,59373.05298274354,,59.865252602310356,,2977.7930988458784,2300362.0
2017-06-05,61554,62757,60451,61854,100813,59754.737139244535,,60.57044211286018,,2912.6456790657335,2401175.0
2017-06-07,61554,63559,61353,63258,173217,60293.700656283836,,63.77809342578233,,2845.8254617429557,2574392.0
2017-06-08,63258,67168,62556,66967,333252,61320.362093778625,,70.58574738069164,,3009.058659679213,2907644.0
2017-06-09,66466,68371,64962,66666,248663,62142.767925504995,,69.44507232163885,,3045.261968507125,2658981.0
2017-06-12,66767,66767,64060,65062,199017,62591.880552350376,,63.55131783428042,,3015.215645542502,2459964.0
2017-06-13,63458,65363,62957,63859,424120,62786.82200583493,,59.474446881601814,,2962.027023203961,2035844.0
2017-06-14,63859,65764,63759,64862,203122,63106.0801587834,,61.68158701038765,,2879.778089971709,2238966.0
2017-06-15,64862,64862,63158,63960,146374,63237.45244204749,59914.846153846156,58.59112722229538,3322.6062882013357,2780.1748229192963,2092592.0
