Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2021-08-06,53700,69800,51000,69800,59402373,,,,,,59402373.0
2021-08-09,69800,89100,69000,78500,44833696,,,,,,104236069.0
2021-08-10,81800,85600,68000,71400,26495122,,,,,,77740947.0
2021-08-11,71200,77500,68100,74400,21592734,,,,,,99333681.0
2021-08-12,73600,75400,72700,73800,5878196,,,,,,93455485.0
2021-08-13,73500,78600,73500,76600,10907993,,,,,,104363478.0
2021-08-17,78100,88300,77500,87400,24272931,,,,,,128636409.0
2021-08-18,89600,94400,83800,84500,21008684,,,,,,107627725.0
2021-08-19,87300,92300,86400,92000,13606690,,,,,,121234415.0
2021-08-20,92800,94000,88600,91000,15815275,,,,,,105419140.0
2021-08-23,91900,92800,87900,89800,4868621,,,,,,100550519.0
2021-08-24,90000,90000,84700,85400,6553145,81216.66666666667,,,,,93997374.0
2021-08-25,84500,84600,81500,82100,6086152,81352.56410256411,,,,,87911222.0
2021-08-26,83400,85300,82100,83400,4255489,81667.55424063117,,,,,92166711.0
2021-08-27,82500,84400,82500,83800,2174014,81995.6228189956,,58.91313384636724,,6703.251394252071,94340725.0
2021-08-30,84000,84300,81600,81900,1782049,81980.9116160732,,55.30357867697832,,6277.08528802605,92558676.0
2021-08-31,81000,83900,80900,83900,1768789,82276.15598283117,,58.206350713923165,,5940.02906480178,94327465.0
2021-09-01,83800,88900,82900,88800,6376407,83279.82429316484,,64.32018352319179,,5946.009299784577,100703872.0
2021-09-02,81800,83600,81000,81900,22859096,83067.54363267795,,52.642043064463266,,6125.800831765064,77844776.0
2021-09-03,82900,83000,80200,80800,3987547,82718.69076611211,,51.050726355378934,,5811.314037414844,73857229.0
2021-09-06,77000,78400,76000,77400,5252682,81900.43064824872,,46.383505327653026,,5717.846477516737,68604547.0
2021-09-07,77300,77300,72600,73000,6001690,80531.13362544122,,41.141526235838825,,5634.761594479896,62602857.0
2021-09-08,73400,75800,71400,72300,5849714,79264.80537537334,,40.36005408728527,,5525.0831526030515,56753143.0
2021-09-09,71300,73000,70300,72000,5748242,78147.14300993129,,40.00930062739601,,5278.434396980616,51004901.0
2021-09-10,71000,72400,68100,68900,6750339,76724.505623788,,36.48117408472447,,5194.345668618505,44254562.0
2021-09-13,67800,67800,64500,64600,4628803,74859.19706628215,79592.30769230769,32.234960969022495,-4733.110626025533,5127.05454928387,39625759.0
2021-09-14,63600,72300,63300,69700,10421448,74065.47444070029,78859.54415954415,41.00558128655361,-4794.069718843864,5450.840787409041,50047207.0
2021-09-15,70100,73200,69000,69000,5077664,73286.17068059255,78129.20755513347,40.23583051083887,-4843.036874540921,5347.525620870239,44969543.0
2021-09-16,69900,70000,66700,67100,2452019,72334.45211434754,77312.22921771617,38.14287118678974,-4977.7771033686295,5180.274871875712,42517524.0
2021-09-17,67100,68600,65000,68000,2461251,71667.61332752484,76622.43446084831,39.741830254811525,-4954.821133323465,5052.501596358437,44978775.0
2021-09-23,66900,67200,66200,66400,1281700,70857.2112771364,75865.21709337807,37.86778675260747,-5008.005816241668,4791.976119164388,43697075.0
2021-09-24,67100,69500,67000,69000,2125450,70571.48646526926,75356.68249386859,42.60420381861392,-4785.196028599326,4657.613896865863,45822525.0
2021-09-27,69000,69700,67500,69700,1323980,70437.4116244586,74937.66897580425,43.8453647571612,-4500.257351345645,4463.996907867239,47146505.0
2021-09-28,70100,71200,69300,70600,1906190,70462.42522069575,74616.36016278171,45.47785319863736,-4153.934942085965,4263.473435446664,49052695.0
2021-09-29,69300,69800,68300,69300,1151274,70283.59057135794,74222.55570627935,43.51023227408938,-3938.965134921411,4110.9492602480905,47901421.0
2021-09-30,69000,69200,68000,68400,804698,69993.80740653364,73791.25528359199,42.15057690942035,-3797.447877058352,3893.9492227009287,47096723.0
2021-10-01,67800,67900,65500,65500,1363624,69302.45242091309,73177.08822554814,38.027037893067515,-3874.6358046350506,3817.65836234689,45733099.0
2021-10-05,63600,64400,59800,60000,3119650,67871.30589461877,72201.00761624827,31.694231806347915,-4329.701721629506,3961.3725149394363,42613449.0
2021-10-06,60200,60900,57100,58000,2152044,66352.64344929281,71149.0811261558,29.75380110417255,-4796.437676862988,3949.112269797845,40461405.0
2021-10-07,58200,60400,58200,60000,1664418,65375.31368786315,70323.22326495906,34.0988585996193,-4947.90957709591,3831.9514097049178,42125823.0
2021-10-08,60100,60100,57000,57000,2221905,64086.80388973036,69336.31783792506,31.00124153760909,-5249.513948194697,3776.824879780572,39903918.0
2021-10-12,55800,56300,54100,55300,2807832,62734.98790669492,68296.59059067135,29.372894454385214,-5561.602683976424,3711.0429036046476,37096086.0
2021-10-13,55200,56900,55200,55900,1242641,61683.45130566493,67378.32462099199,30.755318652658254,-5694.873315327059,3560.7089171162593,38338727.0
2021-10-14,56200,59000,56100,59000,1626758,61270.61264325494,66757.70798239998,37.55604709123124,-5487.095339145038,3526.3831277988074,39965485.0
2021-10-15,60300,60600,58100,60100,1870593,61090.518390446494,66264.54442814813,39.81482842365609,-5174.026037701638,3450.1456073842533,41836078.0
2021-10-18,60500,60600,58800,60000,902398,60922.746330377806,65800.50410013716,39.67432550281073,-4877.7577697593515,3327.9245984428803,40933680.0
2021-10-19,60500,61800,60000,61300,1311776,60980.78535647353,65467.133426052926,42.514386766405416,-4486.348069579399,3215.0538878681837,42245456.0
2021-10-20,61300,62800,59300,59700,1812030,60783.7414554776,65039.93835745641,40.01729466521063,-4256.196901978816,3236.052096058145,40433426.0
2021-10-21,60100,60800,59900,60200,690989,60693.93507771181,64681.42440505224,41.1799703389986,-3987.4893273404305,3078.9979086352473,41124415.0
2021-10-22,60300,60800,59900,60100,653922,60602.56045037153,64342.05963430763,41.00876240811477,-3739.499183936103,2919.121352513707,40470493.0
2021-10-25,60300,60400,58900,59900,677825,60494.47422723745,64013.01817991448,40.644799178280024,-3518.543952677028,2815.200074421592,39792668.0
2021-10-26,60300,61900,59900,61900,1088174,60710.70896150861,63856.498314735625,45.823017348631126,-3145.7893532270173,2755.6108397516186,40880842.0
2021-10-27,61900,62800,61100,62000,971439,60909.061428968824,63718.979921051505,46.076329312033664,-2809.918492082681,2678.5767141094084,41852281.0
2021-10-28,62300,65600,62100,64600,2673129,61476.89813220439,63784.24066764028,52.31866761387098,-2307.3425354358915,2745.7145028726327,44525410.0
2021-10-29,64800,65200,62600,63100,1503557,61726.60611186526,63733.556173741,48.8082130536964,-2006.9500618757447,2735.1124967048013,43021853.0
2021-11-01,63300,64400,63000,63900,958229,62060.97440234752,63745.885346056486,50.70783839879055,-1684.9109437089646,2638.1004145350116,43980082.0
2021-11-02,64200,64500,64000,64100,902143,62374.67064814021,63772.11606116341,51.195426256285415,-1397.4454130232043,2490.190203613361,44882225.0
2021-11-03,64100,64100,59100,59400,4131208,61917.02900996479,63448.255612188346,40.945254576160146,-1531.2266022235563,2672.125446696295,40751017.0
2021-11-04,59800,60700,59400,60000,1558376,61622.10146997021,63192.82927054477,42.52723159091894,-1570.7278005745611,2572.7659767587324,42309393.0
2021-11-05,58900,59000,57100,57200,2124636,60941.778166897864,62748.91599124516,37.48119637973698,-1807.1378243472936,2596.4386147463656,40184757.0
2021-11-08,52600,55900,52600,55600,4020446,60119.96614122127,62219.36665856033,34.930632260734285,-2099.400517339054,2741.247265995373,36164311.0
2021-11-09,55700,58200,55700,57000,1989453,59639.97135026415,61832.746906074375,38.851662496811144,-2192.7755558102217,2731.047171598687,38153764.0
2021-11-10,56100,58700,56100,58600,1772959,59479.975757915825,61593.28417229108,43.07361950008411,-2113.3084143752567,2721.591102837606,39926723.0
2021-11-11,58400,59300,58000,59100,1131245,59421.5179490057,61408.59645582507,44.36633084637863,-1987.0785068193727,2619.08703407945,41057968.0
2021-11-12,59100,62200,58700,62100,2896578,59833.59211069713,61459.81153317136,51.4850164329471,-1626.2194224742343,2682.5624662107634,43954546.0
2021-11-15,62300,63000,61000,62400,1337149,60228.4240936668,61529.45512330681,52.14446206206753,-1301.031029640013,2633.410320388997,45291695.0
2021-11-16,62400,62500,61100,62500,1108396,60577.89731002576,61601.34733639519,52.376834595393085,-1023.4500263694354,2544.6426757297895,46400091.0
2021-11-17,62600,63400,62000,63100,1335673,60965.913108483335,61712.35864481036,53.825573212838,-746.4455363270245,2462.3080924430556,47735764.0
2021-11-18,63200,64600,63000,64500,1545025,61509.61878410128,61918.850597046636,57.1045930160343,-409.23181294535607,2400.313052859248,49280789.0
2021-11-19,64600,65000,63400,65000,1301470,62046.60050962416,62147.083886154294,58.24504549514946,-100.48337653013732,2342.8018882433034,50582259.0
2021-11-22,65000,65000,62500,64000,1244778,62347.123508143515,62284.33693162435,55.09035573085125,62.78657651916728,2354.0933949760993,49337481.0
2021-11-23,63600,65300,63400,64900,1235612,62739.873737659895,62478.08975150403,57.33033546502486,261.78398615586775,2321.4890449159825,50573093.0
2021-11-24,65100,65600,64000,64700,1082435,63041.43162417376,62642.67569583706,56.6540845433345,398.7559283367009,2269.7047104099306,49490658.0
2021-11-25,65000,68000,64500,67900,2780797,63788.90368199318,63032.10712577505,63.97593382457589,756.7965562181271,2357.9777171001956,52271455.0
2021-11-26,68500,69300,66400,68200,2895073,64467.53388476346,63414.91400534727,64.57998988488961,1052.61987941619,2396.8550413826174,55166528.0
2021-11-29,66100,71000,65500,70300,3029305,65364.83636403063,63924.92037532155,68.55484235261491,1439.915988709079,2619.3662792038963,58195833.0
2021-11-30,70700,72300,63700,65600,7305640,65401.015384948994,64049.00034751995,53.95978541835655,1352.015037429046,3048.089517729827,50890193.0
2021-12-01,65600,67200,64500,65200,1920674,65370.08994111068,64134.25958103699,52.92704279173636,1235.8303600736908,3023.14303604081,48969519.0
2021-12-02,64800,65600,63800,65000,1049808,65313.15302709365,64198.38850096018,52.38715760433102,1114.7645261334692,2935.5051018458794,47919711.0
2021-12-03,65200,68100,64700,67500,1634554,65649.5910229254,64442.95231570387,58.13575324027132,1206.638707221522,2968.778700380604,49554265.0
2021-12-06,67200,67900,65200,65700,1250833,65657.34625016764,64536.066958985066,53.15915165614184,1121.2792911825745,2949.5289769794736,48303432.0
2021-12-07,65900,67900,65800,67500,1111423,65940.83144244955,64755.617554615805,57.11283257146435,1185.2138878337428,2895.858521933408,49414855.0
2021-12-08,68100,68700,66900,67500,918679,66180.70352822654,64958.90514316278,57.112832571464345,1221.798385063761,2817.4028270226827,49414855.0
2021-12-09,64400,65000,63600,64200,12816162,65875.97990849937,64902.68994737294,48.42252584204146,973.2899611264293,2894.8963686588468,36598693.0
2021-12-10,64500,65000,63100,63400,2403988,65495.059922576394,64791.37958090087,46.57244308079409,703.680341675521,2823.691414482003,34194705.0
2021-12-13,63800,64500,63300,63400,1599879,65172.7430114108,64688.31442676007,46.57244308079409,484.4285846507264,2707.4999177694103,34194705.0
2021-12-14,62700,63900,62700,63000,863297,64838.47485580914,64563.25409885192,45.562969155691874,275.22075695722015,2599.637279987388,33331408.0
2021-12-15,62800,63400,62400,62600,1286504,64494.09410876158,64417.82786930733,44.52366731304734,76.26623945424944,2485.1961254359608,32044904.0
2021-12-16,63000,63200,62300,63100,951069,64279.618092029035,64320.21099009938,46.17637970015303,-40.592898070346564,2371.8009745628074,32995973.0
2021-12-17,63000,64000,62400,63900,7191381,64221.21530863995,64289.084250092026,48.804389213032366,-67.8689414520777,2316.5969052307914,40187354.0
2021-12-20,63200,63300,62000,62300,785490,63925.64372269534,64141.74467601114,44.16029838348938,-216.10095331579942,2286.8021811599283,39401864.0
2021-12-21,62300,62700,60700,61400,918368,63537.08314997298,63938.65247778809,41.75348842828772,-401.5693278151084,2266.292147557908,38483496.0
2021-12-22,61600,61800,60800,60900,627279,63131.37804997714,63713.56710906305,40.434990876511925,-582.1890590859111,2175.7436502591518,37856217.0
2021-12-23,61000,61100,59700,60500,1010606,62726.55065767297,63475.525100984305,39.36406077482623,-748.9744433113374,2120.277044441502,36845611.0
2021-12-24,60000,60800,60000,60200,570849,62337.85055649251,63232.89361202251,38.539624295905526,-895.0430555300045,2025.8825009591233,36274762.0
2021-12-27,60200,60200,59200,59300,692148,61870.48893241674,62941.568159280105,36.09711757047215,-1071.0792268633668,1952.5409395065128,35582614.0
2021-12-28,59000,60300,58800,60300,859558,61628.87525050647,62745.89644377787,40.601603036610285,-1117.021193271401,1920.1902747000247,36442172.0
2021-12-29,60300,60400,59500,59800,506443,61347.50982735163,62527.681892386914,39.116885960265336,-1180.1720650352872,1847.264464211264,35935729.0
2021-12-30,59900,59900,59000,59000,565051,60986.354469297534,62266.37212258048,36.79825106851905,-1280.0176532829428,1779.5552325906262,35370678.0
2022-01-03,59000,59800,58900,59100,716944,60696.14608940561,62031.82603942636,37.29856234116462,-1335.6799500207562,1716.6889201072377,36087622.0
2022-01-04,59100,59200,57200,57300,1221416,60173.6620756509,61681.320406876264,32.33650816668893,-1507.6583312253642,1736.9376699987545,34866206.0
2022-01-05,57400,57400,55000,55600,2068038,59470.02175631999,61230.85222858913,28.482531389714396,-1760.8304722691391,1784.3258733046066,32798168.0
2022-01-06,55200,56700,54600,56000,2263007,58936.17225534769,60843.38169313808,30.579066664134345,-1907.2094377903923,1806.8857877143273,35061175.0
2022-01-07,55600,56200,55000,55000,1180315,58330.607292986504,60410.53860475748,28.342160888250117,-2079.9313117709753,1763.5158054129936,33880860.0
2022-01-10,54200,54400,50600,51100,4158580,57218.20617098858,59720.86907847915,21.680974871940116,-2502.662907490565,1951.9208054053306,29722280.0
2022-01-11,50900,51200,49200,49350,3785349,56007.71291391342,58952.65655414736,19.469730832995115,-2944.9436402339416,1955.3564678204245,25936931.0
2022-01-12,49500,50400,49200,49300,3316544,54975.75708100366,58237.64495754385,19.40882292180743,-3261.8878765401896,1901.3815117946806,22620387.0
2022-01-13,49450,50200,48800,48850,1860929,54033.332914695406,57542.26384957764,18.837649917730314,-3508.9309348822353,1865.555651245931,20759458.0
2022-01-14,48300,48350,46150,46300,3731973,52843.58938935765,56709.50356442374,15.969666299567546,-3865.914175066093,1925.1787472437336,17027485.0
2022-01-17,45800,46350,44750,45100,3038409,51652.267944841085,55849.54033742939,14.825754602150054,-4197.272392588304,1901.944482820289,13989076.0
2022-01-18,45150,45350,43200,43300,3559369,50367.30364563476,54919.944756879064,13.288173945736304,-4552.641111244302,1919.6678418118893,10429707.0
2022-01-19,42100,43250,41150,41800,3714279,49049.25693092172,53948.096997110246,12.156710301048985,-4898.840066188524,1936.1245427808415,6715428.0
2022-01-20,42150,43200,40350,42750,4998251,48080.14048001069,53118.60833065763,16.978233902199225,-5038.467850646943,2001.4175860665284,11713679.0
2022-01-21,42050,44900,42000,43800,5118066,47421.65732923982,52428.34104690522,22.0695852711461,-5006.683717665401,2065.616857813744,16831745.0
2022-01-24,43550,43700,41850,42000,1947137,46587.55620166446,51655.871339727055,19.82506463089895,-5068.315138062593,2057.3567409940624,14884608.0
2022-01-25,42050,42400,40200,40250,2238405,45612.54755525455,50810.991981228755,17.91719109463648,-5198.444425974209,2067.547572756305,12646203.0
2022-01-26,40300,42500,40300,40550,3305595,44833.694085215386,50050.918501137734,19.350061465514862,-5217.224415922348,2080.582297110525,15951798.0
2022-01-27,40850,41100,39550,39650,2378780,44036.20268748994,49280.48009364605,18.31702518741852,-5244.277406156114,2042.6770589392104,13573018.0
2022-01-28,40000,41200,39550,41000,2106118,43569.09458172225,48667.11119782042,24.802098471900056,-5098.016616098168,2014.6242288571514,15679136.0
2022-02-03,41850,42150,41050,41350,2175768,43227.695415303446,48125.10296094484,26.432844265918533,-4897.407545641392,1952.8562187320638,17854904.0
2022-02-04,41350,42350,41150,42100,1646053,43054.20381294907,47678.799037911886,29.939027506224523,-4624.595224962817,1899.0733873062925,19500957.0
2022-02-07,41650,44400,41600,42350,6206268,42945.86476480306,47284.07318325175,31.11750939929194,-4338.2084184486885,1963.4334968317596,25707225.0
2022-02-08,42500,44700,42500,44650,4619733,43208.039416371816,47088.95665115903,40.957292553325885,-3880.9172347872154,1991.048660430987,30326958.0
2022-02-09,45250,45300,43800,44200,1795917,43360.648736929994,46874.95986218429,39.760556161512454,-3514.311125254295,1955.9698984166882,28531041.0
2022-02-10,44900,44950,42550,42800,4415967,43274.395085094606,46573.110983503975,36.21521129881995,-3298.7158984093694,1987.6895733711722,24115074.0
2022-02-11,42200,43200,41550,42150,2236543,43101.41122584928,46245.473132874045,34.669516229117725,-3144.061907024763,1963.5666021417717,21878531.0
2022-02-14,41500,43950,41000,43950,2375865,43231.96334494939,46075.43808599449,42.04616054620125,-2843.4747410450946,2034.032335075643,24254396.0
2022-02-15,43800,44800,43400,44200,2176377,43380.89206111102,45936.51674629119,43.008667699606406,-2555.6246851801698,1988.740608053155,26430773.0
2022-02-16,45250,46500,45050,46450,2671604,43853.06251324779,45974.55254286221,50.910652732507444,-2121.490029614426,2010.9751098238448,29102377.0
2022-02-17,46650,49900,46300,49400,6275312,44706.43751120967,46228.28939153909,58.94758463755312,-1521.851880329421,2124.484889888516,35377689.0
2022-02-18,48550,50300,47800,49350,2429903,45420.83174025434,46459.52721438804,58.771951760149435,-1038.695474133703,2151.309153731231,32947786.0
2022-02-21,48350,49500,48100,48900,1327359,45956.08839559982,46640.302976285224,57.12237233799623,-684.2145806854023,2097.640951881804,31620427.0
2022-02-22,48100,48700,47000,47250,1860053,46155.1517193537,46685.465718782616,51.42312274418807,-530.3139994289158,2083.522944148914,29760374.0
2022-02-23,47600,48000,47050,47100,987573,46300.51299329928,46716.17196183576,50.92568320372366,-415.65896853648155,2002.552775696043,28772801.0
2022-02-24,46550,48250,46300,46900,1672140,46392.74176356093,46729.78885355163,50.22801125747972,-337.04708999070135,1998.798823302357,27100661.0
2022-02-25,47750,48950,47450,47750,1879588,46601.55072301309,46805.360049584844,53.164721618192814,-203.80932657175435,2002.4562154965527,28980249.0
2022-02-28,47850,48650,47600,48000,1108458,46816.69676562646,46893.85189776374,54.02395957458905,-77.15513213728264,1934.4207735954385,30088707.0
2022-03-02,47600,48150,47500,47900,813429,46983.358801683935,46968.38138681828,53.60036269650015,14.97741486565792,1842.672857471709,29275278.0
2022-03-03,48300,48800,48200,48600,1014446,47232.0728321941,47089.242024831736,56.18990639114056,142.83080736236298,1775.3366454606776,30289724.0
2022-03-04,48350,50300,48350,48700,1928618,47457.90778108731,47208.55743039976,56.562861455736865,249.35035068755678,1787.8130185525702,32218342.0
2022-03-07,48200,48200,47300,47350,1175263,47441.30658399696,47219.034657777556,50.33331646331432,222.27192621940048,1760.1112243804102,31043079.0
2022-03-08,46650,48500,46100,48000,1817425,47527.25941722819,47276.88394238662,53.01640772899353,250.37547484156676,1805.8188896811537,32860504.0
2022-03-10,48500,49950,48100,48150,1492601,47623.06566073155,47341.55920591354,53.63883301763052,281.50645481800893,1816.1178174738407,34353105.0
2022-03-11,48750,49150,48200,48900,935328,47819.51709754208,47456.99926473475,56.72575197585381,362.51783280732343,1757.822231437771,35288433.0
2022-03-14,48950,50000,48900,49800,1481934,48124.2067748433,47630.5548747544,60.154358311667046,493.65190008889476,1710.8338392683077,36770367.0
2022-03-15,50200,52600,49850,52500,2845488,48797.40573255971,47991.254513661486,68.27507911381231,806.1512188982233,1788.6330978780995,39615855.0
2022-03-16,53100,53500,51400,52600,1531086,49382.42023524283,48332.643068205085,68.53089006518408,1049.7771670377479,1810.8740357119466,41146941.0
2022-03-17,53300,53600,52000,52100,1248069,49800.50942982086,48611.70654463433,65.67920752355049,1188.8028851865238,1795.8113248495915,39898872.0
2022-03-18,52300,52800,51800,52800,834273,50261.969517540725,48921.950504291046,67.7052978672501,1340.0190132496791,1738.9666784947135,40733145.0
2022-03-21,52800,53000,50200,50500,1389894,50298.58959176522,49038.84305952874,56.00620642321075,1259.7465322364806,1814.7559865286128,39343251.0
2022-03-22,50300,51200,49900,50900,764010,50391.11426995519,49176.70653660069,57.38533697593929,1214.4077333545065,1777.9871550410078,40107261.0
2022-03-23,51200,52300,51100,52300,1190716,50684.78899765439,49408.061607963595,61.88854699031861,1276.7273896907936,1750.9876997450233,41297977.0
2022-03-24,51600,52100,50700,51400,728320,50794.821459553714,49555.61259996629,57.66955319549254,1239.208859587423,1740.2027257728162,40569657.0
2022-03-25,51500,51800,51000,51000,510880,50826.38738885314,49662.60425922804,55.84732345973843,1163.7831296250952,1673.0445886741372,40058777.0
2022-03-28,51000,51000,49800,50000,795384,50699.25086749112,49687.59653632226,51.468822332021794,1011.6543311688656,1639.2553159427055,39263393.0
2022-03-29,50100,50300,48800,49750,854459,50553.21227249249,49692.2190151132,50.404874505270705,860.9932573792903,1629.3084055524928,38408934.0
2022-03-30,50100,50300,49800,50300,630088,50514.256538262875,49737.239828808524,52.72043909361232,777.0167094543503,1552.2142131421167,39039022.0
2022-03-31,50300,52000,50000,51600,1458343,50681.29399391474,49875.2220637116,57.74255246996569,806.071930203143,1584.1991953105348,40497365.0
