Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2021-11-29,82000,85000,73900,76000,8764092,,,,,,8764092.0
2021-11-30,77900,80500,68000,68000,6863151,,,,,,1900941.0
2021-12-01,68400,69400,61900,62700,4481654,,,,,,-2580713.0
2021-12-02,61900,72100,61500,68700,7312303,,,,,,4731590.0
2021-12-03,67400,70200,65500,66000,3301896,,,,,,1429694.0
2021-12-06,64000,69300,63700,66000,11832989,,,,,,1429694.0
2021-12-07,66800,68200,65500,65600,2244270,,,,,,-814576.0
2021-12-08,66700,67800,64600,64600,2294736,,,,,,-3109312.0
2021-12-09,64500,65100,62800,65100,3184427,,,,,,75115.0
2021-12-10,64100,64900,63200,63300,1443615,,,,,,-1368500.0
2021-12-13,63300,64400,63000,63000,1178159,,,,,,-2546659.0
2021-12-14,62600,62800,60600,60600,1917405,65800.0,,,,,-4464064.0
2021-12-15,59500,60900,58000,58200,2260768,64630.769230769234,,,,,-6724832.0
2021-12-16,59000,59400,56100,56400,2564560,63364.49704142012,,,,,-9289392.0
2021-12-17,55800,59300,54700,57000,3344436,62385.343650432405,,19.824202958569547,,4089.685810006477,-5944956.0
2021-12-20,56600,60100,55900,58400,2704260,61772.21385805819,,26.008751415604923,,4101.429306524961,-3240696.0
2021-12-21,58800,61600,58200,60900,2579600,61638.027110664625,,35.56683514636911,,4029.2855897349323,-661096.0
2021-12-22,61700,65900,61200,65700,4156492,62262.94601671622,,49.14916998953844,,4126.0841514946405,3495396.0
2021-12-23,65400,65700,63700,64900,2251218,62668.6466295291,,47.357384119754485,,3919.9062420411356,1244178.0
2021-12-24,65100,67200,65100,65800,1920024,63150.39330190924,,49.58414833368775,,3766.7283618921733,3164202.0
2021-12-27,66300,66600,64000,65200,1205094,63465.71740930782,,48.12271072720273,,3658.8971155972654,1959108.0
2021-12-28,65400,65400,63900,64800,1100056,63670.9916540297,,47.12550028267633,,3463.470408918315,859052.0
2021-12-29,65300,65800,64500,64500,986784,63798.53139956359,,46.349735706568076,,3271.2988475759244,-127732.0
2021-12-30,64800,68500,64800,66400,2543077,64198.75733809227,,51.765376975200645,,3334.919358108659,2415345.0
2022-01-03,66900,67300,65200,66500,1123222,64552.79467069346,,52.0397808656689,,3228.787767913585,3538567.0
