,KOSPI,KOSPI,KOSPI,KOSPI,KOSPI,KOSPI,KOSPI,KOSPI,KOSPI,KOSPI,KOSDAQ,KOSDAQ,KOSDAQ,KOSDAQ,KOSDAQ,KOSDAQ,KOSDAQ,KOSDAQ,KOSDAQ,KOSDAQ,KOSPI 200,KOSPI 200,KOSPI 200,KOSPI 200,KOSPI 200,KOSPI 200,KOSPI 200,KOSPI 200,KOSPI 200,KOSPI 200,다우존스,다우존스,다우존스,다우존스,다우존스,다우존스,나스닥,나스닥,나스닥,나스닥,나스닥,나스닥,S&P500,S&P500,S&P500,S&P500,S&P500,S&P500,VIX지수,VIX지수,VIX지수,VIX지수,VIX지수,VIX지수,항셍지수,항셍지수,항셍지수,항셍지수,항셍지수,항셍지수,닛케이,닛케이,닛케이,닛케이,닛케이,닛케이,FTSE100,FTSE100,FTSE100,FTSE100,FTSE100,FTSE100,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,달러인덱스,달러인덱스,달러인덱스,달러인덱스,달러인덱스,달러인덱스
,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,2201.21,2202.32,2171.84,2175.17,494677752.0,-0.0102,2.0,-22.5,4638167309579.0,1461424793589993.0,672.53,674.3,666.62,674.02,783730760.0,0.0063,1.0,4.19,4476504857524.0,242768147795532.0,294.19,294.57,289.96,290.35,66161346.0,-0.0116,2.0,-3.42,3179607127060.0,1261453309933690.0,28638.970703,28872.800781,28627.769531,28868.800781,28868.800781,251820000.0,9039.459961,9093.429688,9010.889648,9092.19043,9092.19043,2862700000.0,3244.669922,3258.139893,3235.530029,3257.850098,3257.850098,3459930000.0,13.46,13.72,12.42,12.47,12.47,0.0,28249.369141,28543.519531,28245.970703,28543.519531,28543.519531,1262732800.0,,,,,,,7542.399902,7624.799805,7542.399902,7604.299805,7604.299805,482206700.0,6016.609863,6062.919922,6011.209961,6041.5,6041.5,63958300.0,96.480003,96.870003,96.43,96.849998,96.849998,0.0
2020-01-03,2192.58,2203.38,2165.39,2176.46,631562785.0,0.0006,1.0,1.29,5763662746548.0,1462298971774498.0,677.57,679.37,668.1,669.93,903858876.0,-0.0060999999999999995,2.0,-4.09,5540086126762.0,241357675885325.0,293.1,294.88,289.04,290.74,79773386.0,0.0013,1.0,0.39,3786974299485.0,1262242214935285.0,28553.330078,28716.310547,28500.359375,28634.880859,28634.880859,239590000.0,8976.429688,9065.759766,8976.429688,9020.769531,9020.769531,2586520000.0,3226.360107,3246.149902,3222.340088,3234.850098,3234.850098,3484700000.0,15.01,16.200001,13.13,14.02,14.02,0.0,28828.359375,28883.300781,28428.169922,28451.5,28451.5,1797904800.0,,,,,,,7604.299805,7626.399902,7551.0,7622.399902,7622.399902,475628900.0,6007.959961,6044.160156,5994.589844,6044.160156,6044.160156,60488000.0,96.790001,97.110001,96.709999,96.839996,96.839996,0.0
2020-01-06,2154.97,2164.42,2149.95,2155.07,592670719.0,-0.0098,2.0,-21.39,5156540935534.0,1448385085188395.0,660.08,663.1,653.61,655.31,884278619.0,-0.0218,2.0,-14.62,4961872077526.0,236177411592074.0,287.73,289.41,287.49,288.43,69955469.0,-0.0079,2.0,-2.31,3021821664326.0,1250784113174805.0,28465.5,28708.019531,28418.630859,28703.380859,28703.380859,252760000.0,8943.5,9072.410156,8943.5,9071.469727,9071.469727,2810450000.0,3217.550049,3246.840088,3214.639893,3246.280029,3246.280029,3702460000.0,15.45,16.389999,13.54,13.85,13.85,0.0,28326.5,28367.869141,28054.289063,28226.189453,28226.189453,1793426600.0,23319.759766,23365.359375,23148.529297,23204.859375,23204.859375,72800000.0,7622.399902,7622.399902,7528.100098,7575.299805,7575.299805,516783400.0,6001.209961,6017.970215,5955.25,6013.589844,6013.589844,69063700.0,96.900002,96.900002,96.540001,96.669998,96.669998,0.0
2020-01-07,2166.6,2181.62,2164.27,2175.54,568235609.0,0.0095,1.0,20.47,5143511908278.0,1462298814406954.0,660.87,664.21,659.18,663.44,970306788.0,0.0124,1.0,8.13,5302183281958.0,239161960485498.0,290.01,292.26,289.64,291.23,65345566.0,0.0097,1.0,2.8,3198886938282.0,1263417989590910.0,28639.179688,28685.5,28565.279297,28583.679688,28583.679688,258900000.0,9076.639648,9091.929688,9042.549805,9068.580078,9068.580078,2381740000.0,3241.860107,3244.909912,3232.429932,3237.179932,3237.179932,3435910000.0,13.84,14.46,13.39,13.79,13.79,0.0,28352.679688,28473.080078,28264.070313,28322.060547,28322.060547,1302687200.0,23320.119141,23577.439453,23299.919922,23575.720703,23575.720703,64300000.0,7575.299805,7604.600098,7562.100098,7573.899902,7573.899902,511576100.0,6033.220215,6065.740234,6000.0,6012.350098,6012.350098,69593800.0,96.650002,97.089996,96.620003,96.980003,96.980003,0.0
2020-01-08,2156.27,2162.32,2137.72,2151.31,913830628.0,-0.0111,2.0,-24.23,8750722208310.0,1446631314388659.0,657.24,658.14,637.43,640.94,1379708008.0,-0.0339,2.0,-22.5,7034355004943.0,231058476164510.0,288.94,291.01,287.3,289.42,124529390.0,-0.0062,2.0,-1.81,5688121940953.0,1251655072925540.0,28556.140625,28866.179688,28522.509766,28745.089844,28745.089844,291750000.0,9068.030273,9168.889648,9059.379883,9129.240234,9129.240234,2472620000.0,3238.590088,3267.070068,3236.669922,3253.050049,3253.050049,3726840000.0,15.16,15.24,12.83,13.45,13.45,0.0,27999.580078,28198.609375,27857.730469,28087.919922,28087.919922,1709241600.0,23217.490234,23303.210938,22951.179688,23204.759766,23204.759766,79400000.0,7573.899902,7579.5,7525.0,7574.899902,7574.899902,606225000.0,5986.810059,6031.0,5972.77002,6031.0,6031.0,71431600.0,96.830002,97.330002,96.82,97.300003,97.300003,0.0
2020-01-09,2182.2,2186.45,2172.16,2186.45,592603655.0,0.0163,1.0,35.14,7261591245997.0,1470805018622162.0,657.01,666.09,656.25,666.09,980618698.0,0.0392,1.0,25.15,5261765806520.0,240120847246063.0,293.83,294.41,292.1,294.41,111792014.0,0.0172,1.0,4.99,5341389662069.0,1271818024384210.0,28851.970703,28988.009766,28844.310547,28956.900391,28956.900391,275060000.0,9202.269531,9215.950195,9158.5,9203.429688,9203.429688,2540960000.0,3266.030029,3275.580078,3263.669922,3274.699951,3274.699951,3641230000.0,12.95,13.24,12.53,12.54,12.54,0.0,28367.650391,28561.0,28325.859375,28561.0,28561.0,1692786200.0,23530.289063,23767.089844,23506.150391,23739.869141,23739.869141,62200000.0,7574.899902,7627.799805,7574.899902,7598.100098,7598.100098,653838100.0,6066.75,6071.660156,6034.149902,6042.549805,6042.549805,67961100.0,97.269997,97.559998,97.25,97.449997,97.449997,0.0
2020-01-10,2189.48,2206.92,2188.1,2206.39,594536948.0,0.0091,1.0,19.94,6459299778577.0,1484063380523097.0,668.79,673.03,665.92,673.03,837389583.0,0.0104,1.0,6.94,4913661593203.0,242702877200386.0,294.8,297.17,294.17,297.06,94157266.0,0.009000000000000001,1.0,2.65,4483974821322.0,1282977600516255.0,28977.519531,29009.070313,28789.099609,28823.769531,28823.769531,237830000.0,9232.950195,9235.200195,9164.660156,9178.860352,9178.860352,2382900000.0,3281.810059,3282.98999,3260.860107,3265.350098,3265.350098,3214580000.0,12.42,12.87,12.09,12.56,12.56,0.0,28665.140625,28665.140625,28504.269531,28638.199219,28638.199219,1448401000.0,23813.279297,23903.289063,23761.080078,23850.570313,23850.570313,55900000.0,7598.100098,7632.0,7585.100098,7587.899902,7587.899902,651315600.0,6056.740234,6057.830078,6028.290039,6037.109863,6037.109863,64393300.0,97.43,97.580002,97.300003,97.360001,97.360001,0.0
