Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap
2022-11-03,2297.45,2342.86,2296.44,2329.17,550428338,-0.0033,2,-7.7,9273251406933,1838688384000327
2022-11-04,2325.85,2348.43,2316.29,2348.43,436430311,0.0083,1,19.26,7927339089118,1853798828434407
2022-11-07,2360.22,2373.28,2354.22,2371.79,392508611,0.009899999999999999,1,23.36,8059881002353,1872576585237971
2022-11-08,2387.2,2400.39,2375.67,2399.04,500087936,0.0115,1,27.25,8601453057670,1894800321379919
2022-11-09,2408.54,2429.65,2403.64,2424.41,680722009,0.0106,1,25.37,9342671819052,1915468946843985
2022-11-10,2405.77,2426.1,2401.99,2402.23,899127446,-0.0091,2,-22.18,9344425168815,1897654097331497
2022-11-11,2466.9,2486.46,2463.51,2483.16,758247863,0.0337,1,80.93,13917647603448,1960950352852828
2022-11-14,2485.18,2499.43,2470.6,2474.65,731166034,-0.0034000000000000002,2,-8.51,11216385156415,1954401824877020
2022-11-15,2482.76,2485.2,2463.65,2480.33,617401010,0.0023,1,5.68,9308852326801,1959323044758419
2022-11-16,2487.0,2487.0,2446.79,2477.45,657833955,-0.0012,2,-2.88,9880428494318,1959009890979869
2022-11-17,2466.5,2467.39,2442.9,2442.9,914519167,-0.0139,2,-34.55,8556988540142,1931710185304086
2022-11-18,2448.13,2471.87,2442.87,2444.48,589585960,0.0006,1,1.58,7444437086996,1932865880577499
2022-11-21,2446.05,2448.14,2409.36,2419.5,544528841,-0.0102,2,-24.98,7049427243317,1912994304976186
2022-11-22,2405.96,2426.4,2401.5,2405.27,539169320,-0.0059,2,-14.23,7253675569216,1901129947451713
2022-11-23,2424.36,2427.28,2407.58,2418.01,474789345,0.0053,1,12.74,7477108020662,1911397948867669
2022-11-24,2437.51,2441.33,2428.12,2441.33,481184882,0.0096,1,23.32,6849558626177,1929930652968710
2022-11-25,2442.21,2449.66,2433.57,2437.86,438394239,-0.0014000000000000002,2,-3.47,6347578947005,1926846986556735
2022-11-28,2425.05,2425.65,2401.95,2408.27,350496873,-0.0121,2,-29.59,6462501436307,1903723176182007
2022-11-29,2405.54,2433.87,2401.1,2433.39,550174638,0.0104,1,25.12,6533346119404,1923006247934229
2022-11-30,2424.44,2472.53,2421.42,2472.53,594127344,0.0161,1,39.14,12469429031424,1953840810263050
2022-12-01,2501.43,2501.43,2474.33,2479.84,491383400,0.003,1,7.31,8850099247038,1959622742842373
2022-12-02,2471.5,2471.5,2434.33,2434.33,468847334,-0.0184,2,-45.51,7328393301881,1924204751365239
2022-12-05,2442.17,2442.22,2413.05,2419.32,385586134,-0.0062,2,-15.01,7717406208213,1911915922637855
2022-12-06,2397.7,2416.88,2390.2,2393.16,368635781,-0.0108,2,-26.16,6477022385590,1891336961499674
2022-12-07,2385.87,2394.88,2377.98,2382.81,332586789,-0.0043,2,-10.35,6080662497686,1882795765140146
2022-12-08,2386.9,2387.95,2357.2,2371.08,351939439,-0.0049,2,-11.73,7552996919747,1873438918318869
2022-12-09,2382.73,2390.08,2367.25,2389.04,315674287,0.0076,1,17.96,7220197808267,1888379555760614
2022-12-12,2373.58,2381.87,2368.47,2373.02,499224684,-0.0067,2,-16.02,5822259612423,1875700660827307
2022-12-13,2385.05,2388.27,2364.87,2372.4,447565388,-0.0003,2,-0.62,6659361034224,1874838727660788
2022-12-14,2380.81,2400.18,2379.44,2399.25,409799402,0.0113,1,26.85,5724107192073,1895655040773681
