,KOSPI,KOSPI,KOSPI,KOSPI,KOSPI,KOSPI,KOSDAQ,KOSDAQ,KOSDAQ,KOSDAQ,KOSDAQ,KOSDAQ
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2000-01-04,1028.3299560546875,1066.1800537109375,1016.5900268554688,1059.0400390625,1059.0400390625,195900.0,,,,,,
2000-01-05,1006.8699951171875,1026.52001953125,984.0499877929688,986.3099975585938,986.3099975585938,257700.0,,,,,,
2000-01-06,1013.9500122070312,1014.9000244140625,953.5,960.7899780273438,960.7899780273438,203500.0,,,,,,
2000-01-07,949.1699829101562,970.1599731445312,930.8400268554688,948.6500244140625,948.6500244140625,215700.0,,,,,,
2000-01-10,979.6699829101562,994.9400024414062,974.8200073242188,987.239990234375,987.239990234375,240200.0,,,,,,
2000-01-11,992.1699829101562,1005.8699951171875,981.22998046875,981.3300170898438,981.3300170898438,257100.0,,,,,,
2000-01-12,957.97998046875,968.6799926757812,949.2000122070312,955.010009765625,955.010009765625,227100.0,,,,,,
2000-01-13,955.0599975585938,960.72998046875,939.25,951.0499877929688,951.0499877929688,223000.0,,,,,,
2000-01-14,958.8200073242188,970.5900268554688,937.75,948.030029296875,948.030029296875,225000.0,,,,,,
2000-01-17,962.6699829101562,986.0900268554688,959.3599853515625,983.27001953125,983.27001953125,212100.0,,,,,,
2000-01-18,992.3099975585938,992.8499755859375,967.9600219726562,981.530029296875,981.530029296875,212100.0,,,,,,
2000-01-19,969.3099975585938,969.3099975585938,938.739990234375,938.780029296875,938.780029296875,235700.0,,,,,,
2000-01-20,927.1199951171875,945.9000244140625,906.260009765625,945.9000244140625,945.9000244140625,226700.0,,,,,,
2000-01-21,928.5499877929688,940.7000122070312,911.8300170898438,925.1599731445312,925.1599731445312,255100.0,,,,,,
2000-01-24,917.9299926757812,944.3099975585938,915.7000122070312,926.77001953125,926.77001953125,210400.0,,,,,,
2000-01-25,909.1199951171875,913.1900024414062,891.219970703125,891.219970703125,891.219970703125,242600.0,,,,,,
2000-01-26,896.3400268554688,902.4299926757812,875.8200073242188,885.5399780273438,885.5399780273438,231100.0,,,,,,
2000-01-27,888.27001953125,912.489990234375,879.0,909.22998046875,909.22998046875,344900.0,,,,,,
2000-01-28,922.739990234375,943.9500122070312,916.8599853515625,941.6699829101562,941.6699829101562,293100.0,,,,,,
2000-01-31,924.8300170898438,948.8400268554688,922.9199829101562,943.8800048828125,943.8800048828125,289400.0,,,,,,
2000-02-01,955.4400024414062,959.3099975585938,923.52001953125,928.75,928.75,306100.0,,,,,,
2000-02-02,929.6900024414062,950.1300048828125,923.4000244140625,943.5900268554688,943.5900268554688,310400.0,,,,,,
2000-02-03,950.260009765625,959.0,934.1099853515625,950.219970703125,950.219970703125,277100.0,,,,,,
2000-02-07,953.22998046875,982.030029296875,951.3099975585938,973.1300048828125,973.1300048828125,271800.0,,,,,,
2000-02-08,977.0700073242188,981.4199829101562,960.469970703125,961.219970703125,961.219970703125,229500.0,,,,,,
2000-02-09,967.530029296875,979.9199829101562,966.1500244140625,976.0499877929688,976.0499877929688,240400.0,,,,,,
2000-02-10,966.3599853515625,991.7100219726562,957.72998046875,966.1799926757812,966.1799926757812,251600.0,,,,,,
2000-02-11,990.1099853515625,990.75,941.239990234375,953.219970703125,953.219970703125,274800.0,,,,,,
2000-02-14,932.9400024414062,941.22998046875,907.9099731445312,910.8699951171875,910.8699951171875,234200.0,,,,,,
2000-02-15,916.8900146484375,919.4299926757812,875.0499877929688,879.7000122070312,879.7000122070312,218600.0,,,,,,
2000-02-16,881.030029296875,886.6300048828125,843.5800170898438,879.5,879.5,214000.0,,,,,,
2000-02-17,869.3499755859375,901.8300170898438,869.3499755859375,897.52001953125,897.52001953125,212400.0,,,,,,
2000-02-18,900.7100219726562,918.0399780273438,879.1400146484375,897.52001953125,897.52001953125,258300.0,,,,,,
2000-02-21,864.6099853515625,866.3200073242188,843.6500244140625,845.3200073242188,845.3200073242188,213800.0,,,,,,
2000-02-22,844.1099853515625,867.6799926757812,835.969970703125,850.02001953125,850.02001953125,244400.0,,,,,,
2000-02-23,866.1400146484375,882.7899780273438,852.8900146484375,880.6699829101562,880.6699829101562,346400.0,,,,,,
2000-02-24,874.530029296875,887.8200073242188,857.6799926757812,867.3699951171875,867.3699951171875,256700.0,,,,,,
2000-02-25,856.0599975585938,873.0800170898438,847.1400146484375,864.760009765625,864.760009765625,255200.0,,,,,,
2000-02-28,850.3599853515625,850.47998046875,819.010009765625,819.010009765625,819.010009765625,253100.0,,,,,,
2000-02-29,843.3099975585938,846.3699951171875,810.530029296875,828.3800048828125,828.3800048828125,275700.0,,,,,,
2000-03-02,864.780029296875,900.2999877929688,857.0499877929688,894.6599731445312,894.6599731445312,317800.0,,,,,,
2000-03-03,909.8099975585938,910.02001953125,882.47998046875,894.8300170898438,894.8300170898438,311300.0,,,,,,
2000-03-06,907.5599975585938,913.510009765625,899.5800170898438,909.3300170898438,909.3300170898438,352600.0,,,,,,
2000-03-07,907.010009765625,907.8499755859375,893.0900268554688,907.3400268554688,907.3400268554688,339300.0,,,,,,
2000-03-08,895.9299926757812,919.030029296875,883.530029296875,915.239990234375,915.239990234375,313700.0,,,,,,
2000-03-09,922.7100219726562,928.5499877929688,884.5900268554688,884.5900268554688,884.5900268554688,370000.0,,,,,,
2000-03-10,902.3099975585938,913.5999755859375,886.260009765625,891.3599853515625,891.3599853515625,330600.0,,,,,,
2000-03-13,890.8699951171875,890.8699951171875,849.52001953125,854.6599731445312,854.6599731445312,364400.0,,,,,,
2000-03-14,843.1400146484375,858.6799926757812,838.3099975585938,846.739990234375,846.739990234375,330800.0,,,,,,
2000-03-15,837.3499755859375,841.72998046875,820.2999877929688,837.530029296875,837.530029296875,312900.0,,,,,,
2000-03-16,847.9000244140625,860.4000244140625,832.1699829101562,841.219970703125,841.219970703125,298900.0,,,,,,
2000-03-17,864.3599853515625,869.8200073242188,850.0399780273438,855.5700073242188,855.5700073242188,300800.0,,,,,,
2000-03-20,862.6799926757812,867.5399780273438,843.4600219726562,850.510009765625,850.510009765625,227900.0,,,,,,
2000-03-21,850.9099731445312,863.4099731445312,838.97998046875,863.4099731445312,863.4099731445312,227900.0,,,,,,
2000-03-22,869.8800048828125,886.530029296875,865.969970703125,882.4299926757812,882.4299926757812,296000.0,,,,,,
2000-03-23,888.8900146484375,892.780029296875,862.8400268554688,867.6199951171875,867.6199951171875,254900.0,,,,,,
2000-03-24,876.9299926757812,900.0599975585938,861.6400146484375,889.239990234375,889.239990234375,281900.0,,,,,,
2000-03-27,893.1300048828125,893.1300048828125,876.52001953125,886.7100219726562,886.7100219726562,282400.0,,,,,,
2000-03-28,886.510009765625,902.760009765625,882.219970703125,891.2899780273438,891.2899780273438,262700.0,,,,,,
2000-03-29,886.6900024414062,913.3499755859375,881.52001953125,908.510009765625,908.510009765625,280800.0,,,,,,
2000-03-30,905.5900268554688,909.510009765625,889.22998046875,889.9500122070312,889.9500122070312,264100.0,,,,,,
2000-03-31,872.02001953125,885.739990234375,860.52001953125,860.9400024414062,860.9400024414062,214700.0,,,,,,
2000-04-03,866.75,876.8099975585938,837.3599853515625,846.4400024414062,846.4400024414062,209600.0,,,,,,
2000-04-04,835.239990234375,850.0999755859375,814.5399780273438,830.1599731445312,830.1599731445312,203000.0,,,,,,
2000-04-06,827.22998046875,827.8900146484375,804.1500244140625,804.3499755859375,804.3499755859375,173000.0,,,,,,
2000-04-07,811.3800048828125,838.8200073242188,811.3800048828125,837.3800048828125,837.3800048828125,205100.0,,,,,,
2000-04-10,861.719970703125,880.4099731445312,851.2999877929688,870.1699829101562,870.1699829101562,325300.0,,,,,,
2000-04-11,864.6500244140625,864.6500244140625,839.8200073242188,855.0499877929688,855.0499877929688,255100.0,,,,,,
2000-04-12,841.1599731445312,853.6099853515625,834.75,837.010009765625,837.010009765625,213500.0,,,,,,
2000-04-14,808.4600219726562,816.0700073242188,793.739990234375,800.8900146484375,800.8900146484375,229800.0,,,,,,
2000-04-17,762.9600219726562,762.9600219726562,699.219970703125,707.719970703125,707.719970703125,287700.0,,,,,,
2000-04-18,738.0999755859375,769.3800048828125,724.0499877929688,747.2999877929688,747.2999877929688,273000.0,,,,,,
2000-04-19,767.27001953125,781.5499877929688,745.77001953125,755.0800170898438,755.0800170898438,292400.0,,,,,,
2000-04-20,752.0399780273438,765.010009765625,749.6099853515625,761.25,761.25,204100.0,,,,,,
2000-04-21,764.8099975585938,772.8599853515625,759.3400268554688,767.1599731445312,767.1599731445312,202100.0,,,,,,
2000-04-24,767.0499877929688,770.719970703125,746.1599731445312,747.5800170898438,747.5800170898438,176700.0,,,,,,
2000-04-25,738.5599975585938,742.1500244140625,730.4299926757812,737.2000122070312,737.2000122070312,168500.0,,,,,,
2000-04-26,751.8900146484375,760.2100219726562,712.4199829101562,713.22998046875,713.22998046875,241900.0,,,,,,
2000-04-27,699.2899780273438,710.7000122070312,688.3599853515625,692.0700073242188,692.0700073242188,224400.0,,,,,,
2000-04-28,698.0599975585938,727.260009765625,698.0599975585938,725.3900146484375,725.3900146484375,228200.0,,,,,,
2000-05-02,731.760009765625,753.4600219726562,729.8400268554688,752.5900268554688,752.5900268554688,196000.0,,,,,,
2000-05-03,751.0700073242188,755.6199951171875,742.9400024414062,752.760009765625,752.760009765625,179800.0,,,,,,
2000-05-04,753.1799926757812,760.989990234375,745.3900146484375,751.2899780273438,751.2899780273438,190200.0,,,,,,
