,다우존스,다우존스,다우존스,다우존스,다우존스,다우존스,나스닥,나스닥,나스닥,나스닥,나스닥,나스닥,S&P500,S&P500,S&P500,S&P500,S&P500,S&P500,VIX지수,VIX지수,VIX지수,VIX지수,VIX지수,VIX지수,항셍지수,항셍지수,항셍지수,항셍지수,항셍지수,항셍지수,닛케이,닛케이,닛케이,닛케이,닛케이,닛케이,FTSE100,FTSE100,FTSE100,FTSE100,FTSE100,FTSE100,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,달러인덱스,달러인덱스,달러인덱스,달러인덱스,달러인덱스,달러인덱스
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
2000-01-03 00:00:00,11501.849609,11522.009766,11305.69043,11357.509766,11357.509766,169750000.0,4186.189941,4192.189941,3989.709961,4131.149902,4131.149902,1510070000.0,1469.25,1478.0,1438.359985,1455.219971,1455.219971,931800000.0,24.360001,26.15,23.98,24.209999,24.209999,0.0,17057.699219,17426.160156,17057.699219,17369.630859,17369.630859,0.0,,,,,,,,,,,,,6024.379883,6102.120117,5901.77002,5917.370117,5917.370117,0.0,101.669998,101.830002,100.190002,100.220001,100.220001,0.0
2000-01-04 00:00:00,11349.75,11350.05957,10986.450195,10997.929688,10997.929688,178420000.0,4020.0,4073.25,3898.22998,3901.689941,3901.689941,1511840000.0,1455.219971,1455.219971,1397.430054,1399.420044,1399.420044,1009000000.0,24.940001,27.18,24.799999,27.01,27.01,0.0,17303.0,17303.0,16933.519531,17072.820313,17072.820313,0.0,18937.449219,19187.609375,18937.449219,19002.859375,19002.859375,0.0,6930.200195,6930.200195,6662.899902,6665.899902,6665.899902,633449000.0,5922.22998,5925.069824,5657.200195,5672.02002,5672.02002,0.0,100.550003,100.860001,100.010002,100.410004,100.410004,0.0
2000-01-05 00:00:00,10989.370117,11215.099609,10938.669922,11122.650391,11122.650391,203190000.0,3854.350098,3924.209961,3734.870117,3877.540039,3877.540039,1735670000.0,1399.420044,1413.27002,1377.680054,1402.109985,1402.109985,1085500000.0,27.98,29.0,25.85,26.41,26.41,0.0,16608.550781,16608.550781,15688.490234,15846.719727,15846.719727,0.0,19003.509766,19003.509766,18221.820313,18542.550781,18542.550781,0.0,6665.899902,6665.899902,6500.399902,6535.899902,6535.899902,670234000.0,5521.830078,5589.5,5461.589844,5479.700195,5479.700195,0.0,100.419998,100.470001,99.709999,100.379997,100.379997,0.0
2000-01-06 00:00:00,11113.370117,11313.450195,11098.450195,11253.259766,11253.259766,176550000.0,3834.439941,3868.76001,3715.620117,3727.129883,3727.129883,1598320000.0,1402.109985,1411.900024,1392.099976,1403.449951,1403.449951,1092300000.0,26.68,26.709999,24.700001,25.73,25.73,0.0,15942.070313,15971.030273,14763.969727,15153.230469,15153.230469,0.0,18574.009766,18582.740234,18168.269531,18168.269531,18168.269531,0.0,6535.899902,6547.299805,6424.399902,6447.200195,6447.200195,785532000.0,5485.930176,5530.259766,5388.850098,5450.109863,5450.109863,0.0,100.309998,100.809998,99.809998,100.650002,100.650002,0.0
2000-01-07 00:00:00,11247.05957,11528.139648,11239.919922,11522.55957,11522.55957,184900000.0,3711.090088,3882.669922,3711.090088,3882.620117,3882.620117,1634930000.0,1403.449951,1441.469971,1400.72998,1441.469971,1441.469971,1225200000.0,25.139999,25.17,21.719999,21.719999,21.719999,0.0,15329.339844,15513.889648,15108.75,15405.629883,15405.629883,0.0,18194.050781,18285.730469,18068.099609,18193.410156,18193.410156,0.0,6447.200195,6532.399902,6438.799805,6504.799805,6504.799805,888306000.0,5423.879883,5561.689941,5423.879883,5539.609863,5539.609863,0.0,100.489998,100.93,100.440002,100.800003,100.800003,0.0
2000-01-10 00:00:00,11532.480469,11638.280273,11532.480469,11572.200195,11572.200195,168180000.0,4002.22998,4072.360107,3958.830078,4049.669922,4049.669922,1691710000.0,1441.469971,1464.359985,1441.469971,1457.599976,1457.599976,1064800000.0,21.889999,22.49,21.360001,21.709999,21.709999,0.0,15631.0,16065.089844,15631.0,15848.150391,15848.150391,0.0,18194.050781,18285.730469,18068.099609,18193.410156,18193.410156,0.0,6504.799805,6634.200195,6504.799805,6607.700195,6607.700195,735455000.0,5625.819824,5717.439941,5616.97998,5646.120117,5646.120117,0.0,100.699997,101.18,100.650002,100.989998,100.989998,0.0
2000-01-11 00:00:00,11568.469727,11663.099609,11502.700195,11511.080078,11511.080078,177300000.0,4031.379883,4066.659912,3904.820068,3921.189941,3921.189941,1694460000.0,1457.599976,1458.660034,1434.420044,1438.560059,1438.560059,1014000000.0,21.98,22.629999,21.690001,22.5,22.5,0.0,15981.129883,16196.089844,15736.169922,15862.099609,15862.099609,0.0,18246.099609,18887.560547,18246.099609,18850.919922,18850.919922,0.0,6607.700195,6638.100098,6510.799805,6518.899902,6518.899902,863011000.0,5726.509766,5726.509766,5571.990234,5613.899902,5613.899902,0.0,101.029999,101.099998,100.489998,100.559998,100.559998,0.0
2000-01-12 00:00:00,11506.730469,11612.530273,11505.179688,11551.099609,11551.099609,194060000.0,3950.949951,3950.97998,3834.530029,3850.02002,3850.02002,1525900000.0,1438.560059,1442.599976,1427.079956,1432.25,1432.25,974600000.0,23.049999,23.49,22.41,22.84,22.84,0.0,15691.730469,15744.040039,15545.669922,15714.200195,15714.200195,0.0,18780.169922,18811.869141,18626.919922,18677.419922,18677.419922,0.0,6518.899902,6532.799805,6470.299805,6532.799805,6532.799805,779904000.0,5541.22998,5628.72998,5536.5,5582.5,5582.5,0.0,100.510002,100.980003,100.239998,100.620003,100.620003,0.0
2000-01-13 00:00:00,11558.240234,11656.580078,11524.110352,11582.429688,11582.429688,174910000.0,3915.139893,3957.469971,3858.219971,3957.209961,3957.209961,1476970000.0,1432.25,1454.199951,1432.25,1449.680054,1449.680054,1030400000.0,22.73,23.1,21.32,21.709999,21.709999,0.0,15763.259766,15861.169922,15458.629883,15633.959961,15633.959961,0.0,18667.179688,18845.029297,18667.179688,18833.289063,18833.289063,0.0,6532.799805,6596.5,6509.399902,6531.5,6531.5,865831000.0,5586.25,5682.27002,5579.490234,5633.240234,5633.240234,0.0,100.690002,101.139999,100.57,101.0,101.0,0.0
