,open,high,low,close,volume
20240822,175800,179100,171000,171000,550360
20240821,168100,174000,166500,170400,334768
20240820,175000,177000,169400,169800,497142
20240819,179700,180000,171300,171900,423006
20240816,181100,183400,178100,179300,598696
20240814,172500,183800,172500,175900,1043869
20240813,175000,176500,165200,168300,625689
20240812,177000,177300,170600,174600,444213
20240809,171100,175900,170000,172100,543505
20240808,165900,167300,162000,164600,416914
20240807,167700,175800,165000,170700,665856
20240806,164700,173200,160900,168100,850054
20240805,161000,168000,145000,157400,797379
20240802,175900,178700,167900,169900,718195
20240801,191500,197800,185200,185200,856356
20240731,183000,187200,178900,184000,666177
20240730,195700,197000,182800,184900,877451
20240729,203000,209000,192600,195800,852851
20240726,217500,225000,198800,200500,1332596
20240725,249500,257000,214500,215500,2303383
20240724,258000,274500,255000,260000,1512960
20240723,222500,261000,216500,259000,2123508
20240722,221000,224500,211500,219000,421549
20240719,213000,227500,205500,223000,587905
20240718,215500,222500,208500,213000,677658
20240717,235500,236000,216000,217500,631511
20240716,230000,235000,220500,234000,607409
20240715,223000,232500,218500,227500,473544
20240712,225000,232500,216500,219500,667209
20240711,229000,234000,222500,224500,707872
20240710,215500,229000,214000,224500,1076121
20240709,202500,220500,201000,213000,1154176
20240708,194400,207000,194400,197600,653770
20240705,195800,199500,192500,193600,439121
20240704,207000,207500,194700,197000,545202
20240703,210500,212500,200000,203500,428422
20240702,201500,216000,199600,210500,951442
20240701,218000,220000,203000,204500,734896
20240628,218000,232000,214000,220500,1047275
20240627,199000,220000,197400,216500,1000665
20240626,195500,205000,194200,202000,489402
20240625,196000,206500,194800,194900,521172
20240624,209000,209500,194000,196300,617192
20240621,188500,212500,188000,210000,950643
20240620,193900,195400,187500,190300,420547
20240619,206500,208500,191400,194500,656786
20240618,210000,213500,199700,201500,480657
20240617,202500,208500,189500,206500,578161
20240614,189300,206000,188800,199000,983510
20240613,190000,195000,187800,188200,592125
20240612,194200,194700,186700,187400,520821
20240611,198300,199500,188300,194800,483031
20240610,184000,198800,182700,194700,827657
20240607,187000,192500,185000,186400,635531
20240605,205000,205000,187300,190200,1123352
20240604,209500,216000,204000,207000,437117
20240603,212500,216500,206500,213000,510606
20240531,222000,224500,213500,213500,564884
20240530,227500,234000,220000,222000,426809
20240529,236500,244000,228000,231500,609819
20240528,227000,233500,223500,231000,548760
20240527,235000,239000,221500,226000,1057839
20240524,208500,235500,206000,231000,1526256
20240523,197000,212500,191600,212500,941675
20240522,210500,216000,202000,203000,929217
20240521,211500,219000,200000,202000,790415
20240520,194100,225000,194000,211500,1861629
20240517,194500,198600,183500,192000,982773
20240516,173100,199000,169700,197100,1820219
20240514,173500,173600,166000,170500,409522
20240513,179600,183200,167000,173200,837616
20240510,174400,179300,168800,178000,734760
20240509,164500,174000,163300,171200,827018
20240508,165200,167200,160500,164900,482254
20240507,163000,171300,162900,164800,793865
20240503,168600,171500,159100,159800,753376
20240502,173100,175800,166500,167500,784395
20240430,174400,180500,169700,176600,999676
20240429,166700,179200,161000,173300,2171261
20240426,156200,171700,155300,163900,2104509
20240425,153400,160900,150900,152300,817766
20240424,155000,159900,151100,156600,1182050
20240423,162000,164400,148000,153200,1985834
20240422,167100,178300,152000,158600,1847273
20240419,157100,170000,146500,167000,2393092
20240418,145900,161100,143400,155000,1830052
20240417,133000,144700,133000,143100,1375685
