,open,high,low,close,volume
20240822,17820,17990,17760,17970,892672
20240821,17780,17920,17650,17820,734098
20240820,18120,18330,17680,17800,1655306
20240819,18070,18280,17820,17920,1470607
20240816,17900,18070,17770,17940,1305044
20240814,17900,17900,17090,17630,2030911
20240813,17570,17980,17190,17500,2294941
20240812,17530,17700,17400,17570,1065617
20240809,17370,17590,17260,17370,997880
20240808,17030,17480,16960,17310,1506102
20240807,17260,17670,17060,17160,1715297
20240806,16440,17680,16440,17230,2634787
20240805,18290,18540,15800,16280,3835937
20240802,18080,18280,17650,18210,1947461
20240801,18200,18390,17850,18290,1769832
20240731,17600,18200,17360,18200,2087875
20240730,17230,17810,17220,17550,2169270
20240729,17190,17540,17060,17230,1504136
20240726,16800,17300,16800,17090,1067622
20240725,16970,17090,16710,16940,1186222
20240724,16770,17060,16700,16970,1226039
20240723,17170,17300,16900,16900,1208833
20240722,17190,17350,16880,17030,1314697
20240719,17850,18040,17180,17250,2077387
20240718,17980,18050,17650,18000,1297197
20240717,18200,18240,17850,17950,1814773
20240716,17740,18270,17700,18100,2743750
20240715,17660,17890,17460,17610,1903631
20240712,17830,18060,17360,17560,3281979
20240711,18130,18290,17940,17980,2221235
20240710,18140,18420,18060,18120,1772114
20240709,18240,18390,17950,18050,3562605
20240708,19150,19150,18280,18340,4682077
20240705,19950,20250,19360,19370,3583767
20240704,20000,20450,19170,19780,3816114
20240703,20100,20800,19880,19900,5984097
20240702,19560,20400,19310,19970,4234398
20240701,19980,20450,19610,19690,3958665
20240628,19070,19880,19070,19630,6239235
20240627,19140,19360,19000,19010,1570099
20240626,19090,19630,18910,19140,2920252
20240625,19490,19960,18970,19180,7331023
20240624,18710,19280,18640,18980,2436868
20240621,19300,19550,18820,19140,3286561
20240620,18600,19750,18590,19150,6692038
20240619,18010,18540,17870,18510,2937385
20240618,17680,18440,17650,17930,2961650
20240617,18410,18410,17410,17540,2627826
20240614,17100,18100,17100,18050,4096729
20240613,17120,17430,17030,17030,2710262
20240612,17490,17630,17020,17100,2488083
20240611,18490,18790,17390,17500,4220525
20240610,19330,19500,18160,18410,3807339
20240607,19150,19720,19010,19500,3978760
20240605,19230,19500,18950,19090,2942135
20240604,18940,19310,18510,19000,2966892
20240603,18980,19440,18690,19130,8479182
20240531,18420,18540,17870,18000,3622592
20240530,18000,18280,17940,18180,1611780
20240529,17990,18260,17550,18180,2344311
20240528,17890,18150,17740,18010,2847063
20240527,17560,18130,17400,17550,4627511
20240524,16440,16960,16120,16780,2383668
20240523,16640,16950,16580,16600,1549150
20240522,17320,17450,16740,16800,2689977
20240521,17120,17390,16720,17010,2453722
20240520,16630,18280,16600,17550,11217606
20240517,16460,16640,16110,16180,3064009
20240516,18030,18290,16510,16520,7336929
20240514,18560,18910,17120,18010,5163491
20240513,18700,18910,17870,18560,4790346
20240510,17600,18730,17590,18340,8446319
20240509,16400,17630,16310,17300,7256919
20240508,15910,16570,15850,16270,3188841
20240507,15480,15830,15480,15800,1621133
20240503,15620,15750,15230,15310,1681130
20240502,15600,15950,15520,15600,854863
20240430,15850,16090,15660,15850,1321253
20240429,15290,16100,15150,16020,3793248
20240426,14870,15160,14770,15080,1226288
20240425,14810,15080,14670,14850,1467795
20240424,15050,15060,14900,14950,1703066
20240423,16030,16120,14910,14910,4053403
20240422,15650,16180,15150,16120,3985580
20240419,14540,15660,14250,15500,4212700
20240418,14700,14860,14500,14660,1342539
20240417,14580,14910,14530,14700,1402107
20240416,15350,15470,14520,14550,2382717
20240415,15330,15680,15150,15480,1216711
20240412,15610,15720,15210,15380,1463944
20240411,15510,15880,15330,15600,1762890
20240409,15080,15980,15080,15800,2603058
20240408,15390,15460,15010,15050,1660792
20240405,15460,15650,15370,15380,1565394
20240404,16100,16160,15600,15670,1886436
20240403,15710,16250,15700,15950,4216127
20240402,15770,15880,15600,15700,1557356
20240401,15900,15980,15680,15870,1482762
20240329,16030,16060,15640,15720,1492248
20240328,15580,15820,15460,15750,1410553
20240327,15430,15910,15420,15510,1990143
20240326,15670,15670,15400,15430,1770352
20240325,15630,15680,15570,15610,1096058
20240322,15890,15900,15560,15560,1619702
20240321,15850,16040,15790,15890,1166320
20240320,15790,15970,15680,15700,1021410
20240319,16020,16100,15660,15680,1740018
20240318,16110,16400,16000,16050,1740214
20240315,16780,17040,15960,15960,3086893
20240314,16370,16770,16170,16580,2755578
20240313,16630,16630,16060,16250,2379262
20240312,16760,16770,16420,16500,1425108
20240311,16900,16980,16610,16620,1507907
20240308,17020,17260,16900,16950,1411684
20240307,17200,17450,16940,17010,1400703
20240306,17570,17780,17170,17200,1799871
20240305,17800,18150,17650,17680,1270998
20240304,18450,18460,17890,17890,1488235
20240229,18310,18630,18260,18270,1775348
20240228,18370,18690,18260,18370,1260284
20240227,19250,19360,18340,18370,2046464
20240226,19150,19400,19060,19170,1638350
20240223,19250,19420,19050,19060,1753507
20240222,19080,19190,18720,19110,1403091
20240221,18690,19240,18490,19060,2632144
20240220,18700,18750,18230,18620,1643541
20240219,18070,18680,18050,18680,3121103
20240216,17580,18080,17550,17830,2345133
20240215,17940,18020,17470,17490,1778133
20240214,17610,17830,17430,17750,1980653
20240213,18510,18690,17810,17820,3654689
20240208,18900,19200,18350,18380,3452564
20240207,19030,20200,17500,19080,5677567
20240206,19050,19510,19000,19160,1304800
20240205,19960,19960,19000,19110,2206831
20240202,18980,19860,18940,19660,6697509
20240201,19230,19230,18920,19030,1242433
20240131,19190,19340,18960,19290,1155040
20240130,19660,19780,19220,19280,1243440
20240129,19640,19850,19350,19440,1438594
20240126,20100,20200,19360,19680,1823327
20240125,20000,20150,19450,20000,1859212
20240124,19700,20600,19460,20000,6896073
20240123,19020,20450,18990,19800,4524241
20240122,19010,19400,18650,18750,1827870
20240119,19510,19650,19090,19220,2322203
20240118,20350,20400,19450,19590,2872035
20240117,20700,21050,20050,20300,4280225
20240116,20450,21000,20050,20700,2724515
20240115,21100,21150,20150,20600,3900651
20240112,20400,21200,19900,20650,8556986
20240111,19110,19860,19110,19590,2503832
20240110,19630,19890,19050,19080,2577117
20240109,20400,20650,19580,19710,3895959
20240108,20650,20950,20200,20700,2537661
20240105,20750,20950,19500,20550,4017702
20240104,20550,21600,20200,20500,10458014
20240103,20850,21050,19800,19920,3726809
20240102,20350,21200,20100,20600,7036113
20231228,19350,19640,19060,19580,2980158
20231227,19000,19950,18620,19520,5215225
20231226,19610,20500,19230,19380,7875995
20231222,19430,21250,18420,20200,20236912
20231221,22700,23100,19290,19530,26356884
20231220,18440,23300,18000,22100,56598976
20231219,16680,19220,16550,18430,24244550
20231218,15800,17850,15800,17540,11002402
20231215,16330,16380,15340,15370,2894674
20231214,15950,16440,15780,16330,1593268
20231213,16010,16100,15650,15680,719233
20231212,15790,16180,15660,15940,908132
20231211,15760,15820,15630,15700,679360
20231208,15670,15880,15590,15750,708901
20231207,16050,16140,15570,15650,1130949
20231206,16300,16420,16050,16140,1132102
20231205,17000,17010,16060,16080,2045649
20231204,16090,17390,15910,16780,4624400
20231201,15550,15980,15550,15870,1418170
20231130,15450,15900,15210,15490,2614245
20231129,15410,15550,15320,15450,767821
20231128,15470,15670,15370,15470,866727
20231127,15680,15800,15260,15350,1077546
20231124,16280,16280,15590,15670,1501203
20231123,16350,16420,15890,16330,927172
20231122,16000,16340,15840,16190,783247
20231121,15830,16090,15810,16090,748116
20231120,15660,15970,15550,15910,696711
20231117,15610,15790,15360,15500,765809
20231116,15810,15870,15550,15610,652990
20231115,15880,15990,15740,15870,1303051
20231114,16530,16530,15620,15630,1711570
20231113,16500,16590,16180,16370,772417
20231110,16220,16590,15800,16550,825978
20231109,16200,16940,16200,16390,1732410
20231108,15790,16760,15640,16400,2316177
20231107,16700,16710,15470,15790,1628369
20231106,15500,16750,15260,16750,2194857
20231103,15030,15100,14870,15030,689214
20231102,15010,15090,14780,14850,771959
20231101,14600,14930,14600,14860,772826
20231031,14990,15270,14460,14570,1122723
20231030,14780,14960,14490,14830,837853
20231027,14550,14960,14510,14810,907308
20231026,14860,14900,14230,14420,1792122
20231025,14520,14950,14500,14850,1015772
20231024,13980,14510,13820,14460,1415441
20231023,13970,14320,13620,13950,1226236
20231020,14760,15030,13830,14060,1757399
20231019,14800,15160,14600,14900,1337738
20231018,14670,15270,14670,14970,1350498
20231017,14710,14800,14560,14650,789592
20231016,14400,14800,14390,14710,1754012
20231013,14890,14980,14270,14390,1453932
20231012,15180,15230,14980,15040,948656
20231011,15040,15280,14980,15030,1188940
20231010,15610,15690,14810,14960,1505373
20231006,15460,15640,15350,15430,805651
20231005,15870,15990,15550,15590,993272
20231004,16220,16360,15650,15690,1471654
20230927,16300,16360,16150,16260,912070
20230926,16280,16610,16280,16460,708889
20230925,16550,16900,16380,16440,926550
20230922,17060,17080,16430,16580,1259124
20230921,17100,17490,17040,17260,1592160
20230920,16670,17380,16670,17210,2792528
20230919,16760,16900,16540,16620,598438
20230918,16780,16900,16650,16870,851174
20230915,15900,16890,15900,16830,2704071
20230914,15730,16250,15680,16230,2072242
20230913,16300,16390,15560,15580,2500992
20230912,16650,16730,16380,16390,1266966
20230911,16760,16840,16600,16640,828561
