,open,high,low,close,volume
20240822,46500,48650,46100,47150,2454283
20240821,45850,47550,45850,46900,2094768
20240820,48000,48850,45650,46300,3286783
20240819,50800,50900,46200,46900,3726764
20240816,47500,51100,47500,50500,4853397
20240814,47250,48750,46100,47450,3625409
20240813,46850,48100,45900,47000,4863796
20240812,42800,47600,42550,46200,8528647
20240809,41900,43050,41250,41400,1944845
20240808,41350,42700,40650,41250,1264375
20240807,42300,44300,41800,42150,4286919
20240806,39200,41400,38950,40450,1989094
20240805,40350,40950,36500,37950,2254302
20240802,42000,43650,40900,41400,1983637
20240801,43900,44600,42950,43200,1581650
20240731,42100,45150,41650,44500,3865756
20240730,44700,44700,41650,42400,3689302
20240729,42250,45750,41600,44100,11112624
20240726,38450,39300,38250,38950,837536
20240725,40000,40400,38200,38650,1891506
20240724,40750,42250,40550,40700,1148622
20240723,41000,41700,40300,41300,1282278
20240722,41850,42500,40550,40900,1429381
20240719,41650,42650,41200,41700,1731048
20240718,40850,42900,39950,41400,4662097
20240717,41350,41650,40100,40200,1956655
20240716,43150,43750,41450,41550,3008364
20240715,43250,43500,41650,42450,1857763
20240712,45550,46750,42500,43100,3925099
20240711,44100,47000,43800,46450,3737033
20240710,45350,45800,43300,44000,3077357
20240709,48000,48200,45650,45700,2339120
20240708,47150,48800,45500,47600,4489416
20240705,45050,47750,45000,47050,5418517
20240704,45450,47550,44600,45250,5195038
20240703,46100,46500,43950,45100,4408092
20240702,53500,54000,46100,46250,9004470
20240701,52500,54000,51300,52500,3482561
20240628,53400,54700,51800,52200,4247507
20240627,56500,57200,52700,53100,4192884
20240626,58900,59400,54800,56600,5776489
20240625,63200,63800,58700,59400,4128647
20240624,60600,64000,60000,63500,5466606
20240621,62000,63900,59000,61900,6346389
20240620,59200,64500,56500,63500,12497795
20240619,56900,57400,53200,55800,6512102
20240618,54300,60800,53800,55800,13197149
20240617,53300,56500,51600,53300,7329297
20240614,52200,56500,51100,51800,9530248
20240613,44450,53300,44450,51800,18854224
20240612,43700,48500,43050,45800,12062387
20240611,42650,44000,41700,44000,1930077
20240610,37500,42000,37500,41100,1759009
20240607,43700,43700,37900,38200,3258881
20240605,39000,44650,37350,43700,23475149
20240604,40800,49350,38750,39400,33946477
20240603,29800,38700,29700,38700,13412864
20240531,28400,29800,28300,29800,357238
20240530,28650,28900,28300,28400,142248
20240529,28550,28950,28400,28900,120867
20240528,28950,29050,28500,28800,104144
20240527,29150,29300,28800,28950,145418
20240524,29050,29200,28650,29150,151267
20240523,29400,29450,28750,29450,193714
20240522,29550,29600,29050,29400,247583
20240521,29000,29500,28800,29350,310949
20240520,28800,29100,28650,29000,158421
20240517,28700,28850,28300,28800,163363
20240516,27750,28900,27500,28900,368140
20240514,27000,27700,26500,27700,484233
20240513,28150,28250,26300,26400,522525
20240510,28200,29050,27950,28150,447134
20240509,27850,29150,27600,27950,443595
20240508,27750,27800,27250,27600,113922
20240507,27700,27850,27450,27800,175983
20240503,27600,27600,26950,27500,101472
20240502,27500,27550,26950,27350,121365
20240430,27200,27700,27150,27600,200591
20240429,26850,27650,26600,27500,253632
20240426,26850,27050,26550,26850,157014
20240425,26300,27100,26300,26850,159360
20240424,26700,26800,26350,26550,133222
20240423,25650,26850,25500,26800,298636
20240422,25700,26450,25450,25700,317342
20240419,25100,25150,24600,24800,172774
20240418,25150,25750,25050,25450,166556
20240417,25700,25700,24850,25000,199852
20240416,26300,26450,25000,25650,236887
20240415,24650,26400,24550,26300,459455
20240412,25850,25850,24550,24650,317775
20240411,26450,26800,25800,25800,315933
20240409,26350,26850,26250,26850,187345
20240408,26450,26650,25900,26350,135843
20240405,26400,26600,26100,26400,152647
20240404,26300,26650,26200,26300,131265
20240403,26300,26650,25850,26100,240850
20240402,26550,26750,26300,26400,221658
20240401,27200,27200,26450,26800,167120
20240329,27650,27650,26800,26850,157936
20240328,27250,27350,27050,27250,112884
20240327,27150,27500,27100,27200,91857
20240326,27600,28000,27250,27250,128972
20240325,27800,27950,27400,27600,119702
20240322,28000,28150,27550,27950,120324
20240321,27600,28200,27400,27850,200505
20240320,27450,27650,26750,27350,182063
20240319,28250,28550,27200,27350,404204
20240318,28950,29100,28350,28400,179231
20240315,29050,29500,28850,28850,289397
20240314,28400,29650,28050,29150,476573
20240313,28350,28500,28000,28350,201847
20240312,29150,29200,28000,28300,230843
20240311,28850,29350,28850,28900,129459
20240308,29700,29850,28550,29200,334797
20240307,29950,29950,29550,29600,211140
20240306,29050,30050,28950,29850,355922
20240305,28850,29300,28450,29300,245607
20240304,29250,29400,28800,29200,259081
20240229,27950,29300,27900,29000,562033
20240228,28450,28650,27100,28250,1438260
20240227,29500,30500,29450,29650,634825
20240226,29850,31800,28350,29850,2076960
20240223,30150,31100,29850,30200,514075
20240222,29850,30450,29350,30150,552783
20240221,29950,30500,29400,30000,674298
20240220,30900,30950,29350,30100,1336116
20240219,27850,30600,27500,30600,3640332
20240216,26650,27150,26500,27150,316421
20240215,27050,27150,26350,26400,320298
20240214,26800,27350,26650,26800,313761
20240213,27900,28050,27250,27300,406071
20240208,27850,28350,27650,27650,371538
20240207,26950,28250,26750,28000,552923
20240206,27100,27750,26650,26900,337193
20240205,27650,27850,26500,27400,491313
20240202,27300,28400,26500,27550,1077453
20240201,26200,28550,25800,27550,2202413
20240131,26200,26450,25550,26450,433123
20240130,26600,26700,25400,26250,949324
20240129,23600,26450,23400,26300,1650562
20240126,23350,23800,23350,23600,120047
20240125,23100,23750,22950,23550,169271
20240124,23250,23250,22950,23050,110451
20240123,23300,23450,23000,23200,107460
20240122,22950,23400,22900,23300,117771
20240119,22950,23050,22750,22900,214906
20240118,23000,23200,22900,23000,186598
20240117,23600,23700,22900,23000,233941
20240116,23600,23800,23400,23600,124415
20240115,23650,23800,23500,23550,77066
20240112,23800,23950,23550,23650,150603
20240111,24400,24450,23900,23900,189327
20240110,24450,24550,24200,24400,89953
20240109,24300,24500,24200,24350,73483
20240108,24250,24350,24100,24150,67665
20240105,24450,24450,24050,24250,131710
20240104,24600,24700,24300,24350,108644
20240103,24450,24950,24400,24650,178276
20240102,24700,24800,24400,24600,98927
20231228,24550,24800,24450,24700,75534
20231227,24500,24550,24150,24500,118998
20231226,24850,24900,24550,24550,113021
20231222,25150,25150,24700,24750,121499
20231221,24800,25100,24700,25050,111296
20231220,24950,25100,24750,25050,181454
20231219,25150,25200,24450,25000,349109
20231218,25500,25750,25050,25250,149986
20231215,25700,25850,25050,25200,477484
20231214,25900,25900,25500,25600,201856
20231213,25900,26000,25600,25650,173024
20231212,25750,25900,25550,25650,150385
20231211,25750,25750,25250,25700,145308
20231208,25950,26050,25450,25600,203572
20231207,24650,26350,24550,25900,682108
20231206,24300,24750,24300,24750,102076
20231205,24600,24750,24300,24300,177224
20231204,24850,24850,24550,24650,134836
20231201,24850,24900,24550,24750,106608
20231130,24650,24850,24350,24850,147489
20231129,24550,24700,24350,24500,129808
20231128,24700,24700,24300,24550,117886
20231127,24300,24650,24300,24600,112122
20231124,24200,24550,24200,24500,170972
20231123,23600,24300,23600,24250,309059
20231122,23650,23800,23500,23600,76465
20231121,23850,23900,23650,23750,141482
20231120,23600,23800,23450,23700,117566
20231117,23750,23850,23450,23600,122456
20231116,23550,23850,23400,23650,110714
20231115,23550,23800,23500,23600,162237
20231114,23400,23550,23200,23350,151321
20231113,23250,23450,23000,23400,134797
20231110,23050,23250,23000,23100,90768
20231109,23350,23400,23100,23100,130572
20231108,23600,23650,23150,23350,132689
20231107,23550,23600,23150,23400,140648
20231106,23150,23750,23000,23750,263117
20231103,22900,23000,22800,22900,112774
20231102,23000,23150,22750,22800,150413
20231101,22900,23150,22800,22900,83445
20231031,23350,23400,22800,22850,120926
20231030,22950,23250,22850,23250,87639
20231027,23000,23300,22850,22950,101909
20231026,22950,23250,22900,23000,180811
20231025,23200,23350,23050,23350,103525
20231024,23500,23500,22750,23200,148613
20231023,23700,23800,23200,23350,188355
20231020,23950,24100,23650,23700,204288
20231019,24000,24150,23600,24100,163877
20231018,23700,24150,23700,24150,112724
20231017,24250,24250,23750,23850,103976
20231016,23850,24400,23600,24100,268854
20231013,23650,23850,23550,23800,89537
20231012,24000,24000,23600,23800,116119
20231011,24350,24350,23200,23800,161954
20231010,23800,24350,23700,24050,211221
20231006,23300,23550,23200,23450,88402
20231005,23200,23450,23200,23300,124915
20231004,23900,23900,23150,23150,262677
20230927,23850,24050,23700,23900,87856
20230926,24200,24250,23850,23900,207865
20230925,24500,24700,24200,24300,156793
20230922,24350,24500,24200,24400,143113
20230921,25100,25100,24500,24550,214806
20230920,25150,25250,24800,25150,162623
20230919,24950,25150,24800,25000,134474
20230918,25050,25150,24800,24950,153208
