,open,high,low,close,volume
20240822,21700,21900,21550,21800,524571
20240821,21700,21700,21300,21500,390385
20240820,21850,21950,21450,21500,450582
20240819,22050,22250,21600,21650,439476
20240816,22050,22300,21750,22000,704267
20240814,21600,21800,21350,21700,519115
20240813,21750,21900,21400,21400,445863
20240812,21600,22050,21550,21850,571090
20240809,22050,22100,21400,21550,777480
20240808,21400,22150,20800,21850,2020691
20240807,19660,21750,19510,21400,2500498
20240806,19570,20350,19400,19680,1453951
20240805,21050,21050,18490,19180,2077299
20240802,21200,21500,20750,21250,677940
20240801,21300,21750,21250,21550,492728
20240731,21300,21400,21000,21400,494491
20240730,21650,21750,21150,21200,640052
20240729,21200,22000,21050,21850,911149
20240726,21350,21900,20950,21200,1047324
20240725,20450,22000,20250,21400,2472575
20240724,20450,20950,19970,20400,1414547
20240723,21450,23550,20000,20300,5426220
20240722,21350,21550,21100,21100,387022
20240719,21150,21450,20850,21400,384334
20240718,21650,21650,21000,21450,493495
20240717,21350,21750,21250,21550,490909
20240716,21550,21800,21200,21250,463568
20240715,22300,22350,21500,21500,550884
20240712,21700,22350,21650,22150,741543
20240711,21700,21750,21350,21700,644492
20240710,21600,21650,21350,21500,358063
20240709,21800,21950,21550,21750,452273
20240708,21200,21850,21150,21700,550978
20240705,21150,21700,21100,21400,742777
20240704,21000,21200,20700,21050,455718
20240703,20800,21350,20750,20800,490166
20240702,20750,21050,20600,20800,554391
20240701,20250,21100,20150,21000,756566
20240628,20350,20450,20150,20300,744172
20240627,20750,20900,20050,20250,1177800
20240626,21000,21250,20900,21000,687885
20240625,21200,21300,21000,21150,569960
20240624,21400,21400,21000,21000,353125
20240621,21200,21800,21050,21400,744426
20240620,21050,21450,20950,21150,512374
20240619,21050,21200,20800,21100,784179
20240618,21350,21450,20900,20950,558742
20240617,21650,21700,21050,21250,788489
20240614,22000,22200,21600,21600,944886
20240613,22500,22800,22100,22100,1128015
20240612,22300,22550,22150,22500,493544
20240611,22500,22650,22300,22350,537785
20240610,22400,22800,22250,22400,441992
20240607,22350,22950,22300,22700,732578
20240605,22250,22450,22050,22200,508062
20240604,22500,22750,22150,22250,529195
20240603,22400,23050,22300,22500,554407
20240531,22350,22600,22150,22250,2478368
20240530,22300,22450,21850,22150,693816
20240529,22700,22700,22450,22500,836388
20240528,23100,23400,22850,22900,497883
20240527,22700,23400,22650,23300,666095
20240524,22900,23000,22600,22650,865358
20240523,23000,23350,22950,23200,622275
20240522,23150,23400,22950,23300,590366
20240521,23400,23500,22800,23050,920341
20240520,23750,23850,23400,23500,612630
20240517,23850,24000,23500,23500,805129
20240516,24000,24300,23750,23800,1305491
20240514,23850,24000,23700,23700,781017
20240513,24100,24250,23800,23850,905299
20240510,24200,24300,23950,24050,1129104
20240509,25700,25750,23850,24050,3340432
20240508,26150,26350,25350,25600,1355350
20240507,25600,26100,25350,25850,1053703
20240503,25100,25450,25100,25300,589082
20240502,24700,24950,24100,24800,641419
20240430,25000,25250,24850,25100,662478
20240429,24850,25100,24650,25100,618041
20240426,24600,24950,24500,24650,442120
20240425,24350,24750,24100,24400,464577
20240424,24750,24900,24600,24700,476435
20240423,24550,24750,24400,24500,355484
20240422,24300,24700,24150,24700,490341
20240419,23500,23850,23250,23750,758594
20240418,23400,24200,23300,24050,575099
20240417,23850,24100,23200,23200,746824
20240416,24300,24500,23700,23800,867090
20240415,24550,24800,24000,24750,611917
20240412,25750,25900,24800,24850,1149992
20240411,25000,26150,24950,26150,994151
20240409,25950,26400,25800,25900,449045
20240408,25450,25900,24800,25750,615157
20240405,25750,25950,25300,25450,662472
20240404,26550,26800,25850,25950,726128
20240403,26500,26800,26200,26350,691274
20240402,27050,27050,26500,26550,1052402
20240401,27850,27850,27300,27400,530096
20240329,28150,28150,27500,27550,690017
20240328,28400,28450,27950,28100,581963
20240327,28450,28950,28050,28200,666492
20240326,28150,29200,27900,28850,1083811
20240325,28100,28200,27650,27800,560631
20240322,28000,28500,27950,28100,432870
20240321,28350,28500,28000,28250,749636
20240320,28150,28800,27900,27900,863166
20240319,27650,28100,27300,27850,806241
20240318,28500,28550,27750,27950,802723
20240315,29200,29200,28250,28400,996329
20240314,29200,29600,28950,29250,1307093
20240313,29150,29300,28750,29100,576957
20240312,29150,29350,28650,28900,484305
20240311,28600,29100,28350,28900,394337
20240308,29100,29500,28500,28750,706479
20240307,27900,28700,27850,28700,802632
20240306,27300,28150,27300,27650,562052
20240305,28150,28600,27500,27550,1025607
20240304,28450,29150,28200,28400,789277
20240229,28400,28850,28100,28450,928091
20240228,29700,29900,28450,28650,912643
20240227,30350,30650,29450,29550,705231
20240226,30400,30450,29850,30150,686199
20240223,29600,30350,29400,30100,943380
20240222,29850,30200,29500,29650,738712
20240221,29700,30100,29350,29600,608800
20240220,30000,30550,29450,29450,1039807
20240219,30300,30600,29850,30000,973489
20240216,30250,30500,29750,30100,845770
20240215,30350,31200,29800,29800,2148690
20240214,29000,30100,28650,29800,1138724
20240213,29450,30000,29450,29700,1450726
20240208,28400,29750,28250,29100,2480031
20240207,28000,31050,27950,28400,6674910
20240206,27500,27750,26950,27300,811187
20240205,29050,29050,27300,27500,1604228
20240202,27250,29600,27150,29300,2664997
20240201,26800,27250,26500,26850,1088283
20240131,27350,27550,26850,27300,558770
20240130,27950,28100,27400,27600,792684
20240129,29250,29250,27600,27650,1388508
20240126,29050,29850,28950,29100,862657
20240125,29000,29500,28400,29250,864630
20240124,29400,29650,28800,29200,766479
20240123,28200,29550,28200,29300,1763046
20240122,28700,29000,27800,27850,953313
20240119,29000,29300,28400,28400,941277
20240118,29000,29000,28300,28500,1134294
20240117,30400,30450,28600,29000,2083180
20240116,30900,31250,29750,30450,2682974
20240115,29400,31500,28450,31450,5505469
20240112,29700,30050,28000,29400,2887044
20240111,27300,30800,27050,29700,12102465
20240110,26600,27350,26450,27050,774088
20240109,26400,26850,26350,26500,614003
20240108,25950,26300,25850,25950,467742
20240105,26250,26550,25750,25900,559464
20240104,26800,27050,26200,26200,763853
20240103,27550,27750,27100,27200,830611
20240102,28150,28350,27250,28000,907014
20231228,27850,28500,27550,28500,1148062
20231227,27850,27850,27300,27700,578358
20231226,27450,27850,27200,27450,634265
20231222,27650,28100,27200,27200,625013
20231221,26900,27500,26800,27500,576079
20231220,26600,27450,26500,27400,1223701
20231219,26650,26750,26200,26250,681985
20231218,27150,27200,26150,26900,957925
20231215,26950,27100,26700,27100,1158616
20231214,26500,27150,26300,26850,2481490
20231213,26150,26300,25750,25950,650370
20231212,26300,26500,26000,26100,886538
20231211,26150,26250,25650,26250,775736
20231208,26100,26400,25850,26000,795584
20231207,25450,26000,25400,25850,543357
20231206,25450,26000,25350,25750,866884
20231205,25300,25500,25000,25250,620061
20231204,25650,25900,25350,25400,548069
20231201,26100,26150,25450,25450,641374
20231130,26000,26200,25600,26200,776201
20231129,26300,26350,25850,26000,723505
20231128,25400,26300,25100,26300,1257268
20231127,25350,25650,25100,25250,577231
20231124,25800,26100,25300,25550,648757
20231123,26050,26200,25350,26000,1195898
20231122,25750,26400,25300,26000,1599398
20231121,24100,26750,24050,26000,6552880
20231120,23650,24100,23300,23900,588247
20231117,24200,24450,23350,23700,581807
20231116,24100,24350,23750,24350,545498
20231115,23950,24400,23650,24350,1397420
20231114,23450,23800,23100,23450,776621
20231113,23350,23500,23050,23250,652602
20231110,23600,23750,22950,22950,969618
20231109,22650,24500,22600,24050,2654666
20231108,23800,24200,22800,23000,2033535
20231107,24300,24300,22750,22850,1962792
20231106,22450,24750,22250,24600,4255042
20231103,20700,21500,20350,21100,1252204
20231102,19020,20750,19020,20300,2313634
20231101,18160,18900,18100,18760,1372606
20231031,18580,18820,17970,18160,1452739
20231030,18550,18840,18200,18460,1630760
20231027,19500,19690,18110,18780,2686366
20231026,19950,20250,19510,19510,1323705
20231025,21000,21350,20350,20450,1106423
20231024,21000,21250,20050,20950,1479091
20231023,21200,21600,20850,20950,1354076
