,open,high,low,close,volume
20240822,170300,177400,170200,177400,177988
20240821,169000,171100,168200,169800,64300
20240820,168400,170700,167200,169000,72264
20240819,166600,172200,166400,168400,141875
20240816,164700,168600,163500,166400,189894
20240814,171000,171300,162300,163100,387330
20240813,172100,173700,170600,170900,119427
20240812,172300,173500,170000,172100,189214
20240809,183800,183800,171600,172200,371507
20240808,178800,184900,174100,183800,336637
20240807,169100,189100,168500,181500,581910
20240806,170300,176500,167000,171400,288864
20240805,179000,180400,160000,170100,314374
20240802,174500,184000,174500,180800,359084
20240801,174300,176800,174300,175300,70054
20240731,172900,176800,171000,176000,101213
20240730,173200,176400,171200,172000,85248
20240729,171700,176900,171700,174500,104500
20240726,170300,172900,168100,171700,106209
20240725,176400,176400,170000,170300,260980
20240724,179200,182000,177200,177300,119703
20240723,179700,182800,179600,180200,95784
20240722,182900,183900,178800,179600,125247
20240719,183500,184600,178700,182500,142688
20240718,182500,185300,180700,185000,153728
20240717,185600,186500,182400,182500,262322
20240716,188300,188300,185900,186300,148849
20240715,190500,191700,188000,188200,153404
20240712,189700,193000,189200,189700,194203
20240711,191000,191300,188100,190100,297369
20240710,193100,194100,190200,190500,268683
20240709,196900,196900,194100,194300,188231
20240708,196100,196900,193300,196300,189248
20240705,199700,201000,197100,197400,245901
20240704,197100,201000,197100,201000,191958
20240703,197800,198500,196900,197000,165916
20240702,200000,200000,196700,197200,196568
20240701,204500,204500,199200,200500,146521
20240628,198500,205000,198500,202500,287559
20240627,197700,198800,197500,198500,147771
20240626,198300,198800,197300,197900,132736
20240625,196200,199300,196000,198700,118914
20240624,200500,202000,198100,198100,174289
20240621,202500,202500,200000,200000,125219
20240620,200500,205000,199900,202500,260509
20240619,200500,201000,199500,200500,160180
20240618,203000,203000,199800,199900,216279
20240617,201500,203500,199100,202500,204260
20240614,199300,201000,198200,200500,207259
20240613,201000,201000,198500,199700,309593
20240612,200500,201500,198300,199100,200055
20240611,202500,203500,198000,198000,259363
20240610,197000,204000,197000,202500,293388
20240607,198500,199800,196500,197000,188602
20240605,200500,201000,198500,198500,214389
20240604,201000,202500,198800,200000,225339
20240603,201000,204000,199600,200500,289503
20240531,198600,207000,193000,200000,988802
20240530,198000,206500,197300,204000,388278
20240529,198600,201500,198000,199300,173129
20240528,203000,203500,197100,200000,304764
20240527,204500,208500,202000,203500,422906
20240524,198100,203000,196900,200500,361727
20240523,186500,201500,185700,198100,662370
20240522,187500,189500,186600,186800,210132
20240521,190300,191200,187900,188000,264225
20240520,193800,193900,191000,191200,209543
20240517,193500,196600,193200,193900,187827
20240516,194200,197400,192700,194000,261386
20240514,191500,195600,191500,193500,181446
20240513,201000,201000,192000,192800,499201
20240510,199800,202500,196500,200500,1348983
20240509,202500,203000,199700,199900,300714
20240508,204500,205500,202500,203000,200974
20240507,204000,204500,201000,204500,270690
20240503,201500,205500,200000,203500,360938
20240502,202500,205500,200000,200000,385603
20240430,203500,205000,202000,202000,280426
20240429,201500,206500,201000,205000,502131
20240426,206000,207500,199800,201500,1122644
20240425,212500,217000,207000,212000,625138
20240424,210500,214500,209000,211000,584355
20240423,209000,212500,202500,210000,1096822
20240422,233500,238500,206000,212500,1044009
20240419,227500,232000,221500,230500,234688
20240418,220000,230500,220000,228500,260678
20240417,220500,225000,219000,219000,168906
20240416,214500,223000,212000,223000,241597
20240415,210500,215500,208000,214500,104498
20240412,214500,220000,211500,213000,169941
20240411,213500,217000,207500,216500,206335
20240409,218500,224500,216000,216500,109649
20240408,224500,226500,217000,217000,187961
20240405,220000,228000,218500,224000,204395
20240404,225000,225500,220500,221000,173764
20240403,220500,228500,220000,224000,184075
