,open,high,low,close,volume
20240822,85500,87000,84300,84800,356825
20240821,89300,89700,84000,84100,269416
20240820,87500,90000,87100,89300,181069
20240819,89600,89600,86200,86200,225466
20240816,86000,89400,85000,88100,281630
20240814,80000,83800,79700,82300,287543
20240813,77000,79300,76100,77900,188557
20240812,76400,78000,75800,77200,183223
20240809,74400,76000,73100,75700,212758
20240808,72100,74100,71100,72200,501234
20240807,71500,76500,71500,75200,324219
20240806,75900,76100,71600,74400,332875
20240805,72800,76400,67900,70400,463772
20240802,80200,80800,74600,75900,531160
20240801,86000,87500,81000,83300,580916
20240731,82000,86200,80800,86200,347623
20240730,82700,82900,80600,82100,164629
20240729,84800,86500,83100,84500,294646
20240726,82300,84400,81700,83300,380707
20240725,81000,82200,79600,80400,505102
20240724,82600,85700,80900,83800,500532
20240723,86400,87400,83100,84700,488639
20240722,87500,87600,82500,85700,465862
20240719,88200,89600,87000,88000,366108
20240718,91000,92000,86300,89000,1117409
20240717,106100,106100,95500,97100,510657
20240716,105400,105500,102000,105500,222062
20240715,106900,107800,104000,105500,241951
20240712,104700,106900,103100,105300,346977
20240711,105000,109000,103500,106700,382328
20240710,101600,104800,101600,103000,188486
20240709,104500,106300,101500,103200,260992
20240708,103000,107500,102800,103000,302354
20240705,96800,105000,96500,104200,763569
20240704,97300,100300,94800,97300,420090
20240703,96900,97400,93400,96500,342500
20240702,99500,100500,95400,95500,339073
20240701,99400,102100,98500,100500,269925
20240628,103500,106600,99700,100000,720697
20240627,100600,102800,99000,102200,612830
20240626,96600,102200,96100,102200,460038
20240625,89200,95600,87200,95600,313924
20240624,97000,97000,90400,91200,306842
20240621,96300,97500,93200,97500,412975
20240620,97300,98900,94700,98000,592954
20240619,95800,100800,95600,98500,971455
20240618,90000,93800,90000,93400,577873
20240617,90100,91800,88000,90700,317838
20240614,93800,95300,91100,91400,535513
20240613,90300,97000,90100,93800,1124232
20240612,87600,92100,87600,89800,494368
20240611,89400,90400,87200,88100,460303
20240610,88100,103800,88100,89800,2089240
20240607,79100,87500,78600,87500,789388
20240605,77000,79000,76100,76800,370954
20240604,76500,78200,76000,77300,282223
20240603,77700,78400,75200,78200,246463
20240531,80200,80600,74200,77600,1214635
20240530,80000,80800,78600,79400,308901
20240529,82400,83300,80500,81100,313725
20240528,83900,85400,82400,83300,174597
20240527,86000,87000,84500,84800,302563
20240524,82000,85900,82000,85400,533432
20240523,81100,84700,81100,83300,453375
20240522,81300,83500,80500,82000,234874
20240521,80900,82900,80100,81800,422030
20240520,83600,84500,80500,80800,380155
20240517,81800,83800,81600,82300,376538
20240516,80500,82200,80300,80900,393954
20240514,81700,82300,78700,79000,252588
20240513,80400,83000,80400,82900,262893
20240510,79600,81900,78300,80400,244707
20240509,78500,79400,77300,78100,223962
20240508,78300,79500,77300,78600,237427
20240507,76300,79700,75500,76900,387282
