DateTime,Close,Open,Low,High,Volume
2024-06-26 15:00:00,+81300,+81100,+81000,+81300,1978122
2024-06-26 14:00:00,+81100,+81100,+81000,+81400,2339346
2024-06-26 13:00:00,+81100,+80900,80800,+81100,1898495
2024-06-26 12:00:00,+80900,-80700,-80500,+80900,756281
2024-06-26 11:00:00,-80700,-80700,-80500,+80900,921397
2024-06-26 10:00:00,-80600,-80500,-80300,-80700,1319588
2024-06-26 09:00:00,-80600,-80100,-79900,+81000,6441252
2024-06-25 15:00:00,+80800,+80900,-80400,+81000,3399262
2024-06-25 14:00:00,+80900,+81500,+80700,+81600,2639432
2024-06-25 13:00:00,+81500,+81500,+81300,+81600,1094778
2024-06-25 12:00:00,+81500,+81500,+81400,+81800,1609364
2024-06-25 11:00:00,+81500,+81100,+81100,+81600,2021213
2024-06-25 10:00:00,+81100,-80400,-80400,+81300,2428750
2024-06-25 09:00:00,-80400,80600,-80100,+80900,4214364
2024-06-24 15:00:00,+80600,+80700,+80400,+80800,1959003
2024-06-24 14:00:00,+80700,+80200,+80200,+80900,2060545
2024-06-24 13:00:00,+80200,+80100,80000,+80400,1469970
2024-06-24 12:00:00,80000,-79800,-79800,+80200,1021003
2024-06-24 11:00:00,-79800,-79800,-79700,80000,932540
2024-06-24 10:00:00,-79800,+80200,-79700,+80400,2260136
2024-06-24 09:00:00,+80300,-79700,-79500,+80400,3879338
2024-06-21 15:00:00,-80000,-80400,-80000,-80600,3973840
2024-06-21 14:00:00,-80500,-80300,-80200,-80600,1258108
2024-06-21 13:00:00,-80300,-80500,-80300,-80600,1030897
2024-06-21 12:00:00,-80500,-80200,-80200,-80600,1508362
2024-06-21 11:00:00,-80300,-80000,-80000,-80400,1140883
2024-06-21 10:00:00,-80000,-80300,-80000,-80400,1887640
2024-06-21 09:00:00,-80300,-80700,-80000,-80800,6117209
2024-06-20 15:00:00,+81600,+81900,+81600,+82000,2457677
2024-06-20 14:00:00,+81900,+82000,+81800,+82100,2360281
2024-06-20 13:00:00,+82100,+81800,+81600,+82100,2480820
2024-06-20 12:00:00,+81900,+81500,+81500,+81900,1126092
2024-06-20 11:00:00,+81500,+81600,+81300,+81600,1503138
2024-06-20 10:00:00,+81600,+81400,81200,+82200,4778711
2024-06-20 09:00:00,+81500,+81500,81200,+82000,5082836
2024-06-19 15:00:00,+81200,+81200,+81100,+81400,2404200
2024-06-19 14:00:00,+81100,+80900,+80800,+81300,2263012
2024-06-19 13:00:00,+80900,+81000,+80800,+81200,1452054
2024-06-19 12:00:00,+81000,+80900,+80500,+81200,2047650
2024-06-19 11:00:00,+80900,+81400,+80700,+81400,1753619
2024-06-19 10:00:00,+81400,+81400,+80800,+81500,2768461
2024-06-19 09:00:00,+81400,+81100,+81000,+82500,11072047
2024-06-18 15:00:00,+79800,+79900,+79700,+79900,1755588
2024-06-18 14:00:00,+79900,+79800,+79700,+80000,1949264
2024-06-18 13:00:00,+79900,+79800,+79800,+79900,886332
2024-06-18 12:00:00,+79800,+79800,+79700,+79900,890933
2024-06-18 11:00:00,+79900,+80100,+79700,+80100,1654098
2024-06-18 10:00:00,+80000,+79800,+79600,+80100,3566265
2024-06-18 09:00:00,+79900,+78700,+78600,+80200,7256553
2024-06-17 15:00:00,-78100,-78100,-78000,-78400,1976638
2024-06-17 14:00:00,-78100,-78500,-78000,-78600,2541284
2024-06-17 13:00:00,-78500,-79200,-78400,-79400,1815719
