Date,Close,Open,Low,High,Volume
2024-08-19,346500,341000,339500,350500,87346
2024-08-16,341000,339500,334500,343000,114835
2024-08-14,336500,360000,335000,364000,153543
2024-08-13,360000,351500,351500,364500,78876
2024-08-12,354500,355500,350000,357000,48598
2024-08-09,351000,347500,345500,354500,69412
2024-08-08,349000,352000,343500,354500,120507
2024-08-07,356000,335000,333000,358000,92462
2024-08-06,333500,349000,331500,349500,96359
2024-08-05,328000,350000,324000,352000,119256
2024-08-02,364000,365000,351000,365500,71859
2024-08-01,374500,366500,354000,374500,77475
2024-07-31,372500,362000,361000,376000,95051
2024-07-30,360000,353000,348000,362500,63841
2024-07-29,353500,352500,352000,360000,66898
2024-07-26,352500,352000,349500,359500,84381
2024-07-25,347000,359500,345000,362500,73418
2024-07-24,356000,362000,352000,365500,87852
2024-07-23,365500,372000,365500,373500,48213
2024-07-22,366500,363000,361500,371000,79008
2024-07-19,363000,371500,359000,372500,85916
2024-07-18,367000,371000,362000,373000,78749
2024-07-17,367500,369000,360000,371000,121376
2024-07-16,370000,370000,365000,373500,95921
2024-07-15,371500,390000,370000,390000,91304
2024-07-12,382000,374500,369000,382500,153904
2024-07-11,388000,378000,376000,388000,115695
2024-07-10,378000,374500,369000,385000,100745
2024-07-09,366000,371500,359000,371500,87726
2024-07-08,368000,372000,368000,376500,71881
2024-07-05,382000,383000,376500,386500,179407
2024-07-04,375000,374000,370000,393000,122254
2024-07-03,368500,371500,366000,375000,63052
2024-07-02,368500,361000,359000,375500,124547
2024-07-01,372000,383500,370000,389000,84870
2024-06-28,389000,381500,378500,393500,103060
2024-06-27,377000,370000,368000,377000,73828
2024-06-26,373500,347500,347500,373500,104756
2024-06-25,357500,355000,352000,358000,101699
2024-06-24,351500,369000,349500,369000,86042
2024-06-21,369000,367000,358500,370000,142672
2024-06-20,360000,342000,340000,361000,105457
2024-06-19,344500,337000,334000,347000,91402
2024-06-18,334000,337500,327000,338000,53901
2024-06-17,335500,333000,333000,338500,58173
2024-06-14,333000,329000,324000,336000,70214
2024-06-13,330500,331500,330500,340500,203328
2024-06-12,334500,334000,331000,338000,86340
2024-06-11,334500,341000,333000,345000,78374
2024-06-10,337500,337500,330500,345000,77089
2024-06-07,343000,344500,341000,354000,80938
2024-06-05,343500,343000,337500,349000,66697
2024-06-04,343000,353500,339500,354500,82287
2024-06-03,357000,358500,349500,364000,78564
2024-05-31,348500,348500,341000,356000,151102
2024-05-30,341500,337000,332500,345000,58553
2024-05-29,341000,337500,336000,344000,69362
2024-05-28,344000,338000,337500,347000,40053
2024-05-27,342000,336000,336000,349000,107718
2024-05-24,335000,337500,329000,340000,136211
2024-05-23,347500,337500,332000,350000,98905
2024-05-22,344000,367000,343500,368500,182467
2024-05-21,374000,368500,367000,374000,74858
2024-05-20,373500,365500,362500,374500,79439
2024-05-17,371000,373000,365500,380000,139260
2024-05-16,370000,338000,338000,375000,293197
2024-05-14,336500,329500,326000,342000,116911
