Date,Close,Open,Low,High,Volume
2024-08-19,80000,80600,79600,81200,85634
2024-08-16,80500,79500,79400,81100,136995
2024-08-14,78700,79400,78200,79400,103562
2024-08-13,79200,78300,78200,79300,76624
2024-08-12,78800,78600,78000,79400,93421
2024-08-09,78000,80300,77400,80400,246295
2024-08-08,80300,78500,77800,80900,188953
2024-08-07,79300,77100,76600,80300,171744
2024-08-06,77600,83200,77200,83500,253466
2024-08-05,78100,83800,77400,83800,242747
2024-08-02,85000,86000,84300,86700,107636
2024-08-01,86100,85900,85400,86900,89466
2024-07-31,86700,84800,83900,87300,464155
2024-07-30,84800,83200,82200,85800,188472
2024-07-29,84300,83100,82200,87000,262585
2024-07-26,82900,81200,80800,83400,256203
2024-07-25,80500,81300,79900,81300,120603
2024-07-24,81100,80300,80300,81300,61335
2024-07-23,80900,81100,80500,81500,70500
2024-07-22,81100,81900,80700,81900,109113
2024-07-19,81800,80500,80200,81800,115197
2024-07-18,81000,81500,80500,81600,105837
2024-07-17,81400,81400,80500,81600,118568
2024-07-16,80900,81200,80800,81500,80463
2024-07-15,81000,82000,81000,82000,80233
2024-07-12,81600,81700,80500,82500,119832
2024-07-11,81700,81300,80500,81700,165226
2024-07-10,80600,81500,80500,81800,102549
2024-07-09,82100,81800,81300,82600,101235
2024-07-08,81200,82100,81200,82700,81863
2024-07-05,83100,83100,82500,84000,233020
2024-07-04,82700,80100,79900,82800,261122
2024-07-03,79700,80100,79700,80700,136663
2024-07-02,79400,79700,79200,80200,155817
2024-07-01,80500,80300,79900,80700,91239
2024-06-28,80600,79900,79600,80600,134773
2024-06-27,79400,80600,78600,80900,254395
2024-06-26,81600,81100,80900,81800,123853
2024-06-25,81800,81500,80700,81900,118366
2024-06-24,80600,82500,80600,82900,133587
2024-06-21,82500,81600,81200,82500,324453
2024-06-20,81800,81700,80400,81800,184675
2024-06-19,81700,80400,80100,82400,233076
2024-06-18,79500,80600,79500,80700,123816
2024-06-17,80400,79900,79500,80400,114414
2024-06-14,80000,80900,79700,81600,311687
2024-06-13,81400,83200,81400,85300,351352
2024-06-12,83000,80300,80300,83100,270712
2024-06-11,79800,80700,79500,81000,135828
2024-06-10,80500,80500,79800,81400,130925
2024-06-07,81300,80400,79800,81500,206024
2024-06-05,79600,80000,79100,80400,154024
2024-06-04,79000,81800,78900,82400,216503
2024-06-03,81700,81300,81200,82200,154536
2024-05-31,81300,81900,80300,82500,503669
2024-05-30,81100,81000,80600,82100,141487
2024-05-29,81500,80600,80500,82600,238111
2024-05-28,81400,79200,79200,82000,229888
2024-05-27,79900,78700,78700,80500,129686
2024-05-24,78400,79700,78400,80600,210423
2024-05-23,80600,80400,80200,81200,133393
2024-05-22,81000,79800,79700,81700,247895
2024-05-21,80500,80300,79500,81400,284239
2024-05-20,81100,82000,80800,82100,181396
2024-05-17,81000,81000,80700,81500,239817
2024-05-16,81000,82400,80700,82800,263759
2024-05-14,80500,81000,80100,81200,218244
2024-05-13,81000,80500,79900,81200,184044
2024-05-10,79800,80200,79700,80900,378174
2024-05-09,79100,80300,78900,80300,182517
2024-05-08,79900,80200,79400,80300,142167
2024-05-07,79500,78100,78000,79700,255616
2024-05-03,77100,78700,77000,78800,207760
2024-05-02,77800,78800,77700,79100,170539
2024-04-30,79400,80000,79200,80600,259196
2024-04-29,80200,80300,79600,81000,152404
2024-04-26,78900,78200,77800,79600,111546
2024-04-25,77900,78100,77900,79000,135072
2024-04-24,79100,80700,79000,81300,127404
2024-04-23,79200,79100,78500,80500,156862
2024-04-22,79000,77000,76600,79900,272294
2024-04-19,75500,75100,74800,76000,245639
2024-04-18,76200,76100,73900,76800,457818
2024-04-17,76100,77500,75800,78300,355634
2024-04-16,77000,76400,75500,77700,266193
2024-04-15,77100,76900,76000,78100,274880
2024-04-12,77600,78900,77400,80100,421932
2024-04-11,79600,78600,77500,80600,359357
2024-04-09,80800,81600,80700,82000,378747
2024-04-08,80600,80700,79600,81000,221875
2024-04-05,80100,80500,78700,81500,463078
2024-04-04,82300,83200,81600,83600,305063
2024-04-03,82200,84500,81300,84500,373280
2024-04-02,85500,85200,84800,86300,212341
2024-04-01,86600,88400,86200,88600,175392
2024-03-29,87500,87900,86600,89100,233338
2024-03-28,87600,88700,87600,88700,244326
2024-03-27,89200,88000,87800,90000,207116
2024-03-26,89900,90200,89600,91400,198728
2024-03-25,89800,90900,89500,90900,164908
2024-03-22,90400,90300,90300,92500,188487
2024-03-21,91300,89900,89200,92100,260531
2024-03-20,89100,89800,89000,90500,175463
2024-03-19,89100,89000,87800,89700,307990
2024-03-18,89600,93100,88600,94700,652430
2024-03-15,94900,98400,93400,99500,589886
2024-03-14,101400,100200,98200,101500,443284
2024-03-13,99800,96700,96000,100400,270025
2024-03-12,95300,98600,95300,99200,151310
2024-03-11,97300,94300,94300,99200,257359
2024-03-08,95200,98300,94800,98300,294300
2024-03-07,97300,94300,93900,97900,223645
2024-03-06,94300,93500,93100,95500,171931
2024-03-05,93600,93800,93100,95600,205279
2024-03-04,95000,93500,92700,96400,282387
2024-02-29,93700,93700,93000,95000,390728
2024-02-28,94700,92500,91200,96500,409867
2024-02-27,93400,94400,92200,94500,230955
2024-02-26,93900,100600,92700,100600,604229
2024-02-23,101500,99100,99100,102700,438973
2024-02-22,99000,99900,97700,100100,314203
2024-02-21,101000,100600,98600,102200,335960
2024-02-20,101600,102900,96700,103300,637308
2024-02-19,103500,98000,96800,103600,808969
2024-02-16,96500,93300,92800,96500,325404
2024-02-15,92500,92800,91700,93500,268657
2024-02-14,92000,91800,91600,93500,249458
2024-02-13,93000,93900,92300,94900,424591
2024-02-08,94000,92900,92600,94500,412281
2024-02-07,93900,90000,89300,94200,861867
2024-02-06,90200,90300,88900,91800,363460
2024-02-05,91200,91000,88500,92700,667586
2024-02-02,92100,89900,86400,92400,972696
2024-02-01,88100,81800,81200,93700,1805465
2024-01-31,82000,77500,76800,82700,1310120
2024-01-30,77700,77500,77000,79900,840371
2024-01-29,75800,74000,73500,76700,474271
2024-01-26,73700,73300,73200,74300,174559
2024-01-25,73600,73000,72800,74100,590749
2024-01-24,73000,73000,72600,73500,307856
2024-01-23,73000,72300,71600,73100,265352
2024-01-22,71700,72500,71300,72600,213732
2024-01-19,72200,72500,71200,73400,383174
2024-01-18,72100,72100,71700,73000,439025
2024-01-17,72200,75000,71800,75300,598265
2024-01-16,75200,76000,75000,76400,257242
2024-01-15,77000,76400,76400,77500,147255
2024-01-12,76300,77100,75900,77300,341783
2024-01-11,77400,79400,77400,79500,298902
2024-01-10,78800,79800,78800,80500,157218
2024-01-09,79500,81000,79300,81000,161600
2024-01-08,79700,80400,79500,80800,122049
2024-01-05,79700,80600,79700,81000,135407
2024-01-04,80700,81600,80500,81900,143659
2024-01-03,81700,83800,81700,84500,204529
2024-01-02,84800,85700,83800,86000,152447
2023-12-28,85900,83500,83000,85900,261319
2023-12-27,83100,85100,82900,86200,254699
2023-12-26,88300,86600,86600,88400,269198
2023-12-22,85800,86400,85800,87000,127365
2023-12-21,86400,85900,85500,86700,83179
2023-12-20,86500,86300,85700,87300,275372
2023-12-19,86000,85400,85200,86500,135230
2023-12-18,86300,86300,84700,87000,171076
2023-12-15,87400,85100,84600,87400,292006
2023-12-14,86300,84600,84000,86300,320025
2023-12-13,83400,84300,82900,84900,188597
2023-12-12,84900,83300,82700,85500,166727
2023-12-11,82700,82800,81800,83200,110374
2023-12-08,82400,82100,81700,82600,108448
2023-12-07,81700,81400,80700,82000,141906
2023-12-06,82400,82400,82000,83100,133272
2023-12-05,81900,81900,81300,82300,175811
2023-12-04,82400,82500,82100,83100,189091
2023-12-01,82000,83100,81700,83400,574474
2023-11-30,84100,81900,81600,84100,387163
2023-11-29,82200,82300,81600,83200,148070
2023-11-28,83000,82500,81700,83500,185416
2023-11-27,81700,82600,80900,82600,108969
2023-11-24,82200,83000,82200,83400,101601
2023-11-23,83400,84300,83000,84900,136500
2023-11-22,85100,85300,84600,86100,83501
2023-11-21,86500,86600,85500,86600,112736
2023-11-20,85400,85300,84800,86200,88990
2023-11-17,85300,85700,84600,85700,91990
2023-11-16,84900,84000,83700,84900,115476
2023-11-15,84300,82900,82400,84400,212557
2023-11-14,81300,82800,81300,82900,276869
2023-11-13,81800,82200,81200,83000,80501
2023-11-10,81300,81900,80800,82700,61896
2023-11-09,82700,80900,80900,82700,109301
2023-11-08,81500,83100,81100,83900,128795
2023-11-07,82400,82900,80500,83100,236797
2023-11-06,84600,79300,78500,84600,225945
2023-11-03,79000,79200,78600,79800,125591
2023-11-02,78300,78800,77800,79800,124333
2023-11-01,77500,77300,76600,78300,135688
2023-10-31,77200,77900,76400,78500,193181
2023-10-30,77100,76700,75300,77300,210099
2023-10-27,77400,79800,77000,79800,156611
2023-10-26,78500,80300,78100,80300,136082
2023-10-25,80200,79500,79400,80900,136294
2023-10-24,79200,80800,78300,80800,154089
2023-10-23,80000,82700,79500,82700,165444
2023-10-20,81200,80900,80500,82000,99488
2023-10-19,82000,82100,81100,82500,126760
2023-10-18,82900,83200,82600,84000,90189
2023-10-17,83600,84800,83400,84800,108760
2023-10-16,83800,83000,83000,84400,111189
2023-10-13,83100,83300,82700,83500,85805
2023-10-12,84500,85000,83800,85000,148937
2023-10-11,83800,83800,83500,84900,194611
2023-10-10,83200,83300,82700,85600,161178
2023-10-06,81400,82600,80900,82800,97276
2023-10-05,81000,81100,80800,81800,115890
2023-10-04,81000,82000,80900,83000,247893
2023-09-27,83800,84100,83100,84300,210605
2023-09-26,85000,84600,83000,85800,162034
2023-09-25,85100,84700,83900,85400,147860
2023-09-22,83900,82700,82300,85200,140355
2023-09-21,83500,84500,83200,85300,100965
2023-09-20,85300,84500,84300,85800,82928
2023-09-19,84600,84100,84100,85800,85010
2023-09-18,84500,85800,84500,85800,77545
2023-09-15,85800,85200,84100,86400,266105
2023-09-14,85000,84800,83800,85000,208962
2023-09-13,84700,82900,82900,84700,117602
2023-09-12,83800,84800,83400,84800,108348
2023-09-11,84100,83900,83100,84700,103704
2023-09-08,83900,84800,83200,84800,79884
2023-09-07,84500,83600,83500,84800,158307
2023-09-06,84300,83800,83100,84800,144654
2023-09-05,84500,83800,83800,84700,131966
2023-09-04,84300,82300,82100,84300,118156
2023-09-01,82900,82600,82500,83900,148226
2023-08-31,82100,82200,81500,82800,380195
2023-08-30,82600,83400,82300,83500,122574
2023-08-29,82800,82600,82200,83200,135696
2023-08-28,82400,82600,81500,82800,86791
2023-08-25,82300,81100,80700,82500,114893
2023-08-24,82000,81500,81300,82100,106472
2023-08-23,81500,80600,80500,82000,116506
2023-08-22,81200,81000,80500,81400,121937
2023-08-21,81000,80500,80400,81300,196339
2023-08-18,79700,79600,79500,80600,160148
2023-08-17,80800,81000,79500,81300,200403
2023-08-16,81400,80900,79800,82000,168596
2023-08-14,81200,82300,81000,82400,138960
2023-08-11,82300,83200,82000,83300,281746
2023-08-10,83200,84000,82700,84000,199839
2023-08-09,84000,83300,82800,84800,204853
2023-08-08,83000,84000,82600,84200,315053
2023-08-07,83500,83300,83300,84700,211632
2023-08-04,83800,84900,83000,84900,220718
2023-08-03,85000,87000,84600,87000,179543
2023-08-02,86100,86000,85100,87500,249342
2023-08-01,85700,83100,82500,86200,395080
2023-07-31,83500,84200,83000,84700,197871
2023-07-28,83700,84100,82300,84500,291513
2023-07-27,85500,85900,84900,87200,301155
2023-07-26,85400,86400,83600,86700,310244
