Date,Close,Open,Low,High,Volume
2024-08-19,200500,208000,200000,210500,279465
2024-08-16,210500,216000,210000,217500,211271
2024-08-14,210000,211500,207500,213000,221565
2024-08-13,205000,207000,201000,210000,263043
2024-08-12,208000,205500,205500,214000,204843
2024-08-09,205500,204000,202500,212500,391088
2024-08-08,199500,207500,198300,211500,532765
2024-08-07,210500,213500,210000,219500,294955
2024-08-06,217000,207500,207500,222000,498400
2024-08-05,203000,224000,195500,231500,642537
2024-08-02,226000,216000,214000,231500,471674
2024-08-01,221500,212000,210500,228000,449794
2024-07-31,211500,214500,209000,217000,226679
2024-07-30,215500,211000,210000,220000,297007
2024-07-29,214000,209000,207500,215000,299782
2024-07-26,209000,225000,208500,226500,688469
2024-07-25,226000,223500,216500,232500,518180
2024-07-24,227500,229500,227000,237500,303053
2024-07-23,234000,245000,232500,245000,315099
2024-07-22,241500,255000,241500,255500,304044
2024-07-19,257000,246500,244500,257000,283932
2024-07-18,246500,245000,241500,253500,348792
2024-07-17,247000,255500,247000,260000,370137
2024-07-16,255500,265500,254000,267000,349731
2024-07-15,268500,273500,262000,274500,380308
2024-07-12,273000,267500,263500,275000,375278
2024-07-11,269500,260500,258000,271500,458230
2024-07-10,258000,260500,258000,263000,163726
2024-07-09,261000,268500,261000,270000,215758
2024-07-08,267000,266500,263000,274000,311728
2024-07-05,266500,267500,263500,269000,191970
2024-07-04,268000,269500,263000,270500,290635
2024-07-03,265500,269000,263500,274000,366470
2024-07-02,262000,270500,260500,271000,244706
2024-07-01,269000,259000,255000,270000,354236
2024-06-28,258500,255000,251000,262000,230106
2024-06-27,254500,259000,254000,261500,185414
2024-06-26,254500,255500,253000,258000,169149
2024-06-25,254000,259000,254000,264000,243992
2024-06-24,258000,257000,253500,262500,240219
2024-06-21,258000,260000,257500,265000,276503
2024-06-20,260500,267500,260500,271000,208837
2024-06-19,267500,258500,256000,270000,391298
2024-06-18,258500,266500,258000,269500,263228
2024-06-17,263500,268000,263000,271500,325863
2024-06-14,273000,285500,272500,285500,410260
2024-06-13,286000,286000,279000,288000,385378
2024-06-12,280500,287000,278500,289500,321117
2024-06-11,286000,275000,275000,294000,702289
2024-06-10,275000,279500,271500,281000,337058
2024-06-07,282000,279000,273000,283500,469137
2024-06-05,275500,264500,261500,282000,624645
2024-06-04,262000,252500,252000,266500,311557
2024-06-03,255000,254000,250500,265500,335620
2024-05-31,250500,251000,249500,261500,480824
2024-05-30,250000,252500,250000,260500,327148
2024-05-29,255000,263000,254000,266000,364095
2024-05-28,267000,273500,265500,274500,237625
2024-05-27,275000,256000,250500,276000,504623
2024-05-24,254500,258000,252500,260000,255098
2024-05-23,261500,258500,255500,266000,204587
2024-05-22,262000,266000,261000,269500,183023
2024-05-21,263000,268500,262000,269000,258794
2024-05-20,271000,277000,270500,277000,219723
2024-05-17,276500,280000,276500,283000,153552
2024-05-16,280500,278500,276500,283000,252686
2024-05-14,274500,277000,274500,281000,160805
2024-05-13,276000,280500,275500,282500,164151
2024-05-10,280500,282500,280500,287000,176598
2024-05-09,282500,283000,276500,283000,249792
2024-05-08,282500,278000,276500,283000,194680
2024-05-07,280000,284000,278500,284500,252888
2024-05-03,280500,282000,277000,288500,296566
2024-05-02,280000,281000,277500,282500,199762
2024-04-30,283500,292000,283000,294500,336697
2024-04-29,286000,278500,276000,286500,321089
2024-04-26,281000,286000,273000,286000,381461
2024-04-25,280500,290000,279500,296500,561953
2024-04-24,297000,291500,286500,302000,829748
2024-04-23,275000,274000,268500,282500,324620
2024-04-22,277000,263000,260500,278000,503319
2024-04-19,253500,255500,247500,257500,274965
2024-04-18,258500,250000,250000,261500,361458
2024-04-17,249000,258000,249000,264000,302932
2024-04-16,257000,258000,254000,261000,343562
2024-04-15,264000,265000,260500,268500,251660
2024-04-12,268000,283000,268000,283000,377005
2024-04-11,282500,272500,272500,282500,265112
2024-04-09,280000,287500,278000,292500,376961
2024-04-08,281500,264500,255500,285500,546034
2024-04-05,267000,270500,266500,276000,211285
2024-04-04,274500,273500,267500,278000,288903
2024-04-03,271000,280500,271000,285000,414268
2024-04-02,287000,293000,286500,296000,328020
2024-04-01,296000,302000,295500,305000,254732
2024-03-29,303500,300000,294500,305500,274596
2024-03-28,302500,314500,302500,315500,345074
2024-03-27,312000,314500,311000,320500,258973
2024-03-26,314500,320500,314000,324000,320072
2024-03-25,320500,318500,318000,325500,275176
2024-03-22,318500,318000,316500,323000,200426
2024-03-21,318500,320000,317500,324000,280963
2024-03-20,315500,322000,314500,323000,241743
2024-03-19,321500,325500,315500,326500,286202
2024-03-18,322000,315500,314500,324000,293028
2024-03-15,316500,320000,314500,322000,344553
2024-03-14,323500,333000,320500,334500,636662
2024-03-13,334500,339500,332500,341000,374120
2024-03-12,336000,322500,322500,336000,526362
2024-03-11,317000,319000,316000,322500,213300
2024-03-08,320500,318000,315000,322500,311390
2024-03-07,316500,313500,308500,323000,336391
2024-03-06,310000,314000,308500,319500,323918
2024-03-05,317000,328500,316000,336500,506414
2024-03-04,334500,322000,318000,336500,559536
2024-02-29,317000,312500,306000,318500,307482
2024-02-28,313000,316000,311000,321500,408632
2024-02-27,309500,323500,308000,327000,447586
2024-02-26,318000,316000,315000,324000,365834
2024-02-23,314500,306500,304000,318000,495948
2024-02-22,305500,310500,305500,316000,396492
2024-02-21,307500,301000,299000,315500,423507
2024-02-20,304500,292000,286000,304500,594713
2024-02-19,296500,297000,295000,306000,377480
2024-02-16,303000,310000,302000,312500,546393
2024-02-15,300500,292000,292000,304500,765158
2024-02-14,285500,270000,265500,289500,555130
2024-02-13,276000,280000,273000,283500,486337
2024-02-08,282500,274500,272000,285500,669142
2024-02-07,269000,267000,265000,281000,783209
2024-02-06,260000,262000,254500,263500,306573
2024-02-05,265000,264500,259000,269000,330524
2024-02-02,264500,263500,256000,267500,451567
2024-02-01,260000,253000,240500,262000,707412
2024-01-31,253500,251000,250000,260500,310390
2024-01-30,254000,265500,253500,271000,592699
2024-01-29,258000,269500,256000,269500,561807
2024-01-26,267000,248000,247000,269000,696846
2024-01-25,251000,257500,246500,259000,612060
2024-01-24,261000,265000,257000,268500,443127
2024-01-23,265500,261000,260000,272000,534748
2024-01-22,263000,278000,263000,279500,671498
2024-01-19,278500,287000,274000,291500,490126
2024-01-18,284500,288500,283000,296500,515850
2024-01-17,288500,301500,288500,302000,501909
2024-01-16,303500,300500,300000,309500,352034
2024-01-15,306000,310000,302500,313000,365664
2024-01-12,314000,319500,308000,320000,462482
2024-01-11,322500,324000,320000,331000,454458
2024-01-10,320500,325500,319000,329000,327992
2024-01-09,327500,333500,327000,336500,252757
2024-01-08,330500,338000,328500,343000,484724
2024-01-05,343000,332000,326500,346500,601842
2024-01-04,330500,323000,322500,334000,437701
2024-01-03,332000,347000,332000,347500,569557
2024-01-02,352000,359000,351000,362000,331687
2023-12-28,359000,357500,353500,362000,344381
2023-12-27,357500,349000,348500,371500,678513
2023-12-26,348000,348000,344500,357000,478578
2023-12-22,355000,371000,355000,374500,557559
2023-12-21,368000,361000,361000,382000,1138550
2023-12-20,368000,366500,364000,372500,546188
2023-12-19,360500,367500,356500,368000,492440
2023-12-18,365500,376000,365000,377500,815933
2023-12-15,360500,355000,352500,372000,1195622
2023-12-14,350000,335500,331500,350000,1254122
2023-12-13,325500,334500,323000,338000,627600
2023-12-12,341000,337000,337000,347500,472465
2023-12-11,340000,343000,338500,348000,617633
2023-12-08,343000,334500,329500,346000,854376
2023-12-07,334500,329500,316500,338500,1144909
2023-12-06,318500,323000,318000,331000,692201
2023-12-05,323000,339000,323000,341000,1287666
2023-12-04,348000,317000,315500,350000,2308506
2023-12-01,314000,319500,309000,321500,715920
2023-11-30,324500,320500,317500,328000,889073
2023-11-29,327500,312500,305000,328500,1061690
2023-11-28,304500,300000,300000,310000,405263
2023-11-27,300000,308000,299500,308000,410302
2023-11-24,303500,310500,303500,322000,753792
2023-11-23,306000,303500,298500,307000,326827
2023-11-22,303500,300000,300000,313500,561263
2023-11-21,303500,303000,295500,306500,584121
2023-11-20,300500,284500,284000,305000,761493
2023-11-17,286000,288000,283000,293000,552165
2023-11-16,293500,297000,289000,303000,701953
2023-11-15,297500,317500,293000,320000,1120565
2023-11-14,295500,281500,279000,302000,1268064
2023-11-13,274500,284500,274000,289000,723014
2023-11-10,277000,281500,274000,284000,681972
2023-11-09,291500,305500,282000,308500,1327132
2023-11-08,300000,307000,296500,324500,1381755
2023-11-07,311000,348500,300000,361000,3072294
2023-11-06,349500,320000,307000,349500,3296384
2023-11-03,269000,271500,260000,272500,1352525
2023-11-02,259500,242000,240500,259500,1121030
2023-11-01,233500,240500,231500,246000,968352
2023-10-31,236500,255000,232500,255000,1219643
2023-10-30,255500,247500,247000,258500,703471
2023-10-27,251500,251500,247000,260000,1251301
2023-10-26,249500,260000,249000,267000,1729825
2023-10-25,274000,306000,274000,306000,1571091
2023-10-24,305000,305500,291500,312500,1001599
2023-10-23,301500,298500,296000,310500,675306
2023-10-20,300000,310500,298000,312000,963534
2023-10-19,318000,322500,316000,324500,545207
2023-10-18,334000,339500,331500,342500,403158
2023-10-17,341000,342000,340000,352000,479259
2023-10-16,335000,335500,329000,339500,604688
2023-10-13,348000,350000,344000,360000,524296
2023-10-12,348000,343000,339500,364000,969703
2023-10-11,341000,323500,320000,344500,703494
2023-10-10,314500,336000,313500,338500,610018
2023-10-06,333000,330000,327500,338500,314037
2023-10-05,333000,343000,332500,348000,535263
2023-10-04,336000,352500,335500,354500,689904
2023-09-27,359500,363000,349000,366000,865533
2023-09-26,368000,369000,366000,380500,461244
2023-09-25,369000,392000,369000,392000,744903
2023-09-22,396000,390000,385000,397500,415085
2023-09-21,398000,407000,396000,411500,367224
2023-09-20,411000,399000,397000,411500,332549
2023-09-19,396500,412000,396500,415000,434711
2023-09-18,410500,408500,404500,419500,437993
2023-09-15,408500,403000,398500,417000,579578
2023-09-14,401500,389000,388500,410000,645282
2023-09-13,387000,390500,385000,399000,531467
2023-09-12,397000,410500,394000,414500,642040
2023-09-11,407500,419000,403500,420500,479324
2023-09-08,418000,411500,408000,419500,505814
2023-09-07,412500,431000,411000,436500,837784
2023-09-06,438000,452000,435500,459500,427842
2023-09-05,452000,441000,435500,458000,533241
2023-09-04,441000,422500,422500,444500,496648
2023-09-01,431000,449500,431000,450000,574493
