DateTime,Close,Open,Low,High,Volume
2023-08-01,71100,70100,70000,71200,12299254
2023-07-31,69800,70900,69800,71000,13035420
2023-07-28,70600,71800,70100,72400,19420683
2023-07-27,71700,69900,69300,71700,24261179
2023-07-26,69800,69800,68100,70600,30016221
2023-07-25,70000,70000,69800,70500,14314945
2023-07-24,70400,70100,69900,70900,13418597
2023-07-21,70300,70400,69400,70400,16528926
2023-07-20,71000,71100,70800,71500,9732730
2023-07-19,71700,72700,71300,72800,10896412
2023-07-18,72000,73200,72000,73500,11697900
2023-07-17,73300,73200,72800,73500,10060049
2023-07-14,73400,72500,72400,73400,15882519
2023-07-13,71900,72400,71900,72600,14417279
2023-07-12,71900,71200,71100,72000,10375581
2023-07-11,71500,70200,70100,71500,12177392
2023-07-10,69500,70000,69200,70400,11713926
2023-07-07,69900,71100,69800,71400,17308877
2023-07-06,71600,71900,71500,72400,14777667
2023-07-05,72000,73000,71900,73300,12310610
2023-07-04,73000,73400,72900,73600,10214350
2023-07-03,73000,72700,72600,73200,10722181
2023-06-30,72200,72500,71700,72700,11694765
2023-06-29,72400,73100,72400,73400,12229967
2023-06-28,72700,72600,72000,72700,8783093
2023-06-27,72600,72500,72000,72600,9442997
2023-06-26,72400,71700,71500,72500,10541901
2023-06-23,71600,72000,71600,72200,12329484
2023-06-22,71300,70200,70100,71500,11411007
2023-06-21,70500,70700,70400,71200,10626603
2023-06-20,71400,70700,70400,71400,11557883
2023-06-19,71200,71300,70900,71700,11100887
2023-06-16,71800,71800,70900,71900,15373696
2023-06-15,71500,72100,71300,72300,13614994
2023-06-14,71900,72100,71100,72200,12541046
2023-06-13,72000,71700,71600,72200,13227285
2023-06-12,71000,72100,70800,72400,12064287
2023-06-09,72000,71100,70800,72300,15050209
2023-06-08,70900,70400,70000,70900,19165568
2023-06-07,71000,71300,70800,71600,14796613
2023-06-05,71700,72700,71400,72700,12686829
2023-06-02,72200,71700,71600,72200,12161798
2023-06-01,70900,70900,70600,71600,14669296
2023-05-31,71400,72400,71000,72500,25666087
2023-05-30,72300,71300,71200,72300,27476897
2023-05-26,70300,69800,69500,70400,19549511
2023-05-25,68800,69900,68700,70000,14231160
2023-05-24,68500,68100,68000,68700,8192896
2023-05-23,68400,68500,68100,68700,8561643
2023-05-22,68500,68400,68000,69000,14470308
2023-05-19,68400,67800,67500,68400,20349345
2023-05-18,66200,66000,65700,66200,14431704
2023-05-17,65000,65900,64800,65900,10745504
2023-05-16,65400,65800,65300,65900,12334657
2023-05-15,64500,64100,63900,64600,8172021
2023-05-12,64100,63700,63600,64600,8693913
2023-05-11,64200,64700,64200,65100,11648905
2023-05-10,64600,65500,64300,65500,13057727
2023-05-09,65300,65800,65100,65800,9366861
2023-05-08,65900,66300,65400,66300,9405365
2023-05-04,65100,65600,64700,65700,9791064
2023-05-03,65400,65100,64900,65600,8876749
2023-05-02,65700,66000,65100,66300,14396948
2023-04-28,65500,65200,65000,65900,19699481
2023-04-27,64600,64100,63300,65000,14779601
2023-04-26,64100,63600,63300,64300,12664541
2023-04-25,63600,65300,63400,65400,16193271
2023-04-24,65200,65300,64800,65700,12986581
2023-04-21,65700,65800,65400,65900,10538622
2023-04-20,65300,65100,64600,65300,9501169
2023-04-19,65500,65500,65300,65800,10255985
2023-04-18,65600,65900,64800,66000,14802060
2023-04-17,65300,65000,64700,65600,13486618
2023-04-14,65100,66600,65000,66600,16176490
2023-04-13,66100,65600,65400,66100,15091022
2023-04-12,66000,65800,65300,66200,15021313
2023-04-11,65900,66200,65400,66200,16323183
2023-04-10,65700,64800,64700,66300,18777166
2023-04-07,65000,63800,63800,65200,27476120
2023-04-06,62300,63500,62300,63600,14992747
2023-04-05,63900,63700,63400,64000,9176149
2023-04-04,63600,63400,62800,63800,11120514
2023-04-03,63100,64000,63000,64000,11973133
2023-03-31,64000,64000,63700,64000,14094479
2023-03-30,63200,63700,63100,63700,15684377
2023-03-29,62700,62500,62200,62700,11216008
2023-03-28,62900,62400,62100,62900,11614118
2023-03-27,62100,62600,62000,62800,11039331
2023-03-24,63000,62700,62300,63300,18278602
2023-03-23,62300,60600,60600,62300,15381057
2023-03-22,61100,61000,60500,61200,8978591
2023-03-21,60300,60500,60100,60700,8318514
2023-03-20,60200,61100,60200,61200,9618009
2023-03-17,61300,60800,60600,61300,14090110
2023-03-16,59900,59200,59100,60200,10611939
2023-03-15,59800,60000,59600,60300,10482149
2023-03-14,59000,59400,59000,59500,12147346
2023-03-13,60000,59900,59300,60200,12779724
2023-03-10,59500,59500,59100,59700,11902471
2023-03-09,60100,60500,59900,60800,14334499
2023-03-08,60300,60100,59900,60500,14161857
2023-03-07,60700,61400,60700,61400,11473280
2023-03-06,61500,61100,60800,61600,13630602
2023-03-03,60500,61000,60500,61200,10711405
2023-03-02,60800,60900,60500,61800,13095682
2023-02-28,60600,60800,60500,61400,13715861
2023-02-27,60500,60800,60200,60800,11155697
2023-02-24,61300,62300,61300,62600,10308143
2023-02-23,62000,61700,61500,62500,13047099
2023-02-22,61100,61500,61000,61800,11959088
2023-02-21,62100,62700,62000,62800,7665046
2023-02-20,62700,62900,61800,63000,12908073
2023-02-17,62600,62900,62400,63300,10791265
2023-02-16,63700,62500,62400,63700,13798831
2023-02-15,62200,63900,62000,63900,13208103
2023-02-14,63200,63600,63200,63900,9126664
2023-02-13,62900,62900,62300,63000,10730362
2023-02-10,62800,62600,62400,63000,9382576
2023-02-09,63000,63000,62300,63300,12164865
2023-02-08,63100,62800,62400,63300,12243125
2023-02-07,61900,61900,61600,62500,14491039
2023-02-06,61600,62800,61600,63000,15529356
2023-02-03,63800,63900,63000,64000,15194598
2023-02-02,63500,63200,62600,63900,23285983
2023-02-01,61800,62600,61000,62700,18570133
2023-01-31,61000,63500,61000,63700,29746731
2023-01-30,63300,64900,63100,64900,20995234
2023-01-27,64600,64400,63900,65000,18760182
2023-01-26,63900,63800,63300,63900,13278277
2023-01-25,63400,63500,63000,63700,16822710
2023-01-20,61800,62100,61100,62300,9646327
2023-01-19,61500,60500,60400,61500,12808490
2023-01-18,60400,60700,59900,61000,11584041
2023-01-17,61000,61200,60600,61500,9831456
2023-01-16,61100,61300,60800,61600,10039972
2023-01-13,60800,60500,60400,61200,12510328
2023-01-12,60500,61100,59900,61200,16102561
2023-01-11,60500,61000,60300,61200,12310751
2023-01-10,60400,60200,59900,61100,14859797
2023-01-09,60700,59700,59600,60700,18640107
2023-01-06,59000,58300,57900,59400,17334989
2023-01-05,58200,58200,57600,58800,15682826
2023-01-04,57800,55700,55600,58000,20188071
2023-01-03,55400,55400,54500,56000,13547030
2023-01-02,55500,55500,55200,56100,10031448
2022-12-29,55300,56000,55300,56200,11295935
2022-12-28,56600,57600,56400,57600,14665410
