Date,Close,Open,Low,High,Volume
2024-08-19,143900,146300,142900,146500,226829
2024-08-16,146100,144500,144500,148700,457217
2024-08-14,142200,143900,141500,144700,245987
2024-08-13,141500,146400,141000,147300,403451
2024-08-12,145800,144100,143800,147200,204899
2024-08-09,143500,146700,142600,147000,255808
2024-08-08,143300,143000,141600,147200,419409
2024-08-07,144900,139600,139100,146500,287898
2024-08-06,138900,143000,138000,144400,435291
2024-08-05,138200,147200,132700,147300,487169
2024-08-02,150600,154100,150000,156100,507100
2024-08-01,159500,163000,158200,164600,526245
2024-07-31,159600,154200,153800,160800,614593
2024-07-30,154000,154500,153100,155200,200081
2024-07-29,155800,155700,154000,156500,280319
2024-07-26,154900,158300,153600,158700,414928
2024-07-25,157300,158500,157100,161200,605826
2024-07-24,159500,159800,158200,162600,293981
2024-07-23,159900,162400,159900,163500,392452
2024-07-22,160500,167300,159700,167400,674236
2024-07-19,168000,170300,165500,170500,442821
2024-07-18,171900,170400,169700,174500,593120
2024-07-17,172700,172800,170800,176500,972204
2024-07-16,172000,160400,158900,172400,1269824
2024-07-15,160400,165400,159200,165500,536177
2024-07-12,164800,162100,159600,166000,515763
2024-07-11,164900,166300,163800,166500,469263
2024-07-10,164300,163800,163500,166900,472188
2024-07-09,163700,165200,162900,165900,336344
2024-07-08,163300,170500,163000,170500,765328
2024-07-05,170500,162900,162900,171000,1759045
2024-07-04,162500,155900,155900,164000,1078418
2024-07-03,154900,154600,152500,156600,256166
2024-07-02,153800,155500,152500,156800,364380
2024-07-01,156000,157000,155500,157800,248977
2024-06-28,158000,154700,153700,158300,485281
2024-06-27,154500,150700,150500,155500,511165
2024-06-26,151500,150100,150000,151800,255389
2024-06-25,150500,149300,148500,151600,306740
2024-06-24,149000,149800,148700,150800,205262
2024-06-21,149400,150700,149200,151800,327110
2024-06-20,151300,151600,150900,153500,381301
2024-06-19,152000,152000,149500,152500,394800
2024-06-18,151600,151600,150700,153400,372889
2024-06-17,150700,151200,149800,152900,254056
2024-06-14,151700,148200,147500,152000,489662
2024-06-13,148000,153000,147500,153100,662012
2024-06-12,151200,151300,149800,152200,296538
2024-06-11,149700,150200,147900,150600,298638
2024-06-10,150900,150800,149200,151900,245178
2024-06-07,151000,151700,150700,152500,287365
2024-06-05,151700,154900,150600,155000,478461
2024-06-04,153200,157900,152500,158400,509986
2024-06-03,159100,156600,155600,161000,366091
2024-05-31,155000,157800,155000,162500,1190470
2024-05-30,156600,156600,156300,159000,272252
2024-05-29,158100,161600,156300,161600,437758
2024-05-28,159600,159000,157700,162900,492574
2024-05-27,159500,157200,155500,160300,333806
2024-05-24,156500,156500,154700,158500,291245
2024-05-23,158200,156400,156000,160900,369293
2024-05-22,156200,160000,155800,160800,503171
2024-05-21,158400,156800,155200,161400,881199
2024-05-20,154600,153200,152700,155800,243677
2024-05-17,151700,153600,151000,154300,187152
2024-05-16,154200,154000,153100,154400,248908
2024-05-14,151600,152000,150600,152400,192906
2024-05-13,151900,153800,151000,154500,268113
2024-05-10,153600,155500,153100,156700,226013
2024-05-09,154600,156000,154600,156800,292807
2024-05-08,156600,158000,155800,158100,237523
2024-05-07,158000,154400,154200,158300,552899
2024-05-03,151100,155000,150900,156500,324784
2024-05-02,153100,154500,152400,157300,359890
2024-04-30,155900,153200,152100,158900,966754
2024-04-29,151300,148300,147800,152400,611116
2024-04-26,146200,146000,144900,147700,213048
2024-04-25,144500,146200,144500,146900,228193
2024-04-24,148000,144800,144800,149200,359089
2024-04-23,143200,144200,142500,145000,344970
2024-04-22,144900,144300,143200,145300,246835
2024-04-19,142900,145500,140800,146200,440321
2024-04-18,146700,147500,145600,149000,414224
2024-04-17,147600,149500,146200,150700,268251
2024-04-16,148500,149200,146000,150000,494652
2024-04-15,152000,155900,151000,157300,546960
2024-04-12,157700,158100,155800,160200,420160
2024-04-11,156500,153600,152500,157700,377724
2024-04-09,157300,158600,153600,159200,467953
2024-04-08,157200,160100,157200,161200,553417
2024-04-05,158900,153500,151000,159900,992302
2024-04-04,155400,150100,148600,155700,644449
2024-04-03,148000,153000,148000,153100,516705
2024-04-02,155000,153900,153000,155900,476967
2024-04-01,153900,150100,150100,154600,715862
2024-03-29,148700,149700,147800,150500,237194
2024-03-28,149900,148100,147300,150700,313187
2024-03-27,149300,146500,146000,149800,360435
2024-03-26,145900,147000,145700,149500,410385
2024-03-25,145000,145200,144100,146200,223285
2024-03-22,144900,148200,143300,149500,599778
2024-03-21,149600,150100,148100,150800,406093
2024-03-20,147600,149700,146800,150600,398918
2024-03-19,147500,145500,144100,149500,592794
2024-03-18,145200,147400,142100,147700,435419
2024-03-15,145600,145500,145200,150000,1134460
2024-03-14,144500,138200,138000,145000,1078094
2024-03-13,136900,137300,136900,139500,428882
2024-03-12,135900,135600,134300,136500,195808
2024-03-11,134600,135000,133600,135300,178175
2024-03-08,135400,133300,133200,135700,346422
2024-03-07,132600,134000,131700,134500,319123
2024-03-06,133400,135700,132300,136000,551552
2024-03-05,136300,138100,136300,138300,277000
2024-03-04,138000,141000,136500,141000,605330
2024-02-29,140000,139300,138300,141300,426933
2024-02-28,139300,137500,137200,140500,500244
2024-02-27,137100,135000,134200,137400,390381
2024-02-26,134100,136400,134100,136400,271767
2024-02-23,135700,137200,135600,137400,333970
2024-02-22,136500,137500,135700,138900,500518
2024-02-21,135900,136700,135900,137300,215464
2024-02-20,136900,137200,136200,137700,184386
2024-02-19,137100,136200,136000,137200,222008
2024-02-16,136100,138000,136100,138000,308866
2024-02-15,137100,138800,137000,139000,184742
2024-02-14,137500,137600,136600,137900,249277
2024-02-13,139200,140000,138800,140600,218297
2024-02-08,138800,140400,137200,140600,254615
2024-02-07,139000,139000,137300,140400,274019
2024-02-06,138600,136100,135100,138800,316074
2024-02-05,136100,139700,136000,139800,425137
2024-02-02,140200,140500,139400,142500,395951
2024-02-01,139700,140000,138200,140300,416773
2024-01-31,139600,141000,138600,141000,399565
2024-01-30,141900,144700,141000,145300,238757
2024-01-29,143100,143500,142200,145600,235890
2024-01-26,143000,143600,141200,144500,244646
2024-01-25,144600,146400,143700,146500,195665
2024-01-24,145800,147500,145200,147500,185682
2024-01-23,147500,148500,146500,149100,181032
2024-01-22,147900,151000,147900,151000,296642
2024-01-19,147500,141100,141000,148300,488997
2024-01-18,138900,139100,137200,140200,328183
2024-01-17,138600,147300,136700,147600,615658
2024-01-16,146500,148000,145700,148300,151896
2024-01-15,147500,145200,145200,149100,153413
2024-01-12,145100,148100,144500,148500,269599
2024-01-11,147500,149600,146800,150400,289007
2024-01-10,147800,149800,147500,152500,223746
2024-01-09,148800,152000,148200,154000,356757
2024-01-08,148500,149900,147800,150500,158712
2024-01-05,149200,151600,148500,152800,314707
2024-01-04,152000,152600,151500,155400,229510
2024-01-03,154000,157400,153400,157900,303730
2024-01-02,158100,153200,152300,159300,468718
2023-12-28,153200,150600,150300,153200,244642
2023-12-27,150300,150400,148000,151000,263361
2023-12-26,150800,151400,150200,152400,134214
2023-12-22,151300,151300,150200,151800,173159
2023-12-21,150200,149500,149200,150900,127489
2023-12-20,150400,149300,149300,151800,345980
2023-12-19,149800,152000,148500,152400,393000
2023-12-18,152400,153000,151500,153900,180673
2023-12-15,153400,155000,152000,155400,253291
2023-12-14,154000,152600,151400,156300,657618
2023-12-13,150300,150000,149800,156400,954794
2023-12-12,150000,150900,148800,152200,278436
2023-12-11,150500,152100,150100,153200,285551
2023-12-08,150900,149600,148300,151400,363871
2023-12-07,147700,149000,146800,149400,254246
2023-12-06,149400,146200,144600,150100,475009
2023-12-05,145300,144000,144000,147000,246418
2023-12-04,145100,147300,145000,149200,232460
2023-12-01,146700,146500,145400,147400,199195
2023-11-30,145700,146600,145600,147900,504729
2023-11-29,146100,143300,141500,147000,428058
2023-11-28,144000,139300,138900,146700,1058006
2023-11-27,138300,137000,137000,138800,191010
2023-11-24,137000,138600,136900,138800,131307
2023-11-23,138200,138700,138000,139700,110380
2023-11-22,138000,136700,136500,138700,123705
2023-11-21,137700,138900,137600,140100,223166
2023-11-20,138100,138600,138100,139700,251207
2023-11-17,139400,136600,136600,139800,266448
2023-11-16,137600,136900,136600,137900,174970
2023-11-15,137700,136700,135700,138000,328290
2023-11-14,134400,135900,133800,137200,147311
2023-11-13,134600,135700,133300,136400,132889
2023-11-10,134400,132500,132200,134900,160907
2023-11-09,133500,133500,133400,135100,213771
2023-11-08,132800,138700,132400,138900,287857
2023-11-07,136900,138400,135600,139100,312364
2023-11-06,139400,135000,134900,139400,402822
2023-11-03,134200,132100,130800,134900,306419
2023-11-02,132500,132000,131600,134800,549937
2023-11-01,128000,124600,124300,129700,450500
2023-10-31,124300,127600,122800,129200,399312
2023-10-30,126400,123000,122500,128700,418761
2023-10-27,123100,124300,119100,125300,684274
2023-10-26,124100,139100,124100,140400,1298276
2023-10-25,143000,141000,140900,143900,292131
2023-10-24,140800,141000,139100,143000,285962
2023-10-23,139700,139500,139000,141200,202855
2023-10-20,139500,141600,139000,141600,298683
2023-10-19,142900,142300,141500,143800,341273
2023-10-18,144800,139100,139000,144900,780484
2023-10-17,139800,138000,137300,140800,296569
2023-10-16,136800,138500,135300,140200,240276
2023-10-13,140000,138600,138500,140900,183584
2023-10-12,140400,138600,137700,140400,262631
2023-10-11,138600,135600,134300,139700,519375
2023-10-10,134400,133700,133000,136700,343133
2023-10-06,131800,132400,131400,133700,209606
2023-10-05,132500,133500,132200,134300,161754
2023-10-04,132800,135600,132700,135800,321569
2023-09-27,137400,135300,134700,137600,163969
2023-09-26,135800,138200,135700,138800,211880
2023-09-25,138400,137700,137000,138800,204197
2023-09-22,138100,136800,136200,138600,218619
2023-09-21,138700,140900,138700,142200,284604
2023-09-20,142200,141200,140100,142900,190629
2023-09-19,141800,141700,141700,143900,246097
2023-09-18,141700,142600,141400,143700,279610
2023-09-15,144400,143200,142200,144800,428291
2023-09-14,144000,140100,139100,144000,542614
2023-09-13,139600,139200,139000,141500,264614
2023-09-12,139600,139200,139200,140800,280133
2023-09-11,138500,139200,137600,140100,197106
2023-09-08,139200,137900,137600,140400,293225
2023-09-07,138300,138300,137500,139300,341835
2023-09-06,139800,143700,139500,143800,609262
2023-09-05,144800,146800,142900,148900,1242468
2023-09-04,140600,140900,138900,141300,531771
2023-09-01,139200,135200,135000,139300,647298
2023-08-31,135400,137200,135100,137200,490471
2023-08-30,136500,139000,136400,139200,770604
2023-08-29,138300,143800,137800,143800,1003894
2023-08-28,144100,148200,142500,148200,266063
2023-08-25,146000,146500,144600,147200,226043
2023-08-24,149100,149400,148600,152300,533467
2023-08-23,146200,143900,142000,148500,359821
2023-08-22,143900,147100,143500,147600,287037
2023-08-21,142300,144000,141900,144600,191593
2023-08-18,144600,141000,140700,145800,228013
2023-08-17,143400,143600,141000,144500,335850
2023-08-16,144700,146600,144500,146900,360001
2023-08-14,147900,150500,146500,150600,305297
2023-08-11,151400,150900,150300,154600,374056
2023-08-10,149900,150000,148500,150200,283143
2023-08-09,151000,150900,149600,151800,219705
2023-08-08,151300,151200,149200,152900,366426
2023-08-07,149800,148000,148000,151800,357082
2023-08-04,149100,152300,147600,152700,490838
2023-08-03,151800,156600,150100,156700,806364
2023-08-02,156100,158500,154000,165000,2885014
2023-08-01,153200,144600,143300,154600,815970
2023-07-31,145400,145800,143300,145800,326415
2023-07-28,144400,145700,142100,146000,442357
2023-07-27,146800,145000,143200,147200,525283
2023-07-26,144100,148900,143000,149000,532483
2023-07-25,148900,151300,148200,151700,317345
2023-07-24,150900,149300,148000,151600,342418
2023-07-21,149700,151600,148600,151800,387519
2023-07-20,152900,151500,151500,153900,277783
2023-07-19,153200,156400,151500,157200,465298
2023-07-18,156400,159600,154500,159700,507711
2023-07-17,158000,152300,152300,161000,1536870
2023-07-14,150300,149200,148000,151500,535272
2023-07-13,148200,146900,146200,148900,443521
2023-07-12,145700,145200,144000,145800,183785
2023-07-11,145300,140200,139900,145300,378816
2023-07-10,138600,140500,138500,141500,173952
2023-07-07,140400,142200,139500,142900,295183
