Date,Close,Open,Low,High,Volume
2024-08-19,199300,196700,196700,204500,424279
2024-08-16,196700,199800,189000,203500,723287
2024-08-14,197600,197600,191900,198400,380382
2024-08-13,195700,198000,193200,202000,397115
2024-08-12,199100,202000,196600,204000,312800
2024-08-09,202000,210000,200500,210500,400985
2024-08-08,205500,189100,187100,206500,658256
2024-08-07,192000,190800,187200,195500,558177
2024-08-06,190300,183500,183500,195800,1033802
2024-08-05,172800,190400,162900,196000,1261095
2024-08-02,203000,209000,200500,212500,408778
2024-08-01,213000,204500,200000,213000,333897
2024-07-31,207000,200500,200000,210500,490877
2024-07-30,201000,201000,196700,204000,365306
2024-07-29,203000,200000,195900,206000,447137
2024-07-26,198800,190500,190300,203000,1098426
2024-07-25,183800,185000,175600,189000,875455
2024-07-24,189000,189700,183600,190500,444894
2024-07-23,189700,186600,184100,190800,454688
2024-07-22,186600,174300,174300,187000,686267
2024-07-19,174100,177100,171300,179000,446971
2024-07-18,177100,180000,176400,182100,398119
2024-07-17,179200,180000,176900,184000,551960
2024-07-16,178300,172300,170100,178500,549559
2024-07-15,168800,167100,165900,171400,296923
2024-07-12,165700,166000,162800,168000,234150
2024-07-11,167100,165500,163500,169200,248249
2024-07-10,164100,159700,159100,166500,397291
2024-07-09,159700,160200,157200,160500,153233
2024-07-08,160000,155100,154500,161300,256267
2024-07-05,155700,159700,154900,160000,253603
2024-07-04,159700,156900,154600,161000,218721
2024-07-03,156700,158000,153600,158500,203904
2024-07-02,157200,159000,155500,159800,220393
2024-07-01,159900,160000,157100,161500,168638
2024-06-28,158800,157900,155500,160000,287465
2024-06-27,157500,150000,148800,157800,378924
2024-06-26,150500,150600,149000,152700,281380
2024-06-25,151800,155800,150500,157100,400489
2024-06-24,154300,152000,150700,155700,364763
2024-06-21,151600,151500,149700,155600,565193
2024-06-20,149900,147200,145700,150000,477826
2024-06-19,145700,140000,139000,146600,571372
2024-06-18,138600,138900,136700,140300,278955
2024-06-17,137700,139000,136500,139500,210212
2024-06-14,138900,132200,132200,139300,428546
2024-06-13,133000,133000,132900,134900,213658
2024-06-12,133400,133300,131400,134600,156537
2024-06-11,133700,136400,133300,137800,186538
2024-06-10,134700,134900,133500,136000,136834
2024-06-07,135000,131900,131800,135500,294666
2024-06-05,130800,130000,129600,132400,109970
2024-06-04,130700,132000,129900,133900,156839
2024-06-03,132800,131200,129600,134800,184229
2024-05-31,130400,132000,129100,132300,264434
2024-05-30,130800,133600,129000,134300,224061
2024-05-29,134300,134000,132600,136000,230294
2024-05-28,135400,134600,133400,137500,190498
2024-05-27,134300,137500,132100,137500,238014
2024-05-24,135400,127500,127100,136100,327931
2024-05-23,128700,127800,127300,130700,180513
2024-05-22,128300,131200,127400,131800,285728
2024-05-21,131200,132000,129200,133000,219201
2024-05-20,131900,134600,131400,134700,165918
2024-05-17,134500,137800,133600,138000,249670
2024-05-16,137700,137800,135100,138000,296050
2024-05-14,135900,137200,134500,137200,190837
2024-05-13,136300,131600,130700,137200,492508
2024-05-10,129900,131400,128900,132000,141091
2024-05-09,129500,131000,129000,131800,191606
2024-05-08,130800,132000,130400,133100,169581
2024-05-07,132500,127600,127100,132600,279702
2024-05-03,128300,130100,127700,130200,152870
2024-05-02,129500,133000,129200,133000,205850
2024-04-30,131500,132600,130300,133500,269506
2024-04-29,132700,130200,129100,132900,441479
2024-04-26,129000,127300,127300,131800,476373
2024-04-25,127300,129800,126300,130700,348090
2024-04-24,129400,125400,123900,129900,569640
2024-04-23,125300,119100,118800,128200,577236
2024-04-22,119300,121300,117800,122900,219316
2024-04-19,119300,118300,115600,121000,269638
2024-04-18,119400,113400,112700,121000,375758
2024-04-17,112300,112300,111800,114200,156746
2024-04-16,111700,116900,110800,117800,272471
2024-04-15,118100,116900,114700,119300,143881
2024-04-12,117600,116300,114600,120100,235730
2024-04-11,116300,116900,114100,118400,273342
2024-04-09,118600,119700,118000,121400,130141
2024-04-08,118500,119100,116700,119200,162229
2024-04-05,119600,119600,119200,121300,121020
2024-04-04,121000,121300,118500,121800,211694
2024-04-03,119700,120100,118100,122100,204535
2024-04-02,119800,118700,117300,121500,162613
2024-04-01,119700,119600,116200,119800,167375
2024-03-29,118400,120300,117200,121800,199548
2024-03-28,120200,120200,119500,122300,154202
2024-03-27,120200,123000,119100,123300,333316
2024-03-26,124900,125800,122500,126100,206321
2024-03-25,124400,125900,123100,126300,138608
2024-03-22,125900,127900,124000,128800,283417
2024-03-21,127900,129000,126100,129000,208546
2024-03-20,127600,125700,125200,128700,361496
2024-03-19,124500,125400,122700,125500,218550
2024-03-18,125400,125600,120600,127300,426019
2024-03-15,123800,121000,120900,127800,851885
2024-03-14,118500,113800,113300,121500,497364
2024-03-13,112900,114500,112000,115200,127504
2024-03-12,114100,115500,112600,116000,100978
2024-03-11,114100,111000,111000,116200,132433
2024-03-08,112200,114800,111400,115300,117143
2024-03-07,113500,112700,111900,115700,142547
2024-03-06,112400,110500,109300,113800,196603
2024-03-05,110200,108000,108000,111900,207160
2024-03-04,107800,112800,107300,113300,360550
2024-02-29,111900,114500,111800,115200,311650
2024-02-28,115300,114000,112100,116900,147467
2024-02-27,113800,112300,110600,116100,246776
2024-02-26,111500,115700,111200,115700,268495
2024-02-23,115000,117000,115000,117200,130685
2024-02-22,116800,119800,116600,119800,84018
2024-02-21,118800,117200,116300,119900,159230
2024-02-20,116400,119500,116300,120400,141653
2024-02-19,119500,120000,118100,120300,96418
2024-02-16,119900,117900,117600,121500,214906
2024-02-15,116400,115600,114500,116700,120694
2024-02-14,114300,117400,114200,117400,203379
2024-02-13,118500,122700,118000,123200,218838
2024-02-08,121100,121400,120200,122200,249797
2024-02-07,121400,121700,119600,122600,152311
2024-02-06,120400,121900,119800,123800,188255
2024-02-05,123000,119100,116900,123500,302387
2024-02-02,119100,115000,114900,120000,315586
2024-02-01,114700,112500,112000,115900,160045
2024-01-31,113500,110500,110500,113700,133430
2024-01-30,111700,114500,111000,116000,139768
2024-01-29,113500,117900,113500,117900,112906
2024-01-26,116500,115900,115200,118300,129745
2024-01-25,115900,112500,111400,116300,137231
2024-01-24,111400,113600,109700,114100,92316
2024-01-23,113500,116200,112800,117400,97866
2024-01-22,114600,116500,112000,116600,155499
2024-01-19,113300,105600,105600,113300,203740
2024-01-18,105100,105100,104600,106700,109282
2024-01-17,104400,109500,104000,109500,155065
2024-01-16,109300,112100,109200,112700,71109
2024-01-15,112800,109600,107500,113100,133881
2024-01-12,109100,108300,108200,110200,79617
2024-01-11,108600,111900,108600,112400,117324
2024-01-10,110900,111200,109700,112400,77820
2024-01-09,110700,113300,110500,113600,90628
2024-01-08,111900,111400,110600,113300,109330
2024-01-05,110700,111400,109400,112400,111905
2024-01-04,112000,112500,111800,113800,113999
2024-01-03,113500,117200,113500,117600,165519
2024-01-02,118500,120000,117600,120400,108237
2023-12-28,120900,117300,116600,121400,209528
2023-12-27,116800,113700,113300,117000,144746
2023-12-26,113800,113100,112000,113900,138762
2023-12-22,112000,111200,110400,113100,132220
2023-12-21,110400,112300,109700,112300,94542
2023-12-20,112700,112500,112000,113700,135732
2023-12-19,110700,112100,110000,113300,129896
2023-12-18,112100,114200,111800,114300,114032
2023-12-15,113600,114000,113000,114800,168680
2023-12-14,113900,112800,110900,113900,287602
2023-12-13,110800,111300,109700,111300,107250
2023-12-12,112100,108800,107800,112600,191370
2023-12-11,107800,109300,106800,109500,136987
2023-12-08,109400,110200,108600,110500,108426
2023-12-07,109500,109200,107900,110100,152010
2023-12-06,110200,113500,110100,113900,198755
2023-12-05,113900,114300,113000,116500,128358
2023-12-04,114500,112700,111500,115400,176365
2023-12-01,111300,111600,110000,112200,146446
2023-11-30,111700,107000,106200,111700,244425
2023-11-29,107500,108300,105900,108700,148750
2023-11-28,108000,106900,105800,109100,199417
2023-11-27,106000,103400,101400,106000,191008
2023-11-24,102000,102600,100900,102900,120349
2023-11-23,102600,102900,101800,103700,87010
2023-11-22,103000,101000,100200,104200,171973
2023-11-21,101100,101800,100400,101800,201568
2023-11-20,100900,98300,97900,101800,205312
2023-11-17,98200,99600,97200,99600,93316
2023-11-16,99100,98800,96600,99100,164958
2023-11-15,99400,97200,96600,99800,259351
2023-11-14,95300,97900,94000,98000,227430
2023-11-13,95700,98200,94800,99800,178365
2023-11-10,97100,97000,95400,97500,137043
2023-11-09,98000,98600,97400,99500,186587
2023-11-08,98600,103000,98500,103600,181785
2023-11-07,101600,101000,98000,102300,344237
2023-11-06,102600,98100,96200,102600,884626
2023-11-03,96300,93800,93500,96600,168857
2023-11-02,93300,93000,91800,94400,196525
2023-11-01,92000,90300,90200,92000,134760
2023-10-31,90300,94200,89000,94200,276197
2023-10-30,93300,94200,91500,95600,225336
2023-10-27,94700,97500,94500,99400,215722
2023-10-26,96900,99200,94000,100400,269305
2023-10-25,99400,97300,96600,100700,166640
2023-10-24,96300,97600,94000,97600,139996
2023-10-23,96300,96800,96000,99700,133819
2023-10-20,96800,97100,95800,98200,166988
2023-10-19,98300,99500,97700,100600,207699
2023-10-18,100600,101300,100200,101800,104753
2023-10-17,101100,101600,100800,104000,147389
2023-10-16,100600,99800,99600,102000,194496
2023-10-13,99900,101300,98800,101500,232961
2023-10-12,102500,105800,101700,105800,236624
2023-10-11,104800,103400,102400,105600,188884
2023-10-10,101400,102700,100600,104500,221103
2023-10-06,100700,103100,100300,103900,203652
2023-10-05,103000,106500,102500,106700,241948
2023-10-04,104800,112000,104500,112000,390191
2023-09-27,111000,114000,110800,115500,273590
2023-09-26,114500,116000,114200,117400,183962
2023-09-25,116300,115800,114900,117500,251911
2023-09-22,115800,115900,114200,117300,141232
2023-09-21,118000,119000,117400,119800,128954
2023-09-20,120000,120600,118800,120800,95887
2023-09-19,120600,120500,120100,124000,133641
2023-09-18,121000,122300,120700,123300,119063
2023-09-15,122400,120000,119300,123200,224664
2023-09-14,120000,120000,117600,120200,173492
2023-09-13,119300,119300,118500,120400,85224
2023-09-12,119300,121100,118700,121200,100577
2023-09-11,120800,118800,117600,121500,138520
2023-09-08,118800,120000,117900,120000,113539
2023-09-07,119000,118900,118100,119500,121446
2023-09-06,119700,120100,119300,122400,139256
