Date,Close,Open,Low,High,Volume
2024-08-19,526000,519000,519000,533000,33583
2024-08-16,519000,520000,514000,521000,32779
2024-08-14,512000,512000,506000,516000,29548
2024-08-13,510000,516000,503000,520000,40307
2024-08-12,518000,519000,512000,522000,25981
2024-08-09,514000,514000,507000,521000,38910
2024-08-08,515000,508000,501000,522000,88941
2024-08-07,508000,461000,456000,510000,82476
2024-08-06,467500,475000,460000,478500,37870
2024-08-05,454500,478000,445000,478000,45968
2024-08-02,482000,483000,480000,487000,22693
2024-08-01,489000,488500,486500,506000,53024
2024-07-31,484000,485000,483000,491000,53040
2024-07-30,485000,487500,483000,493500,29759
2024-07-29,495000,493000,486500,499000,28747
2024-07-26,495000,486500,486500,499000,21787
2024-07-25,488500,493500,484500,494000,30020
2024-07-24,490500,501000,489000,503000,39077
2024-07-23,505000,514000,504000,518000,23059
2024-07-22,514000,522000,513000,522000,18131
2024-07-19,520000,511000,504000,523000,25056
2024-07-18,518000,540000,515000,540000,26690
2024-07-17,537000,535000,531000,537000,24493
2024-07-16,533000,534000,530000,539000,25001
2024-07-15,533000,545000,532000,549000,32335
2024-07-12,541000,542000,534000,543000,28966
2024-07-11,539000,534000,527000,539000,40288
2024-07-10,530000,529000,527000,533000,23621
2024-07-09,532000,530000,525000,537000,23848
2024-07-08,530000,530000,525000,538000,27214
2024-07-05,532000,532000,528000,538000,33160
2024-07-04,534000,524000,521000,535000,46937
2024-07-03,518000,527000,516000,532000,46231
2024-07-02,522000,508000,507000,532000,75038
2024-07-01,511000,510000,503000,515000,20207
2024-06-28,515000,518000,506000,518000,37509
2024-06-27,518000,517000,511000,522000,48998
2024-06-26,525000,512000,506000,528000,72118
2024-06-25,510000,503000,501000,517000,48623
2024-06-24,492000,496500,492000,504000,15181
2024-06-21,498000,497500,495500,504000,35373
2024-06-20,496000,494000,493000,500000,30078
2024-06-19,496000,493000,490500,497500,26658
2024-06-18,488500,487000,484500,494000,36716
2024-06-17,482500,481000,480500,485500,32092
2024-06-14,479500,485500,478500,489500,35740
2024-06-13,487500,491500,487500,498000,49707
2024-06-12,491000,496500,488500,500000,19361
2024-06-11,498000,490000,489000,504000,34609
2024-06-10,488000,492500,487500,497000,45829
2024-06-07,499000,489000,489000,501000,34937
2024-06-05,489000,497000,487500,501000,41943
2024-06-04,502000,494000,488000,504000,51969
2024-06-03,498000,521000,495000,521000,78559
2024-05-31,527000,522000,510000,527000,57047
2024-05-30,517000,513000,513000,524000,39333
2024-05-29,522000,511000,511000,527000,66917
2024-05-28,511000,520000,511000,524000,33423
2024-05-27,520000,513000,503000,521000,42071
2024-05-24,514000,507000,504000,518000,47369
2024-05-23,514000,515000,501000,520000,83726
2024-05-22,529000,536000,525000,538000,50869
2024-05-21,537000,535000,530000,546000,110663
2024-05-20,528000,520000,519000,535000,108569
2024-05-17,512000,508000,502000,518000,55049
2024-05-16,514000,496500,491000,515000,99305
2024-05-14,489500,496500,488500,497000,25335
2024-05-13,494000,496500,491500,499000,28340
2024-05-10,496500,499500,489000,500000,37092
2024-05-09,495000,491500,488500,499000,72617
2024-05-08,493000,478500,478500,493000,111917
2024-05-07,473000,471500,467000,482000,53299
2024-05-03,463000,464000,460000,465000,16896
2024-05-02,460000,462000,459500,465500,21072
2024-04-30,463500,465500,461000,468000,58892
2024-04-29,466500,457500,457000,467500,39978
2024-04-26,454500,455500,451500,456000,16392
2024-04-25,452500,454500,450500,456500,27363
2024-04-24,455500,462500,453000,464500,54268
2024-04-23,461500,467500,460500,471500,39719
2024-04-22,471000,476500,468000,477000,31964
2024-04-19,472000,467000,463500,474500,37022
2024-04-18,472000,484500,467000,488000,53649
2024-04-17,477500,480500,475000,485000,36445
2024-04-16,480500,486000,478500,497500,89420
2024-04-15,485000,470000,463000,486500,99807
2024-04-12,470500,472000,466500,474500,41851
2024-04-11,472000,463000,462000,474500,52019
2024-04-09,469000,461500,461000,471500,56063
2024-04-08,461000,466000,451000,466500,34242
2024-04-05,460000,458000,453000,460500,29469
2024-04-04,463000,450500,448000,463500,60679
2024-04-03,444000,446000,441000,446000,25399
2024-04-02,446500,447500,446500,452500,26251
2024-04-01,451000,458000,450000,458000,26228
2024-03-29,452000,454500,450000,456000,21866
2024-03-28,454500,459000,453500,459000,27768
2024-03-27,460000,449500,449000,466500,54622
2024-03-26,450000,458000,450000,460000,44288
2024-03-25,456000,452000,452000,474000,132867
2024-03-22,440000,438000,437500,443000,34873
2024-03-21,441500,443500,439500,446000,40778
2024-03-20,439500,451500,437000,451500,48666
2024-03-19,448000,447500,444000,452000,33604
2024-03-18,452500,454000,450500,457000,28837
2024-03-15,450500,450000,447500,453500,31683
2024-03-14,454500,454500,452000,462000,61813
2024-03-13,450000,456500,450000,456500,20244
2024-03-12,454500,454000,449000,455000,20019
2024-03-11,451000,455000,448000,456500,24653
2024-03-08,457000,449500,448000,457500,50275
2024-03-07,444500,437000,435000,446500,33912
2024-03-06,436000,443500,435000,443500,60208
2024-03-05,443500,443500,443500,448000,32511
