Date,Close,Open,Low,High,Volume
2024-08-19,17920,18070,17820,18280,1470607
2024-08-16,17940,17900,17770,18070,1305044
2024-08-14,17630,17900,17090,17900,2030911
2024-08-13,17500,17570,17190,17980,2294941
2024-08-12,17570,17530,17400,17700,1065617
2024-08-09,17370,17370,17260,17590,997880
2024-08-08,17310,17030,16960,17480,1506102
2024-08-07,17160,17260,17060,17670,1715297
2024-08-06,17230,16440,16440,17680,2634787
2024-08-05,16280,18290,15800,18540,3835937
2024-08-02,18210,18080,17650,18280,1947461
2024-08-01,18290,18200,17850,18390,1769832
2024-07-31,18200,17600,17360,18200,2087875
2024-07-30,17550,17230,17220,17810,2169270
2024-07-29,17230,17190,17060,17540,1504136
2024-07-26,17090,16800,16800,17300,1067622
2024-07-25,16940,16970,16710,17090,1186222
2024-07-24,16970,16770,16700,17060,1226039
2024-07-23,16900,17170,16900,17300,1208833
2024-07-22,17030,17190,16880,17350,1314697
2024-07-19,17250,17850,17180,18040,2077387
2024-07-18,18000,17980,17650,18050,1297197
2024-07-17,17950,18200,17850,18240,1814773
2024-07-16,18100,17740,17700,18270,2743750
2024-07-15,17610,17660,17460,17890,1903631
2024-07-12,17560,17830,17360,18060,3281979
2024-07-11,17980,18130,17940,18290,2221235
2024-07-10,18120,18140,18060,18420,1772114
2024-07-09,18050,18240,17950,18390,3562605
2024-07-08,18340,19150,18280,19150,4682077
2024-07-05,19370,19950,19360,20250,3583767
2024-07-04,19780,20000,19170,20450,3816114
2024-07-03,19900,20100,19880,20800,5984097
2024-07-02,19970,19560,19310,20400,4234398
2024-07-01,19690,19980,19610,20450,3958665
2024-06-28,19630,19070,19070,19880,6239235
2024-06-27,19010,19140,19000,19360,1570099
2024-06-26,19140,19090,18910,19630,2920252
2024-06-25,19180,19490,18970,19960,7331023
2024-06-24,18980,18710,18640,19280,2436868
2024-06-21,19140,19300,18820,19550,3286561
2024-06-20,19150,18600,18590,19750,6692038
2024-06-19,18510,18010,17870,18540,2937385
2024-06-18,17930,17680,17650,18440,2961650
2024-06-17,17540,18410,17410,18410,2627826
2024-06-14,18050,17100,17100,18100,4096729
2024-06-13,17030,17120,17030,17430,2710262
2024-06-12,17100,17490,17020,17630,2488083
2024-06-11,17500,18490,17390,18790,4220525
2024-06-10,18410,19330,18160,19500,3807339
2024-06-07,19500,19150,19010,19720,3978760
2024-06-05,19090,19230,18950,19500,2942135
2024-06-04,19000,18940,18510,19310,2966892
2024-06-03,19130,18980,18690,19440,8479182
2024-05-31,18000,18420,17870,18540,3622592
2024-05-30,18180,18000,17940,18280,1611780
2024-05-29,18180,17990,17550,18260,2344311
2024-05-28,18010,17890,17740,18150,2847063
2024-05-27,17550,17560,17400,18130,4627511
2024-05-24,16780,16440,16120,16960,2383668
2024-05-23,16600,16640,16580,16950,1549150
2024-05-22,16800,17320,16740,17450,2689977
2024-05-21,17010,17120,16720,17390,2453722
2024-05-20,17550,16630,16600,18280,11217606
2024-05-17,16180,16460,16110,16640,3064009
2024-05-16,16520,18030,16510,18290,7336929
2024-05-14,18010,18560,17120,18910,5163491
2024-05-13,18560,18700,17870,18910,4790346
2024-05-10,18340,17600,17590,18730,8446319
2024-05-09,17300,16400,16310,17630,7256919
2024-05-08,16270,15910,15850,16570,3188841
2024-05-07,15800,15480,15480,15830,1621133
2024-05-03,15310,15620,15230,15750,1681130
2024-05-02,15600,15600,15520,15950,854863
2024-04-30,15850,15850,15660,16090,1321253
2024-04-29,16020,15290,15150,16100,3793248
2024-04-26,15080,14870,14770,15160,1226288
2024-04-25,14850,14810,14670,15080,1467795
2024-04-24,14950,15050,14900,15060,1703066
2024-04-23,14910,16030,14910,16120,4053403
2024-04-22,16120,15650,15150,16180,3985580
2024-04-19,15500,14540,14250,15660,4212700
2024-04-18,14660,14700,14500,14860,1342539
2024-04-17,14700,14580,14530,14910,1402107
2024-04-16,14550,15350,14520,15470,2382717
2024-04-15,15480,15330,15150,15680,1216711
2024-04-12,15380,15610,15210,15720,1463944
2024-04-11,15600,15510,15330,15880,1762890
2024-04-09,15800,15080,15080,15980,2603058
2024-04-08,15050,15390,15010,15460,1660792
2024-04-05,15380,15460,15370,15650,1565394
2024-04-04,15670,16100,15600,16160,1886436
2024-04-03,15950,15710,15700,16250,4216127
2024-04-02,15700,15770,15600,15880,1557356
2024-04-01,15870,15900,15680,15980,1482762
2024-03-29,15720,16030,15640,16060,1492248
2024-03-28,15750,15580,15460,15820,1410553
2024-03-27,15510,15430,15420,15910,1990143
2024-03-26,15430,15670,15400,15670,1770352
2024-03-25,15610,15630,15570,15680,1096058
2024-03-22,15560,15890,15560,15900,1619702
2024-03-21,15890,15850,15790,16040,1166320
2024-03-20,15700,15790,15680,15970,1021410
2024-03-19,15680,16020,15660,16100,1740018
2024-03-18,16050,16110,16000,16400,1740214
2024-03-15,15960,16780,15960,17040,3086893
2024-03-14,16580,16370,16170,16770,2755578
2024-03-13,16250,16630,16060,16630,2379262
2024-03-12,16500,16760,16420,16770,1425108
2024-03-11,16620,16900,16610,16980,1507907
2024-03-08,16950,17020,16900,17260,1411684
2024-03-07,17010,17200,16940,17450,1400703
2024-03-06,17200,17570,17170,17780,1799871
2024-03-05,17680,17800,17650,18150,1270998
2024-03-04,17890,18450,17890,18460,1488235
2024-02-29,18270,18310,18260,18630,1775348
2024-02-28,18370,18370,18260,18690,1260284
2024-02-27,18370,19250,18340,19360,2046464
2024-02-26,19170,19150,19060,19400,1638350
2024-02-23,19060,19250,19050,19420,1753507
2024-02-22,19110,19080,18720,19190,1403091
2024-02-21,19060,18690,18490,19240,2632144
2024-02-20,18620,18700,18230,18750,1643541
2024-02-19,18680,18070,18050,18680,3121103
2024-02-16,17830,17580,17550,18080,2345133
2024-02-15,17490,17940,17470,18020,1778133
2024-02-14,17750,17610,17430,17830,1980653
2024-02-13,17820,18510,17810,18690,3654689
2024-02-08,18380,18900,18350,19200,3452564
2024-02-07,19080,19030,17500,20200,5677567
2024-02-06,19160,19050,19000,19510,1304800
2024-02-05,19110,19960,19000,19960,2206831
2024-02-02,19660,18980,18940,19860,6697509
2024-02-01,19030,19230,18920,19230,1242433
2024-01-31,19290,19190,18960,19340,1155040
2024-01-30,19280,19660,19220,19780,1243440
2024-01-29,19440,19640,19350,19850,1438594
