Date,Close,Open,Low,High,Volume
2024-08-19,220500,220500,219500,222500,101032
2024-08-16,220000,220000,220000,224500,154796
2024-08-14,218000,218000,216000,219000,97843
2024-08-13,216500,216500,216500,220000,111010
2024-08-12,218500,213500,212500,220000,148949
2024-08-09,212500,215500,212000,217000,157882
2024-08-08,214000,210000,207500,214000,206961
2024-08-07,212000,208500,207000,213500,153684
2024-08-06,213000,211500,209500,216500,228803
2024-08-05,204000,215000,200500,215500,316073
2024-08-02,217500,218000,216500,219500,158538
2024-08-01,219500,220500,219500,222500,156454
2024-07-31,220500,222500,219500,224000,240062
2024-07-30,222000,225500,222000,227500,147006
2024-07-29,228000,226000,225500,230500,192060
2024-07-26,225500,227500,221000,230500,313091
2024-07-25,225500,223000,223000,227500,211847
2024-07-24,224500,222500,220500,227000,144068
2024-07-23,222500,223500,222500,227500,128614
2024-07-22,221500,223500,220000,223500,93950
2024-07-19,223500,223000,221000,224000,145318
2024-07-18,224000,229000,222000,229000,178580
2024-07-17,229000,231500,227000,232000,153396
2024-07-16,231000,233000,230500,233500,118210
2024-07-15,232000,235500,231500,236500,88471
2024-07-12,234500,234000,231500,235000,109546
2024-07-11,235500,235500,233500,236500,158774
2024-07-10,233500,232500,232000,235500,105724
2024-07-09,233500,238000,230500,238000,246272
2024-07-08,237500,240500,235500,241000,166934
2024-07-05,242000,241000,239000,244500,181925
2024-07-04,241000,240000,238000,243000,111039
2024-07-03,238500,237500,236500,240500,163749
2024-07-02,235500,244000,235000,245500,336255
2024-07-01,247500,250000,243500,252500,168879
2024-06-28,251500,252500,248500,257500,286548
2024-06-27,250500,249000,248000,254500,261650
2024-06-26,252500,247000,247000,253500,267317
2024-06-25,250500,240500,239500,253000,532626
2024-06-24,238000,235500,234000,241500,167704
2024-06-21,237500,239500,233000,239500,251784
2024-06-20,238500,238500,236500,241500,208360
2024-06-19,242000,235000,234000,246500,402946
2024-06-18,235500,237000,233500,240500,323533
2024-06-17,235000,238000,232500,242500,393848
2024-06-14,238000,220500,220000,253500,1763305
2024-06-13,221500,222500,221000,225000,374303
2024-06-12,221000,219000,218500,221000,105623
2024-06-11,219000,221000,218000,223000,233642
2024-06-10,221500,221000,219000,224500,182446
2024-06-07,223000,224000,222000,227000,206377
2024-06-05,222000,220500,219000,224000,246551
2024-06-04,220000,220000,218500,222000,202441
2024-06-03,220000,216000,216000,222000,224992
2024-05-31,214500,217500,213500,218000,291527
2024-05-30,215000,214500,212000,216000,202252
2024-05-29,217500,217500,213500,219000,266959
2024-05-28,219000,220500,218000,221500,176418
2024-05-27,221000,221500,220000,223500,167702
2024-05-24,221500,224500,221000,225500,182786
2024-05-23,227500,227500,227000,230500,161706
2024-05-22,230000,222500,221500,231500,203632
2024-05-21,223500,225500,223000,226500,166506
2024-05-20,227500,226500,226000,230000,144822
2024-05-17,227000,228000,226500,228500,100694
2024-05-16,227000,227000,226000,229000,168980
2024-05-14,224500,226000,224000,227000,167796
2024-05-13,227000,227000,225500,230000,141987
2024-05-10,227000,228000,226000,228000,111031
2024-05-09,226000,232000,225000,232000,235106
2024-05-08,232000,228500,228500,232500,168185
2024-05-07,228500,228500,227500,229500,178015
2024-05-03,226000,227500,226000,229000,147544
2024-05-02,226000,226000,225000,228000,207204
2024-04-30,228500,230500,228000,232500,260074
2024-04-29,229500,239500,229000,242500,455640
2024-04-26,240500,245500,239500,247000,147522
2024-04-25,244000,241500,241000,248500,158635
2024-04-24,243500,240000,237500,244500,131348
2024-04-23,238500,238000,236500,243000,134543
2024-04-22,239000,239000,235000,239500,155158
2024-04-19,234500,231000,229000,235000,181634
2024-04-18,235000,239000,233000,240000,175371
2024-04-17,234500,239000,233000,239000,132408
2024-04-16,238000,239500,234000,240500,187172
2024-04-15,242500,239500,236000,243000,120501
2024-04-12,240500,246000,240500,248500,199565
2024-04-11,251000,234500,234000,253500,290007
2024-04-09,243000,247500,243000,251500,130378
2024-04-08,243000,240500,240500,247500,146813
2024-04-05,242500,240000,239000,245000,129340
2024-04-04,244000,243500,238500,245500,158989
2024-04-03,240500,246500,238500,249500,263093
2024-04-02,247500,248000,245000,251000,193887
2024-04-01,251000,257500,249000,259000,201785
2024-03-29,255000,261500,254500,262500,148181
2024-03-28,261500,263000,258000,264500,199500
2024-03-27,264500,260000,260000,266000,160180
2024-03-26,264500,259000,257000,267000,278347
2024-03-25,258000,259500,257000,264000,183402
2024-03-22,262000,264500,260000,267000,300132
2024-03-21,266000,257000,256500,267000,321963
2024-03-20,253000,257500,249000,259000,376506
2024-03-19,253500,265000,253500,265500,392572
2024-03-18,268000,269500,265500,270000,202563
2024-03-15,269000,265000,263500,269000,587592
2024-03-14,265000,252000,251500,268000,640155
2024-03-13,253500,252500,249000,254500,180760
2024-03-12,250500,250500,246500,251000,232180
2024-03-11,250000,251500,249000,255000,163621
2024-03-08,253000,256500,252000,257500,204348
2024-03-07,253000,255500,251500,258000,221468
2024-03-06,254000,249500,248000,255500,303063
2024-03-05,253000,252000,250500,257000,276135
2024-03-04,252000,244500,244000,253000,343794
2024-02-29,242500,239500,238000,248000,386359
2024-02-28,242000,232500,230000,243000,282388
2024-02-27,233500,234500,233000,238000,282830
2024-02-26,241000,247000,235500,247000,210199
2024-02-23,247000,243000,242500,250000,312190
2024-02-22,244500,241000,237500,246000,191554
2024-02-21,240500,242500,234500,242500,187271
2024-02-20,240000,244000,236500,246000,316708
2024-02-19,244000,234500,234500,244500,517969
2024-02-16,230500,230000,225000,230500,245685
2024-02-15,227000,232000,226000,232500,165496
2024-02-14,228500,229500,227500,231000,187972
2024-02-13,233500,233000,232000,238000,316471
2024-02-08,230500,230000,226500,232000,289854
2024-02-07,229000,222500,222500,233500,355065
2024-02-06,219500,229000,219000,231000,428854
2024-02-05,231500,237000,224000,237500,526386
2024-02-02,232000,222000,220000,232500,644138
2024-02-01,219500,208000,208000,222500,598932
2024-01-31,210000,206500,206000,211000,200335
2024-01-30,206500,205500,205500,211000,321357
2024-01-29,202500,203000,201500,204500,377103
2024-01-26,204000,210000,204000,210500,232475
2024-01-25,209500,204000,201500,210000,161730
2024-01-24,204500,204000,200500,205500,126294
2024-01-23,205000,200500,199700,205000,124301
2024-01-22,199000,200000,198300,201000,113921
2024-01-19,199600,202000,198000,203000,207560
2024-01-18,200000,205000,199900,206500,295022
2024-01-17,205500,212500,205000,213000,208667
2024-01-16,213000,214500,211000,216000,119474
2024-01-15,216500,215000,214500,217500,84744
2024-01-12,214500,216000,213000,216000,123785
2024-01-11,216000,218000,216000,218500,123793
2024-01-10,217000,216000,216000,219000,83831
2024-01-09,216500,220500,216500,221000,220245
2024-01-08,218500,222500,218500,223500,89481
2024-01-05,221500,221500,220000,222500,111781
2024-01-04,222500,226000,220500,226500,174122
2024-01-03,227500,234000,227500,234500,122990
2024-01-02,236000,235000,233500,238000,98770
2023-12-28,237000,231000,230000,237000,155608
2023-12-27,230000,228500,228000,230500,74888
2023-12-26,230500,233000,228000,233000,95309
2023-12-22,231000,231000,230000,232000,81481
2023-12-21,230500,227500,227000,233500,130410
2023-12-20,229000,224500,224500,229500,188130
2023-12-19,223500,222500,221500,225000,99285
2023-12-18,224000,223000,222000,225000,96024
2023-12-15,224500,222500,222000,226500,266470
2023-12-14,221000,229000,220000,229000,387973
2023-12-13,227000,228000,226500,230000,127328
2023-12-12,227500,228500,226500,229500,137220
2023-12-11,227000,228000,225000,228000,81874
2023-12-08,226500,226000,224500,227500,88701
2023-12-07,224500,223000,220500,226000,137154
2023-12-06,223500,225000,223500,227500,91993
2023-12-05,225000,225500,224000,226500,66315
2023-12-04,225500,229000,225500,229000,79364
2023-12-01,227000,227000,226000,228500,106387
2023-11-30,229000,227500,226500,232000,242068
2023-11-29,230500,231500,229500,233500,102655
2023-11-28,233500,234000,230500,234000,102930
2023-11-27,232000,233500,230000,233500,57610
2023-11-24,232500,232000,230500,234000,40335
2023-11-23,233000,229500,229500,234500,85826
2023-11-22,229500,227500,227000,231000,80745
2023-11-21,231500,228000,226500,232000,103110
2023-11-20,225500,226000,223000,228500,160966
2023-11-17,229500,231000,226000,231000,76943
2023-11-16,230500,228000,227000,232000,113899
2023-11-15,228000,227500,226000,229500,171564
2023-11-14,222500,224000,222500,224500,90909
2023-11-13,221500,224000,220500,224500,59259
2023-11-10,223000,222000,220500,224000,51705
2023-11-09,224000,225500,222500,227000,134909
2023-11-08,222500,227000,221500,227500,105091
2023-11-07,224000,225500,220500,226000,172965
2023-11-06,228000,220000,218500,228000,190927
2023-11-03,218000,222000,215500,222500,120898
2023-11-02,218500,217000,216500,223000,211056
2023-11-01,212500,210000,209500,214500,164290
2023-10-31,208500,213500,207500,216000,178889
2023-10-30,211500,220000,210000,221500,214875
2023-10-27,220000,219500,218500,225000,195233
2023-10-26,216000,222000,215500,222000,187926
2023-10-25,221000,218500,218000,223000,120687
2023-10-24,217500,219500,212000,219500,124597
2023-10-23,218000,220000,217500,222000,87895
2023-10-20,218000,223500,217500,224500,157434
2023-10-19,225000,224000,224000,227500,109143
2023-10-18,227500,226000,223500,228500,130743
2023-10-17,224000,229500,223500,230000,172979
2023-10-16,228500,232000,227500,234000,115520
2023-10-13,232500,230500,230000,234000,72554
2023-10-12,234000,234500,231000,235000,157562
2023-10-11,233000,232500,232500,236500,148328
2023-10-10,232500,236000,230500,237000,144617
2023-10-06,232000,231500,230000,232500,104000
2023-10-05,232000,233500,231000,236000,133795
2023-10-04,233000,232000,227000,234500,230281
2023-09-27,240500,238500,238000,242500,135533
2023-09-26,242000,243500,241500,245000,146582
2023-09-25,246500,239500,238000,247000,254531
2023-09-22,239500,235500,235500,241000,104585
2023-09-21,238000,240500,238000,242500,122608
2023-09-20,242500,238500,237500,244500,212146
2023-09-19,237000,234000,233500,238500,127883
2023-09-18,235000,237500,234500,238500,112004
2023-09-15,238000,236000,234000,240000,239654
2023-09-14,235000,236000,233500,236500,199185
2023-09-13,234500,231000,231000,237000,142316
2023-09-12,232000,231000,230000,234000,136057
2023-09-11,230500,236000,230500,236000,109581
2023-09-08,235500,237500,233000,237500,195922
2023-09-07,237000,235500,234500,237500,159738
2023-09-06,237500,235500,234500,240000,156729
2023-09-05,237000,234000,233000,237500,115006
2023-09-04,236000,230500,230500,236000,99223
2023-09-01,232500,230000,230000,235000,105499
2023-08-31,231000,231000,230000,233000,183874
2023-08-30,232000,232500,231000,234500,93158
2023-08-29,230500,229500,228000,231500,119510
2023-08-28,228500,229000,223000,229500,100632
2023-08-25,227000,225500,225000,228000,94078
2023-08-24,227500,229000,226000,229000,94781
2023-08-23,227000,228000,226500,229000,96397
2023-08-22,230000,230500,229000,233000,129699
2023-08-21,229500,231000,227000,231000,123375
2023-08-18,229500,228500,226500,230000,134444
2023-08-17,230500,227000,226500,231000,160525
2023-08-16,229000,230000,227500,232500,144436
2023-08-14,233000,235000,232000,235500,155039
2023-08-11,233000,229500,229000,237000,267492
2023-08-10,228500,234000,225500,234000,370946
2023-08-09,234000,227000,226000,235500,348882
2023-08-08,227500,228500,226500,232000,256637
2023-08-07,226500,228000,225500,230000,224735
2023-08-04,230000,230500,227500,231500,116685
