Date,Close,Open,Low,High,Volume
2024-08-19,19220,19250,19180,19400,695956
2024-08-16,19270,19400,19260,19480,813644
2024-08-14,19260,19340,19170,19340,669926
2024-08-13,19240,19170,19130,19300,672448
2024-08-12,19300,19120,19060,19370,629507
2024-08-09,19040,19410,19020,19410,1467853
2024-08-08,19190,19350,19130,19500,1357140
2024-08-07,19490,18810,18780,19680,1780310
2024-08-06,19000,18800,18550,19300,2558803
2024-08-05,18400,19600,18190,19610,3686735
2024-08-02,19700,20050,19670,20350,2177058
2024-08-01,20200,19710,19690,20350,2669816
2024-07-31,19750,19690,19590,19770,1323484
2024-07-30,19610,19620,19570,19740,1077940
2024-07-29,19670,19680,19600,19790,1537543
2024-07-26,19570,19380,19380,19680,997310
2024-07-25,19380,19420,19350,19520,849023
2024-07-24,19350,19260,19250,19480,659995
2024-07-23,19320,19530,19320,19610,925398
2024-07-22,19520,19730,19500,19730,986049
2024-07-19,19720,19570,19540,19800,1047139
2024-07-18,19610,20050,19550,20400,3633959
2024-07-17,19580,19600,19560,19720,1102357
2024-07-16,19590,19650,19470,19800,827168
2024-07-15,19620,19860,19620,19950,1149661
2024-07-12,19760,19820,19660,20300,2038482
2024-07-11,19830,19800,19570,19860,1304530
2024-07-10,19670,19920,19640,19920,1075212
2024-07-09,19830,19850,19700,19950,1141861
2024-07-08,19800,19510,19460,19890,1637506
2024-07-05,19510,19320,19310,19600,1512491
2024-07-04,19340,19270,19220,19350,664020
2024-07-03,19210,19300,19200,19310,847614
2024-07-02,19250,19410,19170,19520,1578112
2024-07-01,19530,19540,19410,19610,829499
2024-06-28,19570,19370,19360,19640,1216772
2024-06-27,19300,19230,19210,19590,1185950
2024-06-26,19370,19300,19180,19390,1064026
2024-06-25,19350,19420,19270,19500,884995
2024-06-24,19350,19320,19140,19380,1286065
2024-06-21,19280,20000,19100,20100,4201870
2024-06-20,20100,20100,19980,20200,1070108
2024-06-19,20100,19880,19850,20150,1444501
2024-06-18,19840,19760,19720,19930,1600534
2024-06-17,19740,19820,19700,19950,1265562
2024-06-14,19740,19700,19610,19860,1823734
2024-06-13,19660,19840,19660,20100,2669576
2024-06-12,19830,19750,19650,19880,1277670
2024-06-11,19800,19910,19720,20350,1445810
2024-06-10,19760,19840,19560,19930,1677932
2024-06-07,19990,20100,19900,20350,1363862
2024-06-05,20150,20050,19950,20250,1335847
2024-06-04,20000,20350,19830,20350,2413157
2024-06-03,20300,19640,19590,20800,5380353
2024-05-31,19450,19250,19130,19550,1948723
2024-05-30,19070,19460,19010,19600,1857424
2024-05-29,19580,19720,19490,19850,1709809
2024-05-28,19800,19860,19750,19940,951042
2024-05-27,19800,19710,19710,19990,1310078
2024-05-24,19660,19810,19650,19880,1590476
2024-05-23,19990,20050,19960,20300,1515224
2024-05-22,20100,20050,19950,20250,1431445
2024-05-21,19990,19970,19760,20100,1573442
2024-05-20,20000,19930,19870,20150,1453490
2024-05-17,19800,19640,19640,19880,1401898
2024-05-16,19630,19840,19610,20100,3125549
2024-05-14,19690,19420,19390,19790,2669709
2024-05-13,19380,20600,19320,20650,9401650
2024-05-10,20600,22150,20250,22850,7861913
2024-05-09,21800,21650,21650,22600,3064229
2024-05-08,21500,21850,21450,21950,1157969
2024-05-07,21850,21450,21350,21950,1366953
2024-05-03,21250,21350,21150,21400,686049
2024-05-02,21350,21200,21000,21700,1262306
2024-04-30,21150,21200,20900,21450,1506317
2024-04-29,21300,21250,20950,21500,1126992
2024-04-26,21050,21000,20850,21100,714395
2024-04-25,20900,20900,20850,21100,776057
2024-04-24,20900,21250,20750,21300,1846646
2024-04-23,21450,20850,20750,21650,1940506
2024-04-22,20900,20350,20350,21100,1728574
2024-04-19,20150,20150,19760,20350,1759643
2024-04-18,20400,20050,20050,20850,1875760
2024-04-17,19770,20600,19760,20650,2320298
2024-04-16,20450,20850,20250,21350,1820396
2024-04-15,20900,20000,20000,21000,2432691
2024-04-12,20200,21250,20100,21250,4156035
2024-04-11,21300,21900,21150,22500,3400061
2024-04-09,22150,22250,22000,22500,1491157
2024-04-08,22250,21700,21450,22500,2365677
2024-04-05,21600,21500,21400,21850,962461
2024-04-04,21750,21550,21450,22100,2141669
2024-04-03,21350,21450,21100,21550,1534977
2024-04-02,21550,21850,21400,21950,1978925
2024-04-01,22100,22000,21750,22150,1005932
2024-03-29,22000,22350,21900,22400,1191176
2024-03-28,22100,22350,22000,22400,1124920
2024-03-27,22150,21900,21800,22250,1368013
2024-03-26,22100,22450,21700,22700,2879390
2024-03-25,22350,22800,21850,22900,2966690
2024-03-22,22800,22750,22700,23300,1440910
2024-03-21,22850,22500,22500,23100,2693244
2024-03-20,22300,22450,21850,22700,3103981
2024-03-19,22400,24000,22150,24050,6428557
2024-03-18,24300,24850,24100,24900,2335423
2024-03-15,24850,24850,24600,25250,2905291
2024-03-14,24800,24150,24100,25450,6392314
2024-03-13,24000,23850,23350,24200,2056972
2024-03-12,23750,24000,23250,24050,1686518
2024-03-11,24000,24000,23550,24100,1517672
2024-03-08,24000,24300,23200,24350,3269503
2024-03-07,24200,24800,24050,24800,1827533
2024-03-06,24650,24250,24250,25000,2543960
2024-03-05,24450,24600,24100,24650,2130723
2024-03-04,24750,24800,24300,24850,2841632
2024-02-29,24800,24550,24450,25100,3281702
2024-02-28,24500,24050,23600,24900,4041469
2024-02-27,24200,24550,24100,24800,3338323
2024-02-26,24850,24100,22800,24950,11931119
2024-02-23,23550,23150,22950,23850,4262887
2024-02-22,23050,22850,22650,23350,2411195
2024-02-21,22900,23150,22750,23400,2309678
2024-02-20,23400,23300,22550,23950,5797991
2024-02-19,23200,21700,21550,23350,10791549
2024-02-16,21100,20750,20700,21350,1271429
2024-02-15,20700,21250,20700,21300,1161158
2024-02-14,21100,21000,20900,21700,2195133
2024-02-13,21300,20550,20550,21350,2520800
2024-02-08,20400,20850,20400,20950,1591986
2024-02-07,20850,20550,20400,20900,1753630
2024-02-06,20400,20100,20000,20500,1073152
2024-02-05,20200,20400,19910,20400,1313690
2024-02-02,20350,20300,20050,20550,1451371
2024-02-01,20400,19720,19660,20550,3649060
2024-01-31,19770,19510,19380,19780,1202685
2024-01-30,19600,19870,19400,19880,1661595
2024-01-29,19920,19230,19140,19970,3183607
2024-01-26,19200,18960,18910,19280,1053749
2024-01-25,19160,18390,18280,19160,1987949
2024-01-24,18390,18270,18260,18450,874907
2024-01-23,18270,18560,18140,18570,973471
2024-01-22,18430,18110,18070,18540,1219991
2024-01-19,18030,18750,17970,18760,3019410
2024-01-18,18720,19000,18710,19090,968473
2024-01-17,18980,19200,18980,19390,1470742
2024-01-16,19240,18750,18750,19490,2467333
2024-01-15,18690,18730,18660,18900,561589
2024-01-12,18670,18670,18540,18790,563259
2024-01-11,18640,19030,18640,19060,880855
2024-01-10,18890,19070,18820,19090,671010
2024-01-09,19140,18750,18720,19240,1753456
2024-01-08,18550,18850,18550,18910,591289
2024-01-05,18840,18800,18640,18930,583559
2024-01-04,18810,19150,18810,19150,980394
2024-01-03,19250,18800,18740,19450,2051242
2024-01-02,18840,18900,18700,18910,773155
2023-12-28,18900,18650,18540,18900,1096951
2023-12-27,18550,18710,18260,18730,863032
2023-12-26,18710,18900,18590,18910,761233
2023-12-22,18730,18730,18620,18830,621528
2023-12-21,18710,18610,18500,18740,802903
2023-12-20,18680,18730,18640,18810,843944
2023-12-19,18630,19060,18520,19200,1634899
2023-12-18,19120,19250,19100,19380,780185
2023-12-15,19330,19300,19210,19440,1050262
2023-12-14,19280,19400,19130,19500,1744663
2023-12-13,19190,19390,19110,19500,778451
2023-12-12,19300,19430,19290,19440,633201
2023-12-11,19380,19300,19090,19430,857461
2023-12-08,19340,19660,19280,19730,1128940
2023-12-07,19650,19250,19230,19750,2458852
2023-12-06,19160,19150,19130,19350,684774
2023-12-05,19170,19100,19030,19280,924833
2023-12-04,19130,19180,18930,19260,911210
2023-12-01,19080,18820,18740,19190,1357487
2023-11-30,18850,18560,18390,18850,1308829
2023-11-29,18570,18850,18540,19120,1114295
2023-11-28,18980,19000,18680,19060,1026118
2023-11-27,19000,18860,18820,19060,1398986
2023-11-24,18790,18750,18710,19200,1884022
2023-11-23,18750,18050,18050,18830,2855487
2023-11-22,18140,17990,17910,18140,992240
2023-11-21,17950,17790,17740,18010,978874
2023-11-20,17760,17750,17620,17860,702034
2023-11-17,17780,17810,17670,18040,1479460
2023-11-16,17650,17500,17410,17850,1601199
2023-11-15,17480,17580,17350,17650,1445325
2023-11-14,17400,17700,17330,17800,2086701
2023-11-13,17870,17110,16760,18190,4877863
2023-11-10,16950,17180,16750,17250,1146817
2023-11-09,17190,17900,17150,17990,2290944
2023-11-08,17640,17330,17110,18230,4131903
2023-11-07,17240,16960,16800,17380,1563916
2023-11-06,17100,16660,16590,17100,1431266
2023-11-03,16460,16320,16210,16580,968025
2023-11-02,16190,16880,16120,17000,1956540
2023-11-01,16770,16920,16710,16960,589018
2023-10-31,16920,17000,16770,17130,745326
2023-10-30,16920,16620,16570,17000,718884
2023-10-27,16640,16520,16390,16700,652622
2023-10-26,16370,16440,16270,16510,875934
2023-10-25,16530,16330,16330,16650,683940
2023-10-24,16320,16440,16030,16480,1182941
2023-10-23,16370,16720,16370,16760,1433972
2023-10-20,16720,16820,16710,16890,1095176
2023-10-19,16910,17020,16760,17090,1110271
2023-10-18,17110,17210,17100,17270,634381
2023-10-17,17210,17300,17170,17400,530312
2023-10-16,17190,17440,17170,17520,1135084
2023-10-13,17480,17420,17390,17540,404858
2023-10-12,17510,17780,17450,17780,1095862
2023-10-11,17650,17830,17650,17980,823018
2023-10-10,17640,17560,17540,18060,1118011
2023-10-06,17560,17460,17380,17650,564840
2023-10-05,17380,17410,17350,17720,976345
2023-10-04,17500,17900,17390,17900,1697097
2023-09-27,18020,17850,17810,18110,757383
2023-09-26,17980,17990,17920,18120,641210
2023-09-25,18100,18000,17990,18210,615176
2023-09-22,17970,17990,17790,18050,634981
2023-09-21,18020,18250,18020,18340,728944
2023-09-20,18290,18130,18120,18300,615254
2023-09-19,18060,18090,18050,18210,563253
2023-09-18,18030,18100,18030,18320,583492
2023-09-15,18140,18200,18030,18230,811452
2023-09-14,18130,18040,17960,18250,975648
2023-09-13,17930,17850,17850,18060,636200
2023-09-12,17900,18400,17900,18410,946064
2023-09-11,18240,18420,18190,18440,758725
2023-09-08,18420,17950,17910,18600,2192114
2023-09-07,17810,17800,17710,17820,689905
2023-09-06,17850,17850,17770,17890,529538
2023-09-05,17860,17860,17820,17950,400215
2023-09-04,17960,17820,17750,17960,574398
2023-09-01,17820,17820,17810,17980,828175
2023-08-31,17820,18050,17800,18070,1550678
2023-08-30,18090,18120,18000,18170,674809
2023-08-29,18060,18050,17950,18130,737425
2023-08-28,18030,18000,17910,18150,637626
2023-08-25,17830,17890,17720,17890,879663
2023-08-24,18000,18160,17980,18200,683636
2023-08-23,18090,17950,17880,18240,719310
2023-08-22,17950,17830,17820,18050,650647
2023-08-21,17810,17910,17810,17990,1005706
2023-08-18,17940,18060,17940,18090,1276480
2023-08-17,18160,18340,18100,18340,995083
2023-08-16,18340,18590,18310,18590,1151276
2023-08-14,18640,19010,18610,19040,1412301
2023-08-11,18960,19090,18930,19230,925840
2023-08-10,19030,19180,19030,19380,1479439
2023-08-09,19370,19460,18960,19510,1316582
2023-08-08,19460,19440,19350,19820,1307099
2023-08-07,19280,19350,19210,19440,858959
2023-08-04,19390,19470,19340,19570,680173
2023-08-03,19480,19420,19210,19590,980585
2023-08-02,19350,19460,19310,19700,1107182
2023-08-01,19540,19220,19160,19540,895078
2023-07-31,19210,19440,19210,19530,887217
2023-07-28,19380,19300,19100,19430,950709
2023-07-27,19500,19150,18950,19590,1251925
2023-07-26,19140,19380,18890,19380,1943547
2023-07-25,19390,19440,19350,19650,971347
2023-07-24,19440,20000,19400,20000,1566262
2023-07-21,20050,20300,19990,20450,809856
2023-07-20,20300,20150,20050,20500,718821
2023-07-19,20200,20450,20050,20450,945718
2023-07-18,20200,20000,20000,20600,1039854
2023-07-17,19990,20250,19940,20500,930821
2023-07-14,20450,20800,20350,20850,1272966
2023-07-13,20700,20200,20150,20850,2442703
2023-07-12,20000,19700,19700,20200,1221239
2023-07-11,19680,19590,19520,19850,1120829
2023-07-10,19480,19500,19400,19800,851186
2023-07-07,19490,19850,19430,20050,1632376
2023-07-06,20050,20200,19750,20250,1563897
2023-07-05,20250,20600,20100,20600,1067559
2023-07-04,20600,20450,20400,20750,1086300
2023-07-03,20650,20550,20000,20700,1602240
2023-06-30,20600,20150,19970,20650,2160678
2023-06-29,20050,19670,19640,20300,2028187
2023-06-28,19790,20050,19590,20100,1457571
2023-06-27,19980,19100,19060,20100,4990826
2023-06-26,19080,18340,18340,19080,1504972
2023-06-23,18310,18510,18270,18520,712226
2023-06-22,18510,18580,18430,18690,779396
2023-06-21,18580,18760,18370,18790,1162813
2023-06-20,18750,18840,18700,18960,721418
2023-06-19,18860,18870,18820,19070,753798
2023-06-16,18830,18700,18700,19060,1289113
2023-06-15,18580,18680,18560,18830,979610
2023-06-14,18640,18910,18630,18990,1192384
2023-06-13,18990,19080,18900,19080,860795
2023-06-12,18980,19120,18960,19220,674470
2023-06-09,19080,19370,19080,19560,1361383
2023-06-08,19310,19390,19220,19480,1359731
2023-06-07,19290,19630,19250,19750,1250630
2023-06-05,19560,19330,19330,19590,914659
2023-06-02,19330,19380,19150,19530,1086226
2023-06-01,19390,19290,19150,19820,2860702
2023-05-31,19080,18510,18510,19190,3124543
2023-05-30,18510,18470,18360,18600,828244
2023-05-26,18470,18330,18310,18600,722115
2023-05-25,18400,18500,18370,18570,837787
2023-05-24,18570,18590,18500,18630,703516
2023-05-23,18630,18590,18520,18690,895378
2023-05-22,18470,18340,18270,18550,838628
2023-05-19,18370,18200,18130,18420,1059285
2023-05-18,18160,18430,18130,18490,1641486
2023-05-17,18410,18650,18330,18910,1450421
2023-05-16,18680,19120,18650,19230,1844472
2023-05-15,19280,19740,19030,19790,2581466
2023-05-12,19700,19410,19090,19840,2842757
2023-05-11,19340,19150,18970,19450,1660866
2023-05-10,19240,19240,19140,19430,1547703
2023-05-09,19240,18950,18870,19270,1220604
2023-05-08,19010,19030,18950,19160,1017062
2023-05-04,19000,18830,18800,19210,1591873
2023-05-03,18830,19060,18800,19340,1289941
2023-05-02,19060,18780,18780,19160,1621496
2023-04-28,18680,18610,18560,18810,1136666
2023-04-27,18750,18390,18340,18820,1200869
2023-04-26,18420,18560,18300,18610,1077341
2023-04-25,18560,18550,18530,18740,956856
2023-04-24,18630,19020,18600,19080,1065517
2023-04-21,19080,18980,18810,19080,1429391
2023-04-20,18940,18720,18600,19120,1657599
2023-04-19,18720,18510,18500,19150,1866817
2023-04-18,18490,18720,18410,18880,1633749
2023-04-17,18930,18850,18630,18950,2005187
2023-04-14,18730,18500,18500,18930,1299105
2023-04-13,18510,18550,18410,18740,1471572
2023-04-12,18650,18210,18180,18720,1463897
2023-04-11,18210,18200,18080,18370,1149669
2023-04-10,18080,18060,17960,18210,889834
2023-04-07,18080,18050,17920,18140,836888
2023-04-06,18130,18050,17980,18280,1306351
2023-04-05,18010,18030,18000,18160,863832
2023-04-04,18030,17890,17870,18050,802843
2023-04-03,17890,17920,17860,18150,1251004
2023-03-31,18010,18920,17910,19010,4292915
2023-03-30,18890,18720,18550,18900,1625623
2023-03-29,18670,18410,18410,18860,2242697
2023-03-28,18400,18380,18200,18500,1167329
2023-03-27,18380,18000,17740,18450,1643311
2023-03-24,17940,17820,17770,18140,1059635
2023-03-23,17920,17760,17680,18090,952416
2023-03-22,17760,17870,17730,17930,870686
2023-03-21,17830,18280,17810,18280,1304030
2023-03-20,18310,18010,18000,18550,1644378
2023-03-17,17950,17320,17310,18090,1981922
2023-03-16,17300,17200,17170,17360,884355
2023-03-15,17330,17230,17230,17520,1049405
2023-03-14,17230,17500,17140,17580,1214928
2023-03-13,17510,17490,17390,17600,846690
2023-03-10,17630,17510,17360,17680,924406
2023-03-09,17590,17750,17580,17820,1590751
2023-03-08,17710,17820,17660,17860,1328446
2023-03-07,17900,18010,17890,18120,1072578
2023-03-06,18020,17870,17810,18150,1146143
2023-03-03,17870,17940,17870,18010,896894
2023-03-02,17930,17960,17930,18300,1702341
2023-02-28,18050,18120,18010,18310,1205375
2023-02-27,18160,18380,17840,18380,1655457
2023-02-24,18360,18230,18170,18430,964964
2023-02-23,18270,18200,18150,18360,981764
2023-02-22,18180,18250,18170,18300,1114599
2023-02-21,18360,18540,18340,18550,1385465
2023-02-20,18520,18300,18220,18560,984796
2023-02-17,18300,18230,18140,18400,1535049
2023-02-16,18320,18340,18210,18450,1874488
2023-02-15,18250,19200,18170,19270,3744893
2023-02-14,19170,19300,19170,19440,1107422
2023-02-13,19300,19060,19050,19310,1038627
2023-02-10,19150,19140,19010,19250,1059560
2023-02-09,19210,19330,19150,19370,1207497
2023-02-08,19330,19100,19060,19330,1218715
2023-02-07,19080,19200,18990,19260,1500025
2023-02-06,19200,19390,19140,19490,1387044
2023-02-03,19360,19490,19300,19560,2075132
2023-02-02,19490,19710,19460,19780,2042935
2023-02-01,19660,19860,19600,19950,1830978
2023-01-31,19840,20150,19840,20250,1518690
2023-01-30,20150,20250,20050,20300,925424
2023-01-27,20300,20250,20200,20400,1176756
2023-01-26,20250,20200,20100,20450,1055502
2023-01-25,20250,20400,20100,20450,1183398
2023-01-20,20400,20250,20100,20400,666797
2023-01-19,20300,19950,19900,20450,1088932
2023-01-18,20150,20100,19850,20150,832230
2023-01-17,20000,20050,19950,20250,894497
2023-01-16,20050,20350,19950,20350,1130787
2023-01-13,20200,19900,19850,20300,1300151
2023-01-12,19800,19650,19550,20100,2396575
2023-01-11,19550,19850,19550,20050,1374589
2023-01-10,19700,19700,19500,19750,1222691
2023-01-09,19600,19550,19300,19700,1884767
2023-01-06,19500,19800,19400,19850,1431729
2023-01-05,19800,19600,19500,19950,1557419
2023-01-04,19550,19350,19050,19650,1143195
2023-01-03,19500,19650,19400,20000,1776246
2023-01-02,19350,21200,19350,21350,5336322
2022-12-29,21800,22300,21650,22750,2756682
2022-12-28,22450,21700,21700,22550,4145374
2022-12-27,21500,21750,21350,21900,2087081
2022-12-26,21700,22000,21650,22100,1294457
2022-12-23,21900,21600,21600,22200,2841802
2022-12-22,21750,21800,21500,21950,1380515
2022-12-21,21850,21500,21250,21900,1621562
2022-12-20,21400,21400,21200,21700,1400558
2022-12-19,21300,21650,21150,21700,1478908
2022-12-16,21650,20900,20900,21800,4747522
2022-12-15,20850,20650,20600,21400,1632360
2022-12-14,20800,20750,20550,20900,900277
2022-12-13,20700,20700,20350,20800,839621
2022-12-12,20650,20700,20550,20950,1095848
2022-12-09,21000,19650,19650,21000,3800777
2022-12-08,19350,19800,19250,19800,1356328
2022-12-07,19800,19600,19200,19900,884974
2022-12-06,19650,19700,19600,19900,689243
2022-12-05,19850,19900,19650,20050,964034
2022-12-02,19900,20550,19750,20600,1563289
2022-12-01,20650,20800,20500,20850,809006
2022-11-30,20700,20200,20100,20800,3772049
2022-11-29,20250,19950,19950,20400,989160
2022-11-28,20000,20150,19700,20200,957162
2022-11-25,20150,19950,19700,20400,1299631
2022-11-24,19850,20000,19750,20050,476612
2022-11-23,19900,19450,19250,20000,1047203
2022-11-22,19350,19450,19350,19750,557994
2022-11-21,19500,19700,19150,19750,799303
2022-11-18,19700,19600,19400,20100,1476551
2022-11-17,19550,19750,19300,19900,1205562
