Date,Close,Open,Low,High,Volume
2024-08-19,55100,54800,54700,55200,347178
2024-08-16,54500,55100,54500,55300,348625
2024-08-14,55000,54800,54300,55000,414406
2024-08-13,54700,54300,54100,54900,355119
2024-08-12,54300,55000,53900,55300,375288
2024-08-09,54900,54400,54000,55200,517655
2024-08-08,54400,54800,54300,56400,837535
2024-08-07,54800,52500,52400,54900,1332415
2024-08-06,51800,52900,51800,53400,872052
2024-08-05,51900,54100,51000,54200,1156229
2024-08-02,54200,53700,53700,55000,810806
2024-08-01,53700,53800,53700,54400,331608
2024-07-31,54100,54800,53600,54900,678732
2024-07-30,54600,53300,53300,54900,482511
2024-07-29,54200,54200,54000,54400,289528
2024-07-26,54200,54400,53900,54500,427643
2024-07-25,54100,53800,53700,54700,1018590
2024-07-24,53500,53200,52900,53700,298013
2024-07-23,53400,53400,53400,53800,266708
2024-07-22,53800,53800,53100,53900,419813
2024-07-19,53900,53600,53000,53900,436959
2024-07-18,53900,53000,52500,54000,1055163
2024-07-17,52900,53000,52400,53400,647981
2024-07-16,52800,52200,52000,52900,670318
2024-07-15,52300,52100,51900,52300,287799
2024-07-12,52300,52300,51800,52400,540656
2024-07-11,52300,51600,51300,52300,825544
2024-07-10,51200,51200,51200,51400,321727
2024-07-09,51300,51400,51200,51500,253292
2024-07-08,51400,51500,51300,51600,214401
2024-07-05,51600,51500,51300,51800,333496
2024-07-04,51500,51200,51200,51500,311132
2024-07-03,51200,51700,51200,51700,353040
2024-07-02,51700,51200,51100,51700,362880
2024-07-01,51500,51200,51100,51500,320898
2024-06-28,51500,51500,51000,51500,486619
2024-06-27,51400,51200,50900,51400,506768
2024-06-26,52000,52000,51800,52100,501576
2024-06-25,52300,52400,51900,52400,362479
2024-06-24,52400,51800,51700,52400,371485
2024-06-21,52200,51300,51100,52200,724315
2024-06-20,51200,51200,51100,51300,344789
2024-06-19,51200,51400,51100,51500,410447
2024-06-18,51500,51000,50800,51500,621638
2024-06-17,51000,50800,50700,51100,522604
2024-06-14,50900,51000,50900,51200,659465
2024-06-13,51100,51600,51100,51700,752600
2024-06-12,51300,51000,50900,51400,374966
2024-06-11,51100,51400,51000,51400,554710
2024-06-10,51400,51500,51300,51700,419669
2024-06-07,51900,51600,51500,52000,456623
2024-06-05,51500,51500,51100,51700,526779
2024-06-04,51100,51100,51000,51300,512427
2024-06-03,51500,51400,51200,51800,444118
2024-05-31,51000,52200,51000,52300,1284378
2024-05-30,51700,51300,51300,52300,495056
2024-05-29,51800,51200,51200,51800,375020
2024-05-28,51600,51700,51500,51900,298101
2024-05-27,52000,51800,51500,52100,284856
2024-05-24,51800,51800,51300,51900,293308
2024-05-23,51900,52000,51900,52200,278104
2024-05-22,52200,52000,51700,52300,313496
2024-05-21,51900,52000,51500,52100,303856
2024-05-20,52000,51900,51700,52500,339945
2024-05-17,51800,51800,51700,52200,301907
2024-05-16,52000,52900,51900,52900,918037
2024-05-14,52800,52600,52500,52800,250879
