Date,Close,Open,Low,High,Volume
2024-08-19,141800,142200,141300,143000,72523
2024-08-16,142700,144900,142700,145900,88354
2024-08-14,142600,144100,142300,144900,62102
2024-08-13,143000,141100,140600,144000,74797
2024-08-12,141700,142100,141100,143500,86732
2024-08-09,140900,143300,140900,144700,116100
2024-08-08,142900,140800,139800,144200,131004
2024-08-07,143800,136400,136400,145900,141144
2024-08-06,139500,140300,134200,141900,203789
2024-08-05,135100,142000,133900,142300,259938
2024-08-02,143500,145200,143000,145300,95635
2024-08-01,146800,147700,146700,150300,118386
2024-07-31,147600,147600,146300,149300,121686
2024-07-30,146600,151500,146600,151800,190325
2024-07-29,153300,153200,151300,154700,60853
2024-07-26,153200,152500,152000,155800,113028
2024-07-25,151400,152200,149500,152200,89349
2024-07-24,150900,150100,149700,153300,62427
2024-07-23,151000,153800,150600,155500,117354
2024-07-22,153600,157000,152800,158800,112979
2024-07-19,155700,153800,153300,156400,77466
2024-07-18,155100,156100,153100,156100,96078
2024-07-17,156100,157700,156000,159600,55199
2024-07-16,157100,156300,155500,158700,58220
2024-07-15,156300,158900,155500,158900,56610
2024-07-12,157800,159500,156500,159900,103451
2024-07-11,160200,161400,157600,161400,139375
2024-07-10,160300,156400,156400,161900,106431
2024-07-09,157900,159500,157900,160400,65606
2024-07-08,158100,161000,158100,162000,84912
2024-07-05,162400,158200,157100,162900,249002
2024-07-04,157800,154100,153900,158200,204336
2024-07-03,154000,154000,149500,154000,115714
2024-07-02,153500,151500,151300,153500,93199
2024-07-01,152900,147800,147500,153800,201812
2024-06-28,148500,144600,144200,148500,174840
2024-06-27,143500,144000,142100,145200,138708
2024-06-26,145300,145700,144900,147400,90633
2024-06-25,146200,152300,144600,152300,186473
2024-06-24,150800,151100,150000,152100,64128
2024-06-21,151800,152000,149600,153000,89773
2024-06-20,152000,150600,150500,153800,100712
2024-06-19,151300,150800,149500,151500,91155
2024-06-18,149300,151800,148100,151800,109018
2024-06-17,150300,150500,148500,151300,99226
2024-06-14,150800,150000,150000,152400,119218
2024-06-13,150300,155900,150300,156900,322097
2024-06-12,154800,154400,154000,155800,73553
2024-06-11,155600,154600,152500,155800,93064
2024-06-10,154600,158200,154300,159600,135005
2024-06-07,162000,158900,158500,162400,123735
2024-06-05,157900,158600,157900,160500,89228
2024-06-04,158200,158000,157000,160500,81373
2024-06-03,158800,153800,152900,160000,223965
2024-05-31,153200,156000,153200,161400,594377
2024-05-30,154700,156700,154000,156700,155747
2024-05-29,159000,158900,158500,161000,98666
2024-05-28,160500,165800,160000,166700,156413
2024-05-27,166700,168000,165100,169000,98333
2024-05-24,168000,166900,164600,170600,170270
2024-05-23,167700,164600,163600,171800,237142
2024-05-22,165500,164600,164200,168000,109998
2024-05-21,166100,160300,159000,166100,304636
2024-05-20,158200,160100,156800,160200,85958
2024-05-17,158500,160100,158200,161500,92172
2024-05-16,161700,163000,161100,163200,145994
2024-05-14,161600,156200,156200,163500,237092
2024-05-13,156000,157000,155600,157900,58836
2024-05-10,156700,157300,155400,157800,71445
2024-05-09,155300,159900,153900,159900,154463
2024-05-08,159100,160400,157500,160800,102138
2024-05-07,160100,160700,158900,160700,118555
2024-05-03,158800,161100,158200,161100,66886
2024-05-02,158400,158300,157400,159900,90393
2024-04-30,160100,157400,157300,164200,183368
2024-04-29,158900,159400,158300,160000,93822
2024-04-26,158600,152700,152200,159200,195688
2024-04-25,150200,149900,148000,152700,91884
2024-04-24,151500,153100,150900,153600,82130
2024-04-23,152000,152800,150300,155000,115243
2024-04-22,150900,150200,147600,151000,107718
2024-04-19,147400,146100,144500,148600,150716
2024-04-18,149600,146800,146300,150800,141450
2024-04-17,145400,148200,145400,148300,94958
2024-04-16,147300,146500,145000,148900,94037
2024-04-15,147900,151000,147000,151000,91551
2024-04-12,151400,149500,148200,152000,100197
2024-04-11,151100,151200,148500,151900,194810
2024-04-09,154700,156600,152900,157500,84490
2024-04-08,155100,155700,154800,157200,82915
2024-04-05,155500,156000,154100,157200,99687
2024-04-04,157200,157500,155800,158500,63834
2024-04-03,155600,159500,155600,159500,161816
2024-04-02,160400,165200,159500,165200,133491
2024-04-01,165400,165300,165000,171800,176487
2024-03-29,163500,164400,162500,167000,126993
2024-03-28,163600,159500,158300,165500,197355
2024-03-27,159900,157500,157400,160200,168465
2024-03-26,159200,157200,155600,160400,151418
2024-03-25,155400,158200,154700,158300,116681
2024-03-22,158100,156800,156800,160400,95535
2024-03-21,158200,160200,155300,160700,200943
2024-03-20,158500,159600,157000,163000,128564
2024-03-19,158000,156700,156500,161500,130764
2024-03-18,157000,158400,155900,158400,75291
2024-03-15,157700,158500,155500,159200,173248
2024-03-14,157300,160800,157000,162500,238653
2024-03-13,161500,162200,161000,166000,122477
2024-03-12,160600,163500,160000,164400,109341
2024-03-11,161600,160700,159900,163500,72540
2024-03-08,161700,158400,157500,165700,181398
2024-03-07,156500,156200,154600,157800,88114
2024-03-06,155800,157700,153200,157900,100906
2024-03-05,158000,157500,157500,160400,76940
2024-03-04,158500,161500,158200,161900,96422
2024-02-29,160000,158200,156900,162400,179135
2024-02-28,159800,163200,155200,163200,169119
2024-02-27,161200,169000,160600,169100,147817
2024-02-26,168000,168200,166500,171900,141047
2024-02-23,168900,171000,167200,173000,178957
2024-02-22,170100,159900,157100,171100,352979
2024-02-21,159200,160000,158000,161800,82206
2024-02-20,158500,163100,157500,164800,140850
2024-02-19,163100,157600,157500,165500,222491
2024-02-16,157600,152000,151800,161200,286822
2024-02-15,150300,152100,149700,152300,82352
2024-02-14,150500,152200,148000,152400,158802
2024-02-13,153200,154000,152900,156700,106734
2024-02-08,153000,156000,152700,156700,150404
2024-02-07,155100,158500,154200,159400,109112
2024-02-06,156600,156200,155300,158000,80393
2024-02-05,157200,159900,155800,159900,142857
2024-02-02,160200,153300,153100,161400,202024
2024-02-01,154800,150900,150000,156100,305166
2024-01-31,152000,151300,150600,153400,106186
2024-01-30,152400,154100,149700,154500,132429
2024-01-29,153100,157500,150800,157500,242381
2024-01-26,157800,158900,157700,161400,154445
2024-01-25,157400,157700,155000,160400,147219
2024-01-24,158600,162200,153600,162500,261432
2024-01-23,163500,165800,162100,166100,98794
2024-01-22,164700,166700,162900,168100,181631
2024-01-19,166600,167900,165100,170300,139355
2024-01-18,166700,165000,164300,168400,130704
2024-01-17,165100,169400,164600,172000,163291
2024-01-16,167700,170600,166600,171400,160296
2024-01-15,171500,169900,168000,172900,218717
2024-01-12,169900,166500,165600,171500,241438
2024-01-11,166000,168500,164100,170200,1948167
2024-01-10,171500,168400,168400,172500,150945
2024-01-09,168200,172600,168200,172700,129022
2024-01-08,169800,163500,162500,172900,234304
2024-01-05,162100,163800,160700,164600,64571
2024-01-04,164800,163000,162000,166000,97291
2024-01-03,163500,168200,163100,169000,157487
2024-01-02,169600,168400,166900,171600,93766
2023-12-28,170000,168700,164900,170100,140618
2023-12-27,168700,168700,165200,170200,117843
2023-12-26,169900,172000,168300,172800,111676
2023-12-22,171700,168400,166400,173000,146459
2023-12-21,167700,166500,165600,167700,58984
2023-12-20,167700,167800,166200,169000,103463
2023-12-19,166700,167300,165200,167900,81004
2023-12-18,168000,164100,163200,169400,152372
2023-12-15,164800,170500,164500,170800,245012
2023-12-14,170500,173800,167800,174000,285313
2023-12-13,172000,172200,170200,173000,111313
2023-12-12,170600,172000,170600,173300,114638
2023-12-11,172000,167000,166800,172200,243921
2023-12-08,165600,163300,161400,167600,124822
2023-12-07,163300,162300,160100,164500,124737
2023-12-06,163800,165800,162600,166400,121663
2023-12-05,165800,162800,161200,166900,145104
2023-12-04,163700,168500,162400,169100,196288
2023-12-01,168500,167900,163900,169200,216984
2023-11-30,168400,166100,165500,168600,310207
2023-11-29,166200,159600,159400,166800,451119
2023-11-28,158800,159500,156500,159500,110475
2023-11-27,158900,155200,154500,159600,242077
2023-11-24,155200,147800,147800,155900,355479
2023-11-23,147300,146100,145400,148000,60018
2023-11-22,146400,143300,143300,147700,69622
2023-11-21,145800,147500,144700,147500,61211
2023-11-20,145500,147500,144200,147500,73442
2023-11-17,147600,148200,146200,149400,105821
2023-11-16,147500,148700,146400,149100,86635
2023-11-15,149800,146200,145600,149900,197621
2023-11-14,143600,145500,142600,145500,82626
2023-11-13,144200,145000,141700,145000,84348
2023-11-10,144100,142300,141800,144800,68170
2023-11-09,143700,142000,140000,144500,126107
2023-11-08,141800,139800,139200,142900,169851
2023-11-07,137200,134300,134100,137500,164390
2023-11-06,135700,135200,131200,135900,279487
2023-11-03,137500,139800,136600,140000,112548
2023-11-02,138200,140900,137500,140900,86466
2023-11-01,138100,138300,136500,140000,87738
2023-10-31,138200,140200,137000,141200,109948
2023-10-30,138900,135400,134300,139700,159022
2023-10-27,136000,130600,130600,137100,176680
2023-10-26,128800,129200,128300,130100,72803
2023-10-25,132100,131000,131000,134100,71273
2023-10-24,131600,131500,128200,132400,86217
2023-10-23,130200,135000,129800,135000,84549
2023-10-20,132800,133100,131300,134200,108484
2023-10-19,133500,136000,133300,136000,66259
2023-10-18,137100,135700,135700,137700,50209
2023-10-17,136900,137700,135700,139100,120969
2023-10-16,135500,134200,133900,136200,95233
2023-10-13,135500,136500,134800,137900,98367
2023-10-12,138600,140000,137400,140500,115126
2023-10-11,138700,139000,137800,140300,92027
2023-10-10,137800,141200,137000,142500,114528
2023-10-06,138800,137800,136000,139600,85541
2023-10-05,137100,136800,134300,138100,137271
2023-10-04,136800,133500,133200,138400,169740
2023-09-27,135200,133500,133500,136300,87029
2023-09-26,135500,135100,133500,136000,96585
2023-09-25,136400,137400,135300,138400,94994
2023-09-22,136900,133300,133000,137200,106804
2023-09-21,134100,135100,134000,136700,105599
2023-09-20,136300,134900,134000,136900,90042
2023-09-19,135000,135600,134300,136400,111607
2023-09-18,135700,138800,135300,138900,207027
2023-09-15,140400,137300,137000,140700,209919
2023-09-14,138200,138700,136700,138800,142391
2023-09-13,137400,137600,136800,140500,226813
2023-09-12,138000,145300,137200,145600,325774
2023-09-11,144900,147700,143500,148600,210106
2023-09-08,147200,150900,145000,150900,219753
2023-09-07,151500,149800,149300,153600,401230
2023-09-06,150400,143400,143200,151400,446232
2023-09-05,144100,142500,142200,145100,139384
2023-09-04,143400,142000,141100,144100,119330
2023-09-01,143100,140600,140600,145200,164542
2023-08-31,142000,141200,139600,142400,336459
2023-08-30,142200,142800,140500,143900,147882
2023-08-29,141400,144100,139900,144400,145305
2023-08-28,143400,140600,140600,146400,260178
2023-08-25,138700,139400,138000,139700,102108
2023-08-24,141400,137500,136900,142500,301786
2023-08-23,135800,133900,133900,136500,91564
2023-08-22,134700,137600,134100,137800,140025
2023-08-21,137900,136400,136100,139400,146958
2023-08-18,136400,133500,133000,139000,182748
2023-08-17,135700,135000,132300,135800,166855
2023-08-16,135600,136000,134500,137300,108944
2023-08-14,137300,134100,133600,138200,156733
2023-08-11,135200,136700,133100,136700,138694
2023-08-10,136700,135000,133200,137100,211280
2023-08-09,135700,136400,134800,138100,143947
2023-08-08,136300,141400,135800,142000,194152
2023-08-07,140700,134600,133300,143000,579527
2023-08-04,134600,128700,128500,136100,242391
2023-08-03,127800,132900,126900,132900,292337
2023-08-02,133100,137500,132400,138100,265695
2023-08-01,138100,127100,126600,139200,462020
2023-07-31,128300,123100,122900,129400,204927
2023-07-28,122700,123600,122000,124100,78357
2023-07-27,124600,122400,122200,125500,134871
2023-07-26,122400,124700,119900,124700,185915
2023-07-25,125400,127500,124200,127500,102633
2023-07-24,127500,128100,126700,129500,113975
2023-07-21,128600,128800,127000,129500,96048
2023-07-20,129500,128500,128200,130500,78042
2023-07-19,129600,131900,128500,134200,157550
2023-07-18,132000,133700,130200,134000,212802
2023-07-17,133600,121800,121700,134700,607023
2023-07-14,122500,119300,119300,122600,147647
2023-07-13,118400,119200,117800,119700,123869
2023-07-12,118500,118900,117100,119000,84342
2023-07-11,118700,116000,115400,118700,169955
2023-07-10,115300,115200,114800,116000,90807
2023-07-07,115200,117300,114600,117500,134595
2023-07-06,117900,118000,117600,119000,160240
2023-07-05,118300,120000,117700,120400,115842
2023-07-04,120400,121900,120200,122600,89614
2023-07-03,122400,122400,121800,123400,80662
2023-06-30,122900,122900,120200,122900,98919
2023-06-29,121700,121500,121300,123900,95460
2023-06-28,122000,123900,121300,123900,67273
2023-06-27,123800,124000,123100,124100,59128
2023-06-26,123800,121500,121100,124400,93738
2023-06-23,121500,123500,121500,123600,95957
2023-06-22,123300,124700,122900,124700,69859
2023-06-21,124600,124200,122600,124900,96239
2023-06-20,124200,124100,123200,124400,71576
2023-06-19,123900,124300,123100,124500,57508
2023-06-16,124300,124900,123200,125400,109754
2023-06-15,124400,124600,123100,125200,89915
2023-06-14,125000,125600,123500,127000,132285
2023-06-13,126000,125200,125200,126800,81030
2023-06-12,125900,127000,125100,127700,81460
2023-06-09,126600,127000,125700,127300,149927
2023-06-08,126200,125600,124800,127300,312600
2023-06-07,126000,126900,125300,127800,143851
2023-06-05,126100,126500,125400,126600,74379
2023-06-02,125500,125300,123700,125600,113672
2023-06-01,124800,124700,123700,125400,117362
2023-05-31,124300,125300,123300,125400,776577
2023-05-30,124900,122500,122500,126700,189013
2023-05-26,122100,121500,121500,122800,93244
2023-05-25,121900,122200,121600,122900,123512
2023-05-24,123100,122000,121100,123400,74452
2023-05-23,122800,123900,122300,123900,98673
2023-05-22,123800,121900,121100,123800,176109
2023-05-19,121900,119000,119000,121900,145274
2023-05-18,119900,118800,118500,120300,113221
2023-05-17,118800,116300,116300,119200,148975
2023-05-16,116800,116600,116500,117800,67370
2023-05-15,117200,116100,116100,117500,73180
2023-05-12,116700,116800,115900,117400,131232
2023-05-11,117000,117900,116900,119000,113819
2023-05-10,117300,118400,116800,118500,100832
2023-05-09,118600,118400,118200,119200,90986
2023-05-08,118900,118300,118300,119200,99744
