Date,Close,Open,Low,High,Volume
2024-08-19,13890,13730,13690,13970,1585583
2024-08-16,13690,13780,13610,13830,1305163
2024-08-14,13720,13670,13580,13750,850171
2024-08-13,13620,13400,13400,13670,1046251
2024-08-12,13480,13500,13430,13560,683331
2024-08-09,13430,13440,13320,13520,853985
2024-08-08,13390,13130,13120,13480,1105614
2024-08-07,13200,13050,12970,13350,1463137
2024-08-06,13060,13090,13050,13450,2114124
2024-08-05,12910,13520,12790,13560,2979610
2024-08-02,13690,13880,13580,13950,2138935
2024-08-01,14000,13940,13910,14140,820531
2024-07-31,14000,13890,13830,14050,1282180
2024-07-30,13840,14080,13660,14080,2332380
2024-07-29,14380,14230,14190,14650,2449391
2024-07-26,14230,13760,13760,14370,2419946
2024-07-25,13810,13820,13710,13880,789344
2024-07-24,13880,13880,13800,13950,652142
2024-07-23,13900,14010,13890,14060,762181
2024-07-22,13970,13970,13900,14050,742999
2024-07-19,13960,13970,13850,13970,806117
2024-07-18,13990,13920,13850,14000,913734
2024-07-17,13910,13910,13780,13960,1050283
2024-07-16,13900,13900,13850,14030,786491
2024-07-15,13870,14080,13830,14080,894169
2024-07-12,14020,14130,13870,14130,817068
2024-07-11,14030,13950,13870,14140,983818
2024-07-10,13880,13870,13810,13950,547422
2024-07-09,13880,14070,13860,14130,1073148
2024-07-08,14100,14250,14030,14290,947202
2024-07-05,14250,14340,14190,14470,1103345
2024-07-04,14250,14140,14040,14430,1416253
2024-07-03,14050,14120,14000,14410,2330257
2024-07-02,14000,13750,13750,14110,1042486
2024-07-01,13850,14000,13720,14000,811380
2024-06-28,14020,13720,13700,14020,1177653
2024-06-27,13710,13600,13470,13710,743306
2024-06-26,13710,13630,13560,13820,864275
2024-06-25,13740,13750,13620,13760,581558
2024-06-24,13620,13520,13450,13700,830197
2024-06-21,13500,13560,13400,13590,821684
2024-06-20,13560,13390,13350,13580,797530
2024-06-19,13390,13390,13270,13440,758454
2024-06-18,13310,13280,13060,13350,547009
2024-06-17,13170,13370,13160,13400,826067
2024-06-14,13370,13270,13260,13460,990289
2024-06-13,13310,13380,13310,13530,1048005
2024-06-12,13380,13330,13250,13390,724526
2024-06-11,13410,13440,13320,13480,596772
2024-06-10,13420,13490,13410,13560,680003
2024-06-07,13620,13440,13440,13670,728710
2024-06-05,13440,13440,13300,13480,475568
2024-06-04,13460,13470,13280,13550,1171918
2024-06-03,13600,13680,13490,13690,1001347
2024-05-31,13760,13350,13330,13760,1510569
2024-05-30,13280,13310,13280,13450,541427
2024-05-29,13420,13310,13280,13480,751705
2024-05-28,13420,13480,13380,13510,892772
2024-05-27,13510,13710,13470,13800,1162891
2024-05-24,13710,13550,13500,13710,628824
2024-05-23,13720,13850,13670,13920,1269752
2024-05-22,13950,14120,13930,14130,715760
2024-05-21,14110,14080,14030,14150,848066
2024-05-20,14180,14000,13950,14350,1823181
2024-05-17,13900,13960,13860,13970,551926
2024-05-16,13980,13880,13790,14030,1533585
2024-05-14,13760,13950,13720,13960,1011088
2024-05-13,13920,13880,13830,14070,1212510
2024-05-10,13880,13980,13820,14050,1468603
2024-05-09,13840,13950,13810,14050,1147225
2024-05-08,13950,13760,13680,13980,1115045
2024-05-07,13760,13760,13620,13850,1260374
2024-05-03,13660,13650,13610,13750,541958
2024-05-02,13600,13940,13550,13940,1234420
2024-04-30,13950,13950,13750,14000,1433189
2024-04-29,13950,13840,13730,13970,1017958
2024-04-26,13850,13670,13560,13930,1549179
2024-04-25,13560,13450,13440,13740,573059
2024-04-24,13590,13820,13550,13830,779516
2024-04-23,13700,13700,13620,13860,1230118
2024-04-22,13640,13500,13480,13760,1222878
2024-04-19,13350,13110,13000,13350,1152950
2024-04-18,13280,12950,12790,13300,1258106
2024-04-17,12800,12790,12770,12960,1026753
2024-04-16,12720,12710,12640,12860,822610
2024-04-15,12770,12590,12510,12810,1413509
2024-04-12,12740,13010,12690,13080,1777357
2024-04-11,13100,12990,12910,13170,1624124
2024-04-09,13290,13470,13170,13530,1028720
2024-04-08,13460,13340,13280,13590,1025143
2024-04-05,13310,13220,13200,13450,811776
2024-04-04,13340,13280,13220,13560,1197179
2024-04-03,13220,13200,13130,13270,1582839
2024-04-02,13220,13210,13160,13430,1621189
2024-04-01,13310,13500,13130,13650,2306584
2024-03-29,13500,13950,13310,13960,2940414
2024-03-28,13950,13850,13800,14100,4945245
2024-03-27,14790,15200,14690,15220,3066658
2024-03-26,15200,15380,15180,15500,2434308
2024-03-25,15380,15290,15140,15380,2529575
2024-03-22,15280,15280,15190,15520,2545720
2024-03-21,15160,14950,14840,15250,2247837
2024-03-20,14820,14830,14720,15030,1344982
2024-03-19,14700,14880,14700,15050,1642516
2024-03-18,15050,15270,14830,15430,1884803
2024-03-15,15250,15700,15250,16010,4124200
2024-03-14,15700,14890,14840,15940,3879577
2024-03-13,14880,14790,14650,14960,1455999
2024-03-12,14720,14290,14280,14740,3311428
2024-03-11,14250,14160,14100,14250,1247905
2024-03-08,14150,14080,14000,14190,1171179
2024-03-07,14040,14000,13900,14070,1046330
2024-03-06,14000,13920,13890,14030,1232398
2024-03-05,13960,14040,13940,14290,2166882
2024-03-04,14040,13880,13770,14120,2073705
2024-02-29,14000,13650,13630,14000,2748163
2024-02-28,13630,13450,13370,13630,1248029
2024-02-27,13450,13270,13270,13600,1676375
2024-02-26,13400,13550,12920,13620,3285354
2024-02-23,13760,13630,13610,13870,1498180
2024-02-22,13600,13750,13540,13760,1683111
2024-02-21,13740,13510,13510,13890,1137030
2024-02-20,13660,14140,13550,14160,1816976
2024-02-19,14020,13740,13740,14230,2323861
2024-02-16,13720,13440,13390,13720,1382710
2024-02-15,13320,13380,13250,13460,1112391
2024-02-14,13260,13450,13180,13590,1489930
2024-02-13,13510,13490,13400,13880,2798265
2024-02-08,13410,13300,13240,13480,2535845
2024-02-07,13310,13250,12800,13460,2267361
2024-02-06,13270,13580,13170,13660,3073228
2024-02-05,13630,13440,13030,13670,4056747
2024-02-02,13240,13210,12840,13450,4706965
2024-02-01,13130,12530,12530,13240,6650623
2024-01-31,12520,12040,11990,12540,2329546
2024-01-30,12040,12100,11990,12200,1394292
2024-01-29,12100,11920,11860,12140,2097885
2024-01-26,11900,11900,11820,11930,734804
2024-01-25,11890,11820,11770,11890,738788
2024-01-24,11870,11740,11670,11880,1426309
2024-01-23,11700,11650,11610,11710,763307
2024-01-22,11600,11620,11570,11660,500466
2024-01-19,11630,11490,11460,11630,807883
2024-01-18,11490,11570,11480,11570,598321
2024-01-17,11580,11590,11490,11600,1127713
2024-01-16,11570,11590,11530,11630,562326
2024-01-15,11620,11520,11520,11640,556716
2024-01-12,11540,11520,11500,11600,396155
2024-01-11,11480,11510,11480,11620,732493
2024-01-10,11470,11550,11470,11570,454862
2024-01-09,11550,11590,11490,11590,433953
2024-01-08,11480,11450,11450,11580,603869
2024-01-05,11480,11440,11350,11570,860546
