Date,Close,Open,Low,High,Volume
2024-08-19,38250,38000,37900,38350,245609
2024-08-16,37900,38650,37900,38800,475540
2024-08-14,38300,38550,37900,38700,418197
2024-08-13,38700,37750,37750,39000,547174
2024-08-12,38000,38400,37400,38450,380832
2024-08-09,38100,38750,37800,38850,618451
2024-08-08,39250,37500,37450,39400,994104
2024-08-07,37800,36200,36150,38200,640328
2024-08-06,36550,38350,36400,38400,1089085
2024-08-05,37050,38950,36600,39400,996537
2024-08-02,38850,38400,38150,39200,663751
2024-08-01,38750,39500,38650,40000,727234
2024-07-31,39850,39100,38900,39900,772348
2024-07-30,38950,38750,38350,39450,475185
2024-07-29,39100,38700,38500,39300,450863
2024-07-26,38650,38050,38000,38800,485920
2024-07-25,37950,37900,37700,38750,761575
2024-07-24,37700,37600,37400,37900,302728
2024-07-23,37900,37650,37650,38100,349862
2024-07-22,37500,37050,36950,37800,452969
2024-07-19,37100,37500,36750,37550,377854
2024-07-18,37900,36800,36650,37900,1164342
2024-07-17,36500,36600,36400,36800,329732
2024-07-16,36500,36350,36200,36650,238648
2024-07-15,36300,36650,36250,36700,204371
2024-07-12,36500,36700,36200,36750,399553
2024-07-11,36700,36350,36200,36700,473091
2024-07-10,36000,35900,35850,36200,312122
2024-07-09,36150,36300,35900,36400,366289
2024-07-08,36000,36250,36000,36450,379847
2024-07-05,36350,36550,36250,36750,415919
2024-07-04,36550,36500,36150,36750,463494
2024-07-03,36500,36400,36300,36750,314016
2024-07-02,36250,36500,36150,36750,412142
2024-07-01,36900,37350,36750,37400,260635
2024-06-28,37400,36500,36500,37400,485907
2024-06-27,36450,36800,36150,36800,605689
2024-06-26,37200,37150,36750,37250,447280
2024-06-25,37250,37200,37000,37500,449477
2024-06-24,36850,36800,36500,37150,377568
2024-06-21,37000,36700,36500,37000,530781
2024-06-20,36500,36350,36350,36750,254847
2024-06-19,36400,36500,36200,36850,398997
2024-06-18,36300,36200,36000,36450,379229
2024-06-17,36200,36250,36100,36650,256454
2024-06-14,36400,36250,36100,36700,625746
2024-06-13,36350,37000,36250,37400,932513
2024-06-12,36800,36700,36550,37000,514967
2024-06-11,36800,36800,36750,37250,430147
2024-06-10,36800,36700,36650,37250,287902
2024-06-07,37150,36650,36600,37250,832008
2024-06-05,36750,36650,36550,37000,762426
2024-06-04,36450,36650,36300,36900,582284
2024-06-03,37250,36850,36750,37550,648472
2024-05-31,36600,36700,36600,37700,3133306
2024-05-30,36150,35700,35700,36700,482431
2024-05-29,36000,35800,35650,36400,432178
2024-05-28,36150,36450,36150,36750,269091
2024-05-27,36600,36550,36300,36850,257754
2024-05-24,36350,36050,36000,36500,365719
2024-05-23,36250,36650,36250,36650,317933
2024-05-22,37050,37150,37000,38100,344675
2024-05-21,36800,36600,36500,37100,225333
2024-05-20,37100,37600,36900,37650,471588
2024-05-17,37250,37250,36950,37700,650395
2024-05-16,37700,37150,36950,38250,1245646
2024-05-14,36550,36000,35800,37100,838398
2024-05-13,35800,36000,35700,36250,372289
2024-05-10,35800,36400,35800,36650,721321
2024-05-09,35650,35650,35350,36100,736719
2024-05-08,35400,35800,35350,35900,492090
2024-05-07,35600,34800,34750,35850,918936
2024-05-03,34500,34750,34300,34800,569625
2024-05-02,34600,34600,34550,34850,640334
2024-04-30,34600,34500,34500,34850,550251
2024-04-29,34600,34800,34500,34950,434261
2024-04-26,34500,34200,33850,34600,475488
2024-04-25,34100,34250,33950,34400,460462
2024-04-24,34650,34950,34500,35200,487124
2024-04-23,34550,34350,34200,34850,476712
2024-04-22,34300,33850,33750,34650,695549
2024-04-19,33300,33350,33000,33650,773900
2024-04-18,33650,34000,33350,34200,595434
2024-04-17,33600,34300,33400,34550,660749
2024-04-16,34250,34400,34000,34900,712700
2024-04-15,34450,34300,34050,34600,546411
2024-04-12,34600,35050,34300,35450,912532
2024-04-11,35400,35100,34550,35750,1123217
2024-04-09,36400,36950,36300,37100,272494
2024-04-08,36850,36150,35700,37050,751062
2024-04-05,36150,36000,35900,36550,525240
2024-04-04,36350,36400,36200,36650,408786
2024-04-03,36050,36950,36000,37000,668260
2024-04-02,37000,37300,36900,37550,704204
2024-04-01,37700,38150,37600,38150,225734
2024-03-29,37700,38300,37700,38450,277999
2024-03-28,37950,38400,37950,38650,443686
2024-03-27,38650,38150,38150,38850,328026
2024-03-26,38800,38250,38000,39100,515183
2024-03-25,37850,38750,37850,38750,492046
2024-03-22,38750,38450,38450,39400,568380
2024-03-21,38350,37750,37600,38650,643752
2024-03-20,37300,37600,37150,37750,339179
2024-03-19,37350,37650,37300,37900,463014
2024-03-18,38000,38650,37900,38700,300766
2024-03-15,38250,38350,37850,38600,741413
2024-03-14,38550,38450,38250,38900,990675
2024-03-13,38000,38150,37800,38300,407925
2024-03-12,37950,38600,37650,38750,559280
2024-03-11,38250,38500,38200,38700,433982
2024-03-08,38750,39050,38600,39500,565329
2024-03-07,39050,38900,38700,39200,392806
2024-03-06,39000,38800,38650,39350,469190
2024-03-05,38900,38600,38450,39450,649786
2024-03-04,38600,39250,38600,39750,591873
2024-02-29,39100,38200,38200,39100,873016
2024-02-28,38400,37950,37250,38650,852237
2024-02-27,38100,38800,37650,39100,716616
2024-02-26,38700,39750,38500,39800,591319
2024-02-23,39400,40000,39300,40350,639379
2024-02-22,39900,39750,39150,40200,675913
2024-02-21,39500,40800,39000,41000,1519696
2024-02-20,41450,42200,41100,42200,1095994
2024-02-19,42200,39700,39650,42400,2049709
2024-02-16,39450,38750,38500,39450,1046157
2024-02-15,38450,38200,38050,38500,659244
2024-02-14,37850,37900,37650,38300,709214
2024-02-13,38350,37900,37800,38700,908809
2024-02-08,37650,38150,37000,38200,1198879
2024-02-07,38150,38400,38050,38900,1258413
2024-02-06,37850,37650,37550,38200,1155502
2024-02-05,38000,38150,37300,38400,1509744
2024-02-02,38550,37800,37350,39100,2442529
2024-02-01,36900,35100,35100,37000,1912993
2024-01-31,35400,35100,34950,35400,898524
2024-01-30,35100,35000,34850,35250,531110
2024-01-29,34750,35050,34750,35200,512271
2024-01-26,34800,34300,34200,35100,717318
2024-01-25,34200,33550,33500,34500,531608
2024-01-24,33700,33600,33250,33700,445287
2024-01-23,33650,33800,33300,33800,343205
2024-01-22,33700,33850,33500,33850,279104
2024-01-19,33750,33950,33600,33950,352710
2024-01-18,33800,33400,33200,33800,489997
2024-01-17,33300,33300,32950,33400,362802
2024-01-16,33150,33450,33000,33550,344106
2024-01-15,33550,33600,33400,33650,266081
2024-01-12,33550,33500,33300,33750,262218
2024-01-11,33450,33700,33450,33850,518440
2024-01-10,33700,33700,33450,33700,271456
2024-01-09,33700,33950,33500,33950,306649
2024-01-08,33650,33500,33300,33850,368284
2024-01-05,33500,33250,33250,33550,334395
2024-01-04,33550,33650,33300,33900,478994
2024-01-03,33600,33900,33500,34250,684490
2024-01-02,34150,33850,33800,34350,608435
2023-12-28,34400,33600,33550,34500,724624
2023-12-27,33500,33650,33100,34000,1914020
2023-12-26,35450,35500,35050,35800,1878921
2023-12-22,35400,35750,35200,35800,751774
2023-12-21,35750,35550,35400,35750,628616
2023-12-20,35950,35750,35750,36100,783263
2023-12-19,35650,35350,35300,35650,463480
2023-12-18,35450,36450,35400,36500,810261
2023-12-15,36450,36200,36100,36500,748916
2023-12-14,36300,35850,35650,36300,1686258
2023-12-13,35450,35050,35000,35550,739897
2023-12-12,35000,35150,35000,35200,884209
2023-12-11,35000,34600,34500,35100,830372
2023-12-08,34500,34550,34350,34600,410261
2023-12-07,34450,34250,34050,34500,430492
2023-12-06,34450,34050,34000,34600,832923
2023-12-05,33950,33550,33550,34250,846938
2023-12-04,33600,33400,33200,33600,449005
2023-12-01,33250,33400,33200,33550,378375
2023-11-30,33550,33300,32950,33550,1191590
2023-11-29,33300,33350,33150,33500,370485
2023-11-28,33500,33250,33250,33550,591743
2023-11-27,33100,33100,32950,33250,385642
2023-11-24,32900,33250,32900,33250,285529
2023-11-23,33150,32950,32950,33200,406566
2023-11-22,32950,33000,32950,33200,336425
2023-11-21,33250,33300,32950,33300,346611
2023-11-20,33200,32950,32850,33300,431302
2023-11-17,33050,32950,32850,33300,394748
2023-11-16,32950,32950,32850,33150,223613
2023-11-15,33050,33150,32800,33150,733779
2023-11-14,32950,33050,32800,33150,366831
2023-11-13,32850,33000,32550,33050,530810
2023-11-10,32900,32750,32600,33000,229325
2023-11-09,32950,32600,32550,33000,649586
2023-11-08,32600,33000,32500,33150,575949
2023-11-07,32700,33100,32700,33150,726243
2023-11-06,33500,33200,32750,33500,918195
2023-11-03,33250,33250,33050,33350,326728
2023-11-02,33250,33350,32900,33500,607971
2023-11-01,33200,32650,32500,33300,614350
2023-10-31,32650,32700,32450,33000,575085
2023-10-30,32400,32250,32150,32600,320981
2023-10-27,32400,32700,32300,32700,374983
2023-10-26,32400,32300,32150,32600,553467
2023-10-25,32350,32500,32250,32650,410947
2023-10-24,32500,32600,32150,32650,503086
2023-10-23,32750,32950,32350,32950,340416
2023-10-20,32650,33000,32600,33050,382738
2023-10-19,33100,33150,32800,33400,458704
2023-10-18,33350,33450,33100,33450,811485
2023-10-17,33350,33000,32650,33400,517351
2023-10-16,32950,32500,32300,32950,548718
2023-10-13,32550,32800,32350,32950,442247
2023-10-12,33300,33600,32650,33600,824366
2023-10-11,33500,33500,33300,33800,706725
2023-10-10,33550,33450,33200,33800,908165
2023-10-06,32900,32850,32550,32950,338822
2023-10-05,32850,33150,32450,33150,538044
2023-10-04,33150,33150,33000,33400,1303095
2023-09-27,33150,32550,32550,33300,751054
2023-09-26,32850,32550,32250,32850,598143
2023-09-25,32900,32750,32400,32900,516656
2023-09-22,32650,32550,32350,32850,502731
