Date,Close,Open,Low,High,Volume
2024-08-19,101100,98500,98300,101500,429122
2024-08-16,99100,102800,99000,102800,546074
2024-08-14,101900,102400,100900,103800,365851
2024-08-13,103000,99900,99800,104300,609565
2024-08-12,100200,100600,99000,100600,381600
2024-08-09,100600,95000,94300,101500,1372172
2024-08-08,94800,93300,92600,95000,492641
2024-08-07,93400,87900,87700,93400,406099
2024-08-06,89100,90900,87600,91000,398711
2024-08-05,87300,90800,87100,91200,484912
2024-08-02,92000,92600,91100,92900,223028
2024-08-01,92600,92200,91500,92700,202121
2024-07-31,93300,92900,91600,93300,315317
2024-07-30,92700,91100,90700,93200,244180
2024-07-29,92500,93500,91800,93900,165741
2024-07-26,93800,93000,92300,93900,307783
2024-07-25,93200,93400,92200,93600,229656
2024-07-24,93400,92600,92500,93500,177357
2024-07-23,93400,92100,91700,93500,364168
2024-07-22,92900,90400,90100,93200,674656
2024-07-19,90400,89200,89000,90400,245583
2024-07-18,90000,88100,87800,90500,520569
2024-07-17,87900,87500,87000,88000,190683
2024-07-16,87200,87300,86800,87400,163617
2024-07-15,87000,87800,86900,87800,167883
2024-07-12,87500,87100,86600,87700,270507
2024-07-11,86900,86500,85700,86900,254240
2024-07-10,86100,85900,85800,86500,139837
2024-07-09,86100,86400,85800,86800,151944
2024-07-08,86000,87200,86000,87500,232173
2024-07-05,88000,88000,87300,88200,225187
2024-07-04,88000,88000,87100,88200,189932
2024-07-03,88000,88400,87300,88400,212138
2024-07-02,88000,86600,86500,88000,214172
2024-07-01,87300,87300,86300,87400,217362
2024-06-28,88200,85900,85800,88200,366547
2024-06-27,85900,85600,84800,86000,414448
2024-06-26,86500,85500,85000,86500,272263
2024-06-25,85800,86600,85700,86600,222460
2024-06-24,85900,86500,85700,86500,171990
2024-06-21,86300,86800,86100,87000,206548
2024-06-20,86700,86000,86000,86900,165516
2024-06-19,86400,87200,86000,87300,153855
2024-06-18,86500,86700,86100,87000,213667
2024-06-17,86800,86500,86000,86800,104525
2024-06-14,86800,85300,85300,86800,490156
2024-06-13,85900,86500,85900,87300,349698
2024-06-12,86500,86100,86000,86800,126821
2024-06-11,86500,86000,85900,86900,185079
2024-06-10,85900,85900,85500,86700,159538
2024-06-07,86700,86300,86000,86900,285464
2024-06-05,85500,85500,85000,86100,178185
2024-06-04,85200,84300,84300,85600,219545
2024-06-03,84800,84300,84300,85300,379168
2024-05-31,83500,86000,83500,86000,672731
2024-05-30,85200,85000,84900,85600,308883
2024-05-29,85600,85500,85500,86000,195308
2024-05-28,86100,86000,85700,86400,154853
2024-05-27,86200,86400,86100,86900,178766
2024-05-24,86400,86500,86400,87100,184026
2024-05-23,87100,87400,87000,88000,211056
2024-05-22,88000,87700,87100,88400,138716
2024-05-21,87700,88500,87600,88700,399863
2024-05-20,89000,88500,88500,89800,281030
2024-05-17,89300,89700,89300,90200,364754
2024-05-16,90100,90500,89700,90900,281384
2024-05-14,89700,90000,89700,90300,185774
2024-05-13,90100,90100,89800,90800,172605
2024-05-10,90600,92100,90300,92200,162914
2024-05-09,91500,91600,91000,91900,225605
2024-05-08,91700,92600,90900,92700,184799
2024-05-07,92700,92600,91400,92700,230601
2024-05-03,92100,91100,90300,92100,182457
2024-05-02,90900,89000,89000,91200,316777
2024-04-30,89400,89000,89000,89800,123597
2024-04-29,89800,89400,88800,89900,134934
2024-04-26,88900,89200,88600,89500,87802
2024-04-25,89000,88400,88400,89600,147980
2024-04-24,89400,90000,89200,90100,153709
2024-04-23,89700,90100,89500,90700,157351
2024-04-22,90900,90500,89600,90900,146302
2024-04-19,89600,88600,88500,89800,186757
2024-04-18,89800,89700,89100,90900,226370
2024-04-17,88900,89600,88500,89600,114084
2024-04-16,88800,88800,88500,89600,171516
2024-04-15,89600,88300,87500,89600,184345
2024-04-12,88300,89600,88000,89700,298018
2024-04-11,90500,90200,89700,91300,315528
2024-04-09,90900,92000,90600,92100,109272
2024-04-08,91200,90800,90100,92000,131232
2024-04-05,90800,89800,89800,91600,114172
2024-04-04,90700,91300,90100,91400,142055
2024-04-03,90100,90900,89700,91300,211725
2024-04-02,91300,90500,90500,92400,159109
2024-04-01,91500,94200,91000,94200,196148
2024-03-29,93500,94000,93200,94400,111716
2024-03-28,93700,93500,92800,94000,203097
2024-03-27,93900,92500,92400,94200,149813
2024-03-26,93500,92800,92600,93600,154412
2024-03-25,92100,92300,91900,92900,262316
2024-03-22,92500,91800,91800,93300,133292
2024-03-21,92300,91500,91400,93200,254882
2024-03-20,91300,93000,91000,93000,296408
2024-03-19,92400,91900,91600,93300,241648
2024-03-18,92700,93500,92400,94300,116366
2024-03-15,92600,95000,92600,95300,357769
2024-03-14,95200,94200,93900,96000,389450
