Date,Close,Open,Low,High,Volume
2024-08-19,138300,138600,137500,139700,60210
2024-08-16,138500,139800,138500,141400,74842
2024-08-14,138200,138500,137100,139300,77811
2024-08-13,138300,136700,136000,138600,92620
2024-08-12,137700,136600,136200,137700,97446
2024-08-09,136700,137800,135700,138400,97012
2024-08-08,136700,133600,132000,137200,216062
2024-08-07,134900,136600,134200,137900,196849
2024-08-06,137600,132900,132700,140400,239393
2024-08-05,131300,142400,128400,143000,347328
2024-08-02,144900,148000,143500,148000,164927
2024-08-01,150000,148500,147300,150000,121149
2024-07-31,149900,146800,146000,149900,99728
2024-07-30,146700,146800,145300,147600,104633
2024-07-29,147600,148000,146300,149600,125304
2024-07-26,149400,145500,144200,149400,147924
2024-07-25,144700,142700,142000,146300,130813
2024-07-24,143800,145500,142600,147800,205553
2024-07-23,145900,146600,145900,149400,199480
2024-07-22,146300,150000,146300,150000,176900
2024-07-19,150000,148600,147800,150400,163209
2024-07-18,149500,159400,148600,159600,510608
2024-07-17,155900,158000,153300,158700,299203
2024-07-16,157200,155300,154900,160900,296499
2024-07-15,154500,155800,154000,156800,109493
2024-07-12,155100,154400,153100,155500,98955
2024-07-11,154000,155000,153300,155400,178467
2024-07-10,153500,156800,153500,157400,160079
2024-07-09,157500,156000,155900,160100,161526
2024-07-08,155300,154600,153500,156900,114424
2024-07-05,155000,154400,153900,158900,221973
2024-07-04,154400,153700,151600,155900,144169
2024-07-03,153200,153500,152700,156000,109647
2024-07-02,152900,155700,152600,156800,141361
2024-07-01,156800,158400,155600,159400,131680
2024-06-28,158300,153600,153100,160000,300000
2024-06-27,152100,154200,150800,154900,210959
2024-06-26,155200,155100,153600,156100,154613
2024-06-25,155100,158700,154800,159900,233288
2024-06-24,158000,159600,158000,161200,205803
2024-06-21,160500,158500,158100,163200,438289
2024-06-20,160500,165100,156900,166900,910380
2024-06-19,167100,169400,166000,170900,319033
2024-06-18,169000,175000,167100,178200,594896
2024-06-17,176900,176100,170900,181500,460220
2024-06-14,177300,183300,171300,185800,443251
2024-06-13,183300,187000,183300,191900,542803
2024-06-12,188300,182300,180100,191400,669143
2024-06-11,181400,191300,181200,195700,824979
2024-06-10,188600,184300,180200,194700,1615800
2024-06-07,182000,166400,166400,186300,1847930
2024-06-05,164000,168400,161500,171000,548064
2024-06-04,166100,175400,166100,178300,1050117
