Date,Close,Open,Low,High,Volume
2024-08-19,36650,36650,36350,37400,1211287
2024-08-16,36550,37300,36550,37350,1170171
2024-08-14,36800,36650,36300,36900,1074501
2024-08-13,36400,36950,36200,37100,1205169
2024-08-12,37100,37100,36800,37700,1342896
2024-08-09,37000,38900,36600,39100,3189269
2024-08-08,38450,38950,37500,39100,1878038
2024-08-07,38300,37300,37300,38750,1361364
2024-08-06,38000,36750,36750,39000,1744154
2024-08-05,36300,39550,35350,39600,2685140
2024-08-02,39550,39500,39250,40150,1041566
2024-08-01,39800,39350,39300,40150,877795
2024-07-31,39200,39250,38750,39400,1137172
2024-07-30,39050,39600,38950,40150,1029339
2024-07-29,39950,39850,39500,40150,655444
2024-07-26,39800,40550,39800,40600,950430
2024-07-25,40550,39350,39050,40700,1532071
2024-07-24,39550,38500,38100,40650,2560151
2024-07-23,38850,40500,38700,41450,4258210
2024-07-22,41050,41350,40850,41600,880598
2024-07-19,41350,40900,40650,42100,1145416
2024-07-18,41150,40800,40300,41150,936043
2024-07-17,41200,40950,40550,41450,1538706
2024-07-16,40900,41950,40800,42150,1196676
2024-07-15,41900,42550,41900,42900,1108465
2024-07-12,42250,42350,41950,44000,1870201
2024-07-11,42350,43150,42100,43250,1381961
2024-07-10,42750,42000,41600,42900,1285909
2024-07-09,42450,42350,42000,43150,1123272
2024-07-08,42400,41500,41200,43100,1595728
2024-07-05,41500,40300,40100,41800,1530900
2024-07-04,40300,40100,40000,40650,861325
2024-07-03,40100,40100,40000,41000,1173859
2024-07-02,40000,40600,39950,40800,1130668
2024-07-01,41000,40300,40250,41150,714241
2024-06-28,40650,40650,40350,41250,936191
2024-06-27,40400,41100,40400,41300,1203554
2024-06-26,41600,40650,40500,42100,1244850
2024-06-25,41000,42250,41000,42300,1607274
2024-06-24,42050,42800,42050,42950,891039
2024-06-21,43150,42450,42400,43150,2111727
2024-06-20,42400,42550,42200,42800,783732
2024-06-19,42800,42500,41800,42800,1430015
2024-06-18,42300,42500,42200,43000,871491
2024-06-17,42400,43500,42150,43750,1321022
2024-06-14,43900,43250,43050,44200,1154685
2024-06-13,43650,43350,43150,44100,2477617
2024-06-12,43050,43150,42750,43600,1047526
2024-06-11,43150,43350,43000,43850,707905
2024-06-10,43100,43700,42950,43800,913040
2024-06-07,44250,44600,44150,45150,922538
2024-06-05,44550,44900,44150,44950,652883
2024-06-04,44600,43900,43850,44950,710096
2024-06-03,44300,43350,43300,45150,904573
2024-05-31,43300,44050,43000,44350,2172503
2024-05-30,43650,43300,43100,44050,798465
2024-05-29,43750,44650,43700,44950,1439203
2024-05-28,45100,46000,45100,46050,734989
2024-05-27,45850,44600,44550,46600,1500538
2024-05-24,44450,45050,44400,45250,1280352
2024-05-23,45450,45800,45250,45950,894733
2024-05-22,45800,45800,45500,46200,1200115
2024-05-21,45950,45650,45350,46250,1159453
2024-05-20,46050,46800,46000,46800,947656
2024-05-17,46450,46600,46400,47100,923404
2024-05-16,46800,47050,46750,47700,1445556
2024-05-14,46650,47200,46650,47400,1185101
2024-05-13,47000,47700,47000,47750,995194
2024-05-10,47800,49000,47650,49050,1407165
2024-05-09,48600,50200,48400,50600,2000421
2024-05-08,49800,49750,49350,50100,737154
2024-05-07,49700,49900,49400,50500,1465976
2024-05-03,49200,49000,49000,50300,1373246
2024-05-02,48300,48150,48050,48550,889047
2024-04-30,48600,48350,48300,48850,1015126
2024-04-29,48500,47650,47600,48600,950410
2024-04-26,47300,47850,47150,47900,656101
2024-04-25,47400,47500,47100,47900,847788
2024-04-24,48100,48000,47850,48400,725443
2024-04-23,47500,48700,47050,48750,1782455
2024-04-22,49000,49450,48450,49700,641194
2024-04-19,48600,48350,47700,49600,1184289
2024-04-18,49100,47350,46900,50200,2262675
2024-04-17,46900,46700,46700,48000,1043806
2024-04-16,46750,47200,46600,47400,1144123
2024-04-15,47750,47100,46850,48000,801117
2024-04-12,47850,48050,47650,48450,946914
2024-04-11,48050,48450,47700,48800,2005085
2024-04-09,49250,49100,48850,50100,775713
2024-04-08,49150,48850,48300,49750,1006988
2024-04-05,48750,48400,48200,49100,1559612
2024-04-04,49300,51200,49100,51500,2658438
2024-04-03,51000,51200,51000,52000,1332410
2024-04-02,51200,53200,51000,53200,2856932
2024-04-01,53800,54100,53600,54500,775737
2024-03-29,53700,54500,53500,54900,870563
2024-03-28,54400,54800,54400,55700,955506
2024-03-27,54800,54200,53900,55200,779339
2024-03-26,54900,54200,53900,55200,1170288
2024-03-25,53800,53400,53100,54500,717693
2024-03-22,53600,53600,53300,54300,881388
2024-03-21,53600,53900,52800,54200,1359646
2024-03-20,52900,52400,52300,53200,869967
2024-03-19,52000,52700,51700,52800,1116159
2024-03-18,53000,54200,52700,54300,1168724
2024-03-15,54100,55000,53900,55000,926038
2024-03-14,54900,54600,54600,55800,1792414
2024-03-13,54600,55900,54100,56000,1088171
2024-03-12,55800,55000,54800,56000,1388337
2024-03-11,54600,53200,52700,54800,1047193
2024-03-08,53200,53600,53000,54200,1466862
2024-03-07,52900,52200,52000,53700,1425978
2024-03-06,51900,51400,51400,52300,902578
2024-03-05,51700,52600,51600,52900,1737655
2024-03-04,53100,53600,52900,54900,1830422
2024-02-29,53300,55100,53000,55300,3056344
2024-02-28,55600,56800,55200,57400,1463434
2024-02-27,56800,57200,56300,57700,1022628
2024-02-26,57100,57500,57000,58000,871467
2024-02-23,57100,58100,56600,58200,1330016
2024-02-22,57900,58600,57700,58900,972001
2024-02-21,58000,58800,58000,58900,844219
2024-02-20,58700,57900,57800,60000,1943466
2024-02-19,58200,58800,58100,59100,1409033
2024-02-16,58400,59500,58300,59700,2310632
2024-02-15,59200,56800,56700,61400,10199107
2024-02-14,54900,53900,53200,54900,886156
2024-02-13,54700,54000,54000,55300,957145
2024-02-08,54000,54500,53700,54700,1532750
2024-02-07,53800,54400,53600,55700,1256600
2024-02-06,54000,54500,53800,55000,982600
2024-02-05,55000,57000,54600,57400,1564624
2024-02-02,56300,53800,53700,56600,2428683
2024-02-01,52700,51900,51500,53100,1422821
2024-01-31,52500,53700,52200,53900,1794783
2024-01-30,54300,55900,53600,56000,2011521
2024-01-29,55300,56600,55200,57200,1329616
2024-01-26,56600,55700,55600,57400,904913
2024-01-25,56000,56300,54700,56700,1817363
2024-01-24,56700,57500,56300,57500,927568
2024-01-23,57700,56700,56600,58000,1100723
2024-01-22,56400,58300,55800,58900,1934438
2024-01-19,57600,58100,57100,58800,1736180
2024-01-18,56800,57200,55900,57900,2237185
2024-01-17,57500,59600,56600,59900,3326071
2024-01-16,59600,60600,59400,61700,1918777
2024-01-15,61100,60500,59800,61800,1737021
2024-01-12,60400,60900,59100,61200,2014084
2024-01-11,60800,60300,59400,61900,4601300
2024-01-10,59200,58900,58600,60000,2729859
2024-01-09,58700,58500,58300,59200,2166853
2024-01-08,57200,55800,55800,58800,2497737
2024-01-05,55800,57400,55500,57500,1316579
2024-01-04,57200,55800,55600,57800,1884358
2024-01-03,56600,57100,56000,57600,1917854
2024-01-02,57900,54300,54000,57900,3726752
2023-12-28,54300,53700,53300,54300,979793
2023-12-27,53400,52400,52100,53500,940418
2023-12-26,52400,52100,52100,53400,957793
2023-12-22,52800,53300,52600,53700,1215421
2023-12-21,52800,52900,52000,53600,1536311
2023-12-20,53700,54200,53000,54200,1132733
2023-12-19,53800,53500,53200,54400,933314
2023-12-18,53900,55000,53700,55000,1357544
2023-12-15,54900,54400,54000,55000,2212939
2023-12-14,54300,52400,52300,54900,4990407
2023-12-13,50900,51800,50700,52000,886654
2023-12-12,51800,52500,51800,52700,966939
2023-12-11,52100,52000,51900,53200,1538081
2023-12-08,51700,51400,50700,52000,1481560
2023-12-07,50500,50200,50000,50800,723544
2023-12-06,50500,50700,50200,51100,1039034
2023-12-05,50800,50700,50200,51200,1142447
2023-12-04,50800,49800,49750,51300,1785113
2023-12-01,49700,50400,49650,50400,1105367
2023-11-30,50500,50200,50000,50900,1613598
2023-11-29,50500,50800,50100,51300,1284120
2023-11-28,51100,50000,49800,51200,1423510
2023-11-27,49850,50800,49300,51000,1480318
2023-11-24,50500,50400,50000,50900,1011208
2023-11-23,50300,50400,49600,50600,1394573
2023-11-22,50300,48750,48250,51000,2467921
2023-11-21,49250,48300,48300,49600,2483017
2023-11-20,47800,47250,47000,48150,929546
2023-11-17,47500,48150,47200,48150,1144308
2023-11-16,48200,47400,46850,48250,1565115
2023-11-15,48300,47200,46800,48450,2792797
2023-11-14,46350,46150,45500,46950,1718239
2023-11-13,45000,45800,44900,46450,1288632
2023-11-10,45650,45800,45000,46100,1978790
2023-11-09,45600,43450,43450,46500,3198261
2023-11-08,43950,44350,43850,45000,1515109
2023-11-07,43750,44700,42850,44750,2026104
2023-11-06,44700,43000,42300,44700,4871031
2023-11-03,41300,39250,38900,41550,3675484
