Date,Close,Open,Low,High,Volume
2024-08-19,97400,97300,96800,98500,483361
2024-08-16,96600,97300,96600,99000,478530
2024-08-14,95600,96000,94500,96500,397437
2024-08-13,94800,95500,94500,96100,346547
2024-08-12,95600,94400,94300,96200,297869
2024-08-09,94200,96500,94000,97000,457079
2024-08-08,94100,93500,92100,95300,746389
2024-08-07,94700,90200,90000,95700,941118
2024-08-06,89900,91100,89100,92900,1402579
2024-08-05,89700,97500,86500,97500,1343825
2024-08-02,99100,101800,98800,102300,730066
2024-08-01,103700,104400,103700,105100,365094
2024-07-31,104000,103600,102300,104500,517504
2024-07-30,103200,103800,102600,105600,593505
2024-07-29,104800,107600,104700,107700,764725
2024-07-26,107100,111000,106000,111300,1259536
2024-07-25,110200,110800,109200,111400,895154
2024-07-24,112500,113500,111900,114500,610385
2024-07-23,113900,111700,111700,114600,986056
2024-07-22,111000,112400,110500,113000,497171
2024-07-19,111800,110600,110500,114400,907720
2024-07-18,110900,110900,110500,112700,675749
2024-07-17,112100,112500,112100,115400,1191385
2024-07-16,112000,110300,109100,112100,983640
2024-07-15,109900,109600,108900,110800,472733
2024-07-12,109400,110300,107800,110500,649908
2024-07-11,111000,111000,109800,111200,926544
2024-07-10,110300,109000,108300,110400,574856
2024-07-09,109600,108900,108300,109900,628472
2024-07-08,108300,110700,108200,111000,837625
2024-07-05,110800,108900,108300,112700,1771133
2024-07-04,107900,107900,105700,108900,886576
2024-07-03,107200,108000,106000,108300,629442
2024-07-02,107200,109100,106100,109500,840689
2024-07-01,109600,111000,108900,114900,1149549
2024-06-28,110900,110100,108300,111000,625642
2024-06-27,109200,110700,108500,111200,817680
2024-06-26,111400,109800,108000,111600,1016808
2024-06-25,111100,111300,109000,112000,914520
2024-06-24,110200,108600,108400,111700,1751043
2024-06-21,108300,107300,106700,108800,964295
2024-06-20,108400,107200,106700,109000,1257874
2024-06-19,108000,103500,103300,108700,3453496
2024-06-18,101800,100900,99800,101900,843389
2024-06-17,100400,99400,98500,100900,953639
2024-06-14,98900,98700,97900,99300,725460
2024-06-13,98700,101100,98700,101100,1290744
2024-06-12,100600,99900,99000,101200,1143396
2024-06-11,98200,101200,98100,101200,1238559
2024-06-10,100600,100300,99400,102300,973905
2024-06-07,100700,101100,99400,101800,1269757
2024-06-05,100700,101900,99600,102200,963661
2024-06-04,101100,103100,100200,103600,1245682
2024-06-03,103100,105600,102000,107200,1699404
2024-05-31,104800,107500,104800,109900,2070778
2024-05-30,106300,109500,106200,111100,1667504
2024-05-29,110500,112500,109000,113900,4855132
2024-05-28,109300,97300,97200,109500,6852467
2024-05-27,96400,95500,94700,97400,463903
2024-05-24,94100,94500,93800,94800,297059
2024-05-23,95400,96000,95400,97300,317313
2024-05-22,95300,96700,95100,96900,385832
2024-05-21,96500,97000,96000,97800,343275
2024-05-20,97500,98800,97300,98900,318579
2024-05-17,97900,99000,97800,99100,297028
2024-05-16,98800,99200,97700,99800,657185
2024-05-14,98300,97600,97200,99400,630411
2024-05-13,97600,97900,96400,98000,546299
2024-05-10,97500,94400,94300,97800,1642154
2024-05-09,93300,94000,92600,94000,464569
2024-05-08,93900,93800,93500,94100,328371
2024-05-07,93800,93200,93000,93800,545231
2024-05-03,92400,92200,92100,92900,540211
2024-05-02,91500,92300,91300,92500,427617
2024-04-30,92900,93200,92000,93500,590806
2024-04-29,92800,91200,91200,92800,572860
2024-04-26,90800,91000,90500,91200,723810
2024-04-25,90600,91900,90500,92600,842782
2024-04-24,92200,93300,92200,93400,487563
2024-04-23,92800,92100,91800,92900,345656
2024-04-22,92000,92400,91200,92400,347838
2024-04-19,91200,91800,90300,92500,455832
2024-04-18,92600,91400,91100,93200,357081
2024-04-17,91000,91700,91000,92700,402786
2024-04-16,91800,92000,90600,92500,651094
2024-04-15,92500,92800,92400,93300,421493
2024-04-12,93500,96100,93400,96100,910573
2024-04-11,96400,95200,94200,96400,579703
2024-04-09,96200,95300,95100,97300,573774
2024-04-08,94500,96600,94200,96600,444924
2024-04-05,95900,94200,93900,97600,603196
2024-04-04,94300,94900,94000,95300,289992
2024-04-03,93900,96400,93900,96500,720922
2024-04-02,96500,96500,96100,97400,489530
2024-04-01,96500,95500,95500,96700,315646
2024-03-29,95100,97200,95100,97400,632913
2024-03-28,96800,97100,96500,97400,467819
2024-03-27,97000,96700,96500,97500,394971
2024-03-26,96800,99500,96700,100700,1169503
2024-03-25,98900,99500,98600,100200,313812
2024-03-22,99400,98400,98200,100200,575294
2024-03-21,99200,97000,96300,99200,785161
2024-03-20,96000,96800,95800,97400,305510
2024-03-19,96200,96000,94900,96700,392220
2024-03-18,96100,99500,96000,99500,562587
2024-03-15,98900,99100,98000,99400,616605
2024-03-14,99300,98100,97800,99300,671971
2024-03-13,97600,98700,97200,99000,369089
2024-03-12,97800,96500,96100,98800,907451
2024-03-11,95500,95800,94900,96900,430272
2024-03-08,95600,95600,94800,96000,386803
2024-03-07,94900,94700,93900,95300,336931
2024-03-06,94700,93300,93200,95400,440556
2024-03-05,93400,93500,92900,94500,400619
2024-03-04,93900,95100,93800,95600,627925
2024-02-29,94900,95800,94700,96200,605548
2024-02-28,95300,96100,94000,96300,715424
2024-02-27,96100,98600,95500,98700,469486
2024-02-26,98200,100400,98200,101400,585114
2024-02-23,97900,98600,97900,99200,295948
