Date,Close,Open,Low,High,Volume
2024-08-19,104700,109000,103900,110000,234925
2024-08-16,109300,110000,108600,110700,148187
2024-08-14,108200,110400,107200,111200,172871
2024-08-13,109100,106900,106800,111900,306102
2024-08-12,106900,105600,105000,108200,167179
2024-08-09,106100,106100,105500,108800,233413
2024-08-08,105100,103900,102100,106700,619177
2024-08-07,107100,104600,102000,107900,357676
2024-08-06,106800,108700,105600,111800,435132
2024-08-05,107400,112500,103700,113500,366227
2024-08-02,115400,117300,112200,120300,472854
2024-08-01,121500,120300,119600,122500,113843
2024-07-31,121500,120000,119500,123400,197766
2024-07-30,121400,122800,121400,125700,123579
2024-07-29,124700,122900,121200,125700,170341
2024-07-26,123100,119300,119100,124000,270723
2024-07-25,118200,118300,118200,121800,262704
2024-07-24,117800,117200,116300,118400,139179
2024-07-23,118000,119900,118000,123900,257388
2024-07-22,119100,119100,117500,119900,83047
2024-07-19,119100,119000,116700,119900,220260
2024-07-18,120400,120800,119300,122500,155827
2024-07-17,120800,125100,120000,125200,362194
2024-07-16,125600,126800,123900,127500,201367
2024-07-15,127600,126100,125200,129500,172545
2024-07-12,124900,127900,120100,129200,407483
2024-07-11,252500,246500,245000,257000,403833
2024-07-10,246000,243000,240500,248500,503715
2024-07-09,244000,246500,238500,247500,193435
2024-07-08,245500,246500,241500,248500,138568
2024-07-05,245500,249000,241500,253000,234361
2024-07-04,250000,244000,244000,257500,235024
2024-07-03,249000,238500,235000,256500,508648
2024-07-02,238500,238500,229000,241500,369427
2024-07-01,240500,227000,226500,248000,983736
2024-06-28,219000,232000,217500,241000,919044
2024-06-27,229500,228000,222000,232500,250657
2024-06-26,228500,223500,221500,233000,282016
2024-06-25,227000,221500,219500,229500,288756
2024-06-24,219000,216000,215000,227500,257497
2024-06-21,216000,214500,212000,219000,208504
2024-06-20,215000,212500,211000,224000,226342
2024-06-19,214000,203500,199400,218000,420582
2024-06-18,202500,190100,189100,204000,393223
2024-06-17,190000,189700,186500,191500,130804
2024-06-14,189000,179600,178600,201000,815586
2024-06-13,179600,181600,179600,184000,96921
2024-06-12,181000,184000,180800,185200,71902
2024-06-11,184000,184200,183100,186100,68175
2024-06-10,183000,181600,180200,184900,55262
2024-06-07,183500,183700,181900,186000,59678
2024-06-05,183600,182200,180300,184700,71991
2024-06-04,181900,186300,181100,187500,80987
2024-06-03,188100,181000,180500,189900,119700
2024-05-31,179500,182500,178500,182500,107009
2024-05-30,180700,181100,179900,182300,46354
2024-05-29,182400,182200,181700,184800,88804
2024-05-28,184000,183300,182800,185400,47062
2024-05-27,184100,186200,183000,187000,47688
2024-05-24,185700,186300,185300,188000,43659
2024-05-23,188000,187200,187200,191200,51301
2024-05-22,187800,186000,182800,189400,78907
2024-05-21,186900,185200,183400,187100,38701
2024-05-20,186800,192400,185500,192500,55105
2024-05-17,191300,189200,189200,192200,91502
2024-05-16,191000,189700,188200,191500,107401
2024-05-14,188100,185000,184300,189500,128263
2024-05-13,183700,183800,182500,185500,41173
2024-05-10,182800,183800,182200,184500,75451
2024-05-09,181900,185800,181500,186500,90723
2024-05-08,185600,185000,184400,186800,60058
2024-05-07,185000,184900,183000,185000,61297
2024-05-03,183300,185200,182600,185500,48869
2024-05-02,184400,177600,177600,184800,97716
2024-04-30,182000,182200,181000,183700,99428
2024-04-29,182900,183200,180200,184800,87959
2024-04-26,184000,181700,179800,185700,100270
2024-04-25,180000,176300,176300,181500,91380
2024-04-24,178000,178600,176400,178600,42405
2024-04-23,177000,176800,175900,178500,37931
2024-04-22,177900,172800,171800,177900,80646
2024-04-19,171200,170200,168200,171700,80276
2024-04-18,170900,171700,170700,172400,42478
2024-04-17,170900,171600,170500,173500,52265
2024-04-16,172000,174000,171300,175500,86455
2024-04-15,175100,172000,169000,176400,65599
2024-04-12,174500,175300,172600,177600,71238
2024-04-11,176200,172200,171700,178500,148042
2024-04-09,174800,174500,173900,175900,64698
2024-04-08,172700,172000,171000,174700,56100
2024-04-05,172500,171600,171600,176000,77648
2024-04-04,173100,173900,171700,174400,58006
2024-04-03,172500,172500,170500,174900,73486
2024-04-02,172900,173500,171500,175700,108158
2024-04-01,175000,175900,173100,177200,81702
2024-03-29,174100,180100,174100,180900,97039
2024-03-28,180600,182500,178500,183200,176896
2024-03-27,185500,182600,182600,187500,169352
2024-03-26,183300,183600,182100,184900,74521
2024-03-25,182300,187200,182000,187300,106034
2024-03-22,187400,186000,184300,188100,80123
2024-03-21,186700,186600,182600,187100,78897
2024-03-20,185200,186800,184600,188500,50027
2024-03-19,185000,185300,185000,191300,67159
2024-03-18,186200,187300,185000,188400,62901
2024-03-15,189200,184900,184600,190000,111098
2024-03-14,184900,185300,184400,188000,85668
2024-03-13,184400,187400,184300,189700,59567
2024-03-12,186900,187900,184500,188500,57428
