Date,Close,Open,Low,High,Volume
2024-08-19,62900,61400,61400,63400,994914
2024-08-16,61000,61900,61000,63200,1090793
2024-08-14,61200,61400,60800,61800,544201
2024-08-13,60900,59700,59700,61300,600203
2024-08-12,60500,60800,60200,61500,578481
2024-08-09,60300,59700,59100,61000,1050713
2024-08-08,59600,59900,58500,60300,1100389
2024-08-07,59400,57300,56800,59800,1168403
2024-08-06,57800,58800,57200,59900,1430322
2024-08-05,56700,59500,55900,59600,1590648
2024-08-02,62000,63700,61800,64400,843882
2024-08-01,64500,63800,63400,65300,662097
2024-07-31,64700,64200,63900,65500,1391401
2024-07-30,64000,63000,62500,65000,1499958
2024-07-29,63000,63500,62900,66400,2110337
2024-07-26,63500,60900,60800,65100,1772702
2024-07-25,60900,62000,60700,62000,666454
2024-07-24,61600,63000,61500,64200,707520
2024-07-23,63300,64000,62900,65500,820356
2024-07-22,63600,62500,62000,64200,736471
2024-07-19,62700,61100,61000,62700,655969
2024-07-18,61800,62000,60900,62400,959621
2024-07-17,62000,61600,61100,62500,763993
2024-07-16,62100,62600,61700,63200,659448
2024-07-15,62000,63000,61200,63000,410854
2024-07-12,62400,62500,61700,63200,622852
2024-07-11,62000,62400,61800,63100,1024360
2024-07-10,61700,61800,61300,62300,852635
2024-07-09,62400,63300,61000,63900,1486319
2024-07-08,64100,65800,63600,66100,871686
2024-07-05,66200,66900,65900,67700,936613
2024-07-04,65800,64200,63700,66800,776245
2024-07-03,64600,63900,63200,67800,1800025
2024-07-02,62900,60200,60000,63000,1382058
2024-07-01,60200,60000,59700,60700,378508
2024-06-28,60700,60700,60500,61600,654178
2024-06-27,60400,59400,58600,60400,602541
2024-06-26,60400,59900,59000,60400,760375
2024-06-25,60500,60600,60000,60800,773278
2024-06-24,59900,59900,59600,60300,415653
2024-06-21,59900,60500,59600,60700,583324
2024-06-20,60200,59200,58800,60400,611993
2024-06-19,59000,58900,58200,59300,627039
2024-06-18,58400,59000,58000,59100,428770
2024-06-17,58500,58500,57800,59100,495287
2024-06-14,58600,59100,58600,60000,717238
2024-06-13,59600,60800,59600,61700,1211925
2024-06-12,60300,59200,58700,60300,315265
2024-06-11,59700,60500,59600,60800,394068
2024-06-10,59700,59100,58800,60500,448932
2024-06-07,60400,60600,59700,61900,849946
2024-06-05,59700,60100,58600,60500,992654
2024-06-04,60400,61700,59300,62400,1137182
2024-06-03,62700,62800,61700,63000,570267
2024-05-31,61700,61900,61600,62900,2086319
2024-05-30,60900,61300,60900,62900,607490
2024-05-29,61500,60600,60300,62200,601631
2024-05-28,61700,61700,61400,62400,378062
2024-05-27,62300,60600,60600,62700,477148
2024-05-24,61100,60500,60200,61600,529566
2024-05-23,61300,61400,60700,62200,664725
2024-05-22,62300,64000,62000,64000,744625
2024-05-21,63400,63800,63300,64400,706990
2024-05-20,64300,63600,63600,65300,736355
2024-05-17,63100,63000,62500,63600,656327
2024-05-16,63600,62200,62000,64300,1146503
2024-05-14,61400,63000,61300,63300,1042422
2024-05-13,63600,62100,62000,65300,1697843
2024-05-10,62100,60700,60400,62900,1142022
2024-05-09,59500,60600,59500,61300,837862
2024-05-08,60600,58500,58300,61200,1091668
2024-05-07,58100,58500,56800,59200,1265007
2024-05-03,58000,57700,57500,59100,639807
2024-05-02,57000,58000,56800,58500,1061694
2024-04-30,58700,59700,58700,60300,1132394
2024-04-29,59700,60000,58900,61200,930849
2024-04-26,60000,57300,57300,61200,1706232
2024-04-25,56600,55900,55900,57800,622455
2024-04-24,56500,57300,56400,58400,898562
2024-04-23,57600,58000,57200,58900,1181829
2024-04-22,57000,54400,54300,57200,1300064
2024-04-19,52400,52600,51600,53100,1464137
2024-04-18,53500,52300,52000,54000,1028385
2024-04-17,52300,53500,52200,54000,1023935
2024-04-16,53600,54900,52700,55600,1422289
2024-04-15,55400,54500,53100,56100,1081215
2024-04-12,55000,57500,54800,57500,1819493
2024-04-11,58000,54100,54000,58800,1804014
2024-04-09,58100,60300,57800,60400,863616
2024-04-08,59200,57900,57800,59800,1204493
2024-04-05,57800,57100,56500,59000,902301
2024-04-04,58300,56000,55900,59000,1473327
2024-04-03,55600,56600,55500,56900,1330468
2024-04-02,56500,55500,55200,57000,1515193
2024-04-01,56400,57400,56000,58000,912736
2024-03-29,57700,59200,57700,59200,740105
2024-03-28,58900,58700,57900,59500,1390975
2024-03-27,58900,61100,58500,61400,1731828
2024-03-26,61400,61600,61200,64000,1502672
2024-03-25,62600,64300,61900,65200,1318501
2024-03-22,64000,63300,63000,65000,1283529
2024-03-21,63900,62600,62300,64300,1252389
2024-03-20,62000,62100,61700,64800,1575184
2024-03-19,61400,61300,60400,62800,1115365
2024-03-18,62000,61900,60000,62500,1848074
2024-03-15,62100,63200,62100,64400,4110295
2024-03-14,64600,61400,60600,64600,2422100
2024-03-13,60800,59400,59300,63000,1540906
2024-03-12,59500,59500,58500,61700,1382679
2024-03-11,59500,59200,58100,60100,903858
2024-03-08,59700,60400,59100,60400,1041284
2024-03-07,59800,59900,59200,60300,1459156
2024-03-06,59200,59400,58900,60400,1240810
2024-03-05,59700,60700,59600,63200,2100112
2024-03-04,60200,56900,56900,60900,2209560
2024-02-29,56600,55000,54800,57700,1946360
2024-02-28,55600,53900,52800,55700,1670278
2024-02-27,54700,54100,53400,56000,1896341
2024-02-26,55400,56600,53000,57300,3644134
2024-02-23,58900,57100,57000,60000,2349968
2024-02-22,57000,56000,54200,57600,1500580
2024-02-21,56000,56000,54500,57000,1608668
2024-02-20,56200,59500,55100,59500,2006480
2024-02-19,58900,56600,55900,59000,2218032
2024-02-16,55700,54000,53000,55700,1489358
2024-02-15,53000,53900,52800,54100,905953
2024-02-14,53400,54500,53000,54700,1895176
2024-02-13,55500,56100,54800,57300,2535691
2024-02-08,56600,55400,55200,57300,1963296
2024-02-07,55600,53600,53500,56800,2048030
2024-02-06,54300,54200,53500,55500,2273739
2024-02-05,55200,55800,52100,57100,4787993
2024-02-02,55900,54600,51200,55900,5363608
2024-02-01,52000,48150,47900,52200,5443718
2024-01-31,47800,46100,45750,48100,2026862
2024-01-30,46300,46300,45950,46850,1542201
2024-01-29,46400,45050,44800,46750,2090889
2024-01-26,44850,43750,43650,45050,1308427
2024-01-25,43750,43200,42900,43950,839364
2024-01-24,43600,42600,42600,44400,2131534
2024-01-23,42900,41650,41600,42950,1231382
2024-01-22,41250,40850,40850,41450,720605
2024-01-19,41200,41400,40800,41550,706358
2024-01-18,41100,41300,40800,41450,923646
2024-01-17,41300,42000,41250,42050,1154911
2024-01-16,41550,42250,41550,42450,601664
2024-01-15,42500,41550,41500,42750,819892
2024-01-12,41450,41300,41300,41900,477814
2024-01-11,41250,41400,41150,41950,1067502
2024-01-10,41150,41700,41150,41700,374402
2024-01-09,41650,41700,41350,41800,617029
2024-01-08,41250,41500,41100,41800,603848
2024-01-05,41500,41200,41100,41500,479482
2024-01-04,41350,42000,41300,42250,1003796
2024-01-03,42350,42550,42250,42850,731439
2024-01-02,42800,42750,42400,43100,714540
2023-12-28,43400,42750,42450,43400,809158
2023-12-27,42800,42950,42550,43150,798682
2023-12-26,43450,43150,42850,43550,913502
2023-12-22,42900,43300,42600,43300,654376
2023-12-21,43050,42850,42800,43400,476387
2023-12-20,43000,42450,42300,43100,739907
2023-12-19,42200,42050,41950,42550,600738
2023-12-18,42350,42550,42350,42800,729375
2023-12-15,42950,42350,42250,42950,1382936
2023-12-14,41850,42100,41750,42350,1616869
2023-12-13,41650,41700,41600,42200,658176
2023-12-12,42100,41850,41700,42150,865933
2023-12-11,41600,41500,41250,41700,520329
2023-12-08,41450,41450,41150,41750,668507
2023-12-07,41150,41500,41000,41550,811065
2023-12-06,41600,41700,41600,42150,822790
2023-12-05,41600,41700,41500,41800,475220
2023-12-04,41700,41850,41700,42150,690769
2023-12-01,41850,42000,41450,42100,679945
2023-11-30,41650,41100,40900,41900,1473897
2023-11-29,41250,41350,41100,41700,713062
2023-11-28,41600,41500,40700,41650,1102835
2023-11-27,41550,41550,41300,41950,732518
2023-11-24,41750,42200,41750,42300,419233
2023-11-23,42300,42000,41850,42500,588852
2023-11-22,41800,41300,41300,41950,671653
2023-11-21,41900,41900,41500,42050,872697
2023-11-20,41600,41400,41200,41850,649689
2023-11-17,41600,41900,41450,42150,574398
2023-11-16,42000,42250,41650,42250,551010
2023-11-15,41900,42050,41600,42250,1119758
2023-11-14,41300,41200,40850,41600,609330
2023-11-13,40800,41100,40600,41100,489770
2023-11-10,40800,40400,40300,40900,987370
2023-11-09,40500,40250,40250,40850,853357
2023-11-08,40450,41050,40350,41100,822523
2023-11-07,40850,41450,40650,41600,1240357
2023-11-06,42250,40650,40250,42250,1380936
2023-11-03,40250,39500,39350,40300,799078
2023-11-02,39000,39950,38950,40350,1306106
2023-11-01,39600,39400,39050,39650,662753
2023-10-31,39200,39800,39000,39850,1228827
2023-10-30,39650,40600,39200,41000,1839509
2023-10-27,41200,42300,40900,42400,999572
2023-10-26,41800,41900,41550,42500,807929
2023-10-25,42550,42250,42000,42700,666740
2023-10-24,42250,42700,41950,42750,532315
2023-10-23,42300,43400,41950,43400,825806
2023-10-20,43400,43750,43000,43750,940304
2023-10-19,43750,44050,43500,44100,916986
2023-10-18,44000,43350,43300,44150,738317
2023-10-17,43150,43950,43050,43950,687652
2023-10-16,43700,43550,43250,44100,1197330
2023-10-13,43500,42700,42650,43800,812553
2023-10-12,43250,42950,42450,43300,1137364
2023-10-11,42550,43500,42200,43500,1282977
2023-10-10,43150,43150,42800,43500,889521
2023-10-06,42800,41150,41100,43150,1016146
2023-10-05,40900,41450,40750,41500,779334
2023-10-04,41400,41950,41300,42250,993775
2023-09-27,42450,42100,41900,42750,823502
2023-09-26,42600,43500,42400,43550,1323978
2023-09-25,43950,44500,43750,44600,1028201
2023-09-22,44400,43850,43750,44500,1287766
2023-09-21,44250,44400,43800,44400,1548374
2023-09-20,44000,43600,43250,44400,1340859
2023-09-19,43250,43450,43100,43650,629842
2023-09-18,43400,43200,43050,43900,1113023
2023-09-15,43500,41750,41400,43500,2558842
2023-09-14,41650,41300,40950,41650,1117498
2023-09-13,41300,40450,40350,41550,1074258
2023-09-12,40650,40900,40400,41100,675034
2023-09-11,40700,40150,40100,40800,715088
2023-09-08,40150,40100,39700,40200,467231
2023-09-07,40100,39750,39700,40100,684283
2023-09-06,39950,39500,39500,40100,697644
2023-09-05,39650,39850,39400,39900,445241
2023-09-04,39850,39300,39300,39850,343760
2023-09-01,39500,39400,39350,39800,590350
2023-08-31,39550,39200,39200,39550,1304161
2023-08-30,39150,39650,39150,39700,596929
2023-08-29,39400,39200,39100,39650,664576
2023-08-28,39050,39050,38800,39200,519028
2023-08-25,38750,38200,38150,38800,599885
2023-08-24,38550,38800,38550,38850,516660
2023-08-23,38800,37850,37800,38850,892112
2023-08-22,38100,38000,37800,38200,597439
2023-08-21,38050,37750,37650,38450,1408890
2023-08-18,37550,37950,37500,38150,1277687
2023-08-17,38000,37500,37200,38050,1130817
2023-08-16,37850,37850,37550,38050,1153350
2023-08-14,38300,38350,38250,38550,416233
2023-08-11,38200,38000,38000,38550,842321
2023-08-10,37900,37850,37850,38250,908690
2023-08-09,37900,38350,37850,38400,1460357
2023-08-08,38450,38850,38300,38950,1320658
2023-08-07,38550,38300,38300,38900,1002377
2023-08-04,38550,38550,38250,38800,1159210
2023-08-03,38450,39400,38450,39400,1135502
2023-08-02,39400,39300,39200,39800,1291979
2023-08-01,39900,39200,39000,40150,1099497
2023-07-31,39300,39950,38850,39950,1520976
2023-07-28,39700,40900,39500,40900,1313719
2023-07-27,41200,39650,39650,41400,2362855
2023-07-26,39400,38650,38150,39900,1549390
2023-07-25,38550,38500,38150,38850,820516
2023-07-24,38500,39050,38400,39150,810363
2023-07-21,39150,38900,38500,39400,1475620
2023-07-20,38950,38700,38650,39200,626266
2023-07-19,38750,39200,38700,39450,656961
2023-07-18,39000,39150,38800,39250,609036
2023-07-17,39050,38950,38600,39150,841317
2023-07-14,39300,38400,38350,39400,1034330
2023-07-13,38150,38750,38150,38950,1438213
2023-07-12,38500,38450,38000,38700,666406
2023-07-11,38450,38300,38000,38600,760036
2023-07-10,37950,37700,37650,38150,710493
2023-07-07,37700,37700,37500,38100,1010163
2023-07-06,38000,39050,38000,39100,1396032
2023-07-05,39050,39700,39050,40100,717730
2023-07-04,39550,39800,39500,40000,520402
2023-07-03,40200,39250,39250,40200,689779
2023-06-30,39200,39200,38850,39750,1105575
2023-06-29,38800,39650,38750,39850,1249392
2023-06-28,40250,39950,39950,40400,1075244
2023-06-27,39850,39600,39350,39950,954134
2023-06-26,39650,39900,39200,40000,1333673
2023-06-23,39950,40450,39950,40650,988421
2023-06-22,40600,40050,40050,40750,951112
2023-06-21,40100,40400,40100,40500,966991
2023-06-20,40500,40650,40400,40900,954914
2023-06-19,40750,40750,40550,41000,626303
2023-06-16,40850,41150,40850,41450,884490
2023-06-15,40900,41050,40850,41350,731617
2023-06-14,41050,41050,40850,41350,837848
2023-06-13,41000,41400,40750,41600,1508261
2023-06-12,41700,42200,41650,42350,600850
2023-06-09,42200,41750,41700,42300,933601
2023-06-08,41500,41850,41500,42050,1285007
2023-06-07,41900,42250,41900,42650,972087
2023-06-05,41950,41950,41950,42550,859372
2023-06-02,41650,41150,41150,41650,543307
2023-06-01,41000,41500,40900,41550,769882
2023-05-31,41450,41050,41050,41700,1588919
2023-05-30,41250,41050,40600,41350,937186
2023-05-26,40750,41000,40750,41100,807346
2023-05-25,41050,41500,41000,41650,966534
2023-05-24,41650,41700,41350,41900,710382
2023-05-23,41800,42250,41800,42250,538146
2023-05-22,41900,41950,41900,42450,764698
2023-05-19,42100,41600,41600,42150,640294
2023-05-18,41850,41700,41450,41850,566161
2023-05-17,41250,41200,41150,41600,446843
2023-05-16,41450,41100,41100,41850,710174
2023-05-15,41150,41150,40800,41300,511219
2023-05-12,41100,41850,41000,41900,1349268
2023-05-11,41900,40850,40850,42350,1534097
2023-05-10,40850,41900,40500,42150,1335078
