Date,Close,Open,Low,High,Volume
2024-08-19,122900,123100,121800,127000,470198
2024-08-16,122900,120600,120300,123300,592224
2024-08-14,117900,117800,117100,119300,337725
2024-08-13,116900,121000,115900,121200,506142
2024-08-12,120600,118700,118700,122400,426132
2024-08-09,119000,121700,119000,124200,795010
2024-08-08,120500,123100,120000,125000,934828
2024-08-07,124500,130700,123200,134800,3345422
2024-08-06,165800,166800,165100,177900,481321
2024-08-05,159700,176800,152100,177000,362819
2024-08-02,178100,174700,171900,180300,219570
2024-08-01,177800,180200,176500,183900,184003
2024-07-31,181700,178500,178000,187600,265304
2024-07-30,178900,180100,174300,182300,177973
2024-07-29,182300,167700,165000,183500,403171
2024-07-26,170900,178500,170000,181100,271020
2024-07-25,177200,180700,176000,184500,375644
2024-07-24,179000,177900,174400,185000,464328
2024-07-23,175200,177700,174000,179800,311934
2024-07-22,177700,163200,163200,178200,694963
2024-07-19,163200,167200,159800,169100,325273
2024-07-18,167000,163700,161700,174800,786048
2024-07-17,162400,151500,150700,163900,600580
2024-07-16,149800,151400,148000,151900,123002
2024-07-15,150200,155200,149600,156800,146403
2024-07-12,154800,154000,153500,157500,198253
2024-07-11,153000,155600,152600,156400,210258
2024-07-10,154000,154000,152400,155700,129212
2024-07-09,153800,152300,151100,155400,256053
2024-07-08,151400,149100,148400,152600,159089
2024-07-05,149500,148100,148000,153600,312915
2024-07-04,148700,150200,145900,150700,378157
2024-07-03,151500,157900,147000,159300,626286
2024-07-02,158300,166100,156800,167700,488601
2024-07-01,167100,169700,165500,170300,276943
2024-06-28,167300,176000,165700,177600,359622
2024-06-27,176000,175900,173900,179000,213451
2024-06-26,177600,171100,168000,178000,258640
2024-06-25,174300,173500,170000,175100,175749
2024-06-24,172800,173600,170700,176400,216322
2024-06-21,172800,173100,168600,174700,382123
2024-06-20,172800,177400,172300,178000,298065
2024-06-19,178400,181600,176400,186300,328821
2024-06-18,181600,185300,181400,185900,210477
2024-06-17,185000,188000,181200,189600,211170
2024-06-14,186600,190000,183300,193000,299303
2024-06-13,189800,192200,187700,194000,349886
2024-06-12,191700,179700,179600,194100,482692
2024-06-11,178100,177300,176100,184400,191562
2024-06-10,176100,178100,170000,179000,195519
2024-06-07,180300,178800,177100,181700,262763
2024-06-05,177800,177000,173200,180800,347741
2024-06-04,179100,185400,177100,187500,489512
2024-06-03,187200,194200,185100,194200,521445
2024-05-31,194200,191300,188000,200500,900054
2024-05-30,188000,186200,185000,194400,424722
2024-05-29,186200,178500,177500,187300,351606
2024-05-28,178400,181900,176000,185000,303540
2024-05-27,181800,186000,180100,188700,282997
2024-05-24,184500,185700,183400,190200,278995
2024-05-23,188000,187100,186000,193000,274677
2024-05-22,188600,184800,183800,190700,333982
2024-05-21,184800,179700,177600,185000,297763
2024-05-20,179700,174500,172000,183300,330945
2024-05-17,173900,175800,171500,175900,137793
2024-05-16,176400,170900,170900,176400,356236
2024-05-14,169000,169700,167400,171000,149640
2024-05-13,168800,170200,166700,173400,194986
2024-05-10,170800,172000,169100,174200,281028
2024-05-09,168900,165000,163600,171500,390567
2024-05-08,164700,166300,163300,167500,189029
2024-05-07,167100,168700,161400,169900,381951
2024-05-03,168700,170500,168000,172700,260793
2024-05-02,173400,172400,167600,174400,741198
2024-04-30,169500,163000,161300,170000,1004813
2024-04-29,155900,152200,151800,156600,321904
2024-04-26,150600,147000,146500,152200,408132
2024-04-25,146100,143800,143500,147500,325567
2024-04-24,145400,141900,141400,146500,234072
2024-04-23,142200,141500,138900,142500,167434
2024-04-22,141700,144200,137700,144900,190235
2024-04-19,142800,145000,141800,147000,259260
2024-04-18,146500,142900,142700,148100,369131
2024-04-17,142100,138100,136900,144400,435739
2024-04-16,137400,133400,133100,138000,325099
2024-04-15,134600,134000,133100,136400,142920
2024-04-12,135000,127300,125800,136000,381973
2024-04-11,127400,126600,123500,129000,248725
2024-04-09,129200,136000,128500,136500,151213
2024-04-08,134300,133000,131400,136900,213176
2024-04-05,133800,131100,131000,136800,210633
2024-04-04,132400,135200,129800,137200,303868
2024-04-03,135700,134200,130900,137900,327195
2024-04-02,134200,127300,125200,134800,327427
2024-04-01,129100,122800,121900,133500,463259
2024-03-29,121400,121900,119700,122400,75770
2024-03-28,121200,122300,120600,124300,127791
2024-03-27,122300,121200,120400,123900,145367
2024-03-26,122400,119400,118700,122500,292484
2024-03-25,118100,116800,116100,120400,223691
2024-03-22,116100,113900,113400,120400,455456
2024-03-21,114300,113600,113400,114800,128058
2024-03-20,113200,112800,112300,115200,159484
2024-03-19,111700,111800,110400,112800,103703
2024-03-18,112900,114600,112700,115200,87230
2024-03-15,113100,115000,113100,115500,218401
2024-03-14,114200,112600,112100,115900,255202
2024-03-13,112800,114900,112500,115100,120178
2024-03-12,114900,116200,113000,116500,121072
2024-03-11,114800,112000,111100,116800,187813
2024-03-08,112000,113800,111600,114900,150524
2024-03-07,112700,114800,111700,115700,169994
2024-03-06,114500,113700,113600,115200,102167
2024-03-05,113700,116100,113500,118000,241048
2024-03-04,118100,120000,117600,121000,149221
2024-02-29,119600,121600,119600,123700,210576
2024-02-28,123300,123000,121600,123900,192659
2024-02-27,122300,124300,120900,124600,111612
2024-02-26,123200,125900,123100,127000,124720
2024-02-23,124700,127100,124300,128300,114617
2024-02-22,127000,128300,126200,128300,75503
2024-02-21,127000,127200,125100,127500,81096
2024-02-20,126900,126500,124900,127300,105471
2024-02-19,127500,124800,123600,128000,124070
2024-02-16,125000,126200,123500,126300,105273
2024-02-15,124500,124800,123600,129300,161659
2024-02-14,123500,124200,122700,125200,117013
2024-02-13,125500,131700,124400,133700,204682
2024-02-08,129400,128300,126300,129700,323750
2024-02-07,127700,126900,123500,128100,126894
2024-02-06,124900,120000,119000,127500,224254
2024-02-05,120000,122300,118300,122700,169379
2024-02-02,123100,118700,118500,124900,228091
2024-02-01,119600,118600,117000,119700,282895
2024-01-31,118000,133800,117000,134000,634822
2024-01-30,135700,136100,133500,137800,98233
2024-01-29,136400,140000,136400,140500,129588
2024-01-26,140000,138100,135000,143000,121059
2024-01-25,139500,139400,136700,139800,92811
2024-01-24,138500,138800,137400,141000,139636
2024-01-23,138900,133300,133000,139300,267970
2024-01-22,132000,132400,129700,133300,127392
2024-01-19,131500,130500,129100,132500,104079
2024-01-18,130600,121100,121100,131500,339855
2024-01-17,121300,123900,120900,124600,121870
2024-01-16,122800,121000,120600,123700,96575
2024-01-15,122100,128000,121900,128300,136340
2024-01-12,127000,127500,126000,129000,86293
2024-01-11,127000,131300,127000,131400,245461
2024-01-10,131300,132800,130900,135500,106698
2024-01-09,132700,131200,129300,133800,103623
2024-01-08,129200,132500,129000,132800,156292
2024-01-05,131700,130900,130200,133000,154917
2024-01-04,130400,134200,129600,135100,195951
2024-01-03,134700,139600,134700,141000,145816
2024-01-02,141200,144800,139400,144800,145896
2023-12-28,145000,139000,138200,145000,295066
2023-12-27,137800,136400,136000,138300,73862
2023-12-26,137700,137400,135900,139100,86258
2023-12-22,135100,136500,135100,137200,56763
2023-12-21,136500,134000,134000,136800,70633
2023-12-20,136000,137100,134100,137200,72157
2023-12-19,135400,133900,133800,137000,81054
2023-12-18,135000,133200,133100,136400,78637
2023-12-15,134500,136800,133900,137900,102681
2023-12-14,136800,135000,133600,138900,367714
2023-12-13,132000,127900,127100,133200,193595
2023-12-12,127000,128600,126600,129400,119587
2023-12-11,127400,125000,124800,128600,92165
2023-12-08,125400,126400,124300,127600,102994
2023-12-07,125600,127200,124600,128700,115502
2023-12-06,128100,131400,128100,132100,155737
