Date,Close,Open,Low,High,Volume
2024-08-19,91000,89200,89100,91300,535523
2024-08-16,88800,85400,85400,90200,1104896
2024-08-14,84000,83700,83400,85200,377356
2024-08-13,83500,82200,82100,84500,332398
2024-08-12,83200,82500,82000,83300,165239
2024-08-09,81900,81900,80600,82200,200904
2024-08-08,81700,80600,79800,82700,337367
2024-08-07,80600,75200,75100,81500,417692
2024-08-06,75800,78000,74600,78200,518364
2024-08-05,74500,78200,73500,78500,724861
2024-08-02,80200,81400,79700,82500,367433
2024-08-01,82700,83600,82300,84000,268721
2024-07-31,84400,83500,82600,85000,378009
2024-07-30,82700,82400,81300,83900,309243
2024-07-29,83200,81500,81300,85700,593721
2024-07-26,81500,79800,79200,82700,267585
2024-07-25,79800,81800,79500,81900,365046
2024-07-24,81900,81400,80900,82400,173388
2024-07-23,81600,82100,81600,83800,305050
2024-07-22,81900,82800,81000,83200,242038
2024-07-19,82500,80100,79900,82500,236494
2024-07-18,80700,82800,80700,82900,235868
2024-07-17,82300,81500,81100,82900,206875
2024-07-16,81500,81700,81100,82300,215309
2024-07-15,81600,82400,81100,82700,171559
2024-07-12,82000,82300,81200,82900,272820
2024-07-11,82300,82000,81400,83800,331354
2024-07-10,81100,80400,80200,82300,231329
2024-07-09,80700,82600,80300,82700,324526
2024-07-08,81800,82600,81800,83400,221575
2024-07-05,83400,84700,83200,85900,455821
2024-07-04,83400,82500,81900,84300,473113
2024-07-03,82200,79300,79000,84200,893044
2024-07-02,79200,77100,77000,80400,435528
2024-07-01,77400,78700,77200,79900,239533
2024-06-28,79100,75700,75700,80400,450299
2024-06-27,75900,73800,73800,76300,225897
2024-06-26,74500,75400,74500,76000,319886
2024-06-25,76000,76600,75700,76700,149025
2024-06-24,75900,76400,75600,76900,237508
2024-06-21,76500,78000,76100,78500,455522
2024-06-20,78000,76400,76100,78500,255893
2024-06-19,76700,76600,75700,76800,193946
2024-06-18,76100,75000,73600,77100,329760
2024-06-17,74600,73100,73000,74700,247148
2024-06-14,73100,73000,72600,74200,384664
2024-06-13,73500,74200,73500,76300,574179
2024-06-12,74200,73700,73600,74700,224743
2024-06-11,73800,75400,73800,75800,389022
2024-06-10,75200,74900,74000,76100,214618
2024-06-07,75500,75300,75200,77100,228239
2024-06-05,75500,75100,73900,75800,368455
2024-06-04,75100,75600,74500,76900,384512
2024-06-03,76400,77200,75400,77600,375182
2024-05-31,76900,77700,76500,78100,744455
2024-05-30,76100,75000,74900,78200,300547
2024-05-29,75500,75800,75100,77100,509858
2024-05-28,76600,76700,75800,77500,294091
2024-05-27,76700,77200,76100,77700,345531
2024-05-24,77600,76800,76000,78700,289957
2024-05-23,77500,77500,76900,78200,320087
2024-05-22,78300,81100,78300,81100,534542
