Date,Close,Open,Low,High,Volume
2024-08-19,16040,15430,15420,16140,3811543
2024-08-16,15420,15430,15350,15640,2412665
2024-08-14,15270,15100,15040,15410,2030550
2024-08-13,15020,14710,14710,15110,2033796
2024-08-12,14750,14650,14640,14820,1760105
2024-08-09,14670,14640,14440,14740,3336989
2024-08-08,14450,14400,14310,14790,2421205
2024-08-07,14530,14150,14020,14730,2426268
2024-08-06,14150,14520,14120,14760,4467360
2024-08-05,13980,14700,13740,14780,8090921
2024-08-02,15130,15620,15000,15700,4726728
2024-08-01,15830,15650,15630,16180,2916216
2024-07-31,15740,15840,15660,16040,4402644
2024-07-30,15680,15790,15520,15930,15407636
2024-07-29,16330,16110,16010,16960,10151683
2024-07-26,16180,14810,14800,16230,14562584
2024-07-25,14530,14710,14500,14710,1397398
2024-07-24,14670,14810,14580,14910,1810483
2024-07-23,14860,14860,14840,14970,1321083
2024-07-22,14930,14890,14770,14950,1385798
2024-07-19,14870,14800,14740,14870,1351086
2024-07-18,14900,14990,14850,14990,1552304
2024-07-17,14860,14840,14700,14900,1500162
2024-07-16,14770,14800,14740,14910,1327935
2024-07-15,14750,14890,14650,14910,964591
2024-07-12,14840,14950,14730,14960,1160692
2024-07-11,14880,14800,14650,14880,1841911
2024-07-10,14660,14600,14600,14700,1023631
2024-07-09,14690,14810,14520,14820,1756305
2024-07-08,14740,14640,14600,14810,1054351
2024-07-05,14760,14850,14720,14990,2437685
2024-07-04,14850,14640,14620,14930,1937735
2024-07-03,14640,14580,14500,15000,3105248
2024-07-02,14480,14260,14260,14620,1711786
2024-07-01,14400,14660,14330,14660,1633518
2024-06-28,14690,14480,14430,14690,2213641
2024-06-27,14450,14330,14080,14490,2576067
2024-06-26,14470,14490,14400,14620,1816480
2024-06-25,14630,14630,14510,14650,1358955
2024-06-24,14490,14240,14200,14570,2161796
2024-06-21,14240,14300,14190,14390,4197495
2024-06-20,14360,14140,14110,14380,1305776
2024-06-19,14140,14180,14060,14190,1458410
2024-06-18,14120,13980,13940,14170,907160
2024-06-17,13950,14110,13910,14180,1500261
2024-06-14,14120,13950,13940,14350,2505641
2024-06-13,13960,14100,13960,14340,2592007
2024-06-12,14180,14010,14010,14180,788061
2024-06-11,14100,14110,13990,14210,1343306
2024-06-10,14100,14100,14080,14220,829120
2024-06-07,14280,14290,14140,14420,1565944
2024-06-05,14080,14070,13980,14170,1171072
2024-06-04,14070,14140,14000,14340,1602271
2024-06-03,14250,14260,14130,14380,878513
2024-05-31,14170,14140,14090,14280,3595365
2024-05-30,14030,14130,14020,14220,1195849
2024-05-29,14240,14080,14050,14340,1490822
2024-05-28,14220,14280,14180,14320,1103613
2024-05-27,14350,14400,14260,14520,1239343
2024-05-24,14430,14270,14220,14470,1196078
2024-05-23,14480,14680,14430,14810,1836640
2024-05-22,14820,14950,14750,14960,1587000
2024-05-21,14870,14610,14600,14900,1393864
2024-05-20,14740,14660,14610,14970,1829573
2024-05-17,14580,14640,14540,14700,1204116
2024-05-16,14640,14590,14560,14780,1966682
2024-05-14,14440,14570,14420,14620,1205602
2024-05-13,14590,14610,14520,14810,1605921
2024-05-10,14530,14540,14470,14760,1942383
2024-05-09,14340,14510,14290,14590,2015366
2024-05-08,14500,14250,14200,14540,2066619
2024-05-07,14190,14270,14100,14360,2314190
2024-05-03,14130,14050,14020,14160,877182
2024-05-02,13980,14110,13920,14190,1669616
2024-04-30,14230,14200,14130,14300,1980111
2024-04-29,14190,14350,14140,14400,1924262
2024-04-26,14350,14120,14120,14470,2574082
2024-04-25,14020,13850,13850,14160,1217139
2024-04-24,14120,14310,13950,14350,1963697
2024-04-23,14200,14150,14120,14450,1983757
2024-04-22,14150,13890,13890,14180,2449323
2024-04-19,13540,13310,13280,13590,2059911
2024-04-18,13500,13310,13200,13630,1615309
2024-04-17,13170,13500,13170,13500,1314789
2024-04-16,13400,13450,13300,13590,2220892
2024-04-15,13560,13270,13150,13590,1771800
2024-04-12,13410,13590,13340,13700,2604557
2024-04-11,13770,13440,13260,13920,3245321
2024-04-09,13910,14120,13860,14130,1166510
2024-04-08,14030,14000,13860,14150,1552017
2024-04-05,13930,13850,13830,14090,880023
2024-04-04,14010,13770,13770,14140,1583858
2024-04-03,13760,13970,13740,14000,2355836
2024-04-02,14050,13910,13830,14140,1671570
2024-04-01,14070,14450,13900,14450,1861825
2024-03-29,14320,14630,14210,14630,2158189
2024-03-28,14590,14560,14480,14690,2637837
2024-03-27,14610,14930,14550,15060,2514047
2024-03-26,15120,15130,15030,15290,2213599
2024-03-25,15130,15240,14990,15320,2092278
2024-03-22,15200,15140,15060,15450,2059724
2024-03-21,15290,14880,14770,15360,3738348
2024-03-20,14710,14800,14650,15020,2163979
2024-03-19,14660,14720,14640,14880,2360692
2024-03-18,14910,15170,14510,15170,3495088
2024-03-15,15230,15170,15060,15500,5769346
2024-03-14,15160,14800,14670,15320,18648947
2024-03-13,14600,14290,14220,14610,3122499
2024-03-12,14270,14250,14100,14350,2810384
2024-03-11,14250,14240,14100,14400,2181338
2024-03-08,14290,14580,14180,14600,2853431
2024-03-07,14470,14460,14340,14500,2322735
2024-03-06,14500,14520,14360,14640,2439972
2024-03-05,14470,14760,14420,15000,5231984
2024-03-04,14640,14470,14300,14750,19050010
2024-02-29,14900,14510,14470,14900,6024363
2024-02-28,14520,14460,14350,14600,3366119
2024-02-27,14940,14590,14530,15050,6101989
2024-02-26,14630,14870,14200,14870,4068702
2024-02-23,14920,14850,14830,15150,3587976
2024-02-22,14830,14920,14590,14920,1770523
2024-02-21,14800,14770,14600,14890,2312191
2024-02-20,14660,15070,14600,15180,2502362
2024-02-19,15060,14810,14800,15200,3068160
2024-02-16,14750,14260,14260,14750,4242150
2024-02-15,14120,14160,14010,14230,1763594
2024-02-14,14020,14300,13990,14380,3308665
2024-02-13,14380,14780,14230,14890,4318452
2024-02-08,14610,14490,14340,14700,3172244
2024-02-07,14500,14200,13600,14620,4325703
2024-02-06,14580,14710,14420,15000,3536212
2024-02-05,14750,14780,14250,14900,4671234
2024-02-02,14710,14530,14020,14840,6674144
2024-02-01,14410,13910,13880,14490,6228659
2024-01-31,13880,13430,13430,13920,3552141
2024-01-30,13490,13500,13440,13680,2247308
2024-01-29,13480,13130,12980,13560,2925020
2024-01-26,13130,13030,12900,13160,1568685
2024-01-25,13030,12990,12910,13050,1444969
2024-01-24,13000,12780,12750,13030,2736620
2024-01-23,12800,12680,12610,12800,1396434
2024-01-22,12610,12690,12570,12690,668847
2024-01-19,12620,12510,12480,12680,1183552
2024-01-18,12470,12510,12450,12550,1102444
2024-01-17,12450,12530,12430,12570,1075902
2024-01-16,12530,12550,12490,12590,771367
2024-01-15,12620,12530,12490,12650,743109
2024-01-12,12540,12520,12490,12630,717352
2024-01-11,12470,12540,12470,12680,1485888
2024-01-10,12480,12530,12480,12570,976582
2024-01-09,12590,12610,12510,12640,1180302
2024-01-08,12530,12490,12450,12570,952830
2024-01-05,12490,12440,12380,12550,1436870
2024-01-04,12470,12620,12470,12650,2206289
2024-01-03,12690,12810,12660,12900,1715513
2024-01-02,12840,12850,12630,12920,2075510
2023-12-28,13000,12890,12760,13000,2075179
2023-12-27,12890,12890,12720,12970,2041822
2023-12-26,13000,13000,12980,13010,2543743
2023-12-22,13000,13020,12960,13030,1612131
2023-12-21,12980,12950,12920,13000,1137557
2023-12-20,12990,12930,12900,13010,1555008
2023-12-19,12900,12910,12890,12960,21327324
2023-12-18,12920,13040,12870,13040,1396798
2023-12-15,13040,13010,12970,13050,2202586
