Date,Close,Open,Low,High,Volume
2024-08-19,21650,22050,21600,22250,439476
2024-08-16,22000,22050,21750,22300,704267
2024-08-14,21700,21600,21350,21800,519115
2024-08-13,21400,21750,21400,21900,445863
2024-08-12,21850,21600,21550,22050,571090
2024-08-09,21550,22050,21400,22100,777480
2024-08-08,21850,21400,20800,22150,2020691
2024-08-07,21400,19660,19510,21750,2500498
2024-08-06,19680,19570,19400,20350,1453951
2024-08-05,19180,21050,18490,21050,2077299
2024-08-02,21250,21200,20750,21500,677940
2024-08-01,21550,21300,21250,21750,492728
2024-07-31,21400,21300,21000,21400,494491
2024-07-30,21200,21650,21150,21750,640052
2024-07-29,21850,21200,21050,22000,911149
2024-07-26,21200,21350,20950,21900,1047324
2024-07-25,21400,20450,20250,22000,2472575
2024-07-24,20400,20450,19970,20950,1414547
2024-07-23,20300,21450,20000,23550,5426220
2024-07-22,21100,21350,21100,21550,387022
2024-07-19,21400,21150,20850,21450,384334
2024-07-18,21450,21650,21000,21650,493495
2024-07-17,21550,21350,21250,21750,490909
2024-07-16,21250,21550,21200,21800,463568
2024-07-15,21500,22300,21500,22350,550884
2024-07-12,22150,21700,21650,22350,741543
2024-07-11,21700,21700,21350,21750,644492
2024-07-10,21500,21600,21350,21650,358063
2024-07-09,21750,21800,21550,21950,452273
2024-07-08,21700,21200,21150,21850,550978
2024-07-05,21400,21150,21100,21700,742777
2024-07-04,21050,21000,20700,21200,455718
2024-07-03,20800,20800,20750,21350,490166
2024-07-02,20800,20750,20600,21050,554391
2024-07-01,21000,20250,20150,21100,756566
2024-06-28,20300,20350,20150,20450,744172
2024-06-27,20250,20750,20050,20900,1177800
2024-06-26,21000,21000,20900,21250,687885
2024-06-25,21150,21200,21000,21300,569960
2024-06-24,21000,21400,21000,21400,353125
2024-06-21,21400,21200,21050,21800,744426
2024-06-20,21150,21050,20950,21450,512374
2024-06-19,21100,21050,20800,21200,784179
2024-06-18,20950,21350,20900,21450,558742
2024-06-17,21250,21650,21050,21700,788489
2024-06-14,21600,22000,21600,22200,944886
2024-06-13,22100,22500,22100,22800,1128015
2024-06-12,22500,22300,22150,22550,493544
2024-06-11,22350,22500,22300,22650,537785
2024-06-10,22400,22400,22250,22800,441992
2024-06-07,22700,22350,22300,22950,732578
2024-06-05,22200,22250,22050,22450,508062
2024-06-04,22250,22500,22150,22750,529195
2024-06-03,22500,22400,22300,23050,554407
2024-05-31,22250,22350,22150,22600,2478368
2024-05-30,22150,22300,21850,22450,693816
2024-05-29,22500,22700,22450,22700,836388
2024-05-28,22900,23100,22850,23400,497883
2024-05-27,23300,22700,22650,23400,666095
2024-05-24,22650,22900,22600,23000,865358
2024-05-23,23200,23000,22950,23350,622275
2024-05-22,23300,23150,22950,23400,590366
2024-05-21,23050,23400,22800,23500,920341
2024-05-20,23500,23750,23400,23850,612630
2024-05-17,23500,23850,23500,24000,805129
2024-05-16,23800,24000,23750,24300,1305491
2024-05-14,23700,23850,23700,24000,781017
2024-05-13,23850,24100,23800,24250,905299
2024-05-10,24050,24200,23950,24300,1129104
2024-05-09,24050,25700,23850,25750,3340432
2024-05-08,25600,26150,25350,26350,1355350
2024-05-07,25850,25600,25350,26100,1053703
2024-05-03,25300,25100,25100,25450,589082
2024-05-02,24800,24700,24100,24950,641419
2024-04-30,25100,25000,24850,25250,662478
2024-04-29,25100,24850,24650,25100,618041
2024-04-26,24650,24600,24500,24950,442120
2024-04-25,24400,24350,24100,24750,464577
2024-04-24,24700,24750,24600,24900,476435
2024-04-23,24500,24550,24400,24750,355484
2024-04-22,24700,24300,24150,24700,490341
2024-04-19,23750,23500,23250,23850,758594
2024-04-18,24050,23400,23300,24200,575099
2024-04-17,23200,23850,23200,24100,746824
2024-04-16,23800,24300,23700,24500,867090
2024-04-15,24750,24550,24000,24800,611917
2024-04-12,24850,25750,24800,25900,1149992
2024-04-11,26150,25000,24950,26150,994151
2024-04-09,25900,25950,25800,26400,449045
2024-04-08,25750,25450,24800,25900,615157
2024-04-05,25450,25750,25300,25950,662472
