Date,Close,Open,Low,High,Volume
2024-08-19,211000,205000,204500,215000,324890
2024-08-16,204000,208000,200500,213000,321646
2024-08-14,206000,205500,198900,207000,239761
2024-08-13,203000,206500,201500,211000,228270
2024-08-12,208500,210000,204000,213000,242565
2024-08-09,212000,221000,208000,222500,323259
2024-08-08,216000,204000,200500,218000,357955
2024-08-07,205000,206500,202000,213500,302646
2024-08-06,205000,198900,192500,210000,564879
2024-08-05,186000,195000,174700,201500,732384
2024-08-02,209000,210500,204000,215000,261712
2024-08-01,214000,205500,202500,220000,266053
2024-07-31,211000,203500,203000,221000,502707
2024-07-30,204500,206500,201500,209000,221341
2024-07-29,208000,207000,201000,210000,413038
2024-07-26,207500,184500,183500,210000,1077171
2024-07-25,177500,173000,170000,185000,499649
2024-07-24,175500,175800,170000,178200,216272
2024-07-23,174900,171700,170400,176000,238862
2024-07-22,170400,164000,162500,171800,274862
2024-07-19,164300,168800,162200,169300,244274
2024-07-18,169000,172900,166600,175000,275858
2024-07-17,171200,168600,166500,175000,370509
2024-07-16,167500,161500,160100,168300,323389
2024-07-15,160000,158000,157900,163000,227971
2024-07-12,157600,158200,153200,159100,154926
2024-07-11,157300,155800,154200,160500,231112
2024-07-10,155300,151700,151000,159700,289280
2024-07-09,152400,153000,151100,154000,89502
2024-07-08,152000,148200,147400,153500,189788
2024-07-05,148800,153400,148100,154300,234935
2024-07-04,153400,151900,148600,155200,188610
2024-07-03,151900,157600,147500,157600,195344
2024-07-02,153300,154500,150100,155100,192956
2024-07-01,155100,156500,152700,158400,173102
2024-06-28,155700,156600,154000,158500,205119
2024-06-27,156400,150900,150000,156900,311020
2024-06-26,152400,149900,148300,152400,209048
2024-06-25,149900,152000,148300,154900,327393
2024-06-24,152000,144900,143300,152000,463511
2024-06-21,146300,143000,142700,152600,709700
2024-06-20,141900,140500,139000,142900,255055
2024-06-19,138800,133900,133600,139400,344258
2024-06-18,133600,135000,133000,136400,126175
2024-06-17,134500,132600,130900,135500,142608
2024-06-14,132600,130400,129100,135000,230612
2024-06-13,130400,129900,128100,132300,341110
2024-06-12,130000,128800,125900,130100,200350
2024-06-11,129700,130500,128800,131900,160170
2024-06-10,129400,128400,127500,130100,107375
2024-06-07,129600,128200,128200,130200,123840
2024-06-05,128300,128800,127600,129800,124102
2024-06-04,129500,131100,129000,132000,122848
2024-06-03,131800,129000,127400,134700,238181
2024-05-31,128700,133800,128000,133900,231036
2024-05-30,132100,131000,130100,133300,133264
2024-05-29,132000,132200,130900,133000,115538
2024-05-28,133400,133000,131600,134800,129617
2024-05-27,133000,134400,129900,134700,261871
2024-05-24,134000,131200,130600,135100,246113
2024-05-23,132800,129100,128400,133200,330274
2024-05-22,129100,131400,128400,131500,246510
2024-05-21,130800,127800,126800,132000,589305
2024-05-20,128100,131300,127200,131500,452194
2024-05-17,130200,131100,129100,133200,3652485
2024-05-16,140500,143700,138800,143700,166809
2024-05-14,142300,143800,140200,144800,154449
2024-05-13,143500,138400,137200,146000,358025
2024-05-10,136300,137000,135000,137800,87286
2024-05-09,135500,137600,134300,138800,223027
2024-05-08,137400,139400,135600,141200,181533
2024-05-07,140000,134700,133100,140000,213717
2024-05-03,133600,136500,133500,137000,122129
2024-05-02,136200,137000,135300,139400,96389
2024-04-30,137700,139300,136800,141800,152022
2024-04-29,140800,140400,137300,140900,262260
2024-04-26,139500,130000,129700,140600,677728
2024-04-25,128000,130000,125700,132800,273570
2024-04-24,130200,128400,127800,133700,458832
2024-04-23,127200,123800,122700,129200,383255
2024-04-22,122600,124800,121400,125900,162296
2024-04-19,123400,120400,117500,123700,272435
2024-04-18,120300,112900,112500,123600,408383
2024-04-17,111300,112800,111200,114100,138965
2024-04-16,112000,116900,110800,118100,192752
2024-04-15,118300,117400,116000,119500,79090
2024-04-12,117900,114800,112900,118700,144841
2024-04-11,114500,115600,113400,117100,153613
2024-04-09,117200,118500,116700,121100,171743
2024-04-08,118500,121600,118000,121600,102944
2024-04-05,122100,120100,119200,123900,72585
2024-04-04,121700,122700,119800,123500,130736
2024-04-03,122700,124000,122100,125900,134514
2024-04-02,124900,120500,118800,125400,196046
2024-04-01,121300,119000,115900,122000,126161
2024-03-29,118000,121500,117400,122500,163448
2024-03-28,118700,119400,118000,122200,119217
2024-03-27,119400,120600,118000,121600,189217
2024-03-26,122300,126700,122300,126700,112104
2024-03-25,124700,125600,123300,126000,113953
2024-03-22,125100,125000,123900,126500,112470
2024-03-21,126100,126600,123900,126600,164895
2024-03-20,125800,122800,122800,127800,172740
2024-03-19,122300,123500,120600,124500,135415
2024-03-18,123100,120000,119500,125300,361761
2024-03-15,117100,121000,117100,124000,251925
2024-03-14,119800,111700,111700,122900,514657
2024-03-13,111100,113300,110400,113400,100800
2024-03-12,112600,114000,111000,114000,111187
2024-03-11,113200,110700,110200,115900,129656
2024-03-08,110900,112300,110200,112800,83688
2024-03-07,111600,111900,110600,112500,72380
2024-03-06,111500,111500,110700,112700,101377
2024-03-05,112300,113300,111600,116000,123692
2024-03-04,113600,118900,113000,119700,178233
2024-02-29,117900,119800,117400,121000,125317
2024-02-28,119500,115100,113800,121100,261080
2024-02-27,114900,110400,108800,115500,244823
2024-02-26,109700,110500,109200,111400,107007
2024-02-23,111400,111000,110300,112500,50852
2024-02-22,110800,112800,110600,112800,40008
2024-02-21,111700,110600,109800,112400,102555
2024-02-20,109600,110400,109500,111000,65722
2024-02-19,110900,110000,108600,111300,92086
2024-02-16,110400,111200,110000,112500,94027
2024-02-15,110000,110700,109500,113100,116901
2024-02-14,109600,108600,107900,110300,130175
