Date,Close,Open,Low,High,Volume
2024-08-19,168400,166600,166400,172200,141875
2024-08-16,166400,164700,163500,168600,189894
2024-08-14,163100,171000,162300,171300,387330
2024-08-13,170900,172100,170600,173700,119427
2024-08-12,172100,172300,170000,173500,189214
2024-08-09,172200,183800,171600,183800,371507
2024-08-08,183800,178800,174100,184900,336637
2024-08-07,181500,169100,168500,189100,581910
2024-08-06,171400,170300,167000,176500,288864
2024-08-05,170100,179000,160000,180400,314374
2024-08-02,180800,174500,174500,184000,359084
2024-08-01,175300,174300,174300,176800,70054
2024-07-31,176000,172900,171000,176800,101213
2024-07-30,172000,173200,171200,176400,85248
2024-07-29,174500,171700,171700,176900,104500
2024-07-26,171700,170300,168100,172900,106209
2024-07-25,170300,176400,170000,176400,260980
2024-07-24,177300,179200,177200,182000,119703
2024-07-23,180200,179700,179600,182800,95784
2024-07-22,179600,182900,178800,183900,125247
2024-07-19,182500,183500,178700,184600,142688
2024-07-18,185000,182500,180700,185300,153728
2024-07-17,182500,185600,182400,186500,262322
2024-07-16,186300,188300,185900,188300,148849
2024-07-15,188200,190500,188000,191700,153404
2024-07-12,189700,189700,189200,193000,194203
2024-07-11,190100,191000,188100,191300,297369
2024-07-10,190500,193100,190200,194100,268683
2024-07-09,194300,196900,194100,196900,188231
2024-07-08,196300,196100,193300,196900,189248
2024-07-05,197400,199700,197100,201000,245901
2024-07-04,201000,197100,197100,201000,191958
2024-07-03,197000,197800,196900,198500,165916
2024-07-02,197200,200000,196700,200000,196568
2024-07-01,200500,204500,199200,204500,146521
2024-06-28,202500,198500,198500,205000,287559
2024-06-27,198500,197700,197500,198800,147771
2024-06-26,197900,198300,197300,198800,132736
2024-06-25,198700,196200,196000,199300,118914
2024-06-24,198100,200500,198100,202000,174289
2024-06-21,200000,202500,200000,202500,125219
2024-06-20,202500,200500,199900,205000,260509
2024-06-19,200500,200500,199500,201000,160180
2024-06-18,199900,203000,199800,203000,216279
2024-06-17,202500,201500,199100,203500,204260
2024-06-14,200500,199300,198200,201000,207259
2024-06-13,199700,201000,198500,201000,309593
2024-06-12,199100,200500,198300,201500,200055
2024-06-11,198000,202500,198000,203500,259363
2024-06-10,202500,197000,197000,204000,293388
2024-06-07,197000,198500,196500,199800,188602
2024-06-05,198500,200500,198500,201000,214389
