Date,Close,Open,Low,High,Volume
2024-08-19,86200,89600,86200,89600,225466
2024-08-16,88100,86000,85000,89400,281630
2024-08-14,82300,80000,79700,83800,287543
2024-08-13,77900,77000,76100,79300,188557
2024-08-12,77200,76400,75800,78000,183223
2024-08-09,75700,74400,73100,76000,212758
2024-08-08,72200,72100,71100,74100,501234
2024-08-07,75200,71500,71500,76500,324219
2024-08-06,74400,75900,71600,76100,332875
2024-08-05,70400,72800,67900,76400,463772
2024-08-02,75900,80200,74600,80800,531160
2024-08-01,83300,86000,81000,87500,580916
2024-07-31,86200,82000,80800,86200,347623
2024-07-30,82100,82700,80600,82900,164629
2024-07-29,84500,84800,83100,86500,294646
2024-07-26,83300,82300,81700,84400,380707
2024-07-25,80400,81000,79600,82200,505102
2024-07-24,83800,82600,80900,85700,500532
2024-07-23,84700,86400,83100,87400,488639
2024-07-22,85700,87500,82500,87600,465862
2024-07-19,88000,88200,87000,89600,366108
2024-07-18,89000,91000,86300,92000,1117409
2024-07-17,97100,106100,95500,106100,510657
2024-07-16,105500,105400,102000,105500,222062
2024-07-15,105500,106900,104000,107800,241951
2024-07-12,105300,104700,103100,106900,346977
2024-07-11,106700,105000,103500,109000,382328
2024-07-10,103000,101600,101600,104800,188486
2024-07-09,103200,104500,101500,106300,260992
2024-07-08,103000,103000,102800,107500,302354
2024-07-05,104200,96800,96500,105000,763569
2024-07-04,97300,97300,94800,100300,420090
2024-07-03,96500,96900,93400,97400,342500
2024-07-02,95500,99500,95400,100500,339073
2024-07-01,100500,99400,98500,102100,269925
2024-06-28,100000,103500,99700,106600,720697
2024-06-27,102200,100600,99000,102800,612830
2024-06-26,102200,96600,96100,102200,460038
2024-06-25,95600,89200,87200,95600,313924
2024-06-24,91200,97000,90400,97000,306842
2024-06-21,97500,96300,93200,97500,412975
2024-06-20,98000,97300,94700,98900,592954
2024-06-19,98500,95800,95600,100800,971455
2024-06-18,93400,90000,90000,93800,577873
2024-06-17,90700,90100,88000,91800,317838
2024-06-14,91400,93800,91100,95300,535513
2024-06-13,93800,90300,90100,97000,1124232
2024-06-12,89800,87600,87600,92100,494368
2024-06-11,88100,89400,87200,90400,460303
2024-06-10,89800,88100,88100,103800,2089240
2024-06-07,87500,79100,78600,87500,789388
2024-06-05,76800,77000,76100,79000,370954
2024-06-04,77300,76500,76000,78200,282223
2024-06-03,78200,77700,75200,78400,246463
2024-05-31,77600,80200,74200,80600,1214635
2024-05-30,79400,80000,78600,80800,308901
2024-05-29,81100,82400,80500,83300,313725
2024-05-28,83300,83900,82400,85400,174597
