Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2008-10-10,45938,13312741,,,,,,,,,,,,,,,,,13312741.0,9059928.470797215,,
2008-10-13,49554,3254127,,,,,,,,,,,,,,,,,16566868.0,11262080.558023341,,
2008-10-14,51900,4049071,,,,,,,,,,,,,,,,,20615939.0,9720375.814296179,,
2008-10-15,49847,2918014,,,,,,,,,,,,,,,,,17697925.0,11541335.957518686,,
2008-10-16,42419,4032208,,,,,,,,,,,,,,,,,13665717.0,7509127.957518686,,
2008-10-17,37141,6211665,,,,,,,,,,,,,,,,,7454052.0,2290027.633353656,,
2008-10-20,38167,5004476,,,,,,,,,,,,,,,,,12458528.0,4561404.389306037,,
2008-10-21,38314,3902726,,,,,,,,,,,,,,,,,16361254.0,658678.3893060363,,
2008-10-22,37630,3721802,,,,,,,,,,,,,,,,,12639452.0,659439.961231553,,
2008-10-23,35968,3007566,,,,,,,,,,,,,,,,,9631886.0,2096328.6996657168,,
2008-10-24,35968,3810060,,,,,,,,,,,,,,,,,9631886.0,5213834.609843766,,
2008-10-27,39096,3902801,,,,,,,,,,,,,,,,,13534687.0,9116635.609843766,,
2008-10-28,36750,5265020,,,,,,,,,,,,,,,,,8269667.0,10286972.630878445,,
2008-10-29,31277,6888434,,,,,,,,,,-94.395331762186,,,,,,,1381233.0,3398538.6308784448,,
2008-10-30,34209,12635387,,,,,13.474769030807316,42.24629977078744,,,,-100.57648548947225,,,,,,,14016620.0,11976940.187655002,,
2008-10-31,31277,9983231,,,,,12.03448314812743,37.73069367644816,,,12.709629138910358,-99.4856256119752,,,,,,,4033389.0,5355161.765045602,,
2008-11-03,32303,7523911,,,,,11.216538984569764,36.43995924008936,,,19.707591757388524,-111.06348263893908,,,,,,,11557300.0,9587512.084521137,,
2008-11-04,34991,6496551,,,,,15.24013425467961,34.17228777549058,,19.414409300743902,25.82600700593282,-48.552065236105264,,,,,,,18053851.0,15317923.496073484,,
2008-11-05,35675,6194716,,,,,20.214354918970955,31.991971393449308,,28.19836401443591,39.06149327998639,18.070645799122087,,,,,,,24248567.0,12273208.764196966,,
2008-11-06,30397,4852360,,,,,17.95566606076398,38.039192581221315,,34.834107748973715,39.614822961001956,-116.3216406808917,,,50828.28957102632,38441.05,26053.810428973688,,19396207.0,7420848.764196966,,
2008-11-07,31228,4082446,,,,,16.62244387864207,38.72045340359591,36.05708321452107,37.92831472318144,35.108627928555954,-116.13094463482709,-32.021420175018505,-14710.0,49971.13720119018,37705.55,25439.96279880983,4408.48093277649,23478653.0,9122061.338386847,-69.33429411719194,
2008-11-10,32841,3206799,,,,,18.216235215714676,36.56773284298068,39.265890200190775,35.36789334652374,31.38022915001332,-57.66332356607999,-33.72684344351617,-16713.0,48019.2049810291,36869.9,25720.595018970904,4270.599896028468,26685452.0,10877752.837228546,-1.4543992905009546,
2008-11-11,31961,2195351,,,,,17.5998479022425,35.33038130793855,38.165992210414224,34.34304798936912,36.54028688953806,-60.62075834262044,-38.41811175337187,-19939.0,44815.547105427504,35872.95,26930.35289457249,4066.9238766520616,24490101.0,10584240.698074386,-45.78136565152846,
2008-11-12,31375,2135141,,,,,17.039184735827956,35.457713602969946,37.431038186667145,35.237647160805416,37.792425442864875,-71.94408748787065,-37.05739563062973,-18472.0,41395.231732548345,34949.35,28503.46826745165,3872.095995533289,22354960.0,10281450.234624093,-26.828966550537455,
2008-11-13,29762,4081916,,,,,15.587026969971713,39.61168682077681,35.4529349459249,34.80579895361917,30.084684528454577,-137.79904077255017,-29.838044272613686,-12657.0,40162.00943887704,34316.5,28470.990561122962,3861.0018175520386,18273044.0,14363366.234624093,1.2327737061183353,
2008-11-14,31423,2548500,-3995.4989100399907,,,,18.914420095194718,38.05027215103104,38.95008147951552,32.35229737566467,29.179782155674562,-61.53531411305558,-15.395385153873079,-5718.0,39854.853923036026,34030.6,28206.34607696397,3708.7758230381946,20821544.0,16911866.234624095,-58.97235282327685,
2008-11-17,31668,4090043,-3792.071727298793,,,,22.16869894558114,34.55408356649919,39.459362122311006,29.99413666991653,30.71794332562045,-31.260699366636096,-17.027798883852544,-6499.0,39290.80698167926,33705.65,28120.49301832074,3725.7636712524845,24911587.0,17063731.938337155,-18.272302634681434,
