Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1999-10-08,36800,2726950,,,,,,,,,,,,,,,,,2726950.0,0.0,,
1999-10-11,38400,6580210,,,,,,,,,,,,,,,,,9307160.0,680711.3793103448,,
1999-10-12,36900,2009970,,,,,,,,,,,,,,,,,7297190.0,-979698.6206896552,,
1999-10-13,36400,1408180,,,,,,,,,,,,,,,,,5889010.0,-164436.51542649732,,
1999-10-14,36500,926530,,,,,,,,,,,,,,,,,6815540.0,12984.122871375002,,
1999-10-15,36050,582570,,,,,,,,,,,,,,,,,6232970.0,-511328.877128625,,
1999-10-18,35000,764030,,,,,,,,,,,,,,,,,5468940.0,-719700.6953104432,,
1999-10-19,34900,540430,,,,,,,,,,,,,,,,,4928510.0,-827786.6953104432,,
1999-10-20,35100,318910,,,,,,,,,,,,,,,,,5247420.0,-987241.6953104432,,
1999-10-21,34650,372010,,,,,,,,,,,,,,,,,4875410.0,-1260049.0286437764,,
1999-10-22,33800,379930,,,,,,,,,,,,,,,,,4495480.0,-1450014.0286437764,,
1999-10-25,31850,435760,,,,,,,,,,,,,,,,,4059720.0,-1771100.3444332501,,
1999-10-26,31400,309180,,,,,,,,,,,,,,,,,3750540.0,-1771100.3444332501,,
1999-10-27,30750,356180,,,,,,,,,,-171.18927973199334,,,,,,,3394360.0,-1720217.487290393,,
1999-10-28,32000,729430,,,,,24.867500954137924,38.55973262826102,,,,-104.53023741515402,,,,,,,4123790.0,-1542788.5683714743,,
1999-10-29,32700,522720,,,,,22.23322040866107,34.4749975481759,,,21.882119625575125,-60.4460541364849,,,,,,,4646510.0,-1412108.5683714743,,
1999-11-01,32950,430950,,,,,21.794479627860152,31.757771048000734,,,33.76637341153471,-38.43641559501959,,,,,,,5077460.0,-1376196.0683714743,,
1999-11-02,32200,399000,,,,,20.558435375100288,31.29111084893094,,30.83362931800696,36.852394916911045,-51.3837864315454,,,,,,,4678460.0,-1661196.0683714743,,
1999-11-03,31400,349790,,,,,19.18025029689859,35.2268050547166,,34.370836067256754,32.49373987332449,-73.4973900074573,,,,,,,4328670.0,-1871070.0683714743,,
1999-11-04,32000,312110,,,,,21.865951152026728,31.784789944920643,,33.693256948167274,31.73363605426628,-42.51334558501813,,,38512.189254625686,34087.5,29662.810745374318,,4640780.0,-1975106.735038141,,
1999-11-05,31650,333340,,,,,20.842469288925557,30.297035956771282,33.118666508238114,32.1384067871794,32.18784443394741,-51.85185185185192,-13.994565217391305,-5150.0,38192.27005124625,33830.0,29467.72994875375,1405.0378392575244,4307440.0,-2260826.735038141,-87.77608683694237,
1999-11-08,31350,369450,,,,,19.979235298084,31.4582172226422,31.999376852483813,32.66529688385103,34.07441016333939,-68.45514474061333,-18.359375,-7050.0,37425.3443485021,33477.5,29529.655651497902,1343.9981825322052,3937990.0,-2507126.735038141,-94.38543754682601,
1999-11-09,31600,361030,,,,,18.726357765289137,29.485504403958466,33.95727362411297,32.809265921850766,32.16554316826549,-57.446808510638256,-14.363143631436314,-5300.0,36909.373679205164,33212.5,29515.626320794836,1311.1807250490438,4299020.0,-2467012.2905936963,-82.03804036876173,
1999-11-10,30750,820880,,,,,17.29853608944434,30.70308997186569,30.784995184822225,31.548469486261514,28.40545512717965,-100.1968151726599,-15.521978021978022,-5650.0,36469.54799374156,32930.0,29390.452006258438,1295.9361701542723,3478140.0,-3064015.9269573325,-41.70631595392634,
1999-11-11,29900,1179270,,,,,16.096946509454707,34.474657749514364,28.028745597586987,27.027238860173185,20.51071828507439,-190.33816425120744,-18.08219178082192,-6600.0,35973.425558686584,32600.0,29226.574441313416,1275.0370470949235,2298870.0,-3771577.9269573325,27.278123752064154,
1999-11-12,29000,1092900,-1956.0609256556672,,,,14.23363541017088,37.09862792333494,25.485583664144208,19.95725128423897,10.955580440462859,-199.36055090998522,-19.55617198335645,-7050.0,35578.33698190108,32247.5,28916.663018098923,1307.9014326087765,1205970.0,-4552220.78410019,87.59977341778671,
1999-11-15,31200,905070,-1823.263474459025,,,,18.128612051337726,31.49060787545561,39.58949015108798,17.38935103716739,20.701754385964914,-74.52196382428943,-10.857142857142858,-3800.0,35164.6329228084,32057.5,28950.367077191604,1388.8336181601564,2111040.0,-3864367.5841001896,18.4600081148646,
1999-11-16,30400,662130,-1762.2596198239444,,,26.71455556037822,17.124992127266744,29.747253150040663,36.91497308899321,20.727883538633822,30.526315789473685,-67.7799750970485,-12.893982808022923,-4500.0,34728.23393114765,31832.5,28936.766068852347,1356.2297520749669,1448910.0,-4379357.58410019,22.519105157004606,40.66250285224533
1999-11-17,29000,544930,-1806.0627579893517,,,27.944742473424252,14.946705385379966,33.479745183873945,32.8294847596857,27.2514619883041,30.52631578947369,-115.2471482889732,-17.37891737891738,-6100.0,34262.91130362507,31527.5,28792.088696374925,1411.582678569081,903980.0,-4924287.58410019,70.87265999811859,33.66145810367059
1999-11-18,29150,311620,-1807.8337322444204,,,29.00677079160942,14.32245037553252,32.08145050149583,33.65756504170613,25.73099415204679,16.140350877192983,-124.26532325776695,-15.873015873015873,-5500.0,33774.498215701155,31252.5,28730.501784298845,1365.6186331792742,1215600.0,-5102356.155528761,-16.2334345850918,30.90628712744347
1999-11-19,29250,386460,-1780.6419458944656,,,29.649982950982363,14.406848221306364,30.235804767300685,34.226587326923045,18.41471147748891,8.577467765800042,-104.39607341015792,-13.461538461538462,-4550.0,33403.549978453215,31025.0,28646.450021546785,1339.1582851191952,1602060.0,-5204056.155528761,1.7187376622009318,32.106247383355814
