Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2002-04-22,62938,8341136,,,,,,,,,,,,,,,,,8341136.0,6573903.622487059,,
2002-04-23,57465,5509501,,,,,,,,,,,,,,,,,2831635.0,1832743.3140624985,,
2002-04-24,55706,4767595,,,,,,,,,,,,,,,,,-1935960.0,1026011.9076403357,,
2002-04-25,51211,4004635,,,,,,,,,,,,,,,,,-5940595.0,-1932928.8107760344,,
2002-04-26,53556,4273626,,,,,,,,,,,,,,,,,-1666969.0,541033.4670914938,,
2002-04-29,51015,2036531,,,,,,,,,,,,,,,,,-3703500.0,250383.88940031012,,
2002-04-30,49842,2025464,,,,,,,,,,,,,,,,,-5728964.0,-302357.79725705856,,
2002-05-02,53654,2302599,,,,,,,,,,,,,,,,,-3426365.0,2000241.2027429414,,
2002-05-03,55706,2303290,,,,,,,,,,,,,,,,,-1123075.0,4046955.561935894,,
2002-05-06,53752,1925780,,,,,,,,,,,,,,,,,-3048855.0,2121175.561935894,,
2002-05-07,54240,1655786,,,,,,,,,,,,,,,,,-1393069.0,3776961.561935894,,
2002-05-08,56683,2014925,,,,,,,,,,,,,,,,,621856.0,5185863.083675025,,
2002-05-09,57172,2187497,,,,,,,,,,,,,,,,,2809353.0,5261506.946060346,,
2002-05-10,53165,2152266,,,,,,,,,,-11.834998460806638,,,,,,,657087.0,3622009.800627947,,
2002-05-13,52774,1903368,,,,,21.335178601549742,31.333023363160503,,,,-62.0449927786348,,,,,,,-1246281.0,4939610.867924287,,
2002-05-14,50722,4359738,,,,,22.15637775261226,26.72456821578557,,,24.672895260062887,-74.01997863688653,,,,,,,-5606019.0,2760599.7463186197,,
2002-05-15,52579,3705096,,,,,20.764914647712626,25.04621397025666,,,27.774505600274562,-42.72403809653285,,,,,,,-1900923.0,5231365.867978653,,
2002-05-16,50820,1870667,,,,,20.42521531301994,23.25878172698911,,25.452258625769133,23.909375016969957,-62.120961151969055,,,,,,,-3771590.0,3360698.867978653,,
2002-05-17,52286,1975184,,,,,19.02192950600507,21.66081970868249,,27.19631463612792,29.905063291139243,-34.86867889571328,,,,,,,-1796406.0,3361821.769627317,,
2002-05-20,53165,1611013,,,,,20.820875564348757,20.402941292950256,,28.593326599655715,31.965541490857948,-5.787268750231558,,,59888.804385290656,53922.55,47956.29561470935,,-185393.0,3361821.769627317,,
2002-05-21,50820,1122266,,,,,19.36730555800104,23.051227889855287,38.23759147822199,30.889466780991658,30.79779556097779,-86.65019594479486,-19.25386888684102,-12118.0,57766.05756842975,53316.65,48867.24243157025,3202.5246581623105,-1307659.0,2239555.769627317,-86.54540580563607,
2002-05-22,52579,1316368,,,,,17.960540208086233,22.830787919510854,42.350153445029754,31.22989879679702,30.92635933855533,-65.66605736051022,-8.502566779778997,-4886.0,57100.44653682727,53072.35,49044.253463172725,3144.9359062455046,8709.0,3345779.06230026,-76.10730989975318,
2002-05-23,51797,905386,,,,,17.807534847423355,21.87203581324717,41.070376667301595,28.940141705426214,25.096270216745513,-49.142817096353205,-7.01719742936129,-3909.0,56751.28252628724,52876.9,49002.51747371276,3013.670276364679,-896677.0,2699641.6466684123,-81.0095865944989,
2002-05-24,52676,984886,,,,,17.908177877859007,20.861734204298465,43.104673612951004,29.308554175185975,31.903032970257083,-16.551843308018398,2.860713518579993,1465.0,56750.46647497941,52950.15,49149.83352502059,2901.948221799482,88209.0,2608940.5173660866,-75.40634789437739,
2002-05-27,51601,574147,,,,,17.16832691272759,22.54373689368927,41.270597226742574,28.43852764636129,28.316279752081268,-52.200780288549495,-3.6503846441108374,-1955.0,56685.781713317876,52852.4,49019.01828668213,2786.6994277906483,-485938.0,2211106.375633803,-86.56534287277361,
