Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2001-04-25,12813,3140158,,,,,,,,,,,,,,,,,3140158.0,-1240355.0004719207,,
2001-04-26,12221,1215341,,,,,,,,,,,,,,,,,1924817.0,-2084078.4716107664,,
2001-04-27,12517,866822,,,,,,,,,,,,,,,,,2791639.0,-1434785.9468959374,,
2001-04-30,12616,814966,,,,,,,,,,,,,,,,,3606605.0,-822527.2260837547,,
2001-05-02,12813,864022,,,,,,,,,,,,,,,,,4470627.0,-677792.5763375617,,
2001-05-03,14735,3577029,,,,,,,,,,,,,,,,,8047656.0,2899236.423662438,,
2001-05-04,14685,1333969,,,,,,,,,,,,,,,,,6713687.0,3602833.437982247,,
2001-05-07,14636,992066,,,,,,,,,,,,,,,,,5721621.0,3526996.879479907,,
2001-05-08,14538,577902,,,,,,,,,,,,,,,,,5143719.0,3264701.87578987,,
2001-05-09,14390,389773,,,,,,,,,,,,,,,,,4753946.0,3264701.87578987,,
2001-05-10,14439,495241,,,,,,,,,,,,,,,,,5249187.0,3194363.2989782756,,
2001-05-11,14685,596378,,,,,,,,,,,,,,,,,5845565.0,3127203.614293591,,
2001-05-14,14636,246317,,,,,,,,,,,,,,,,,5599248.0,3065468.467458148,,
2001-05-15,14636,261222,,,,,,,,,,59.30819355369188,,,,,,,5599248.0,3064938.6053891825,,
2001-05-16,14291,622595,,,,,27.034377732641254,11.323175093740508,,,,28.68593187742125,,,,,,,4976653.0,3064938.6053891825,,
2001-05-17,15425,1720262,,,,,34.43847525349533,9.409176228734557,,,83.11887666652586,93.1787866243506,,,,,,,6696915.0,4629678.764060769,,
2001-05-18,17297,2428470,,,,,50.83510613666286,6.975759825375005,,,87.26335715573795,274.2638378376369,,,,,,,9125385.0,5977308.595046684,,
2001-05-21,17987,1301877,,,,,51.281826810525715,6.222043457178917,,88.69254674181461,95.69540640317997,259.48314283979744,,,,,,,10427262.0,6626926.732977718,,
2001-05-22,17544,760978,,,,,47.168260569659886,5.722942908182914,,91.63242448289657,91.93850988977177,168.88891954911094,,,,,,,9666284.0,6170751.829053496,,
2001-05-23,18135,728612,,,,,47.24654136190311,5.053630811654706,,92.7274894816656,90.54855215204505,143.10307065574477,,,18234.914856268293,14751.95,11268.985143731708,,10394896.0,6136257.154657361,,
2001-05-24,18332,316386,,,,,43.006040875284775,5.591684005677687,82.23319128881033,90.67758306682367,89.54568715865418,109.82839510856509,43.073441036447356,5519.0,18720.85230946732,15027.9,11334.947690532681,898.9890658535855,10711282.0,6382018.094905389,-89.9245197216191,
2001-05-25,18776,482468,,,,,46.5248944599061,5.1489866498166315,83.48447139475897,90.54081914879998,91.5282181357007,112.06470493973976,53.63718190000818,6555.0,19155.930214668388,15355.65,11555.369785331612,890.6494642897219,11193750.0,6442555.90479132,-60.301841211643485,
2001-05-28,18726,323387,,,,,44.17167323205232,4.888551783129808,82.79327162220056,91.292207974589,92.80271862941213,91.68725198758825,49.60453782855317,6209.0,19502.358328110873,15666.1,11829.84167188913,861.2578025646577,10870363.0,6571779.51331059,-62.69280198241392,
2001-05-29,18628,407660,,,,,41.25447360810883,7.609838525230113,81.40277618710661,92.12963592653519,92.05797101449275,73.17342859573009,47.65377298668358,6012.0,19741.535736823527,15966.7,12191.864263176474,845.2858111989209,10462703.0,6979439.51331059,-49.978281302532864,
2001-05-30,19071,471540,,,,,43.1039485877813,6.85903507178061,82.77899374070677,92.73509969632563,93.34460944507202,80.3287156476256,48.84102083821119,6258.0,19993.887301757906,16279.6,12565.312698242094,855.1524794854257,10934243.0,7309278.152904498,-45.42500075229566,
2001-05-31,18431,419937,2029.9450461553315,,,,39.33989269422593,6.7523188870039705,74.40567404455022,92.10337392639907,90.90754131963244,56.83458417826355,25.08313539192399,3696.0,20220.44480271469,16464.4,12708.355197285313,857.3561233390138,10514306.0,7310129.952093139,-88.26017345679892,
2001-06-01,17445,386912,1860.5206713139905,,,,34.95558172690281,12.961695029034859,63.92018088674971,89.04028431942305,82.86870219356469,23.24886912731338,18.794688457609805,2760.0,20288.964655610973,16602.4,12915.83534438903,879.4642537994613,10127394.0,6923217.952093139,-70.9954279297345,
2001-06-04,17149,389174,1682.9657261099292,,,64.98428664425451,32.06965057921773,18.313941903292317,61.19503243105697,81.49833314653824,70.7187559264176,-27.94067023929138,17.169991801038535,2513.0,20307.71699428872,16728.05,13148.38300571128,879.9668674717759,9738220.0,6879781.395159655,-60.771359970001996,53.27499100820351
2001-06-05,17149,610927,1524.676629712334,,,60.97281484511626,30.703190427774963,17.53360063437609,61.195032431056966,71.66629766088822,61.4114348626824,-49.513046445711204,17.959829412573946,2611.0,20296.916239091457,16858.6,13420.28376090854,851.36661517753,9738220.0,6268854.395159655,5.714636737716775,50.18513268553256
2001-06-07,16657,440960,1344.0378604012585,,,56.1474182910488,28.256044638973634,21.291149535627383,56.73984008060668,59.63095828753282,46.76268407349847,-125.47469041929169,15.753995830437804,2267.0,20221.55874414137,16971.95,13722.341255858633,850.5032106495227,9297260.0,5880514.920219321,13.132515592408915,43.882046681142576
2001-06-08,17987,464468,1293.291954412225,,,52.81371686047854,29.75423903487944,18.73843651062298,64.16379371251914,50.76667525627558,44.12590683264586,-56.784092688273084,24.57233880462636,3548.0,20208.266819725577,17149.35,14090.433180274422,881.030359643902,9761728.0,6344982.920219321,-6.213742400164768,48.71284018018429
2001-06-11,18135,204708,1250.6016639146928,,,50.17938413478039,29.28696772997313,17.330231909602343,64.86996838939011,45.15652725873963,44.58099087007457,-12.13988843060061,23.493360572012257,3450.0,20188.49335242458,17321.85,14455.206647575418,878.264957234495,9966436.0,6525722.719502475,-65.67479014987138,49.25344324897742
2001-06-12,17889,93385,1183.2790526825556,,,47.859775632493196,28.212175706800306,16.694235886118047,62.70793499418031,47.392685485729,53.47115875446656,-14.411602120118332,22.22601803771522,3253.0,20079.379149401768,17484.5,14889.620850598232,848.2344564956084,9873051.0,6526039.278824509,-62.08747264703614,50.79478607485011
2001-06-13,17544,176136,1089.5273880114219,-383.6777222901046,1473.2051103015265,46.09803890849874,28.24347241738839,15.613573838310044,59.76728960939289,48.623304596643884,47.81776416539051,-26.35566132706134,19.8688166165619,2908.0,19871.941649925364,17629.9,15387.858350074637,838.5384098637054,9696915.0,6349903.278824509,-32.5722948296851,51.57604964056577
2001-06-14,17938,290869,1035.0891619812028,-350.49275865625896,1385.5819206374617,44.02586074935845,26.652079131493895,16.61200299288823,61.914306896275264,48.86421643695763,45.30372639101582,-27.384769818476066,25.519557763627457,3647.0,19450.260729513106,17812.25,16174.239270486896,823.539270633392,9987784.0,6640772.278824509,-53.2811860037424,55.37024039317697
2001-06-15,17692,218131,961.0183106813856,-339.6508879648609,1300.6691986462465,41.570587093969095,24.54060431816605,17.631051754054106,59.81637390513448,45.30372639101582,42.78968861664114,-54.832165060291096,14.696920583468396,2267.0,19148.214313673794,17925.6,16702.985686326203,824.4063075222692,9769653.0,6858903.278824509,-87.31989662039852,59.61646418108831
2001-06-18,17544,132559,880.2275489999738,-336.35331971701817,1216.580868716992,39.37165941092183,23.36771085600377,16.788393396286324,58.55975709078745,43.62770120809936,42.78968861664114,-49.393699347998314,1.4279932936347344,247.0,19139.72859441748,17937.95,16736.17140558252,804.7317570159589,9637094.0,6911873.102353921,-94.54146026098736,65.53642476768417
2001-06-19,17051,399543,767.5712251869008,-359.20771482407304,1126.7789400109739,36.259683942029135,21.487761021943946,20.170716286135107,54.542070951301184,39.01650501956781,31.47013782542113,-107.87479942315115,-5.2037582698615665,-936.0,19153.039737655417,17891.15,16629.260262344585,806.6884598500628,9237551.0,6942415.390965465,-69.31023437698032,57.07781406065403
2001-06-20,16657,215179,639.1302737642764,-390.1189329973581,1029.2492067616345,33.518260487542896,20.152236012356784,21.787132887780757,51.56585357117968,31.838477646329974,21.255606496927644,-159.85465370808183,-5.055859553123575,-887.0,19212.457585194785,17846.8,16481.142414805214,797.028499665736,9022372.0,6966647.260334834,-71.72336125354478,50.578377429060126
2001-06-21,16361,605621,507.60382722217037,-417.3163036315714,924.9201308537417,32.14624823472418,18.4439338539361,26.056667843617838,49.43271356984662,22.97221716500857,16.190907172676933,-183.36683615151094,-9.782189137027848,-1774.0,19260.916808529917,17758.1,16255.283191470078,802.23082408238,8416751.0,7216275.987933401,-16.88017765285227,53.773925614413535
2001-06-22,16755,386769,430.2015819003245,-395.77483916273377,825.9764210630583,29.739198755223388,22.174721255132024,23.54824155127199,52.20308452286246,20.432160363451334,23.849967420749433,-90.43803940726272,-8.60244381409557,-1577.0,19218.392212402756,17679.25,16140.107787597242,815.5855241892788,8803520.0,7271208.396629053,22.245927443060058,59.907760547075966
2001-06-25,17149,324198,396.0864144042862,-343.9120053270177,739.9984197313039,27.465992314091118,20.72265290822899,21.529687530823633,54.809205929057136,26.304775398103246,38.87345160088337,-52.93400043237895,-8.665317426501918,-1627.0,19066.963769888855,17597.9,16128.836230111147,822.4435166051295,9127718.0,7526826.050475207,-32.80424815739075,61.521584776889405
2001-06-26,17544,363241,396.35417303953363,-274.9153973534162,671.2695703929498,25.704901222456044,22.28354398046461,19.886129611267993,57.268016615850364,39.56761875035668,55.979437229437224,6.737594128153204,-6.31207946171099,-1182.0,18913.65862545938,17538.8,16163.94137454062,823.3233905041446,9490959.0,7847587.792718644,12.32393386252385,65.12599638123554
2001-06-27,17741,173458,407.7621984883517,-210.8058975236786,618.5680960120303,24.352774714393494,22.331193703331966,18.70958057456968,58.454720409431616,54.72369021616746,69.31818181818181,36.28560846390404,-4.7616491303414215,-887.0,18780.24710296767,17494.45,16208.652897032329,813.0783955730922,9664417.0,8021045.792718644,-57.45032625226905,68.84912758039752
2001-06-28,17199,219298,368.8167802674725,-199.8010525956463,568.6178328631188,23.11964660093124,20.993579289445325,17.588896880415714,54.10337932606016,65.09740259740259,69.99458874458874,10.238645111624734,-9.815950920245399,-1872.0,18467.895692554943,17400.85,16333.804307445054,803.468578206509,9445119.0,7869487.268537677,-53.493234932349324,65.19624591068916
2001-06-29,17051,457559,322.29468017684485,-197.05852214901915,519.353202325864,21.6747759044537,19.907736799450625,18.091504835188097,52.970007538300784,67.54599567099567,63.32521645021645,-11.43491681983123,-7.487385383321578,-1380.0,18297.137371718938,17331.85,16366.562628281057,788.9515747408789,8987560.0,7579080.818353175,8.958962892052856,62.681336568529744
2001-07-02,17002,153896,278.2640356023985,-192.87133337877242,471.1353689811709,20.353452675221266,19.22606513234322,17.472023756765125,52.58609729000859,62.215909090909086,53.327922077922075,-17.313296903460785,-2.5394095729435366,-443.0,18283.874953486313,17309.7,16335.525046513687,764.4382668493107,8833664.0,7469792.354585059,-60.22454718385576,60.46508856227797
2001-07-03,17100,303074,248.41365554432923,-178.17737074947337,426.5910262938026,18.91779178317737,18.63837420753794,17.95340889073575,53.29867989762314,57.03276837963185,54.44516661075701,-18.447018447018372,-0.28573094641086944,-49.0,18283.273949501272,17307.25,16331.226050498728,738.6521860163343,9136738.0,7672184.144415568,-22.12378010864035,63.55356918818698
